Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
57silVtrWHoiTZzfic9yt3,"4EukMPjtYsdi87lkU1hIxN","Run Away","Run Away","Manila Killa",2018-10-26,188000,13,spotify:user:,2019-12-12T20:49:18Z,"edm,electropop,future bass,indie electropop,melodic dubstep,pop edm,vapor soul,vapor twitch",0.588,0.788,0,-9.026,0,0.0411,0.00253,0.118,0.121,0.109,104.987,4
3xB5uHrhe0uaIxNGf3JwZA,"02kJSzxNuaWGqwubyUba0Z,2hlmm7s2ICUX0LVIhVFlZQ","I Wanna Rock (feat. Gunna)","I Wanna Rock (feat. Gunna)","G-Eazy,Gunna",2019-10-15,163390,44,spotify:user:,2019-12-12T20:49:18Z,"indie pop rap,oakland hip hop,pop,pop rap,rap,atl hip hop,hip hop,melodic rap,trap",0.772,0.847,10,-3.789,0,0.0929,0.00718,0,0.156,0.704,100.013,4
5VsZd4qGOSTRdsNC0XRU1F,"59MDSNIYoOY0WRYuodzJPD","Where To Go","Where To Go","Duskus",2018-12-07,251076,39,spotify:user:,2019-12-12T20:49:18Z,"future bass,vapor twitch",0.776,0.473,11,-9.324,1,0.174,0.416,0.572,0.0994,0.31,130.031,4
0JITWDB1tVUH2VUXmVtYpL,"0u18Cq5stIQLUoIaULzDmA","Sunburn","Sunburn","DROELOE",2017-08-15,226981,45,spotify:user:,2019-12-12T20:49:18Z,"bass trap,edm,electronic trap,electropop,future bass,pop edm,vapor twitch",0.693,0.725,0,-7.297,0,0.0321,0.121,0.00278,0.214,0.447,105.961,4
5HbTUbKSPeNh75aKSW66OF,"3XFcu2NnGWceLNdxRCfYH3,0u18Cq5stIQLUoIaULzDmA,7HPVAGjCVDzP7xcNrkwgxL","Running Away","Running Away","Taska Black,DROELOE,CUT_",2017-12-08,185812,46,spotify:user:,2019-12-12T20:49:18Z,"bass trap,edm,electronic trap,electropop,future bass,pop dance,pop edm,vapor twitch,indie electropop",0.51,0.812,2,-5.782,0,0.0744,0.0233,0.133,0.166,0.151,159.885,4
50pEs4BEQlgoZo6rKHNtEA,"24V5UY0nChKpnb1TBPJhCw,5K0BVchFxmuKBw7DojGSQO","Lost (feat. Chelsea Jade)","Lost (feat. Chelsea Jade)","Jai Wolf,Chelsea Jade",2018-08-10,241040,41,spotify:user:,2019-12-12T20:49:18Z,"edm,electropop,future bass,pop dance,pop edm,tropical house,vapor twitch,indie electropop,indie poptimism,metropopolis,nz pop,vapor soul",0.672,0.647,1,-6.264,1,0.0314,0.0533,0.0932,0.122,0.237,99.994,4
0lchLc0vSyRRqKSPIkFtJI,"0vqJkZ0RpLZixt3lTmD8vP,5cIc3SBFuBLVxJz58W2tU9","Superlove (feat. Oh Wonder)","Life of a Wallflower, Vol. 1","Whethan,Oh Wonder",2018-11-09,184814,54,spotify:user:,2019-12-12T20:49:18Z,"edm,electropop,hyperpop,indie poptimism,tropical house,vapor twitch",0.578,0.491,11,-8.544,0,0.21,0.203,0.000378,0.182,0.64,98.273,4
5tPgPDoDPWIf50JeSThnIK,"41rVuRHYAiH7ltBTHVR9We","Find","Find","Slushii",2018-11-16,215040,0,spotify:user:,2019-12-12T20:49:18Z,"brostep,edm,electro house,electronic trap,future bass,pop dance,pop edm",0.528,0.531,9,-8.008,0,0.296,0.324,0.00298,0.0895,0.11,62.397,4
6wDTv2XSlz6e0KCXjbqyOG,"74xeHqz5Ap8ZHq69TkxI0r","The Unknown","While We're Young - EP","BONNIE X CLYDE",2018-07-13,173538,19,spotify:user:,2019-12-12T20:49:18Z,"edm,electra,melodic dubstep,pop dance,pop edm",0.48,0.889,11,-2.413,0,0.0454,0.0672,0.00000293,0.0859,0.297,129.985,4
6oT7PfYeL4GHWyss2zYRuw,"0jNDKefhfSbLR9sFvcPLHo","worthy","album1","San Holo",2018-09-21,299142,33,spotify:user:,2019-12-12T20:49:18Z,"edm,electro house,electronic trap,electropop,future bass,pop dance,pop edm,vapor twitch",0.456,0.53,4,-6.946,1,0.0406,0.387,0.00065,0.185,0.24,104.913,4
6VRRu9NewkmX12BMCvCJQ1,"0u18Cq5stIQLUoIaULzDmA,3RTklnRcfHgkQJwFpgOq3t","BACKBONE","BACKBONE","DROELOE,Nevve",2018-01-26,194000,47,spotify:user:,2019-12-12T20:49:18Z,"bass trap,edm,electronic trap,electropop,future bass,pop edm,vapor twitch",0.653,0.689,11,-8.338,0,0.0881,0.0255,0.0387,0.0937,0.253,150.954,4
