Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
294r8rdOqr0Nv1vuV5u8Qv,"0Yr4BBpK2dkCp2UsrJ9LZN","29","29","Bankrol Hayden",2018-05-18,116715,54,spotify:user:31mv3potgu5mfboxpi7bw4wkbj5m,2022-11-10T22:36:00Z,"melodic rap,sad rap,viral rap",0.784,0.391,3,-10.628,1,0.215,0.804,0,0.18,0.711,90.789,4
6epn3r7S14KUqlReYr77hA,"1uNFoZAHBGtllmzznpCI3s,3ipn9JLAPI5GUEo4y4jcoi","Baby","My World 2.0","Justin Bieber,Ludacris",2010-01-01,214240,81,spotify:user:31mv3potgu5mfboxpi7bw4wkbj5m,2022-11-10T22:36:11Z,"canadian pop,pop,atl hip hop,dance pop,dirty south rap,hip hop,old school atlanta hip hop,pop rap,rap,southern hip hop,trap",0.728,0.859,5,-5.237,0,0.137,0.0401,0,0.111,0.535,65.043,4
51NFxnQvaosfDDutk0tams,"6qqNVTkY8uBg9cP3Jd7DAH","bellyache","Bellyache","Billie Eilish",2017-02-24,179172,78,spotify:user:31mv3potgu5mfboxpi7bw4wkbj5m,2022-11-10T22:36:34Z,"art pop,electropop,pop",0.695,0.573,4,-8.597,0,0.106,0.46,0.0734,0.482,0.408,99.939,4
49EgauTc1cGkHwPGCaHh1f,"6icQOAFXDZKsumw3YXyusw,2ExGrw6XpbtUAJHTLtUXUD","Better","Teenage Emotions","Lil Yachty,Stefflon Don",2017-05-26,242430,47,spotify:user:31mv3potgu5mfboxpi7bw4wkbj5m,2022-11-10T22:36:42Z,"atl hip hop,hip hop,melodic rap,rap,trap,underground hip hop,viral rap,dancehall,dancehall queen,uk dancehall,uk hip hop",0.747,0.54,9,-7.303,1,0.119,0.286,0,0.275,0.556,134.921,4
3eng6TJxpqjvDkxRpnfnhB,"2jnIB6XdLvnJUeNTy5A0J2","Big Plans","Big Plans","Why Don't We",2019-01-17,179929,63,spotify:user:31mv3potgu5mfboxpi7bw4wkbj5m,2022-11-10T22:36:48Z,"boy band,dance pop,pop,post-teen pop",0.693,0.604,11,-5.279,1,0.0427,0.0668,0,0.114,0.651,75.014,4
2M9ULmQwTaTGmAdXaXpfz5,"7o9Nl7K1Al6NNAHX6jn6iG,0du5cEVh5yTK9QJze8zA0C","Billionaire (feat. Bruno Mars)","Billionaire (feat. Bruno Mars)","Travie McCoy,Bruno Mars",2010-03-09,211160,71,spotify:user:31mv3potgu5mfboxpi7bw4wkbj5m,2022-11-10T22:36:55Z,"pop rap,dance pop,pop",0.633,0.673,6,-6.403,0,0.258,0.297,0,0.206,0.659,86.776,4
49O5AqdaIGmnfz2d8TXL7Z,"0Yr4BBpK2dkCp2UsrJ9LZN,24CgJHK6T7C5OmUbiLLMjJ","Brothers (feat. Luh Kel)","Pain is Temporary","Bankrol Hayden,Luh Kel",2020-06-26,131853,64,spotify:user:31mv3potgu5mfboxpi7bw4wkbj5m,2022-11-10T22:37:01Z,"melodic rap,sad rap,viral rap,pop r&b,st louis rap",0.889,0.483,8,-10.332,1,0.227,0.376,0,0.088,0.761,120.995,4
3clpchqQ6A3p8jjPgKdhk0,"2rhFzFmezpnW82MNqEKVry,6icQOAFXDZKsumw3YXyusw","Cat Piss (feat. Lil Yachty)","STOKELEY","Ski Mask The Slump God,Lil Yachty",2018-11-30,167040,56,spotify:user:31mv3potgu5mfboxpi7bw4wkbj5m,2022-11-10T22:37:07Z,"miami hip hop,rap,atl hip hop,hip hop,melodic rap,trap,underground hip hop,viral rap",0.862,0.521,8,-10.355,1,0.447,0.0466,0.00005,0.119,0.373,154.983,4
7AFASza1mXqntmGtbxXprO,"15UsOTVnJzReFVN1VCnxy4","changes","?","XXXTENTACION",2018-03-16,121886,79,spotify:user:31mv3potgu5mfboxpi7bw4wkbj5m,2022-11-10T22:37:13Z,"emo rap,miami hip hop",0.669,0.308,11,-10.068,1,0.029,0.883,0,0.0984,0.52,64.934,4
3bBgPBi73fYUkWzmhguIpX,"7iZtZyCzp3LItcw1wtPI3D,08PvCOlef4xdOr20jFSTPd","Community D**k (feat. Flo Milli)","Community D**k (feat. Flo Milli)","Rae Sremmurd,Flo Milli",2022-08-08,190926,27,spotify:user:31mv3potgu5mfboxpi7bw4wkbj5m,2022-11-10T22:38:45Z,"hip hop,melodic rap,mississippi hip hop,pop rap,rap,southern hip hop,trap,dance pop,pop,viral rap",0.898,0.753,10,-5.113,0,0.109,0.0228,0,0.192,0.316,102.982,4
