Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6SZwj6cjc8JQbkrr8cbIUn,"1vVHevk2PD45epYnDi9CCc","Oh Klahoma","Pop Food","Jack Stauber",2017-03-25,185223,73,spotify:user:zzkiser,2022-08-08T01:53:18Z,"pittsburgh indie",0.697,0.401,7,-10.216,1,0.0543,0.43,0.0109,0.316,0.478,108.996,4
1BYZxKSf0aTxp8ZFoeyM3d,"3uwAm6vQy7kWPS2bciKWx9","we fell in love in october","we fell in love in october / forget her","girl in red",2018-11-21,184153,70,spotify:user:zzkiser,2022-08-08T01:53:22Z,"bedroom pop,indie pop,norwegian indie,pop",0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.959,4
3h3pOvw6hjOvZxRUseB7h9,"3uwAm6vQy7kWPS2bciKWx9","i wanna be your girlfriend","i wanna be your girlfriend","girl in red",2018-03-02,204990,62,spotify:user:zzkiser,2022-08-08T01:53:27Z,"bedroom pop,indie pop,norwegian indie,pop",0.54,0.381,7,-14.323,1,0.0347,0.0217,0.000687,0.305,0.343,155.882,4
3i058E8uxTsYqJ5NWZzqSj,"6KImCVD70vtIoJWnq6nGn3","Little Freak","Harry's House","Harry Styles",2022-05-20,202183,82,spotify:user:zzkiser,2022-08-08T01:54:16Z,"pop",0.559,0.535,3,-7.723,1,0.039,0.719,0.000143,0.0954,0.402,141.96,4
2QjOHCTQ1Jl3zawyYOpxh6,"77SW9BnxLY8rJ0RciFqkHh","Sweater Weather","I Love You.","The Neighbourhood",2013-04-19,240400,92,spotify:user:zzkiser,2022-08-08T01:54:59Z,"modern alternative rock,modern rock,pop,shimmer pop",0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4
7D0RhFcb3CrfPuTJ0obrod,"4gzpq5DPGxSnKTe4SA8HAU","Sparks","Parachutes","Coldplay",2000-07-10,227093,85,spotify:user:zzkiser,2022-08-08T01:55:24Z,"permanent wave,pop",0.371,0.268,1,-10.506,1,0.0281,0.748,0.0517,0.104,0.165,102.617,3
5E30LdtzQTGqRvNd7l6kG5,"77SW9BnxLY8rJ0RciFqkHh","Daddy Issues","Wiped Out!","The Neighbourhood",2015-10-30,260173,86,spotify:user:zzkiser,2022-08-08T02:03:24Z,"modern alternative rock,modern rock,pop,shimmer pop",0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,4
57RA3JGafJm5zRtKJiKPIm,"0NIPkIjTV8mB795yEIiPYL,3l0CmX0FuQjFxr8SK7Vqag","Are You Bored Yet? (feat. Clairo)","Nothing Happens","Wallows,Clairo",2019-03-22,178000,78,spotify:user:zzkiser,2022-08-08T02:03:46Z,"indie pop,modern rock,pop,bedroom pop",0.682,0.683,8,-6.444,0,0.0287,0.156,0.0000232,0.273,0.64,120.023,4
6EThJr4Dq1Y93JspecGU2F,"26T3LtbuGT1Fu9m0eRq5X3","Cigarette Daydreams","Melophobia","Cage The Elephant",2013-10-04,208765,0,spotify:user:zzkiser,2022-08-08T02:04:01Z,"modern rock,punk blues,rock",0.638,0.668,2,-3.442,1,0.0259,0.0822,0,0.0815,0.299,113.945,4
3zksbXteOCeSusJ5Xltr3t,"3l0CmX0FuQjFxr8SK7Vqag","Bubble Gum","Bubble Gum","Clairo",2019-02-22,175960,79,spotify:user:zzkiser,2022-08-08T02:04:12Z,"bedroom pop,indie pop,pop",0.509,0.0167,9,-24.639,1,0.115,0.979,0.0000272,0.387,0.229,207.97,3
2I9zHCCeKJRKMgJ6UJFN9W,"7H0Xu8hdP0tjpZ6z4dHquW","Coffee Breath","Coffee Breath","Sofia Mills",2018-03-08,163902,1,spotify:user:zzkiser,2022-08-08T02:04:17Z,"",0.866,0.211,11,-12.676,0,0.0404,0.974,0,0.0987,0.198,101.295,4
41yIvlFgvGwxq8qTqAR7eG,"79hrYiudVcFyyxyJW0ipTy","Bloom - Bonus Track","Woodland - EP","The Paper Kites",2013-03-05,210080,6,spotify:user:zzkiser,2022-08-08T02:04:49Z,"australian indie folk,indie folk,stomp and holler",0.592,0.416,1,-9.794,1,0.0246,0.882,0.000586,0.112,0.417,96.002,4
7rC3P7tpWriaC4hYWKwGQd,"3wOQaMNQU0rbzWyGXIudmE","Hey Lover!","Cyclones and Hey Lover","Wabie",2019-06-19,162560,68,spotify:user:zzkiser,2022-08-08T02:05:17Z,"bedroom pop",0.586,0.744,4,-10.142,1,0.0508,0.00614,0.000172,0.372,0.523,117.006,4
7jrYMBC1bS1SCwxE2bt3AP,"4Uc8Dsxct0oMqx0P6i60ea","Footnote","Superache","Conan Gray",2022-06-24,224295,64,spotify:user:zzkiser,2022-08-08T02:09:29Z,"bedroom pop,pop",0.336,0.31,7,-10.545,1,0.0336,0.754,0,0.343,0.252,101.571,4
7u6HtmuMeuiVdwwFul5xHi,"74KM79TiuVKeVCqs8QtB0B","skinny dipping","skinny dipping","Sabrina Carpenter",2021-09-09,177750,52,spotify:user:zzkiser,2022-08-08T02:10:00Z,"alt z,dance pop,pop,post-teen pop",0.456,0.536,4,-8.864,1,0.14,0.267,0,0.141,0.407,119.901,5
4j6kId9QIqhoXvqHKgSKa0,"6KImCVD70vtIoJWnq6nGn3","Grapejuice","Harry's House","Harry Styles",2022-05-20,191958,78,spotify:user:zzkiser,2022-08-08T02:10:28Z,"pop",0.645,0.721,5,-4.394,1,0.0336,0.357,0.143,0.204,0.88,182.928,4
