Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6J7ZvMOIPIi8RkixxY5e99,"6jpOOrGFSWdHx6leHfU54n","IT","Hits Of Today","The Last Artful, Dodgr",2022-08-19,198211,32,spotify:user:,2022-11-28T05:00:00Z,"portland hip hop",0.456,0.431,2,-9.39,1,0.142,0.326,0.00000611,0.0727,0.284,219.932,4
0JcFw9vepy4LuE4f0SMp7C,"5CI6YfdGj33Dk91IiUge82,2Sqm6MFN5019innB8vdSr9","Save Me","Save Me","Highlnd,Drowsy",2022-04-29,217931,28,spotify:user:,2022-11-28T05:00:00Z,"melodic dubstep,pop edm,traprun",0.564,0.762,2,-4.502,1,0.0506,0.202,0,0.292,0.518,87.012,4
7xax8LcOc7KhpdJQ7an2sy,"3wkHMiy2I0PuYIh9JNyqVk,4SH2kc847RC7MHyFcECFPw","Lightly - ThaKracken Remix","Lightly (ThaKracken Remix)","Xan Griffin,ThaKracken",2022-09-16,146458,25,spotify:user:,2022-11-28T05:00:00Z,"future bass,melodic dubstep,pop edm",0.643,0.754,2,-4.186,1,0.0507,0.00472,0.000684,0.147,0.466,164.083,4
4E9FiSTNbDe7bPjwuKvhxc,"3MNLhvqJkWsO6tcjY9ps62","001","001","Maude Latour",2022-09-30,186810,51,spotify:user:,2022-11-28T05:00:00Z,"alt z,indie pop,nyc pop",0.63,0.548,1,-6.46,1,0.0449,0.139,0.00000333,0.0953,0.497,122.201,4
222I8H4WtvuCcTfAfVW0qw,"5ZD5SEaKtPcA27WyUOwcxS,6xgvgzXNv3ymcITXTrxRaA,7cYEt1pqMgXJdq00hAwVpT","FOR HER","FOR HER","Xavier Mayne,ELIO,Chase Atlantic",2022-11-11,243000,64,spotify:user:,2022-11-28T05:00:00Z,"alt z,dance pop,electropop,indie pop,pop",0.61,0.618,8,-4.968,0,0.112,0.0753,0.000075,0.109,0.325,159.571,4
1wvdBljugcMV14p3Xa3xvc,"2mMuXvJVBA9Ft34x9WYpP2","too hot to be this hungover","too hot to be this hungover","Trevi Moran",2022-08-12,170408,36,spotify:user:,2022-11-28T05:00:00Z,"teen pop",0.519,0.866,8,-5.783,1,0.179,0.0238,0,0.339,0.264,135.994,4
1FZYRjZPg5AmGu1WAnfZaY,"12aijQHKHFzPfRLxeTcyUW","hope it kills you","hope it kills you","Bolshiee",2022-09-30,157353,28,spotify:user:,2022-11-28T05:00:00Z,"",0.451,0.362,9,-11.187,0,0.0486,0.381,0.0111,0.263,0.0742,114.814,4
480yOSOg0gugfIIND3swqG,"6Ax7eKY1yR7SNY1TFoXRhi,6S0hPu27zzBuY1I6fTcDzo","APPLE","APPLE","Saint Noelle,Naomi Scott",2022-08-06,206857,30,spotify:user:,2022-11-28T05:00:00Z,"nopixel",0.59,0.783,0,-5.554,0,0.0526,0.0113,0,0.0933,0.46,104.872,4
1VWY0mwYmKxNaf5EhAGSBA,"6sFHvCyqklnJpXC9Nh1aag,1rHOtdmGNr5vcYNw5v7QGC","ill (feat. Kenny Beats)","ill (feat. Kenny Beats)","Alexander 23,Kenny Beats",2022-10-14,201673,55,spotify:user:,2022-11-28T05:00:00Z,"alt z,pop,hip hop,rap,trap,underground hip hop",0.743,0.561,4,-7.076,1,0.0552,0.26,0.00000258,0.164,0.531,77.977,4
21A2cVKqAtoGewhGSL3AZi,"4JNfz6aO9ZFz0gp5GY88am","Fall for Me First","Fall for Me First","Hey Violet",2022-04-22,172026,33,spotify:user:,2022-11-28T05:00:00Z,"alt z,electropop,indie poptimism,pixie,pop,post-teen pop,social media pop",0.679,0.713,5,-5.04,1,0.0507,0.339,0.00000183,0.129,0.598,119.879,4
