Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6RiiSy9GzSwiyDEJDiMuKe,"3XxNRirzbjfLdDli06zMaB,34me8hAxavRmcDIwhxa3b7","Something About You","Mulholland Drive","Eyedress,Dent May",2021-08-27,153312,77,spotify:user:7cvx2t9blnv52syc1chzm0qhp,2022-03-23T19:21:46Z,"noise pop,indie fuzzpop,mississippi indie",0.648,0.781,9,-8.736,0,0.0271,0.0332,0.013,0.305,0.822,133.417,4
5qEn8c0MBzyRKgQq91Vevi,"4AcHt3JxKy59IX7JNNlZn4","Out of My League","Out of My League","Fitz and The Tantrums",2013-02-08,209386,66,spotify:user:7cvx2t9blnv52syc1chzm0qhp,2022-03-23T19:21:55Z,"la indie,modern alternative rock,modern rock,pop rock,rock",0.545,0.968,9,-3.553,0,0.0853,0.0387,0.00325,0.331,0.527,169.965,4
0MoQI1EZGSHLhd5UBdxPol,"0FtsMKmZEq8fBWqdSOWtqp","Substance","The Wolf of Grape Street","03 Greedo",2018-03-09,219834,77,spotify:user:7cvx2t9blnv52syc1chzm0qhp,2022-03-23T19:22:01Z,"cali rap,melodic rap,trap,viral rap",0.599,0.32,3,-13.716,0,0.0787,0.26,0,0.106,0.197,70.998,4
0sTlGEld0h8kIPZaKDYUf4,"1QfpRUtH14JLoY6F6AYmwt","Notion","Notion","The Rare Occasions",2021-12-02,195120,82,spotify:user:7cvx2t9blnv52syc1chzm0qhp,2022-03-23T19:22:08Z,"la indie",0.309,0.883,9,-3.825,1,0.0808,0.0673,0.00111,0.0849,0.312,159.488,4
4SqWKzw0CbA05TGszDgMlc,"027TpXKGwdXP7iwbjUSpV8","I Love You So","I Love You So","The Walters",2014-11-28,160239,87,spotify:user:7cvx2t9blnv52syc1chzm0qhp,2022-03-23T19:22:12Z,"chicago indie",0.575,0.648,10,-4.891,1,0.0358,0.583,0,0.115,0.466,75.977,4
37y7iDayfwm3WXn5BiAoRk,"57vWImR43h4CaDao012Ofp","Dark Red","Dark Red","Steve Lacy",2017-02-20,173104,77,spotify:user:7cvx2t9blnv52syc1chzm0qhp,2022-03-23T19:22:19Z,"afrofuturism",0.603,0.783,6,-4.023,1,0.062,0.449,0.00000796,0.119,0.775,172.041,4
7EkWXAI1wn8Ii883ecd9xr,"1gl0S9pS0Zw0qfa14rDD3D","Freaks","Freaks","Surf Curse",2021-05-15,147062,85,spotify:user:7cvx2t9blnv52syc1chzm0qhp,2022-03-23T19:22:24Z,"dreamo,indie pop,indie surf,surf punk,vegas indie",0.345,0.941,9,-9.918,1,0.0466,0.0000384,0.633,0.0511,0.407,179.626,4
3jjujdWJ72nww5eGnfs2E7,"6KImCVD70vtIoJWnq6nGn3","Adore You","Fine Line","Harry Styles",2019-12-13,207133,84,spotify:user:7cvx2t9blnv52syc1chzm0qhp,2022-03-23T19:22:30Z,"pop",0.676,0.771,8,-3.675,1,0.0483,0.0237,0.000007,0.102,0.569,99.048,4
31MQR9rOHRXyg4J01hRY1h,"5nvWOyAkfNgVLKESq4fOj2","Fall in Love with You.","Fall in Love with You.","Montell Fish",2021-11-05,132000,29,spotify:user:7cvx2t9blnv52syc1chzm0qhp,2022-03-23T19:22:35Z,"pittsburgh rap,pop",0.483,0.0394,4,-19.525,1,0.0537,0.922,0.0125,0.112,0.146,73.984,4
1KIJclzEbNhSVw8tiHPWwE,"0U7iI0Dk4Ojvi17nZboNO4","Young","Vibes","Vacations",2016,189160,82,spotify:user:7cvx2t9blnv52syc1chzm0qhp,2022-03-23T19:22:43Z,"newcastle nsw indie",0.498,0.81,7,-4.065,1,0.0263,0.00392,0.00717,0.0635,0.594,79.935,4
2IVsRhKrx8hlQBOWy4qebo,"0ZUvK7zGdXLd78mQr3t1Tw","Mr Loverman","Montgomery Ricky","Ricky Montgomery",2016-04-08,216880,78,spotify:user:7cvx2t9blnv52syc1chzm0qhp,2022-03-23T19:23:02Z,"indie pop,la indie",0.639,0.526,0,-6.697,1,0.0256,0.245,0.0000243,0.25,0.488,130.033,3
1ZgMsA55GIY7ICkQh5MILA,"56ZTgzPBDge0OvCGgMO3OY","Space Song","Depression Cherry","Beach House",2015-08-28,320466,75,spotify:user:7cvx2t9blnv52syc1chzm0qhp,2022-03-23T19:23:10Z,"baltimore indie,dream pop,dreamo,modern dream pop",0.507,0.79,0,-7.307,0,0.0294,0.233,0.139,0.145,0.6,147.065,4
