Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1w6EDue1Ze95AzYcjr8ED3,"7pwufEBGfggjoI8twqlsmQ","gaslight","young forever","Nessa Barrett",2022-10-14,196320,63,spotify:user:12128755886,2022-11-11T21:11:58Z,"alt z,pop,social media pop",0.649,0.628,0,-7.461,0,0.0656,0.0749,0,0.106,0.352,75.033,4
2LvvFxwAqjp75Lp4XDetug,"7pwufEBGfggjoI8twqlsmQ","talk to myself","young forever","Nessa Barrett",2022-10-14,165520,65,spotify:user:12128755886,2022-11-11T21:12:00Z,"alt z,pop,social media pop",0.556,0.492,4,-7.266,1,0.0647,0.0129,0,0.494,0.376,92.648,3
1PNpHAmVys80vSWp1CpsGE,"7pwufEBGfggjoI8twqlsmQ","decay","young forever","Nessa Barrett",2022-10-14,149466,60,spotify:user:12128755886,2022-11-11T21:12:01Z,"alt z,pop,social media pop",0.636,0.499,8,-8.636,0,0.0679,0.478,0.00169,0.204,0.444,92.983,4
3RhPFIqJ9waaB5FTg8wugv,"7pwufEBGfggjoI8twqlsmQ","too hot to cry","young forever","Nessa Barrett",2022-10-14,188360,61,spotify:user:12128755886,2022-11-11T21:12:03Z,"alt z,pop,social media pop",0.328,0.692,8,-6.927,0,0.366,0.0313,0,0.094,0.293,179.627,4
4ljlDYvqLPNFo92gEyWJfb,"7pwufEBGfggjoI8twqlsmQ","fuckmarrykill","young forever","Nessa Barrett",2022-10-14,213386,60,spotify:user:12128755886,2022-11-11T21:12:10Z,"alt z,pop,social media pop",0.509,0.458,0,-10.091,0,0.0389,0.539,0.000335,0.125,0.0935,134.08,4
6g5ToBz8mGURaauPqfyYvU,"7pwufEBGfggjoI8twqlsmQ","lovebomb","young forever","Nessa Barrett",2022-10-14,189000,69,spotify:user:12128755886,2022-11-11T21:12:13Z,"alt z,pop,social media pop",0.595,0.174,7,-15.64,1,0.0341,0.747,0.000018,0.12,0.161,113.087,4
6OJvxUY0WhYn8qv3UZCRlM,"7pwufEBGfggjoI8twqlsmQ","unnecessary violence","young forever","Nessa Barrett",2022-10-14,195320,58,spotify:user:12128755886,2022-11-11T21:12:15Z,"alt z,pop,social media pop",0.405,0.375,10,-9.697,0,0.0381,0.418,0,0.113,0.0761,119.753,3
39HJJEgUFZcnhH4ziSqomg,"7pwufEBGfggjoI8twqlsmQ","dear god","young forever","Nessa Barrett",2022-10-14,132106,67,spotify:user:12128755886,2022-11-11T21:12:16Z,"alt z,pop,social media pop",0.534,0.373,2,-12.43,0,0.0574,0.816,0.000292,0.125,0.351,98.132,4
7m059kV1WgO9czlih2hDrI,"7pwufEBGfggjoI8twqlsmQ","forgive the world","young forever","Nessa Barrett",2022-10-14,148733,60,spotify:user:12128755886,2022-11-11T21:12:17Z,"alt z,pop,social media pop",0.492,0.382,4,-8.971,0,0.0401,0.526,0,0.386,0.202,107.422,5
6BzSgXgzHxqPbGEb7aKAXb,"2S054G7qnCK45KY0XzpX30","ugly","ugly","Dylan Conrique",2022-11-10,180626,56,spotify:user:12128755886,2022-11-11T21:12:28Z,"alt z,social media pop",0.675,0.85,11,-4.849,0,0.0526,0.037,0,0.311,0.842,136.96,4
