Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0tQmgwFKw9069z1BXniOiA,"02kJSzxNuaWGqwubyUba0Z,7bXgB6jMjp9ATFy66eO08Z,6V3F8MZrOKdT9fU686ybE9","Provide (feat. Chris Brown & Mark Morrison)","Provide (feat. Chris Brown & Mark Morrison)","G-Eazy,Chris Brown,Mark Morrison",2021-02-05,186349,57,spotify:user:g_eazy,2021-02-05T06:42:34Z,"indie pop rap,oakland hip hop,pop,pop rap,rap,dance pop,r&b,british soul",0.652,0.803,9,-4.116,0,0.238,0.0165,0,0.307,0.661,95.025,4
5SixeLvPsYpk7qq9lo5xYg,"1FtBEIWAwvw5ymBen5GICR","Have Mercy","Have Mercy","Chlöe",2021-09-10,148778,72,spotify:user:g_eazy,2022-02-14T22:24:08Z,"dance pop,pop,post-teen pop,r&b,rap",0.903,0.535,9,-6.434,1,0.0742,0.297,0,0.345,0.508,130.022,4
0DYvvSQL8PbsjPaOOMg2DR,"02kJSzxNuaWGqwubyUba0Z","Bad Bad News!","These Things Happen Too","G-Eazy",2021-09-24,171261,31,spotify:user:g_eazy,2022-02-14T22:25:14Z,"indie pop rap,oakland hip hop,pop,pop rap,rap",0.431,0.61,2,-7.031,0,0.296,0.17,0.000024,0.362,0.431,77.044,4
3YJJjQPAbDT7mGpX3WtQ9A,"7tYKF4w9nC0nq9CsPZTHyP","Good Days","Good Days","SZA",2020-12-25,279204,82,spotify:user:g_eazy,2022-02-14T22:25:24Z,"pop,r&b,rap",0.436,0.655,1,-8.37,0,0.0583,0.499,0.0000081,0.688,0.412,121.002,4
0OLKDxDEz1yW3YCOsW02ee,"02kJSzxNuaWGqwubyUba0Z,7jZMxhsB8djyIbYmoiJSTs","A Little More (feat. Kiana Ledé)","A Little More (feat. Kiana Ledé)","G-Eazy,Kiana Ledé",2021-02-03,212629,41,spotify:user:g_eazy,2021-02-13T01:22:22Z,"indie pop rap,oakland hip hop,pop,pop rap,rap,dance pop,pop r&b,post-teen pop,r&b,urban contemporary",0.736,0.728,9,-4.798,1,0.16,0.00781,0.00000146,0.0954,0.663,87.016,4
7tjtWVu8RsshzPxQm8oT3y,"4qXC0i02bSFstECuXP2ZpL","Be Alone","No Love Lost","Blxst",2020-09-04,154105,63,spotify:user:g_eazy,2022-02-14T22:26:01Z,"pop rap",0.606,0.617,8,-5.123,0,0.427,0.83,0.000727,0.166,0.685,93.169,4
3QGppKBPd9gHOgHJzRbVIw,"02kJSzxNuaWGqwubyUba0Z,2cFrymmkijnjDg9SS92EPM","Hate The Way (feat. blackbear)","Hate The Way (feat. blackbear)","G-Eazy,blackbear",2020-10-16,214363,58,spotify:user:jonxjmn,2021-02-05T02:05:09Z,"indie pop rap,oakland hip hop,pop,pop rap,rap",0.569,0.865,4,-3.844,0,0.266,0.0673,0,0.312,0.361,82.011,4
37Nqx7iavZpotJSDXZWbJ3,"3TVXtAsR1Inumwj472S9r4,5f7VJjfbwm532GiveGC0ZK","Girls Want Girls (with Lil Baby)","Certified Lover Boy","Drake,Lil Baby",2021-09-03,221979,78,spotify:user:g_eazy,2022-02-14T22:27:20Z,"canadian hip hop,canadian pop,hip hop,rap,toronto rap,atl hip hop,atl trap,trap",0.767,0.438,7,-8.726,0,0.29,0.181,0,0.142,0.381,86.975,4
2NS0gBRFlxtYG6AL4fj3Y5,"02kJSzxNuaWGqwubyUba0Z","Stan By Me","Everything's Strange Here","G-Eazy",2020-07-08,217938,38,spotify:user:jonxjmn,2021-02-05T02:05:09Z,"indie pop rap,oakland hip hop,pop,pop rap,rap",0.749,0.829,3,-3.097,0,0.0344,0.1,0,0.0692,0.849,135.037,4
6CTWathupIiDs7U4InHnDA,"7HkdQ0gt53LP4zmHsL0nap","Trip","Ella Mai","Ella Mai",2018-10-12,213993,73,spotify:user:g_eazy,2022-02-14T22:28:54Z,"dance pop,pop,post-teen pop,r&b,rap,uk contemporary r&b,urban contemporary",0.477,0.61,11,-5.628,0,0.144,0.225,0,0.107,0.358,79.882,4
2EEmSQhXjUuy3VTDIe2s04,"02kJSzxNuaWGqwubyUba0Z,0GG2cWaonE4JPrjcCCQ1EG,7qevodTHcV0rtg9O7ih6nn","No Less","The Beautiful & Damned (Deluxe Edition)","G-Eazy,SG Lewis,Louis Mattrs",2020-12-18,250640,25,spotify:user:jonxjmn,2021-02-05T02:05:09Z,"indie pop rap,oakland hip hop,pop,pop rap,rap,edm,indie soul,uk dance,uk contemporary r&b",0.632,0.49,11,-7.386,0,0.286,0.566,0,0.0985,0.178,93.979,4
4SqPtAd2irUOyLoLcOFtkl,"1ybINI1qPiFbwDXamRtwxD,7iRauMPdOJBF3RiDHKrXTB","I Deserve (w/ NOS.)","I Deserve (w/ NOS.)","Smino,NOS.",2021-11-11,162858,58,spotify:user:g_eazy,2022-02-14T22:29:13Z,"hip hop,rap,underground hip hop",0.763,0.484,7,-7.482,0,0.141,0.0721,0,0.245,0.6,145.058,4
3DgoM4s0T7VoHEQkp3xUsW,"02kJSzxNuaWGqwubyUba0Z,3BkE65DVH2NZSDQa6ZszcJ","Mama Always Told Me","The Beautiful & Damned","G-Eazy,Madison Love",2017-12-15,191013,47,spotify:user:jonxjmn,2021-02-05T02:05:09Z,"indie pop rap,oakland hip hop,pop,pop rap,rap",0.747,0.714,6,-5.123,0,0.14,0.0169,0,0.138,0.461,144.969,4
2Q3jFbyE61mCjS3SkW4toJ,"3TVXtAsR1Inumwj472S9r4","Race My Mind","Certified Lover Boy","Drake",2021-09-03,269883,67,spotify:user:g_eazy,2022-02-14T22:30:41Z,"canadian hip hop,canadian pop,hip hop,rap,toronto rap",0.488,0.635,10,-7.19,1,0.26,0.179,0.00000816,0.156,0.783,174.072,4
3GHVwyXywVrxAJuqTGxUUM,"1nsdnHv49z0H5oPj3sJ3to,02kJSzxNuaWGqwubyUba0Z,5oUvJ4GGen3ikQjzgPuGal","Who You Loving? (feat. G-Eazy & Rahky)","Who You Loving? (feat. G-Eazy & Rahky)","DreamDoll,G-Eazy,Rahky",2020-02-13,190005,30,spotify:user:jonxjmn,2021-02-05T02:05:09Z,"escape room,hip pop,pop r&b,trap queen,viral rap,indie pop rap,oakland hip hop,pop,pop rap,rap",0.573,0.747,11,-4.558,0,0.196,0.275,0,0.147,0.43,97.327,4
6qY4SYsByMNcrhVjSMd0Ow,"4qXC0i02bSFstECuXP2ZpL","Wrong or Right","No Love Lost","Blxst",2020-09-04,163200,52,spotify:user:g_eazy,2022-02-14T22:37:22Z,"pop rap",0.752,0.529,6,-4.924,1,0.251,0.474,0.00000236,0.102,0.455,100.132,4
3eqfEoBJPQDlUZQzOP0cly,"02kJSzxNuaWGqwubyUba0Z","Complete","These Things Happen","G-Eazy",2014-06-20,188920,45,spotify:user:jonxjmn,2021-02-05T02:05:09Z,"indie pop rap,oakland hip hop,pop,pop rap,rap",0.615,0.549,2,-7.34,1,0.112,0.00954,0.000101,0.109,0.123,144.099,4
5B0kgjHULYJhAQkK5XsMoC,"4V8LLVI7PbaPR0K2TGSxFF,7wlFDEWiM5OoIAt8RSli8b,7c0XG5cIJTrrAgEC3ULPiq","WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign)","CALL ME IF YOU GET LOST","Tyler, The Creator,YoungBoy Never Broke Again,Ty Dolla $ign",2021-06-25,121572,75,spotify:user:g_eazy,2022-02-14T22:52:04Z,"hip hop,rap,baton rouge rap,trap,dance pop,pop,pop rap,r&b,southern hip hop,trap soul",0.493,0.653,0,-5.666,0,0.0466,0.269,0,0.511,0.852,142.347,4
14Q3OrXMvSTCJvqeSNXovU,"6kq4GHwUcUojGIu0ziSNXf,02kJSzxNuaWGqwubyUba0Z","Nadie Como Tu","Nadie Como Tu","Amenazzy,G-Eazy",2019-12-06,177327,34,spotify:user:jonxjmn,2021-02-05T02:05:09Z,"dominican pop,latin hip hop,rap dominicano,reggaeton,reggaeton flow,trap latino,indie pop rap,oakland hip hop,pop,pop rap,rap",0.694,0.842,2,-4.91,1,0.0624,0.147,0.00000105,0.261,0.753,105.02,4
