Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4qjLvvBh5ZeKEPyShKRf06,"6auWB5YAlcKaHyrbTH66nd,3mIj9lX2MWuHmhNCA7LSCW","Narcissist (feat. The 1975)","RIP Indo Hisashi","No Rome,The 1975",2018-08-28,195501,65,spotify:user:,2019-12-03T23:01:00Z,"indietronica,modern alternative rock,modern rock,pop,rock",0.543,0.682,3,-5.81,1,0.113,0.218,0.00000153,0.085,0.424,179.969,4
0Rx0DJI556Ix5gBny6EWmn,"4GvEc3ANtPPjt1ZJllr5Zl","Paradise","Soul Searching","Bazzi",2019-08-09,169038,73,spotify:user:,2019-12-03T23:01:00Z,"dance pop,electropop,pop",0.844,0.644,11,-6.273,0,0.0479,0.0828,0,0.113,0.591,122.061,4
0w5Bdu51Ka25Pf3hojsKHh,"74XFHRwlV6OrjEM0A2NCMF","Hard Times","After Laughter","Paramore",2017-05-12,182693,74,spotify:user:,2019-12-03T23:01:00Z,"candy pop,pixie,pop emo,pop punk",0.695,0.818,5,-5.379,0,0.0334,0.00647,0.00000487,0.0219,0.916,119.965,4
6r3duEAfFTH83DuoywkG20,"5JZ7CnR6gTvEMKX4g70Amv","Feelings","~how i'm feeling~","Lauv",2020-03-06,189906,62,spotify:user:,2019-12-03T23:01:00Z,"dance pop,electropop,pop",0.7,0.394,9,-8.911,1,0.0328,0.0567,0,0.0801,0.241,103.041,4
3GCdLUSnKSMJhs4Tj6CV3s,"2YZyLoL8N0Wb9xBt1NhZWg,7tYKF4w9nC0nq9CsPZTHyP","All The Stars (with SZA)","Black Panther The Album Music From And Inspired By","Kendrick Lamar,SZA",2018-02-09,232186,83,spotify:user:,2019-12-03T23:01:00Z,"conscious hip hop,hip hop,rap,west coast rap,pop,r&b",0.698,0.633,8,-4.946,1,0.0597,0.0605,0.000194,0.0926,0.552,96.924,4
4tERsdVCLtLtrGdFBf9DGC,"6Dd3NScHWwnW6obMFbl1BH","New","New","Daya",2017-10-11,230879,63,spotify:user:,2019-12-03T23:01:00Z,"alt z,dance pop,edm,electropop,pop,pop dance,post-teen pop,tropical house",0.715,0.742,0,-4.331,1,0.0347,0.052,0.0000247,0.364,0.322,106.971,4
3afkJSKX0EAMsJXTZnDXXJ,"3WGpXCj9YhhfX11TToZcXP","Strawberries & Cigarettes","Strawberries & Cigarettes","Troye Sivan",2018-03-16,201538,81,spotify:user:,2019-12-03T23:01:00Z,"australian pop,dance pop,pop,viral pop",0.578,0.537,9,-8.676,1,0.0832,0.162,0,0.076,0.25,83.909,4
4lIxdJw6W3Fg4vUIYCB0S5,"06HL4z0CvFAxyc27GXpf02","Style","1989","Taylor Swift",2014-10-27,231000,74,spotify:user:,2019-12-03T23:01:00Z,"pop",0.598,0.786,2,-5.572,1,0.0383,0.00253,0.0016,0.117,0.456,95.019,4
5C0ivQMxes2lWuOANhvVAm,"7xX15v6ahAkcT14kHfB9wB,4obzFoKoKRHIphyHzJ35G3,2YFBOR9KIxC6WqHclkj9Yq,6Xg22wJOAcnvPUfk5WvODH,6I3MElirhT5t6Kf7p0hGk9,1igl9M102nuD96lo3ZoW5d,47mIJdHORyRerp4os813jD","GIANTS","GIANTS","True Damage,Becky G,Keke Palmer,전소연,Duckwrth,Thutmose,League of Legends",2019-11-10,191720,66,spotify:user:,2019-12-03T23:01:00Z,"k-rap,dance pop,latin pop,latin viral pop,pop,rap latina,reggaeton,pop r&b,post-teen pop,r&b,k-pop,alternative r&b,indie r&b,indie soul,underground hip hop,speedrun,video game music",0.642,0.683,1,-5.386,1,0.262,0.0834,0,0.155,0.584,154.881,4
6Hgh47WXVKtXN5zGOu0hjI,"6LuN9FCkKOj5PcnpouEgny,4IVAbR2w4JJNJDDRFP3E83,7c0XG5cIJTrrAgEC3ULPiq","OTW","OTW","Khalid,6LACK,Ty Dolla $ign",2018-04-20,263013,72,spotify:user:,2019-12-03T23:01:00Z,"pop,pop r&b,atl hip hop,hip hop,melodic rap,r&b,rap,trap,dance pop,pop rap,southern hip hop,trap soul",0.652,0.678,2,-6.183,1,0.0541,0.183,0.0000326,0.106,0.28,72.989,4
3SXXFIZel1VQQ4ENiqozxi,"74XFHRwlV6OrjEM0A2NCMF","Still into You","Paramore (Deluxe Edition)","Paramore",2013-04-09,216013,67,spotify:user:,2019-12-03T23:01:00Z,"candy pop,pixie,pop emo,pop punk",0.602,0.923,5,-3.763,1,0.044,0.0098,0,0.0561,0.765,136.01,4
2RNsweBBb1a6tAHXQtt2xH,"5JZ7CnR6gTvEMKX4g70Amv,1zNqDE7qDGCsyzJwohVaoX","fuck, i'm lonely","~how i'm feeling~","Lauv,Anne-Marie",2020-03-06,198973,61,spotify:user:,2019-12-03T23:01:00Z,"dance pop,electropop,pop,pop dance,post-teen pop,tropical house,uk pop",0.809,0.547,9,-7.305,1,0.0614,0.452,0,0.054,0.718,94.992,4
5OCJzvD7sykQEKHH7qAC3C,"66CXWjxzNUsdJxJ2JdwvnR","God is a woman","Sweetener","Ariana Grande",2018-08-17,197546,79,spotify:user:,2019-12-03T23:01:00Z,"dance pop,pop",0.602,0.658,1,-5.934,1,0.0558,0.0233,0.00006,0.237,0.268,145.031,4
21jGcNKet2qwijlDFuPiPb,"246dkjvS1zLTtiykXe5h60","Circles","Hollywood's Bleeding","Post Malone",2019-09-06,215280,85,spotify:user:,2019-12-03T23:01:00Z,"dfw rap,melodic rap,rap",0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,4
2z4U9d5OAA4YLNXoCgioxo,"0p4nmQO2msCgU4IF37Wi3j","What the Hell","Goodbye Lullaby (Expanded Edition)","Avril Lavigne",2011-03-08,220706,73,spotify:user:,2019-12-03T23:01:00Z,"canadian pop,candy pop,dance pop,pop,post-teen pop",0.578,0.926,6,-3.689,0,0.0548,0.00472,0.0127,0.14,0.877,149.976,4
2yLa0QULdQr0qAIvVwN6B5,"06HL4z0CvFAxyc27GXpf02","...Ready For It?","reputation","Taylor Swift",2017-11-10,208186,75,spotify:user:,2019-12-03T23:01:00Z,"pop",0.613,0.764,2,-6.509,1,0.136,0.0527,0,0.197,0.417,160.015,4
2tpfxAXiI52znho4WE3XFA,"4NHQUGzhtTLFvgF5SZesLK","Talking Body","Queen Of The Clouds","Tove Lo",2014-09-24,238426,66,spotify:user:,2019-12-03T23:01:00Z,"dance pop,electropop,metropopolis,pop,swedish electropop,swedish pop,swedish synthpop",0.736,0.761,4,-5.449,0,0.0338,0.0966,0,0.0823,0.114,119.999,4
5hc71nKsUgtwQ3z52KEKQk,"3mIj9lX2MWuHmhNCA7LSCW","Somebody Else","I like it when you sleep, for you are so beautiful yet so unaware of it","The 1975",2016-02-26,347520,72,spotify:user:,2019-12-03T23:01:00Z,"modern alternative rock,modern rock,pop,rock",0.61,0.788,0,-5.724,1,0.0585,0.195,0.0142,0.153,0.472,101.045,4
4OafepJy2teCjYJbvFE60J,"66CXWjxzNUsdJxJ2JdwvnR","breathin","Sweetener","Ariana Grande",2018-08-17,198160,72,spotify:user:,2019-12-03T23:01:00Z,"dance pop,pop",0.568,0.656,8,-5.413,1,0.0433,0.0211,0.0000137,0.213,0.364,100.049,4
6mXdCcFnPKQznj4CmMRmHC,"5JZ7CnR6gTvEMKX4g70Amv,49tQo2QULno7gxHutgccqF","Mean It","~how i'm feeling~","Lauv,LANY",2020-03-06,232853,64,spotify:user:,2019-12-03T23:01:00Z,"dance pop,electropop,pop,la pop",0.747,0.45,7,-8.543,1,0.0919,0.0407,0,0.17,0.329,96.001,4
6zeeWid2sgw4lap2jV61PZ,"6LuN9FCkKOj5PcnpouEgny","Better","Suncity","Khalid",2018-10-18,229320,77,spotify:user:,2019-12-03T23:01:00Z,"pop,pop r&b",0.596,0.552,0,-10.278,0,0.097,0.0765,0.334,0.104,0.112,97.949,4
0rKtyWc8bvkriBthvHKY8d,"3MZsBdqDrRTJihTHQrO6Dq","SLOW DANCING IN THE DARK","BALLADS 1","Joji",2018-10-26,209273,84,spotify:user:,2019-12-03T23:01:00Z,"viral pop",0.515,0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,88.964,4
6xsEAm6w9oMQYYg3jkEkMT,"06HL4z0CvFAxyc27GXpf02,2YZyLoL8N0Wb9xBt1NhZWg","Bad Blood","Bad Blood","Taylor Swift,Kendrick Lamar",2015-05-17,200106,72,spotify:user:,2019-12-03T23:01:00Z,"pop,conscious hip hop,hip hop,rap,west coast rap",0.654,0.655,11,-7.388,0,0.106,0.0294,0,0.139,0.221,170.16,4
424ml6U1wmEarzw26uDtCS,"3mIj9lX2MWuHmhNCA7LSCW","Heart Out","The 1975 (Deluxe Version)","The 1975",2013,202296,53,spotify:user:,2019-12-03T23:01:00Z,"modern alternative rock,modern rock,pop,rock",0.705,0.83,2,-4.918,1,0.0274,0.00814,0.00135,0.0762,0.885,118.446,4
3ZCTVFBt2Brf31RLEnCkWJ,"6qqNVTkY8uBg9cP3Jd7DAH","everything i wanted","everything i wanted","Billie Eilish",2019-11-13,245425,84,spotify:user:,2019-12-03T23:01:00Z,"art pop,electropop,pop",0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,4
4l0Mvzj72xxOpRrp6h8nHi,"0C8ZW7ezQVs4URX5aX7Kqx","Lose You To Love Me","Rare","Selena Gomez",2020-01-10,206458,81,spotify:user:,2019-12-03T23:01:00Z,"dance pop,pop,post-teen pop",0.488,0.343,4,-8.985,1,0.0436,0.556,0,0.21,0.0978,102.819,4
3xaugmCyXrVkrDTXbFkMW3,"3MZsBdqDrRTJihTHQrO6Dq","Sanctuary","Sanctuary","Joji",2019-06-14,180018,64,spotify:user:,2019-12-03T23:01:00Z,"viral pop",0.552,0.65,1,-7.199,1,0.128,0.422,0.000275,0.372,0.316,167.788,4
5p7ujcrUXASCNwRaWNHR1C,"26VFTg2z8YR0cCuwLzESi2","Without Me","Without Me","Halsey",2018-10-04,201660,77,spotify:user:,2019-12-03T23:01:00Z,"dance pop,electropop,etherpop,indie poptimism,pop",0.752,0.488,6,-7.05,1,0.0705,0.297,0.00000911,0.0936,0.533,136.041,4
3D110t9ctcoOoylXsc3iR8,"49tQo2QULno7gxHutgccqF","Thick And Thin","Malibu Nights","LANY",2018-10-05,212002,69,spotify:user:,2019-12-03T23:01:00Z,"la pop,pop",0.697,0.551,5,-6.179,0,0.0282,0.059,0,0.0762,0.339,99.996,4
6EJiVf7U0p1BBfs0qqeb1f,"6sFIWsNpZYqfjUpaCgueju","Cut To The Feeling","Cut To The Feeling","Carly Rae Jepsen",2017-05-26,207959,63,spotify:user:,2019-12-03T23:01:00Z,"canadian pop,dance pop,electropop,pop,post-teen pop",0.71,0.909,2,-2.777,1,0.0639,0.0135,0.00123,0.303,0.648,115.001,4
7LpMG3AEaIJgs62HQhAa91,"5JZ7CnR6gTvEMKX4g70Amv,3WGpXCj9YhhfX11TToZcXP","i'm so tired...","~how i'm feeling~","Lauv,Troye Sivan",2020-03-06,162586,67,spotify:user:,2019-12-03T23:01:00Z,"dance pop,electropop,pop,australian pop,viral pop",0.548,0.735,11,-7.572,1,0.236,0.173,0,0.195,0.498,101.252,4
6jg5SRvdGxvJ0DzNV0UqEK,"2KsP6tYLJlTBvSUxnwlVWa","Please Don't Go","31 Minutes to Takeoff","Mike Posner",2010-08-09,196813,67,spotify:user:,2019-12-03T23:01:00Z,"dance pop,edm,pop,pop rap",0.699,0.882,4,-3.896,0,0.0311,0.00296,0.0544,0.13,0.657,120.016,4
2x0WlnmfG39ZuDmstl9xfX,"06HL4z0CvFAxyc27GXpf02,6eUKZXaKkcviH0Ku9w2n3V,1RyvyyTE3xzB2ZywiAwp0i","End Game","reputation","Taylor Swift,Ed Sheeran,Future",2017-11-10,244826,73,spotify:user:,2019-12-03T23:01:00Z,"pop,uk pop,atl hip hop,hip hop,rap,southern hip hop,trap",0.649,0.589,2,-6.237,1,0.0558,0.00845,0,0.108,0.151,159.073,4
3yrvQHw6pQemsrCQEpMnKv,"74XFHRwlV6OrjEM0A2NCMF","Ain't It Fun","Paramore (Deluxe Edition)","Paramore",2013-04-09,296520,64,spotify:user:,2019-12-03T23:01:00Z,"candy pop,pixie,pop emo,pop punk",0.61,0.893,9,-3.681,1,0.0921,0.154,0.0000441,0.021,0.673,104.031,4
60wwxj6Dd9NJlirf84wr2c,"2qxJFvFYMEDqd7ui6kSAcq,7qRll6DYV06u2VuRPAVqug","Clarity","Clarity","Zedd,Foxes",2012-01-01,271426,75,spotify:user:,2019-12-03T23:01:00Z,"complextro,dance pop,edm,electro house,electropop,german techno,pop,pop dance,pop rap,post-teen pop,tropical house,indie poptimism,metropopolis,uk pop",0.509,0.781,8,-3.48,1,0.072,0.0398,0,0.0749,0.176,128,4
5Gu0PDLN4YJeW75PpBSg9p,"5p7f24Rk5HkUZsaS3BLG5F,4AVFqumd2ogHFlRbKIjp1t,3b8QkneNDz4JHKKKlLgYZg,4olE3I5QU0dvSR7LIpqTXc","Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld,Alesso,Florida Georgia Line,WATT",2017-09-08,174800,76,spotify:user:,2019-12-03T23:01:00Z,"dance pop,pop,post-teen pop,edm,electro house,pop dance,tropical house,contemporary country,country,country pop,country road,modern country rock,modern alternative rock",0.664,0.708,8,-4.154,1,0.0474,0.0337,0,0.0841,0.742,103.07,4
6b2RcmUt1g9N9mQ3CbjX2Y,"2wY79sveU1sp5g7SokKOiI","How Do You Sleep?","How Do You Sleep?","Sam Smith",2019-07-19,202204,74,spotify:user:,2019-12-03T23:01:00Z,"dance pop,pop,uk pop",0.477,0.682,1,-4.931,0,0.0925,0.153,0,0.0763,0.345,110.567,5
4NBTZtAt1F13VvlSKe6KTl,"69GGBxA162lTqCwzJG5jLp,3RqBeV12Tt7A8xH3zBDDUF","This Feeling","Sick Boy","The Chainsmokers,Kelsea Ballerini",2018-12-14,197946,72,spotify:user:,2019-12-03T23:01:00Z,"dance pop,edm,electropop,pop,pop dance,tropical house,contemporary country,country",0.575,0.571,1,-7.906,1,0.0439,0.0558,0,0.0912,0.449,105.049,4
5ZpIsCmJtMAyTvz8Z3bGXX,"5JZ7CnR6gTvEMKX4g70Amv,0ZED1XzwlLHW4ZaG4lOT6m","There's No Way","There's No Way","Lauv,Julia Michaels",2018-09-27,174860,63,spotify:user:,2019-12-03T23:01:00Z,"dance pop,electropop,pop,alt z,post-teen pop",0.755,0.625,2,-7.114,1,0.0897,0.49,0,0.157,0.374,147.022,4
0t3ZvGKlmYmVsDzBJAXK8C,"246dkjvS1zLTtiykXe5h60,50co4Is1HCEo8bhOyUWKpn","Goodbyes (feat. Young Thug)","Hollywood's Bleeding","Post Malone,Young Thug",2019-09-06,174853,79,spotify:user:,2019-12-03T23:01:00Z,"dfw rap,melodic rap,rap,atl hip hop,atl trap,gangster rap,hip hop,pop rap,southern hip hop,trap",0.548,0.653,5,-3.875,1,0.081,0.456,0,0.103,0.163,150.068,4
