Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4mGdjNMo0RonTlOEb7cYg4,"6Ad91Jof8Niiw0lGLLi3NW,26VFTg2z8YR0cCuwLzESi2,4exLIFE8sISLr28sqG1qNX","11 Minutes (with Halsey feat. Travis Barker)","11 Minutes (with Halsey feat. Travis Barker)","YUNGBLUD,Halsey,Travis Barker",2019-02-14,239507,65,spotify:user:,2019-12-06T17:10:56Z,"british indie rock,modern rock,rock,dance pop,electropop,etherpop,indie poptimism,pop,rap rock",0.464,0.852,11,-3.804,1,0.067,0.0116,0,0.108,0.233,160.075,4
6WmIyn2fx1PKQ0XDpYj4VR,"3mIj9lX2MWuHmhNCA7LSCW","Love It If We Made It","A Brief Inquiry Into Online Relationships","The 1975",2018-11-30,252925,70,spotify:user:,2019-12-06T17:10:56Z,"modern alternative rock,modern rock,pop,rock",0.472,0.745,4,-5.297,1,0.0356,0.000607,0.0000274,0.0957,0.0631,180.06,4
0Rx0DJI556Ix5gBny6EWmn,"4GvEc3ANtPPjt1ZJllr5Zl","Paradise","Soul Searching","Bazzi",2019-08-09,169038,73,spotify:user:,2019-12-06T17:10:56Z,"dance pop,electropop,pop",0.844,0.644,11,-6.273,0,0.0479,0.0828,0,0.113,0.591,122.061,4
0w5Bdu51Ka25Pf3hojsKHh,"74XFHRwlV6OrjEM0A2NCMF","Hard Times","After Laughter","Paramore",2017-05-12,182693,74,spotify:user:,2019-12-06T17:10:56Z,"candy pop,pixie,pop emo,pop punk",0.695,0.818,5,-5.379,0,0.0334,0.00647,0.00000487,0.0219,0.916,119.965,4
2BKvuUNunH9q9UoQhaDLmJ,"65ZzuNL3HmtwhF9akIKXuJ","Scenery","Scenery","YAØ",2018-09-28,222178,50,spotify:user:,2019-12-06T17:10:56Z,"chill r&b,singaporean pop",0.682,0.467,2,-9.94,0,0.0314,0.392,0,0.145,0.853,101.019,4
0lnIJmgcUpEpe4AZACjayW,"6vWDO969PvNqNYHIOW5v0m","Sorry","Lemonade","Beyoncé",2016-04-23,232560,66,spotify:user:,2019-12-06T17:10:56Z,"dance pop,pop,r&b",0.775,0.598,2,-7.274,1,0.0535,0.00175,0.00000444,0.253,0.356,129.988,4
3RBluWmSoG2pGA1OePzGJI,"06HL4z0CvFAxyc27GXpf02","The Story Of Us","Speak Now","Taylor Swift",2010-10-25,265666,64,spotify:user:,2019-12-06T17:10:56Z,"pop",0.543,0.818,4,-3.611,1,0.0398,0.00478,0.000368,0.0357,0.683,139.898,4
6r3duEAfFTH83DuoywkG20,"5JZ7CnR6gTvEMKX4g70Amv","Feelings","~how i'm feeling~","Lauv",2020-03-06,189906,62,spotify:user:,2019-12-06T17:10:56Z,"dance pop,electropop,pop",0.7,0.394,9,-8.911,1,0.0328,0.0567,0,0.0801,0.241,103.041,4
3GCdLUSnKSMJhs4Tj6CV3s,"2YZyLoL8N0Wb9xBt1NhZWg,7tYKF4w9nC0nq9CsPZTHyP","All The Stars (with SZA)","Black Panther The Album Music From And Inspired By","Kendrick Lamar,SZA",2018-02-09,232186,83,spotify:user:,2019-12-06T17:10:56Z,"conscious hip hop,hip hop,rap,west coast rap,pop,r&b",0.698,0.633,8,-4.946,1,0.0597,0.0605,0.000194,0.0926,0.552,96.924,4
1EHfG6HquheDlq2mbAdarU,"6WK3Qxj1lGo2lr8d7y2fZM","Hold On To Me","Hold On To Me","MJ Kuok",2017-04-21,164835,39,spotify:user:,2019-12-06T17:10:56Z,"pop edm,singaporean electronic,singaporean pop",0.496,0.742,6,-7.866,1,0.128,0.0143,0.263,0.106,0.16,182.151,4
7y9iMe8SOB6z3NoHE2OfXl,"26VFTg2z8YR0cCuwLzESi2","Bad At Love","hopeless fountain kingdom (Deluxe)","Halsey",2017-06-02,181279,73,spotify:user:,2019-12-06T17:10:56Z,"dance pop,electropop,etherpop,indie poptimism,pop",0.675,0.751,0,-3.539,1,0.0296,0.0604,0,0.0893,0.612,118.384,4
0oTyoTKEKMdF3rXcOLyEfN,"3WGpXCj9YhhfX11TToZcXP","Bloom","Bloom","Troye Sivan",2018-08-31,222096,58,spotify:user:,2019-12-06T17:10:56Z,"australian pop,dance pop,pop,viral pop",0.708,0.701,0,-5.196,1,0.0328,0.031,0,0.392,0.504,120.932,4
4lIxdJw6W3Fg4vUIYCB0S5,"06HL4z0CvFAxyc27GXpf02","Style","1989","Taylor Swift",2014-10-27,231000,74,spotify:user:,2019-12-06T17:10:56Z,"pop",0.598,0.786,2,-5.572,1,0.0383,0.00253,0.0016,0.117,0.456,95.019,4
2RNsweBBb1a6tAHXQtt2xH,"5JZ7CnR6gTvEMKX4g70Amv,1zNqDE7qDGCsyzJwohVaoX","fuck, i'm lonely","~how i'm feeling~","Lauv,Anne-Marie",2020-03-06,198973,61,spotify:user:,2019-12-06T17:10:56Z,"dance pop,electropop,pop,pop dance,post-teen pop,tropical house,uk pop",0.809,0.547,9,-7.305,1,0.0614,0.452,0,0.054,0.718,94.992,4
05mAIVLkIWc2d1UBYZBCp8,"25uiPmTg16RbhZWAqwLBy5,3WGpXCj9YhhfX11TToZcXP","1999","1999","Charli XCX,Troye Sivan",2018-10-05,189000,59,spotify:user:,2019-12-06T17:10:56Z,"art pop,candy pop,dance pop,electropop,metropopolis,pop,post-teen pop,uk pop,australian pop,viral pop",0.739,0.742,7,-4.586,1,0.0329,0.0227,0.00000139,0.229,0.659,124.016,4
1TnUURhehaoMWKAqQtirm6,"26VFTg2z8YR0cCuwLzESi2","Colors","BADLANDS","Halsey",2015-08-28,249499,66,spotify:user:,2019-12-06T17:10:56Z,"dance pop,electropop,etherpop,indie poptimism,pop",0.512,0.812,1,-4.809,1,0.0617,0.0534,0,0.092,0.521,100.02,4
1v3bR4v6SruaE8efrTUqqp,"6M2wZ9GZgrQXHCFfjv46we,360IAlyVv4PCEVjgyMZrxK","Lost In Your Light (feat. Miguel)","Lost in Your Light (feat. Miguel)","Dua Lipa,Miguel",2017-04-21,203769,60,spotify:user:,2019-12-06T17:10:56Z,"dance pop,pop,uk pop,hip hop,r&b,urban contemporary",0.646,0.772,2,-3.826,1,0.0564,0.000402,0,0.102,0.414,117.097,4
3SXXFIZel1VQQ4ENiqozxi,"74XFHRwlV6OrjEM0A2NCMF","Still into You","Paramore (Deluxe Edition)","Paramore",2013-04-09,216013,67,spotify:user:,2019-12-06T17:10:56Z,"candy pop,pixie,pop emo,pop punk",0.602,0.923,5,-3.763,1,0.044,0.0098,0,0.0561,0.765,136.01,4
2UwJWhNPeYfpTaNbI8MNkJ,"5OCCRySomkXZXoE1JQ5Hkb","Let You Down","Let You Down","GARETH FERNANDEZ",2019-09-06,165490,37,spotify:user:,2019-12-06T17:10:56Z,"singaporean pop",0.703,0.751,6,-4.136,1,0.0412,0.0284,0,0.105,0.341,152.881,4
5OCJzvD7sykQEKHH7qAC3C,"66CXWjxzNUsdJxJ2JdwvnR","God is a woman","Sweetener","Ariana Grande",2018-08-17,197546,79,spotify:user:,2019-12-06T17:10:56Z,"dance pop,pop",0.602,0.658,1,-5.934,1,0.0558,0.0233,0.00006,0.237,0.268,145.031,4
4NiehSBQthimPzRsVeOgCT,"3WGpXCj9YhhfX11TToZcXP","My My My!","Bloom","Troye Sivan",2018-08-31,204726,64,spotify:user:,2019-12-06T17:10:56Z,"australian pop,dance pop,pop,viral pop",0.701,0.458,1,-7.749,1,0.0836,0.00407,0.000151,0.045,0.482,102.967,4
21jGcNKet2qwijlDFuPiPb,"246dkjvS1zLTtiykXe5h60","Circles","Hollywood's Bleeding","Post Malone",2019-09-06,215280,85,spotify:user:,2019-12-06T17:10:56Z,"dfw rap,melodic rap,rap",0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,4
6mXdCcFnPKQznj4CmMRmHC,"5JZ7CnR6gTvEMKX4g70Amv,49tQo2QULno7gxHutgccqF","Mean It","~how i'm feeling~","Lauv,LANY",2020-03-06,232853,64,spotify:user:,2019-12-06T17:10:56Z,"dance pop,electropop,pop,la pop",0.747,0.45,7,-8.543,1,0.0919,0.0407,0,0.17,0.329,96.001,4
6xsEAm6w9oMQYYg3jkEkMT,"06HL4z0CvFAxyc27GXpf02,2YZyLoL8N0Wb9xBt1NhZWg","Bad Blood","Bad Blood","Taylor Swift,Kendrick Lamar",2015-05-17,200106,72,spotify:user:,2019-12-06T17:10:56Z,"pop,conscious hip hop,hip hop,rap,west coast rap",0.654,0.655,11,-7.388,0,0.106,0.0294,0,0.139,0.221,170.16,4
2z4U9d5OAA4YLNXoCgioxo,"0p4nmQO2msCgU4IF37Wi3j","What the Hell","Goodbye Lullaby (Expanded Edition)","Avril Lavigne",2011-03-08,220706,73,spotify:user:,2019-12-06T17:10:56Z,"canadian pop,candy pop,dance pop,pop,post-teen pop",0.578,0.926,6,-3.689,0,0.0548,0.00472,0.0127,0.14,0.877,149.976,4
2zFF6jG5hQArbzcXz3KUWk,"6S2OmqARrzebs0tKUEyXyp","Cool for the Summer","Confident (Deluxe Edition)","Demi Lovato",2015-10-16,214739,64,spotify:user:,2019-12-06T17:10:56Z,"dance pop,pop,post-teen pop",0.583,0.61,5,-5.639,0,0.0382,0.00425,0.000105,0.14,0.336,114.06,4
6zeeWid2sgw4lap2jV61PZ,"6LuN9FCkKOj5PcnpouEgny","Better","Suncity","Khalid",2018-10-18,229320,77,spotify:user:,2019-12-06T17:10:56Z,"pop,pop r&b",0.596,0.552,0,-10.278,0,0.097,0.0765,0.334,0.104,0.112,97.949,4
0rKtyWc8bvkriBthvHKY8d,"3MZsBdqDrRTJihTHQrO6Dq","SLOW DANCING IN THE DARK","BALLADS 1","Joji",2018-10-26,209273,84,spotify:user:,2019-12-06T17:10:56Z,"viral pop",0.515,0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,88.964,4
76D536xRk0FNg9kGPBxgdX,"2XBiI8PjCnjJ3XKWtiKcvc","whoops","whoops","brb.",2019-06-07,147891,32,spotify:user:,2019-12-06T17:10:56Z,"chill r&b,pop,singaporean pop",0.792,0.502,8,-9.575,0,0.177,0.191,0,0.106,0.899,92.486,4
2XWjPtKdi5sucFYtVav07d,"2qxJFvFYMEDqd7ui6kSAcq,6jJ0s89eD6GaHleKKya26X","365","365","Zedd,Katy Perry",2019-02-14,181899,65,spotify:user:,2019-12-06T17:10:56Z,"complextro,dance pop,edm,electro house,electropop,german techno,pop,pop dance,pop rap,post-teen pop,tropical house",0.745,0.693,2,-5.479,0,0.034,0.339,0,0.123,0.248,98.039,4
5p7ujcrUXASCNwRaWNHR1C,"26VFTg2z8YR0cCuwLzESi2","Without Me","Without Me","Halsey",2018-10-04,201660,77,spotify:user:,2019-12-06T17:10:56Z,"dance pop,electropop,etherpop,indie poptimism,pop",0.752,0.488,6,-7.05,1,0.0705,0.297,0.00000911,0.0936,0.533,136.041,4
