Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5J2CHimS7dWYMImCHkEFaJ,"3WrFJ7ztbogyGnTHbHJFl2","A Hard Day's Night - Remastered 2009","A Hard Day's Night (Remastered)","The Beatles",1964-07-10,154200,66,spotify:user:cameronjkyle4,2022-04-27T07:27:41Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",0.59,0.805,0,-6.481,1,0.0371,0.137,0,0.0996,0.797,138.514,4
1zB4vmk8tFRmM9UULNzbLB,"53XhwfbYqKCa1cC15pYq2q","Thunder","Evolve","Imagine Dragons",2017-06-23,187146,84,spotify:user:cameronjkyle4,2022-04-27T07:28:50Z,"modern rock,rock",0.605,0.822,0,-4.833,1,0.0438,0.00671,0.134,0.147,0.288,167.997,4
7990Xs9HQx7FXVIDVPEwj9,"07XSN3sPlIlB2L2XNcTwJw","Rock And Roll All Nite","Dressed To Kill (Remastered Version)","KISS",1975-03-19,168733,0,spotify:user:cameronjkyle4,2022-04-27T07:34:00Z,"album rock,glam rock,hard rock,metal,rock",0.656,0.931,1,-5.827,1,0.0976,0.046,0,0.0543,0.909,144.747,4
0K6yUnIKNsFtfIpTgGtcHm,"2Hkut4rAAyrQxRdof7FVJq","Limelight","Moving Pictures (2011 Remaster)","Rush",1981-02-12,259839,65,spotify:user:cameronjkyle4,2022-04-27T07:34:58Z,"album rock,art rock,canadian metal,classic canadian rock,classic rock,hard rock,metal,progressive rock,rock",0.581,0.854,1,-8.485,0,0.0428,0.00197,0.0013,0.111,0.788,131.18,4
5eYwDBLucWfWI5KsV7oYX2,"4tX2TplrkIP4v05BNC903e","Mary Jane's Last Dance","Anthology: Through The Years","Tom Petty and the Heartbreakers",2000-01-01,272266,0,spotify:user:cameronjkyle4,2022-04-27T07:35:55Z,"album rock,classic rock,folk rock,heartland rock,mellow gold,pop rock,rock,singer-songwriter,soft rock",0.402,0.814,10,-4.954,1,0.14,0.0383,0.00000119,0.266,0.516,170.02,4
2SiXAy7TuUkycRVbbWDEpo,"711MCceyCBcFnzjGY4Q7Un","You Shook Me All Night Long","Back In Black","AC/DC",1980-07-25,210173,80,spotify:user:cameronjkyle4,2022-04-27T07:36:15Z,"australian rock,hard rock,rock",0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361,4
32kgOw8wejH7zUhtXCM8DH,"29kkCKKGXheHuoO829FxWK","More Than a Feeling","Boston","Boston",1976,285133,0,spotify:user:cameronjkyle4,2022-04-27T07:37:15Z,"album rock,classic rock,country rock,hard rock,mellow gold,rock,soft rock",0.377,0.682,7,-8.039,1,0.0299,0.000894,0.00217,0.0504,0.288,108.736,4
4DMKwE2E2iYDKY01C335Uw,"2hl0xAkS2AIRAu23TVMBG1","Carry on Wayward Son","Leftoverture (Expanded Edition)","Kansas",1976,323000,75,spotify:user:cameronjkyle4,2022-04-27T07:38:00Z,"album rock,art rock,classic rock,hard rock,heartland rock,mellow gold,progressive rock,rock,soft rock,symphonic rock",0.482,0.786,7,-5.735,1,0.032,0.00321,0.0000888,0.446,0.793,126.755,4
4CJVkjo5WpmUAKp3R44LNb,"4MVyzYMgTwdP7Z49wAZHx0","Sweet Home Alabama","Second Helping","Lynyrd Skynyrd",1974-04-15,281147,0,spotify:user:cameronjkyle4,2022-04-27T07:38:08Z,"album rock,blues rock,classic rock,country rock,hard rock,mellow gold,rock,southern rock",0.597,0.605,7,-12.013,1,0.0255,0.181,0.000331,0.118,0.886,97.782,4
1lhpxZT57yw5toGJtt8fGE,"485uL27bPomh29R4JmQehQ","Old Time Rock & Roll","Stranger In Town","Bob Seger",1978-05-05,194146,0,spotify:user:cameronjkyle4,2022-04-27T07:38:31Z,"album rock,classic rock,country rock,detroit rock,folk rock,hard rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock",0.713,0.931,6,-2.965,1,0.0394,0.219,0,0.0694,0.963,124.127,4
0J6mQxEZnlRt9ymzFntA6z,"58lV9VcRSjABbAbfWS6skp","Livin' On A Prayer","Slippery When Wet","Bon Jovi",1986-01-01,249293,0,spotify:user:cameronjkyle4,2022-04-27T07:38:47Z,"glam metal,rock",0.534,0.887,0,-3.777,1,0.0345,0.0768,0.0000993,0.325,0.72,122.494,4
3sY6z4pGcxpMwx3W026WtU,"29kkCKKGXheHuoO829FxWK","Peace of Mind","Boston","Boston",1976,303586,0,spotify:user:cameronjkyle4,2022-04-27T07:39:12Z,"album rock,classic rock,country rock,hard rock,mellow gold,rock,soft rock",0.421,0.677,4,-6.183,1,0.0343,0.000989,0.0000965,0.211,0.683,127.67,4
0rmGAIH9LNJewFw7nKzZnc,"58lV9VcRSjABbAbfWS6skp","You Give Love A Bad Name","Slippery When Wet","Bon Jovi",1986-08-16,222706,81,spotify:user:cameronjkyle4,2022-04-27T07:40:05Z,"glam metal,rock",0.541,0.96,0,-2.947,0,0.0505,0.0663,0.00000225,0.344,0.812,122.803,4
43DeSV93pJPT4lCZaWZ6b1,"6biWAmrHyiMkX49LkycGqQ","The Boys Are Back In Town","Jailbreak (Deluxe Edition)","Thin Lizzy",1976,266720,74,spotify:user:cameronjkyle4,2022-04-27T07:41:56Z,"album rock,blues rock,classic rock,hard rock,irish rock,metal,rock",0.445,0.706,8,-9.803,1,0.0461,0.234,0.000252,0.205,0.768,80.823,4
7IhkWF9zpiYKlU7CxHxYT9,"2e53aHBQdCMKWqHDuyJsjC","All Right Now","Fire And Water (Deluxe Edition)","Free",2008-01-01,332906,0,spotify:user:cameronjkyle4,2022-04-27T07:44:11Z,"album rock,art rock,blues rock,british blues,classic rock,country rock,electric blues,folk rock,hard rock,mellow gold,psychedelic rock,rock,symphonic rock",0.766,0.446,2,-13.079,1,0.0867,0.25,0.000704,0.318,0.743,119.774,4
39shmbIHICJ2Wxnk1fPSdz,"3RGLhK1IP9jnYFH4BRFJBS","Should I Stay or Should I Go - Remastered","Combat Rock (Remastered)","The Clash",1982,188986,78,spotify:user:cameronjkyle4,2022-04-27T07:46:08Z,"classic rock,permanent wave,punk,rock",0.743,0.836,2,-6.465,1,0.116,0.0804,0,0.384,0.82,113.375,4
57JVGBtBLCfHw2muk5416J,"1dfeR4HaWDbWqFHLkxsg1d","Another One Bites The Dust - Remastered 2011","The Game (Deluxe Remastered Version)","Queen",1980-06-27,214653,72,spotify:user:cameronjkyle4,2022-04-27T07:46:24Z,"classic rock,glam rock,rock",0.933,0.528,5,-6.472,0,0.162,0.112,0.329,0.163,0.756,109.975,4
54flyrjcdnQdco7300avMJ,"1dfeR4HaWDbWqFHLkxsg1d","We Will Rock You - Remastered 2011","News Of The World (Deluxe Remastered Version)","Queen",1977-10-28,122066,69,spotify:user:cameronjkyle4,2022-04-27T07:46:45Z,"classic rock,glam rock,rock",0.693,0.497,2,-7.316,1,0.119,0.679,0,0.258,0.473,81.308,4
2b9lp5A6CqSzwOrBfAFhof,"6ZLTlhejhndI4Rh53vYhrY","Crazy Train","Blizzard of Ozz (Expanded Edition)","Ozzy Osbourne",1980-09-20,296200,2,spotify:user:cameronjkyle4,2022-04-27T07:47:32Z,"album rock,birmingham metal,hard rock,metal,rock",0.453,0.905,9,-4.001,1,0.115,0.36,0.000569,0.26,0.474,137.571,4
4aVuWgvD0X63hcOCnZtNFA,"0PFtn5NtBbbUNbU9EAmIWF","Hold the Line","Toto","TOTO",1978-10-10,235546,79,spotify:user:cameronjkyle4,2022-04-27T07:49:04Z,"album rock,classic rock,mellow gold,rock,soft rock,yacht rock",0.473,0.898,6,-4.797,0,0.0561,0.00783,0.0618,0.173,0.808,96.556,4
2fICdpdRotwfmGYzvs8Ngf,"27T030eWyCQRmDyuvr1kxY","Rock You Like a Hurricane - 2015 - Remaster","Love At First Sting (Deluxe Edition)","Scorpions",1984-03-27,253666,68,spotify:user:cameronjkyle4,2022-04-27T07:49:47Z,"album rock,german hard rock,german metal,german rock,hard rock,metal,rock",0.402,0.873,4,-3.209,0,0.0586,0.00484,0.000073,0.157,0.684,125.443,4
70Z9t1qhytWtG4cCmmi7mU,"7b85ve82Sh36a3UAx74wut","I Wanna Rock","Stay Hungry","Twisted Sister",1984-05-10,179760,72,spotify:user:cameronjkyle4,2022-04-27T07:53:04Z,"album rock,glam metal,hard rock,metal,rock",0.504,0.911,2,-2.97,1,0.0738,0.00512,0.0123,0.355,0.671,106.244,4
08mG3Y1vljYA6bvDt4Wqkj,"711MCceyCBcFnzjGY4Q7Un","Back In Black","Back In Black","AC/DC",1980-07-25,255493,83,spotify:user:cameronjkyle4,2022-04-27T07:54:56Z,"australian rock,hard rock,rock",0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,4
78lgmZwycJ3nzsdgmPPGNx,"36QJpDe2go2KgaRleHCDTp","Immigrant Song - Remaster","Led Zeppelin III (Remaster)","Led Zeppelin",1970,146250,77,spotify:user:cameronjkyle4,2022-04-27T07:59:13Z,"album rock,classic rock,hard rock,rock",0.564,0.932,11,-10.068,1,0.0554,0.013,0.169,0.349,0.619,112.937,4
2CEgGE6aESpnmtfiZwYlbV,"6MF9fzBmfXghAz953czmBC","Dynamite","The Rokstarr Hits Collection","Taio Cruz",2010-01-01,202613,80,spotify:user:cameronjkyle4,2022-04-27T08:03:04Z,"dance pop,edm,pop,pop rap",0.751,0.783,4,-3.724,1,0.0859,0.00379,0,0.036,0.816,119.975,4
72jCZdH0Lhg93z6Z4hBjgj,"06HL4z0CvFAxyc27GXpf02","I Knew You Were Trouble.","Red","Taylor Swift",2012-10-22,217973,62,spotify:user:cameronjkyle4,2022-04-27T08:03:51Z,"pop",0.622,0.469,3,-6.798,0,0.0363,0.00454,0.00000225,0.0398,0.679,77.019,4
1V6gIisPpYqgFeWbMLI0bA,"6S2OmqARrzebs0tKUEyXyp","Heart Attack","Demi","Demi Lovato",2013-01-01,210840,78,spotify:user:cameronjkyle4,2022-04-27T08:06:28Z,"dance pop,pop,post-teen pop",0.504,0.785,8,-4.802,1,0.104,0.0738,0,0.239,0.502,173.968,4
5WfhXulggG0c6WoVeMPA8N,"06HL4z0CvFAxyc27GXpf02","Shake It Off","1989","Taylor Swift",2014-10-27,219200,0,spotify:user:cameronjkyle4,2022-04-27T08:06:44Z,"pop",0.648,0.785,7,-5.414,1,0.165,0.0561,0,0.148,0.943,160.02,4
2Zj4FUsMtu9PMuJsHbGbdv,"1HY2Jd0NmPuamShAr6KMms","Applause","ARTPOP","Lady Gaga",2013-01-01,212333,0,spotify:user:cameronjkyle4,2022-04-27T08:07:52Z,"art pop,dance pop,pop",0.669,0.78,7,-4.287,0,0.053,0.0265,0.00000163,0.143,0.738,139.945,4
3528IXKpbb7OMjdjWYlbfD,"0RpddSzUHfncUWNJXKOsjy","Everybody Talks","Picture Show (Deluxe Edition)","Neon Trees",2012-01-01,177280,50,spotify:user:cameronjkyle4,2022-04-27T08:08:59Z,"modern alternative rock,modern rock,pop rock,rock",0.471,0.924,8,-3.906,1,0.0586,0.00301,0,0.313,0.725,154.961,4
0afhq8XCExXpqazXczTSve,"6eUKZXaKkcviH0Ku9w2n3V","Galway Girl","÷ (Deluxe)","Ed Sheeran",2017-03-03,170826,78,spotify:user:cameronjkyle4,2022-04-27T08:13:24Z,"pop,uk pop",0.624,0.876,9,-3.374,1,0.1,0.0735,0,0.327,0.781,99.943,4
