Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
27uRFGVGrkUACe5EvS35ah,"4QPLEBNjogoJQeF9dlHM82","Riskyな彼女","REGALITY","十 龍之介 (CV.佐藤拓也)",2017-09-20,251520,31,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"shojo",0.561,0.969,1,-4.344,1,0.0614,0.0112,0,0.13,0.629,129.893,4
767gRjedAWnbUer6ARRS8d,"4pz4uzOMpJQyV8UTsDy4H8","Candy Sugar Pop","Drive to the Starry Road","ASTRO",2022-05-16,169253,61,spotify:user:31sbuni77ic3b7l5rf7iwrd75asq,2022-11-27T20:05:25Z,"k-pop,k-pop boy group",0.802,0.927,1,-2.131,0,0.123,0.182,0,0.364,0.902,115.042,4
43RNah6YA4joZ10LWyBKR3,"11h1iiNftmZ7WB33TYOwXH","DIAMOND FUSION","VARIANT","TRIGGER",2021-06-23,237333,25,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"j-division,shojo",0.633,0.928,8,-4.808,1,0.0815,0.0143,0,0.329,0.701,143.997,4
0a4MMyCrzT0En247IhqZbD,"6HvZYsbFfjnjFrWF950C9d","Hype Boy","NewJeans 1st EP 'New Jeans'","NewJeans",2022-08-01,179026,86,spotify:user:31sbuni77ic3b7l5rf7iwrd75asq,2022-11-27T20:05:25Z,"k-pop,k-pop girl group",0.593,0.935,4,-3.43,0,0.225,0.268,0,0.286,0.783,99.976,4
6kKC35sKUh2FUx4M0qAL44,"4ufh0WuMZh6y4Dmdnklvdl","Candy","Delight - The 2nd Mini Album","백현",2020-05-25,227173,63,spotify:user:31sbuni77ic3b7l5rf7iwrd75asq,2022-11-27T20:05:25Z,"k-pop",0.649,0.767,11,-3.838,0,0.0455,0.24,0,0.0929,0.608,149.918,4
2ttGfRawDPWlkAoXxP5Z72,"2cFrymmkijnjDg9SS92EPM,5JZ7CnR6gTvEMKX4g70Amv","if I were u (with Lauv)","everything means nothing","blackbear,Lauv",2020-08-21,186468,61,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"pop,pop rap,dance pop,electropop",0.666,0.628,8,-5.613,1,0.0623,0.144,0,0.189,0.767,82.992,4
3Wu4lFjkhcXxB6WWaX9gtr,"3qNVuliS40BLgXGxhdBdqu","What Do I Call You","What Do I Call You - The 4th Mini Album","태연",2020-12-15,167746,57,spotify:user:31sbuni77ic3b7l5rf7iwrd75asq,2022-11-27T20:05:25Z,"k-pop,pop",0.75,0.586,11,-4.639,0,0.0674,0.0733,0,0.347,0.835,139.889,4
6ZXVnfb7cIIDxg1DfLCP1M,"0Riv2KnFcLZA3JSVryRg4y","Inferno","「プロメア」オリジナルサウンドトラック","Hiroyuki Sawano",2019-05-24,234053,41,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"anime score,japanese soundtrack",0.603,0.946,9,-3.82,1,0.0334,0.0042,0,0.36,0.793,125.038,4
5hHvFrMnwic82WwRLr4WY0,"181bsRPaVXVlUKXrxwZfHK","Her","Traumazine","Megan Thee Stallion",2022-08-12,137107,73,spotify:user:31sbuni77ic3b7l5rf7iwrd75asq,2022-11-27T20:05:25Z,"dance pop,houston rap,pop,rap,trap queen",0.945,0.848,1,-4.76,1,0.326,0.374,0.0000331,0.101,0.819,119.918,4
1IHWl5LamUGEuP4ozKQSXZ,"4q3ewBCX7sLwd24euuV69X","Tití Me Preguntó","Un Verano Sin Ti","Bad Bunny",2022-05-06,243716,95,spotify:user:31sbuni77ic3b7l5rf7iwrd75asq,2022-11-27T20:05:25Z,"reggaeton,trap latino",0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,4
1cx7kDfiHlvQWwPRNxQrfQ,"4NHQUGzhtTLFvgF5SZesLK","No One Dies From Love","Dirt Femme","Tove Lo",2022-10-14,186018,67,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"dance pop,electropop,metropopolis,pop,swedish electropop,swedish pop,swedish synthpop",0.659,0.803,0,-6.632,1,0.0558,0.0745,0.00000116,0.251,0.339,121.085,4
4C6Uex2ILwJi9sZXRdmqXp,"0hCNtLu0JehylgoiP8L4Gh","Super Freaky Girl","Super Freaky Girl","Nicki Minaj",2022-08-12,170977,88,spotify:user:31sbuni77ic3b7l5rf7iwrd75asq,2022-11-27T20:05:25Z,"dance pop,hip pop,pop,queens hip hop,rap",0.95,0.891,2,-2.653,1,0.241,0.0645,0.0000177,0.309,0.912,133.01,4
6rW38dmMxuSdpS6Krta6kx,"31eyTcfjAke5hFX3az3nRE","Fever","DONGKY TOWN","DKZ",2019-11-06,160853,32,spotify:user:31sbuni77ic3b7l5rf7iwrd75asq,2022-11-27T20:05:25Z,"k-pop,k-pop boy group",0.708,0.869,7,-3.69,0,0.0617,0.00989,0,0.101,0.756,122.981,4
5C5Lvucclqpy3YJwzqbqcY,"72Ozt64MM4zCH8IFFoFsyC","BAD BOYZ - 悪漢奴等 Underground-","Paradox Live 1st album TRAP","悪漢奴等",2021-03-31,193733,29,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"j-division",0.794,0.841,11,-4.783,1,0.205,0.116,0,0.338,0.417,97.991,4
159QdH7BrC64dxXHwRFJJn,"0nB0oiPh9E023bytUvvhnT","Y.O.U","The 1st DONGKIZ Project - DONGKIZ I:KAN 1st single album [Y.O.U]","DONGKIZ I:KAN",2020-07-07,193213,30,spotify:user:31sbuni77ic3b7l5rf7iwrd75asq,2022-11-27T20:05:25Z,"",0.676,0.944,0,-3.027,1,0.115,0.0641,0,0.247,0.65,110.025,4
6OKzjZpcn7VBU15pDETP4a,"28Y1K6WVGuV4SqbjRxcOTC","BURAIKAN is Back","Paradox Live 2nd album LIVE","武雷管",2021-07-21,218213,38,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"",0.729,0.917,6,-6.265,0,0.182,0.335,0.000152,0.793,0.382,98.002,4
7ncPjJBktLEOpstY5JOUMK,"6wxfx1yhyqjCPYwwxJktR2","一途","一途","King Gnu",2021-12-10,190606,70,spotify:user:31sbuni77ic3b7l5rf7iwrd75asq,2022-11-27T20:05:25Z,"j-pop",0.5,0.964,2,-4.19,1,0.124,0.00723,0.000062,0.0557,0.662,159.971,4
3TO4rCwrEgzkH20pG7DK4G,"2ZRQcIgzPCVaT9XKhXZIzh,6CCTvLyIHqUhY6VQizt150,2QeNM65b7IWvK4Ofcqz8cm","After You (feat. Calle Lehmann)","Alive","Gryffin,Jason Ross,Calle Lehmann",2022-11-04,224569,52,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"dance pop,edm,pop,pop dance,tropical house,dubstep,electro house,future bass,melodic dubstep,pop edm,progressive house,progressive trance",0.507,0.805,4,-3.855,1,0.0455,0.0824,0,0.116,0.519,144.986,4
7eVu7FI02cTicLEgVtUvwF,"6SKusTjOAPsTZ6kareKQdm,3DZrLuJOQFKqV2sjMsKb1V,5wrZ59w1ndSBlPeUj2f6Fs,5yyf4YDCKGaa71SC7KRw2L,2P1id80CMwR5R5cwcyIIAi","ZOO","2021 Winter SMTOWN : SMCU EXPRESS","태용,JENO,HENDERY,YANGYANG,GISELLE",2021-12-27,177413,69,spotify:user:31sbuni77ic3b7l5rf7iwrd75asq,2022-11-27T20:05:25Z,"k-pop",0.823,0.923,9,-2.875,1,0.158,0.127,0,0.0571,0.629,122.922,4
4U9EIwcQFvQittYAsZq1HQ,"5TYxZTjIPqKM8K8NuP9woO,3xgpQ8RHWeHY9ARr9xkOpp","Bobo","El Madrileño (La Sobremesa)","C. Tangana,Luis Segura",2022-02-18,160893,53,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"urbano espanol,bachata,bachata dominicana,dominican pop,merengue,tropical",0.826,0.735,11,-4.33,0,0.0383,0.511,0.0000223,0.258,0.828,124.056,4
1vnRt6CigEJlA8W7weKTvI,"6PvScqSJuICxvoA3UDYPmu","Entice Me","PALISADE","JON VINYL",2022-10-14,156874,38,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"alternative r&b,canadian contemporary r&b,chill r&b,indie r&b",0.781,0.548,3,-6.75,0,0.0543,0.599,0.0000775,0.141,0.486,119.878,4
59kfMcUIck0QQaMLsFZK6g,"6y9nlaoynxSvoTGY09Vdcy","Multiply","ONLY LOVERS LEFT","WOODZ",2021-10-05,182040,53,spotify:user:31sbuni77ic3b7l5rf7iwrd75asq,2022-11-27T20:05:25Z,"k-pop,korean r&b",0.502,0.765,5,-5.915,1,0.346,0.0237,0,0.211,0.707,73.012,4
1XsRwo2it6QHdV2OiT6IzF,"3TVXtAsR1Inumwj472S9r4","Tie That Binds","Honestly, Nevermind","Drake",2022-06-17,336005,62,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"canadian hip hop,canadian pop,hip hop,rap,toronto rap",0.775,0.688,4,-10.912,0,0.0593,0.0176,0.0917,0.108,0.284,120.017,4
5q3LwAHTqo9d3rET2EA9Nq,"1AhjOkOLkbHUfcHDSErXQs,6UbmqUEgjLA6jAcXwbM1Z9","The Weekend","The Weekend","88rising,비비",2021-10-14,167661,69,spotify:user:31sbuni77ic3b7l5rf7iwrd75asq,2022-11-27T20:05:25Z,"asian american hip hop,pop,k-pop,korean r&b",0.784,0.521,1,-5.701,1,0.0322,0.062,0.00000475,0.0995,0.817,101.491,4
7EJ7aSNI4Ke3nBvcNoQXUw,"6k9TBCxyr4bXwZ8Y21Kwn1","Aile to Yell","Aile to Yell","TRINITYAiLE",2020-11-15,266545,27,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"shonen",0.575,0.776,11,-6.945,1,0.0422,0.00664,0.000486,0.296,0.513,149.96,4
50YLStfxdkeF2Be01u5YOa,"1kRptkIthrSKhV6OlWEdCq","The beginning of spring","Remember","E'LAST U",2021-05-19,233400,27,spotify:user:31sbuni77ic3b7l5rf7iwrd75asq,2022-11-27T20:05:25Z,"k-pop boy group",0.456,0.823,8,-3.86,0,0.132,0.133,0,0.0727,0.663,170.809,3
6Cu5bXLmBycM6QYOaZP4mN,"1yorjq7rihYVC8Se7eRKps","Color of Drops (feat. 花里みのり&桐谷遥&桃井愛莉&日野森雫&巡音ルカ)","Color of Drops/天使のクローバー","MORE MORE JUMP!",2021-12-15,285666,43,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"",0.614,0.849,0,-5.421,1,0.0384,0.0249,0,0.251,0.851,151.977,4
6zjJo0D4AsE9ZcogcfA687,"1qBsABYUrxg9afpMtyoFKz","Miracle","Universe - The 3rd Album","WayV",2021-12-14,190333,47,spotify:user:31sbuni77ic3b7l5rf7iwrd75asq,2022-11-27T20:05:25Z,"chinese idol pop,k-pop",0.746,0.774,5,-3.39,0,0.0379,0.137,0,0.102,0.815,98.007,4
4fl06NNTcLLXG7XgsxLFki,"2cFrymmkijnjDg9SS92EPM","fuilu","in loving memory","blackbear",2022-08-26,177621,53,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"pop,pop rap",0.607,0.892,8,-1.552,1,0.0624,0.00138,0,0.253,0.827,75.024,4
2pIUpMhHL6L9Z5lnKxJJr9,"6HvZYsbFfjnjFrWF950C9d","Attention","NewJeans 1st EP 'New Jeans'","NewJeans",2022-08-01,180066,84,spotify:user:31sbuni77ic3b7l5rf7iwrd75asq,2022-11-27T20:05:25Z,"k-pop,k-pop girl group",0.811,0.648,10,-3.684,0,0.0368,0.236,0,0.0761,0.695,104.988,4
2qtqIinDwJQzsUofMtkH0D,"1vwwjIPFeYoRfAUCqqO6cZ,6TIYQ3jFPwQSRmorSezPxX","don't sleep, repeat (feat. Machine Gun Kelly)","don't sleep, repeat (feat. Machine Gun Kelly)","44phantom,Machine Gun Kelly",2022-08-19,149160,66,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"emo rap,sad rap,ohio hip hop,pop,pop rap",0.667,0.716,7,-4.463,1,0.0564,0.238,0,0.255,0.412,144.943,4
0O6u0VJ46W86TxN9wgyqDj,"246dkjvS1zLTtiykXe5h60,5cj0lLjcoR7YOSnhnX0Po5","I Like You (A Happier Song) (with Doja Cat)","Twelve Carat Toothache","Post Malone,Doja Cat",2022-06-03,192840,89,spotify:user:31sbuni77ic3b7l5rf7iwrd75asq,2022-11-27T20:05:25Z,"dfw rap,melodic rap,rap,dance pop,pop",0.733,0.67,5,-6.009,1,0.0751,0.121,0,0.121,0.472,100.964,4
3iOK7EbYFLtQyz9jwKIw88,"4NHQUGzhtTLFvgF5SZesLK","Stay Over","Sunshine Kitty","Tove Lo",2019-09-20,189191,43,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"dance pop,electropop,metropopolis,pop,swedish electropop,swedish pop,swedish synthpop",0.639,0.552,6,-6.916,0,0.145,0.547,0,0.0903,0.487,151.426,3
2jdhlW147vLcDNDColQyBu,"3WGpXCj9YhhfX11TToZcXP","STUD","In A Dream","Troye Sivan",2020-08-21,209719,48,spotify:user:31sbuni77ic3b7l5rf7iwrd75asq,2022-11-27T20:05:25Z,"australian pop,dance pop,pop,viral pop",0.563,0.559,5,-7.235,0,0.0636,0.121,0.000106,0.106,0.152,120.103,4
3zmzb7WcCXpEAXq1RtQ7o4,"3Xt3RrJMFv5SZkCfUE8C1J","Icy","Clarity","Kim Petras",2019-06-28,189803,57,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"dance pop,pop,post-teen pop,transpop",0.456,0.688,6,-4.623,0,0.0853,0.0235,0.000266,0.24,0.335,192.929,4
1jPh0c76C5RfbjjBIBZ69P,"0M7GyeyRi2fG8c1LdP4jhi","Deja Vu","First Contact","Lastlings",2020-11-20,230920,40,spotify:user:31sbuni77ic3b7l5rf7iwrd75asq,2022-11-27T20:05:25Z,"edm,vapor soul",0.653,0.816,8,-6.987,0,0.0454,0.141,0.0148,0.14,0.404,105.038,4
3LJxaJZ1W39xaSpniM53k3,"0Riv2KnFcLZA3JSVryRg4y","NEXUS","「プロメア」オリジナルサウンドトラック","Hiroyuki Sawano",2019-05-24,229266,35,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"anime score,japanese soundtrack",0.717,0.936,11,-3.554,0,0.0578,0.0813,0.00000171,0.0988,0.53,110.006,4
4wWXrCe0z1rrNbgjOBxHvF,"31eyTcfjAke5hFX3az3nRE","LUPIN","LUPIN","DKZ",2020-03-15,178920,48,spotify:user:31sbuni77ic3b7l5rf7iwrd75asq,2022-11-27T20:05:25Z,"k-pop,k-pop boy group",0.783,0.838,11,-2.603,0,0.0563,0.118,0,0.417,0.636,107.037,4
1zpEnLXTatOpkqPZOmaWqJ,"72Ozt64MM4zCH8IFFoFsyC","ROWDIEZ - 悪漢奴等 Wanted Vibes-","Paradox Live Stage Battle “VIBES","悪漢奴等",2021-02-24,259693,38,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"j-division",0.786,0.931,4,-3.802,0,0.219,0.11,0,0.339,0.562,116.001,4
483n1AQ8X3rT3ILd2tp9Y7,"3qNVuliS40BLgXGxhdBdqu,28j8lBWDdDSHSSt5oPlsX2","INVU - ZHU Remix","iScreaM Vol.15 : INVU Remixes","태연,ZHU",2022-04-28,219840,26,spotify:user:31sbuni77ic3b7l5rf7iwrd75asq,2022-11-27T20:05:25Z,"k-pop,pop,edm,electro house",0.852,0.734,9,-7.343,1,0.14,0.0152,0.00712,0.102,0.507,122.995,4
6wwmbBoBaFxptJwuvF2QdM,"4ufh0WuMZh6y4Dmdnklvdl","Bungee","Delight - The 2nd Mini Album","백현",2020-05-25,206693,48,spotify:user:31sbuni77ic3b7l5rf7iwrd75asq,2022-11-27T20:05:25Z,"k-pop",0.676,0.758,0,-4.106,1,0.037,0.611,0,0.085,0.552,93.979,4
3zpGPFeUbJyaTtKV0NMBek,"6PvScqSJuICxvoA3UDYPmu","Chance","PALISADE","JON VINYL",2022-10-14,138461,41,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"alternative r&b,canadian contemporary r&b,chill r&b,indie r&b",0.719,0.427,4,-8.675,0,0.059,0.721,0.0000249,0.107,0.412,129.935,3
3byyICTPVU79WZQj6H6m8w,"6y9nlaoynxSvoTGY09Vdcy,36MQil20hjOpG5f52NQ4du","Touché (Feat. MOON)","SET","WOODZ,문수진",2021-03-15,180173,46,spotify:user:31sbuni77ic3b7l5rf7iwrd75asq,2022-11-27T20:05:25Z,"k-pop,korean r&b",0.749,0.499,9,-6.575,0,0.0739,0.0914,0,0.0889,0.52,141.991,4
08TILUAN56HJoS1d9mNRty,"181bsRPaVXVlUKXrxwZfHK","Circles","Good News","Megan Thee Stallion",2020-11-20,170641,55,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"dance pop,houston rap,pop,rap,trap queen",0.842,0.789,6,-8.733,0,0.178,0.0265,0,0.355,0.795,111.113,4
6KKZMSxKhHiAHpDIWV9fU1,"2ZRQcIgzPCVaT9XKhXZIzh,3QJUFtGBGL05vo0kCJZsmT","Glitch In The Simulation (with salem ilese)","Alive","Gryffin,salem ilese",2022-11-04,151030,54,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"dance pop,edm,pop,pop dance,tropical house,modern indie pop",0.492,0.863,1,-4.018,0,0.0975,0.184,0.000627,0.265,0.436,139.819,4
0VES0jpNQEdRpD31gYDIMe,"1Do4bSzfUl0KWL9r1fITu0,6UbmqUEgjLA6jAcXwbM1Z9","LAW (Prod. Czaer)","Street Man Fighter Original Vol.3 (Mission by Rank)","윤미래,비비",2022-09-06,189373,70,spotify:user:31sbuni77ic3b7l5rf7iwrd75asq,2022-11-27T20:05:25Z,"k-pop,korean ost,korean pop,korean r&b",0.756,0.9,2,-4.428,1,0.0843,0.00857,0.000111,0.237,0.55,128.054,4
4vtzbijWEew1JlxamzNUBE,"0bFEOKy3T1knA0g7ZaPnHe","Bleed","Bleed","Connor Kauffman",2022-01-05,145454,62,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"",0.335,0.614,9,-5.737,0,0.137,0.0723,0,0.0773,0.732,82.458,4
6ZiEWet0uFRwWBCEKCQ8rY,"6wxfx1yhyqjCPYwwxJktR2","逆夢","逆夢","King Gnu",2021-12-24,307666,69,spotify:user:31sbuni77ic3b7l5rf7iwrd75asq,2022-11-27T20:05:25Z,"j-pop",0.204,0.708,1,-5.425,1,0.0458,0.442,0,0.319,0.278,83.443,4
5alQl48dNXUGgAMJ92kZhX,"6k9TBCxyr4bXwZ8Y21Kwn1","les plumes","les plumes","TRINITYAiLE",2021-03-15,236979,28,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"shonen",0.57,0.823,0,-5.5,1,0.0426,0.0557,0.0000216,0.218,0.508,159.95,4
4XEr06LFbJW3e6ICaBrfFt,"00OF0nwYaoBSO3AnPVq3vE","Twin Sister","Butterflies","Johnny Stimson",2021-10-08,152658,23,spotify:user:31sbuni77ic3b7l5rf7iwrd75asq,2022-11-27T20:05:25Z,"chill r&b,pop",0.763,0.587,7,-7.659,1,0.176,0.254,0,0.0718,0.501,79.008,4
