Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6t3e2UfHXGVdxXJhPYj6Lg,"1OmJlIsNDkAVfdkmHbvQFM","Montania","Montania","Calma Interiore",2021-09-27,178909,69,spotify:user:,2022-11-11T13:00:19Z,"",0.213,0.0429,6,-28.484,0,0.0413,0.88,0.724,0.105,0.101,69.86,3
6hVsOvinmJAGJJpXxpPhDy,"6fVRZUOhSnwc3dtmooHbkO","Amoralis","Always Wear A Crown","Sheila's Disciples",2021-09-24,253047,66,spotify:user:,2022-11-11T13:00:19Z,"background music",0.14,0.0342,5,-30.638,1,0.0381,0.933,0.955,0.111,0.0436,140.939,3
5uxhwtFzJw9Uf2k3uBNXqT,"3ho5RtJG5r5HUTsUC7ZLSN","Objective","Objective","Olivier Lupin",2021-08-30,103728,66,spotify:user:,2022-11-11T13:00:19Z,"",0.0713,0.0155,0,-36.311,1,0.0542,0.974,0.797,0.106,0.0339,180.455,3
7x1uzRLNvPhvARGaco3nmi,"2jVswK0TYMQNByLwsyYeaS","Glemt Perle","Glemt Perle","Aksel Møller",2022-02-28,253500,65,spotify:user:,2022-11-11T13:00:19Z,"",0.153,0.0383,7,-33.082,1,0.0402,0.953,0.677,0.107,0.0846,136.569,4
2S8zzsvlurouRcb7zbJOz1,"2JG4r9snKhqze9RGKeGEvh","Liberation","Liberation","Nova Issue",2021-05-25,150000,65,spotify:user:,2022-11-11T13:00:19Z,"sleep",0.127,0.0286,5,-31.27,1,0.046,0.951,0.777,0.107,0.114,76.496,3
7k59hF8Vc7Ob9HYO8fnbLF,"06r7F3mEYRJxjksrVsurYJ","Inner Peace","Inner Peace","Sabrina McGregor",2022-01-26,179222,68,spotify:user:,2022-11-11T13:00:19Z,"",0.127,0.00488,5,-35.14,1,0.0478,0.977,0.828,0.115,0.136,146.626,3
4Dduhh8xWr0XCBoVJthchN,"5EvA844VMdq61U5M4Ds0Fk","Lorimor","Lorimor","Savasana",2021-03-11,139548,64,spotify:user:,2022-11-11T13:00:19Z,"sleep",0.202,0.00618,5,-33.929,1,0.0487,0.968,0.957,0.142,0.0601,63.358,3
2kEk2uIKtoJD5r65cH7XBP,"2FZAnYg9alDc7hUebvR9Ph","Silk","Contemplate","Sleepwear",2022-02-07,173219,64,spotify:user:,2022-11-11T13:00:19Z,"",0.168,0.0478,4,-31.896,1,0.0399,0.713,0.812,0.104,0.0317,128.611,4
2mPQlLpYdr2HFROOunOKH4,"0jrRKY6KdJnLLOmF1FPb6p","Flucht","Flucht","Elias Dome",2022-01-27,162500,65,spotify:user:,2022-11-11T13:00:19Z,"",0.212,0.0771,3,-28.135,1,0.0547,0.988,0.874,0.111,0.0387,67.145,4
4HJJh915LuQpMjEO0tFwhx,"20rsbWn7H0xVTJZFCmJ6bc","Finally At Ease","Finally At Ease","Molecular Clouds",2022-05-19,160000,70,spotify:user:,2022-11-11T13:00:19Z,"sleep",0.166,0.00398,4,-34.203,1,0.0515,0.861,0.906,0.112,0.113,128.278,4
2j1IXyTxl3Qhu8orYsj5LP,"6KMc22ewdnaUlXvuijYVaV","Terdiam","Terdiam","Dalkhan Panova",2022-09-11,142491,65,spotify:user:,2022-11-11T13:00:19Z,"",0.17,0.00474,5,-36.589,1,0.0376,0.972,0.857,0.0914,0.0942,68.773,3
3dvvEgqegvTP8lcPzoGn9N,"2UEDhQKWM42g1kvzCE4nOS","Morning Shimmer","Morning Shimmer","Ethérno",2022-10-14,175243,61,spotify:user:,2022-11-11T13:00:19Z,"",0.187,0.0233,1,-31.421,1,0.0496,0.896,0.888,0.108,0.0324,69.891,5
76HJiGoSk8VHXxfrAkyErG,"1J7K4Jr0deYSXtXoUtyp1D","True Calm Trees","Into The Beyond","Sleep Cyclone",2022-10-03,189403,62,spotify:user:,2022-11-11T13:00:19Z,"",0.125,0.00847,3,-33.357,1,0.0374,0.909,0.835,0.107,0.104,85.458,4
252UulLr0Pnwb7adch2Vha,"7cAeiCQXUfj7orfW6pkemk","Entirely","Handwritten","Gabby Laurent",2022-10-13,192309,62,spotify:user:,2022-11-11T13:00:19Z,"",0.179,0.00361,0,-34.399,1,0.0449,0.958,0.721,0.236,0.0395,68.409,3
0KfBm3qkSebxsHoBDCdGXq,"27eOFbWsw1qOMgSaMqR1MM","Schmetterling in der Nacht","Schmetterling in der Nacht","Velpo Sonols",2022-10-14,173856,61,spotify:user:,2022-11-11T13:00:19Z,"sleep",0.236,0.0321,10,-33.176,1,0.0395,0.972,0.78,0.0934,0.0629,66.969,5
2A2PrM5rdbQPHQIaDZnxCu,"3dmTIkKXnIpN7hUc46cyFi","Lucens","Lucens","Tristan Motuo",2022-09-11,138983,65,spotify:user:,2022-11-11T13:00:19Z,"",0.09,0.0231,2,-33.065,1,0.0454,0.976,0.799,0.181,0.138,67.796,4
6tkE2tVrjVPwJvF8fRob7T,"3sD5yaSCD2OZCQGFvIGPDL","Nurture","Nurture","Mirova",2022-09-05,231724,65,spotify:user:,2022-11-11T13:00:19Z,"",0.175,0.0252,0,-29.957,1,0.0435,0.772,0.773,0.103,0.0326,71.577,4
