Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0s0JMUkb2WCxIJsRB3G7Hd,"3whuHq0yGx60atvA2RCVRW","Dear Darlin'","Right Place Right Time (Expanded Edition)","Olly Murs",2012-11-26,206373,59,spotify:user:fzk3ld3tbf3i0o2twrr9pco5o,2021-03-09T00:02:18Z,"dance pop,pop,pop dance,post-teen pop,talent show,uk pop",0.512,0.828,11,-4.672,0,0.0454,0.00627,0.00000873,0.119,0.34,124.021,4
2grjqo0Frpf2okIBiifQKs,"4QQgXkCYTt3BlENzhyNETg","September","The Best Of Earth, Wind & Fire Vol. 1","Earth, Wind & Fire",1978-11-23,215093,81,spotify:user:fzk3ld3tbf3i0o2twrr9pco5o,2021-03-09T00:02:33Z,"disco,funk,jazz funk,quiet storm,soul",0.697,0.832,9,-7.264,1,0.0298,0.168,0.00131,0.269,0.979,125.926,4
58Znl2X9CgsghGUZrkEUr4,"6u17YlWtW4oqFF5Hn9UU79","It Had to Be You (Big Band and Vocals)","When Harry Met Sally... Music From The Motion Picture","Harry Connick, Jr.",1989-07-25,158226,55,spotify:user:fzk3ld3tbf3i0o2twrr9pco5o,2021-03-09T00:02:59Z,"adult standards,contemporary vocal jazz,lounge,vocal jazz",0.543,0.284,5,-13.205,1,0.051,0.683,0,0.101,0.409,125.558,4
0JCfVb2qlq79Q479BUb0jK,"5z1VAFwT35EVvCp1XlZZuL,1GxkXlMwML1oSg5eLPiAz3","Alone Again (Naturally)","Wallflower","Diana Krall,Michael Bublé",2014-10-21,230680,60,spotify:user:fzk3ld3tbf3i0o2twrr9pco5o,2021-03-09T00:03:10Z,"adult standards,contemporary vocal jazz,jazz pop,lounge,vocal jazz,canadian pop",0.608,0.208,5,-11.824,1,0.0316,0.951,0,0.131,0.239,70.9,4
7yED4n2U8RR5LKZVmisiev,"2lolQgalUvZDfp5vvVtTYV","The Way You Look Tonight","Rarities, Outtakes & Other Delights, Vol. 2","Tony Bennett",2012-11-17,203306,60,spotify:user:fzk3ld3tbf3i0o2twrr9pco5o,2021-03-09T00:03:19Z,"adult standards,easy listening,lounge,vocal jazz",0.421,0.0533,0,-22.052,1,0.0405,0.946,0.000437,0.131,0.111,111.996,4
0Cy7wt6IlRfBPHXXjmZbcP,"0X2BH1fck6amBIoJhDVmmJ","Love Me Like You Do","Fifty Shades Freed (Original Motion Picture Soundtrack)","Ellie Goulding",2018-02-09,253520,78,spotify:user:fzk3ld3tbf3i0o2twrr9pco5o,2021-03-09T00:03:30Z,"dance pop,edm,electropop,indietronica,metropopolis,pop,post-teen pop,uk pop",0.489,0.597,5,-6.633,0,0.0292,0.27,0,0.105,0.324,95.012,4
1D4PL9B8gOg78jiHg3FvBb,"06HL4z0CvFAxyc27GXpf02","Love Story","Fearless (Big Machine Radio Release Special)","Taylor Swift",2008-11-11,236266,76,spotify:user:fzk3ld3tbf3i0o2twrr9pco5o,2021-03-09T00:03:39Z,"pop",0.617,0.741,2,-3.97,1,0.0311,0.131,0,0.0772,0.306,118.984,4
06yTQhAX5r2oLGcgmf6GMJ,"71ntzfMcL7IUKeM2nujYNi","A Thousand Years","I Love You for a Thousand Years","Melissa Adams",2013-03-22,284582,17,spotify:user:fzk3ld3tbf3i0o2twrr9pco5o,2021-03-09T00:04:42Z,"",0.5,0.202,10,-12.732,1,0.0307,0.537,0.000108,0.122,0.0958,139.953,3
1Kvbih7Ebm4bkPinpSottk,"10exVja0key0uqUkk6LJRT","Georgia","Dream Your Life Away","Vance Joy",2014-09-05,230506,58,spotify:user:fzk3ld3tbf3i0o2twrr9pco5o,2021-03-09T00:04:50Z,"folk-pop,pop",0.388,0.66,11,-7.372,1,0.0308,0.312,0.000307,0.0943,0.401,143.554,4
1HNkqx9Ahdgi1Ixy2xkKkL,"6eUKZXaKkcviH0Ku9w2n3V","Photograph","x (Deluxe Edition)","Ed Sheeran",2014-06-21,258986,84,spotify:user:fzk3ld3tbf3i0o2twrr9pco5o,2021-03-09T00:04:57Z,"pop,uk pop",0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,4
1Yk0cQdMLx5RzzFTYwmuld,"4dpARuHxo51G3z768sgnrY","Hello","25","Adele",2015-11-20,295502,73,spotify:user:fzk3ld3tbf3i0o2twrr9pco5o,2021-03-09T00:05:08Z,"british soul,pop,pop soul,uk pop",0.578,0.43,5,-6.134,0,0.0305,0.33,0,0.0854,0.288,78.991,4
6ZY1I8AU3LzuuwoQJY5Let,"7ySHyUSqpKzGnDqOxLiCFH","Where It Stays","Careless People","Charlotte OC",2017-03-31,218439,33,spotify:user:fzk3ld3tbf3i0o2twrr9pco5o,2021-03-09T00:05:17Z,"modern alternative pop,uk pop,vapor pop",0.657,0.462,1,-8.87,1,0.0416,0.46,0,0.104,0.148,120.063,4
0TbP1ASV5mBpwpME75LWRA,"5tIkXJTex4JY7cv9mmgAZx,647D92XNDYTUt5A0idePJ4","Carry You","Carry You","Ruelle,Fleurie",2018-03-30,268906,1,spotify:user:fzk3ld3tbf3i0o2twrr9pco5o,2021-03-09T00:05:28Z,"electropop,indie poptimism,metropopolis,pop,nashville singer-songwriter",0.441,0.34,7,-7.367,1,0.0247,0.83,0.00000399,0.107,0.142,78.091,4
7d0bJhpp0mCYyMXaMgWyMS,"7dq8KEwf0kQXJhM79iwcPh","Make You Feel My Love","I Dream of You: CALM","JJ Heller",2018-10-08,171293,56,spotify:user:fzk3ld3tbf3i0o2twrr9pco5o,2021-03-09T00:05:39Z,"ccm,christian alternative rock,christian music,indiecoustica,worship",0.678,0.199,9,-9.785,1,0.0307,0.957,0.00000323,0.0968,0.262,72.006,4
