Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
51Grh1RyUDcMBbpuyUIUHI,"5zVu34ozw0BzXIcNHqkO0u","rises the moon","recently","Liana Flores",2019-04-10,161929,82,spotify:user:e8tojrhy45abw9t154w6wr47h,2021-06-24T20:22:50Z,"indie pop",0.483,0.129,5,-20.149,0,0.0349,0.947,0.145,0.106,0.203,137.35,3
3uhGWxwYdkwzI9vHITtaza,"2WosnSaZPybvQfyGUvD3NX","Fairy Fountain","Ocarina of Time","Super Guitar Bros",2018-02-22,63431,60,spotify:user:e8tojrhy45abw9t154w6wr47h,2021-06-24T20:27:23Z,"vgm instrumental",0.414,0.294,1,-15.648,0,0.043,0.966,0.789,0.0879,0.605,142.951,4
6BGNjTZ8zp9MlsIydBa7A9,"0rFHElzeddB9ymDjgpBENX","For Lovers","For Lovers","Lamp",2004-02-11,75053,64,spotify:user:e8tojrhy45abw9t154w6wr47h,2021-06-24T20:28:00Z,"japanese alternative pop",0.565,0.0522,7,-17.892,1,0.0447,0.975,0.833,0.116,0.586,73.582,4
2UxxDidNYPuTLiMNKBHMiK,"4ftctxasGrW5Ud5Pbw6kWq","January","If I Am Only My Thoughts","Loving",2020-01-31,114211,54,spotify:user:e8tojrhy45abw9t154w6wr47h,2021-06-24T20:28:46Z,"indie garage rock,lo-fi indie,victoria bc indie",0.539,0.621,3,-7.281,1,0.0259,0.834,0.922,0.256,0.696,106.14,4
0XsJ1vRgCSdvtaNj4mWRFj,"4GSLxpwMZclX5BGRoNYLbV,6bmjo06tXOTMUTINIqX4pK","What Falling in Love Feels Like","What Falling in Love Feels Like","Raymond Vergari,Jake25.17",2021-01-01,183485,0,spotify:user:e8tojrhy45abw9t154w6wr47h,2021-06-24T20:29:45Z,"",0.366,0.0813,8,-22.997,0,0.0512,0.991,0.926,0.136,0.0778,75.85,3
6IZF8hi9J6EtFDLQqOlSbu,"7nzSoJISlVJsn7O0yTeMOB","The Flower Garden","Howl's Moving Castle Soundtrack","Joe Hisaishi",2004-11-19,178506,63,spotify:user:e8tojrhy45abw9t154w6wr47h,2021-06-24T20:32:40Z,"anime,anime score,ghibli,japanese classical,japanese soundtrack,orchestral soundtrack",0.0999,0.181,0,-17.599,0,0.0424,0.94,0.888,0.105,0.0922,71.277,4
3Lsdp3mbD27MjxvTeFm0v3,"7nzSoJISlVJsn7O0yTeMOB","You're in Love","Howl's Moving Castle Soundtrack","Joe Hisaishi",2004-11-19,71800,61,spotify:user:e8tojrhy45abw9t154w6wr47h,2021-06-24T20:32:52Z,"anime,anime score,ghibli,japanese classical,japanese soundtrack,orchestral soundtrack",0.526,0.0344,7,-27.855,0,0.11,0.996,0.924,0.118,0.208,67.101,4
7fYiVWu8SxysnAIAiGduXX,"5fsvdsoyuf70KZSQDisJdy","Untitled, Pt. 2","Trippy Summer 2","Cameron Gainley",2020-07-24,282000,0,spotify:user:e8tojrhy45abw9t154w6wr47h,2021-06-24T20:33:39Z,"",0.154,0.339,7,-14.233,1,0.0323,0.976,0.851,0.177,0.0398,134.68,4
7fqz3bC1dYp9stkASdOZZX,"436Ecy1lRhO8CN3v25PNul","Photograph (From Her)","Calm Piano","Stacey Bassetti",2020-03-27,165582,51,spotify:user:e8tojrhy45abw9t154w6wr47h,2021-06-24T20:33:56Z,"",0.228,0.103,5,-24.014,1,0.0489,0.99,0.921,0.0656,0.0762,114.404,3
5YArnxq4lg8JYw7baZQnuE,"1Dot4uMsJMx8n1Xi7gAdV6","The Secret Life Of Daydreams - From Pride & Prejudice Soundtrack","Pride and Prejudice OST","Jean-Yves Thibaudet",2005-01-01,115160,52,spotify:user:e8tojrhy45abw9t154w6wr47h,2021-06-24T20:37:22Z,"classical piano,french classical piano,soundtrack",0.296,0.0213,10,-30.051,1,0.0348,0.969,0.747,0.087,0.174,70.532,4
6QuCKdMsTW8ppnUiFmxJLF,"1Dot4uMsJMx8n1Xi7gAdV6","Liz On Top Of The World - From Pride & Prejudice Soundtrack","Pride and Prejudice OST","Jean-Yves Thibaudet",2005-01-01,82773,54,spotify:user:e8tojrhy45abw9t154w6wr47h,2021-06-24T20:37:41Z,"classical piano,french classical piano,soundtrack",0.217,0.117,3,-21.398,1,0.0374,0.975,0.911,0.0573,0.0388,46.755,3
