Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
62d6YXEYxmMWAuLpw1EysL,"4fxd5Ee7UefO4CUXgwJ7IP","Garden Kisses","Garden Kisses","Giveon",2018-08-08,195405,66,spotify:user:viezdn04tqp6by8pxzcylx5cq,2021-04-21T02:41:00Z,"pop,r&b",0.478,0.373,5,-9.505,1,0.0317,0.915,0.00000636,0.128,0.354,120.129,4
4rHIfYRQw6ittRQXAlurk0,"4fxd5Ee7UefO4CUXgwJ7IP","Favorite Mistake","TAKE TIME","Giveon",2020-03-27,172907,68,spotify:user:viezdn04tqp6by8pxzcylx5cq,2021-04-21T02:41:21Z,"pop,r&b",0.535,0.409,7,-9.517,0,0.0855,0.777,0,0.129,0.138,170.123,4
4mwiRPRAUSSFD6lJ86m98B,"3tlXnStJ1fFhdScmQeLpuG","Stay Down","Sonder Son","Brent Faiyaz",2017-10-13,207325,62,spotify:user:viezdn04tqp6by8pxzcylx5cq,2021-04-21T02:41:25Z,"dmv rap,hip hop,pop,r&b,rap",0.551,0.301,11,-13.065,1,0.111,0.617,0.000011,0.136,0.488,84.695,4
6Nle9hKrkL1wQpwNfEkxjh,"2h93pZq0e7k5yf4dywlkpM","Chanel","Chanel","Frank Ocean",2017-03-10,210285,77,spotify:user:viezdn04tqp6by8pxzcylx5cq,2021-04-21T02:42:06Z,"hip hop,lgbtq+ hip hop,neo soul,pop",0.776,0.503,0,-5.732,0,0.237,0.874,0,0.112,0.473,110.134,4
19YKaevk2bce4odJkP5L22,"2h93pZq0e7k5yf4dywlkpM","Nikes","Blonde","Frank Ocean",2016-08-20,314075,71,spotify:user:viezdn04tqp6by8pxzcylx5cq,2021-04-21T02:42:16Z,"hip hop,lgbtq+ hip hop,neo soul,pop",0.633,0.395,8,-9.638,1,0.0857,0.692,0.000222,0.108,0.123,138.023,4
1hz7SRTGUNAtIQ46qiNv2p,"4V8LLVI7PbaPR0K2TGSxFF","GONE, GONE / THANK YOU","IGOR","Tyler, The Creator",2019-05-17,375386,77,spotify:user:viezdn04tqp6by8pxzcylx5cq,2021-04-21T02:42:37Z,"hip hop,rap",0.518,0.492,10,-8.436,0,0.193,0.216,0.0012,0.146,0.471,78.848,4
2LMkwUfqC6S6s6qDVlEuzV,"2h93pZq0e7k5yf4dywlkpM","White Ferrari","Blonde","Frank Ocean",2016-08-20,248807,77,spotify:user:viezdn04tqp6by8pxzcylx5cq,2021-04-21T02:43:03Z,"hip hop,lgbtq+ hip hop,neo soul,pop",0.501,0.0958,0,-15.605,1,0.0433,0.77,0,0.298,0.204,108.741,4
0PXp9QxBfSKGGpWUNaws2X,"7mDU6nMUJnOSY2Hkjz5oqM,3TVXtAsR1Inumwj472S9r4","Drama (feat. Drake)","Exis","Roy Woods,Drake",2015-07-31,251859,74,spotify:user:viezdn04tqp6by8pxzcylx5cq,2021-04-21T02:43:07Z,"canadian contemporary r&b,canadian hip hop,pop rap,r&b,trap,trap soul,canadian pop,hip hop,rap,toronto rap",0.709,0.362,11,-9.814,1,0.055,0.157,0,0.109,0.113,122.043,4
35r28RDot7nPE7y9K9H7l0,"246dkjvS1zLTtiykXe5h60","Feeling Whitney","Stoney (Deluxe)","Post Malone",2016-12-09,257266,75,spotify:user:viezdn04tqp6by8pxzcylx5cq,2021-04-21T02:43:12Z,"dfw rap,melodic rap,rap",0.412,0.227,0,-12.696,1,0.0359,0.787,0.00000469,0.282,0.226,80.111,4
6n3HGiq4v35D6eFOSwqYuo,"3TVXtAsR1Inumwj472S9r4","Teenage Fever","More Life","Drake",2017-03-18,219692,80,spotify:user:viezdn04tqp6by8pxzcylx5cq,2021-04-21T02:43:20Z,"canadian hip hop,canadian pop,hip hop,rap,toronto rap",0.766,0.283,8,-10.33,0,0.0846,0.111,0.0172,0.115,0.144,97.04,4
5hVghJ4KaYES3BFUATCYn0,"4V8LLVI7PbaPR0K2TGSxFF","EARFQUAKE","IGOR","Tyler, The Creator",2019-05-17,190066,80,spotify:user:viezdn04tqp6by8pxzcylx5cq,2021-04-21T02:43:22Z,"hip hop,rap",0.554,0.498,9,-8.866,1,0.0685,0.23,0.00000598,0.795,0.413,79.635,4
4BhGTc3Cgay2U1QcTS7vQe,"3TVXtAsR1Inumwj472S9r4","Fire & Desire","Views","Drake",2016-05-06,238120,69,spotify:user:viezdn04tqp6by8pxzcylx5cq,2021-04-21T02:43:32Z,"canadian hip hop,canadian pop,hip hop,rap,toronto rap",0.722,0.252,1,-14.411,0,0.0761,0.0671,0,0.0852,0.275,79.923,4
