Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
71OhlyZmlUaJ1yL20SR372,"6cK3NBO6uP7hh0oyuVELFl","DON'T SAY NOTHIN'","DON'T SAY NOTHIN'","Saweetie",2022-11-17,187172,63,spotify:user:,2022-11-25T06:30:00Z,"cali rap,dance pop,pop,rap,trap queen",0.94,0.465,10,-8.3,0,0.354,0.0043,0,0.14,0.105,100.078,4
6NBGEI2cU71eT8wM98bF2d,"2qoQgPAilErOKCwE2Y8wOG","Unh Unh","Anyways, Life’s Great…","GloRilla",2022-11-11,169465,65,spotify:user:,2022-11-25T06:30:00Z,"rap,viral rap",0.724,0.8,1,-6.19,1,0.415,0.0741,0.00000153,0.144,0.562,178.339,4
4dFKEyGrwmIimMqwYleFOR,"0hCNtLu0JehylgoiP8L4Gh,39af15p0feaAOdL9DTRj3m,6veh5zbFpm31XsPdjBgPER,48ObYO3GM7R76nRcfyvnM9,74PEUb9Hxn7dY8jjgnQvSw,5J1JcdYCPj44YKz6kVA5wx","Super Freaky Girl (with JT & BIA feat. Katie Got Bandz, Akbar V & Maliibu Mitch) - Queen Mix","Super Freaky Girl (Queen Mix)","Nicki Minaj,JT,BIA,Katie Got Bandz,Akbar V,Maliibu Miitch",2022-09-09,234899,69,spotify:user:,2022-11-25T06:30:00Z,"dance pop,hip pop,pop,queens hip hop,rap,r&b,rap latina,trap queen,viral rap,chicago bop,chicago rap,drill,alternative r&b,escape room",0.88,0.777,2,-4.465,1,0.256,0.102,0,0.37,0.88,132.982,4
1U4pYd8XGOYr9GvKqIprCa,"181bsRPaVXVlUKXrxwZfHK","Gift & A Curse","Traumazine","Megan Thee Stallion",2022-08-12,172155,65,spotify:user:,2022-11-25T06:30:00Z,"dance pop,houston rap,pop,rap,trap queen",0.933,0.757,11,-4.602,1,0.282,0.0265,0,0.139,0.829,140.078,4
5lrAnzvRBQSgAkpo0WkMjB,"3MdXrJWsbVzdn6fe5JYkSQ,1URnnhqYAYcrqrcwql10ft","Wheelie (feat. 21 Savage)","777","Latto,21 Savage",2022-03-25,170270,59,spotify:user:,2022-11-25T06:30:00Z,"pop,rap,trap queen,atl hip hop",0.908,0.665,1,-6.231,1,0.279,0.0315,0,0.0938,0.779,148.034,4
6PphODv2LB2b9BWK9lhWuY,"5pR1zWq3UPsOpW1pTWayLf,7eDFwYpqsAROCZibWYr5C1,5LxoXQBUoD5oftz6xQLv9y,1aSHAWLQKX1Ln5yoHh8mTq,0cTIgkgGfLEoAAKV7tJnRz","Shabooya","Shabooya","Hitkidd,Gloss Up,K Carbon,Slimeroni,Aleza",2022-09-30,178733,65,spotify:user:,2022-11-25T06:30:00Z,"memphis hip hop,viral rap",0.878,0.62,9,-4.956,0,0.289,0.00782,0,0.0635,0.835,145.016,4
7KXVIAuw3m2hxZanrpSXS3,"2qoQgPAilErOKCwE2Y8wOG,4kYSro6naA4h99UJvo89HB","Tomorrow 2 (with Cardi B)","Tomorrow 2 (with Cardi B)","GloRilla,Cardi B",2022-09-23,209811,81,spotify:user:,2022-11-25T06:30:00Z,"rap,viral rap,dance pop,pop",0.791,0.818,0,-3.93,1,0.406,0.0695,0,0.114,0.693,159.922,4
27Qz0cFmMGADsniMeUwyUe,"3LZZPxNDGDFVSIPqf4JuEf","Bikini Bottom","Bikini Bottom","Ice Spice",2022-10-28,106666,73,spotify:user:,2022-11-25T06:30:00Z,"",0.749,0.629,8,-5.434,1,0.216,0.21,0.00000162,0.0849,0.577,161.945,3
5hR1PFUnx0uRkqYsW4Z4ja,"77gMBvQ2frbQAPyCeoYGm7,3MdXrJWsbVzdn6fe5JYkSQ","Mind Yo Business (Feat. Latto)","Mind Yo Business (Feat. Latto)","Lakeyah,Latto",2022-06-03,122266,62,spotify:user:,2022-11-25T06:30:00Z,"pop r&b,r&b,rap,viral rap,pop,trap queen",0.961,0.557,10,-6.743,0,0.321,0.0251,0,0.0828,0.742,118.031,4
5BcIBbBdkjSYnf5jNlLG7j,"3wFzTRAvCLEACzbRmgBEHx,0RESbWvOMyua0yuyVrztJ5","My Way","Emotional Gangsta","Omeretta the Great,Key Glock",2022-11-18,263636,52,spotify:user:,2022-11-25T06:30:00Z,"trap queen,viral rap,hip hop,memphis hip hop,rap,southern hip hop,tennessee hip hop,trap",0.876,0.427,11,-9.249,0,0.304,0.0652,0,0.0872,0.522,132.14,4
