Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3QGppKBPd9gHOgHJzRbVIw,"02kJSzxNuaWGqwubyUba0Z,2cFrymmkijnjDg9SS92EPM","Hate The Way (feat. blackbear)","Hate The Way (feat. blackbear)","G-Eazy,blackbear",2020-10-16,214363,58,spotify:user:g_eazy,2020-10-17T18:06:36Z,"indie pop rap,oakland hip hop,pop,pop rap,rap",0.569,0.865,4,-3.844,0,0.266,0.0673,0,0.312,0.361,82.011,4
4WmS1ZuledEAlrpJv1E22s,"02kJSzxNuaWGqwubyUba0Z,2cFrymmkijnjDg9SS92EPM","Remember You (feat. blackbear)","These Things Happen","G-Eazy,blackbear",2014-06-20,215880,50,spotify:user:g_eazy,2020-10-16T01:38:57Z,"indie pop rap,oakland hip hop,pop,pop rap,rap",0.654,0.565,4,-8.741,0,0.196,0.345,0,0.157,0.207,140.079,4
4hdog9vyyqG9pcppG2Izek,"2cFrymmkijnjDg9SS92EPM,02kJSzxNuaWGqwubyUba0Z","90210 (feat. G-Eazy)","deadroses","blackbear,G-Eazy",2015-02-14,223295,53,spotify:user:g_eazy,2020-10-16T01:38:57Z,"pop,pop rap,indie pop rap,oakland hip hop,rap",0.707,0.707,11,-6.161,0,0.0375,0.0306,0,0.127,0.231,104.039,4
4wFHz9UQtuXUgbhy7cn8qk,"2o8lOQRjzsSC8UdbNN88HN,02kJSzxNuaWGqwubyUba0Z","Wicked","Mansionz","mansionz,G-Eazy",2017-03-24,215513,48,spotify:user:g_eazy,2020-10-16T01:38:57Z,"pop rap,indie pop rap,oakland hip hop,pop,rap",0.827,0.709,1,-4.302,1,0.0898,0.0334,0,0.0397,0.759,99.976,4
3tLhjMOfbdRGQNudmIABp4,"02kJSzxNuaWGqwubyUba0Z,3MdXrJWsbVzdn6fe5JYkSQ","Down (feat. Latto)","Down (feat. Latto)","G-Eazy,Latto",2020-09-04,217866,46,spotify:user:g_eazy,2020-10-16T01:38:57Z,"indie pop rap,oakland hip hop,pop,pop rap,rap,trap queen",0.797,0.853,0,-4.269,1,0.105,0.000699,0,0.118,0.595,98.043,4
4jGqZyJhgM89rnIzCV2qZz,"02kJSzxNuaWGqwubyUba0Z","These Things Happen","These Things Happen","G-Eazy",2014-06-20,144173,45,spotify:user:g_eazy,2020-10-16T01:38:57Z,"indie pop rap,oakland hip hop,pop,pop rap,rap",0.521,0.682,7,-9.04,1,0.446,0.0597,0,0.0745,0.388,86.87,4
7kDUspsoYfLkWnZR7qwHZl,"6TIYQ3jFPwQSRmorSezPxX,2cFrymmkijnjDg9SS92EPM","my ex's best friend (with blackbear)","Tickets To My Downfall","Machine Gun Kelly,blackbear",2020-09-25,139460,77,spotify:user:g_eazy,2020-10-16T01:38:57Z,"ohio hip hop,pop,pop rap",0.731,0.675,5,-5.134,0,0.0434,0.00473,0,0.141,0.298,124.939,4
1Tfxi7N3DW4zvAuVjt9g8X,"02kJSzxNuaWGqwubyUba0Z,2LIk90788K0zvyj2JJVwkJ","Moana","Moana","G-Eazy,Jack Harlow",2020-04-29,178216,60,spotify:user:g_eazy,2020-10-16T01:38:57Z,"indie pop rap,oakland hip hop,pop,pop rap,rap,deep underground hip hop,kentucky hip hop",0.753,0.502,1,-6.879,1,0.264,0.0439,0.00000154,0.128,0.349,205.895,4
3Q3myFA7q4Op95DOpHplaY,"2cFrymmkijnjDg9SS92EPM","do re mi","digital druglord","blackbear",2017-04-21,212027,1,spotify:user:g_eazy,2020-10-16T01:38:57Z,"pop,pop rap",0.745,0.593,8,-6.35,1,0.0526,0.00522,0.00000525,0.123,0.17,111.002,3
0JjM9bKm4wrwohMslcm892,"02kJSzxNuaWGqwubyUba0Z,2jku7tDXc6XoB6MO2hFuqg,5LHRHt1k9lMyONurDHEdrp","Still Be Friends (feat. Tory Lanez & Tyga)","Still Be Friends (feat. Tory Lanez & Tyga)","G-Eazy,Tory Lanez,Tyga",2020-02-07,213307,66,spotify:user:g_eazy,2020-10-16T01:38:57Z,"indie pop rap,oakland hip hop,pop,pop rap,rap,canadian hip hop,canadian trap,melodic rap,r&b,toronto rap,trap,dance pop,hip hop,southern hip hop",0.803,0.759,7,-4.692,0,0.0494,0.00509,0,0.0921,0.284,104,4
