Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6Qyc6fS4DsZjB2mRW9DsQs,"2sil8z5kiy4r76CRTXxBCA","Iris","Dizzy up the Girl","The Goo Goo Dolls",1998-09-11,289533,82,spotify:user:gmpgnsukze0oumlf9q9tw02cj,2022-03-28T06:51:27Z,"neo mellow,permanent wave,pop rock",0.315,0.715,11,-8.072,0,0.0362,0.00125,0.00000797,0.0942,0.497,155.925,3
11bD1JtSjlIgKgZG2134DZ,"3rIZMv9rysU7JkLzEaC5Jp","Chasing Cars","Eyes Open","Snow Patrol",2006-01-01,267933,48,spotify:user:gmpgnsukze0oumlf9q9tw02cj,2022-03-28T06:51:52Z,"irish rock,neo mellow,permanent wave,pop rock,rock",0.563,0.592,9,-4.571,1,0.0276,0.209,0.0000508,0.132,0.136,104.016,4
45sziCSqS4BWSQWUlLRpyf,"6S58b0fr8TkWrEHOH4tRVu","Dare You to Move","The Best Yet","Switchfoot",2008-10-31,246826,53,spotify:user:gmpgnsukze0oumlf9q9tw02cj,2022-03-28T06:52:23Z,"ccm,christian alternative rock,christian music,christian rock,neo mellow,pop rock,worship",0.439,0.908,4,-4.08,1,0.0644,0.0196,0.00537,0.137,0.35,140.009,4
3nqqDo8CcCLke3ZoTgiOKf,"3AQRLZ9PuTAozP28Skbq8V","The Man Who Can't Be Moved","The Script","The Script",2008-07-14,241373,73,spotify:user:gmpgnsukze0oumlf9q9tw02cj,2022-03-28T06:53:07Z,"celtic rock,neo mellow,pop,pop rock,uk pop",0.605,0.629,10,-5.051,1,0.0279,0.437,0,0.097,0.308,99.894,4
38xWaVFKaxZlMFvzNff2aW,"3AQRLZ9PuTAozP28Skbq8V","Breakeven","The Script","The Script",2008-09-08,261426,68,spotify:user:gmpgnsukze0oumlf9q9tw02cj,2022-03-28T06:52:57Z,"celtic rock,neo mellow,pop,pop rock,uk pop",0.627,0.699,10,-4.504,1,0.0244,0.174,0,0.0789,0.535,94.003,4
0c3yfC8zMRJGvmqphczhZb,"3AQRLZ9PuTAozP28Skbq8V","Nothing","Science & Faith","The Script",2011-01-18,272213,54,spotify:user:gmpgnsukze0oumlf9q9tw02cj,2022-03-28T07:12:17Z,"celtic rock,neo mellow,pop,pop rock,uk pop",0.473,0.833,2,-5.013,1,0.039,0.00369,0,0.118,0.503,157.012,4
2M9ro2krNb7nr7HSprkEgo,"7oPgCQqMMXEXrNau5vxYZP","Fast Car","Tracy Chapman","Tracy Chapman",1988-04-05,296800,77,spotify:user:gmpgnsukze0oumlf9q9tw02cj,2022-03-28T06:53:34Z,"folk,lilith,singer-songwriter,women's music",0.711,0.292,4,-15.523,0,0.037,0.313,0,0.131,0.194,103.951,4
4zXuYQNDmw3dlauyc8q3Kd,"4nxKz1dRYXnsGzN1lUURtG","We'll Never Have Sex","We'll Never Have Sex","Leith Ross",2022-03-25,99620,69,spotify:user:gmpgnsukze0oumlf9q9tw02cj,2022-03-28T06:53:45Z,"indie pop",0.365,0.07,2,-17.095,1,0.0838,0.959,0.000977,0.111,0.443,174.053,3
2WZyfujzMweFLnozyUJBkW,"61YE3whKiuRr83j1yOm5M7","Boston","All The Stars and Boulevards","Augustana",2005,245933,62,spotify:user:gmpgnsukze0oumlf9q9tw02cj,2022-03-28T06:54:05Z,"acoustic pop,neo mellow,piano rock,pop rock",0.404,0.571,0,-5.069,1,0.0303,0.182,0.0000208,0.129,0.29,147.01,4
75JFxkI2RXiU7L9VXzMkle,"4gzpq5DPGxSnKTe4SA8HAU","The Scientist","A Rush of Blood to the Head","Coldplay",2002-08-08,309600,85,spotify:user:gmpgnsukze0oumlf9q9tw02cj,2022-03-28T06:54:32Z,"permanent wave,pop",0.557,0.442,5,-7.224,1,0.0243,0.731,0.0000146,0.11,0.213,146.277,4
2Guz1b911CbpG8L92cnglI,"1SImpQO0GbjRgvlwCcCtFo","Your Guardian Angel","Don't You Fake It","The Red Jumpsuit Apparatus",2006-01-01,229234,65,spotify:user:gmpgnsukze0oumlf9q9tw02cj,2022-03-28T06:55:00Z,"pop punk,pop rock,screamo",0.29,0.48,5,-6.583,1,0.0296,0.116,0.00000303,0.626,0.382,112.62,4
1TvNcWY7WwPLQINhimxycA,"3Ayl7mCk0nScecqOzvNp6s","Hear You Me","Bleed American","Jimmy Eat World",2001-07-17,284373,63,spotify:user:gmpgnsukze0oumlf9q9tw02cj,2022-03-28T06:55:23Z,"alternative rock,emo,modern power pop,modern rock,pop punk,pop rock,rock",0.465,0.517,4,-6.189,1,0.0284,0.00854,0.0403,0.209,0.137,136.176,3
2KVwlelhxKUy8LVV6JypH3,"3Ngh2zDBRPEriyxQDAMKd1","Push","Yourself or Someone Like You","Matchbox Twenty",1996-10-01,238666,70,spotify:user:gmpgnsukze0oumlf9q9tw02cj,2022-03-28T06:56:09Z,"neo mellow,pop rock,post-grunge",0.42,0.672,6,-7.902,1,0.027,0.0067,0,0.108,0.476,168.019,4
0PXWpNBYg52gABrn1qL1bD,"3Ngh2zDBRPEriyxQDAMKd1","Unwell - 2007 Remaster","Exile on Mainstream","Matchbox Twenty",2007-10-02,237266,59,spotify:user:gmpgnsukze0oumlf9q9tw02cj,2022-03-28T07:11:41Z,"neo mellow,pop rock,post-grunge",0.442,0.793,9,-5.152,1,0.0347,0.0456,0,0.328,0.437,80.985,4
5zmaypMaWb21FUGBxbw8hT,"2sil8z5kiy4r76CRTXxBCA","Black Balloon","Dizzy up the Girl","The Goo Goo Dolls",1998-09-11,249533,60,spotify:user:gmpgnsukze0oumlf9q9tw02cj,2022-03-28T06:56:42Z,"neo mellow,permanent wave,pop rock",0.339,0.625,1,-8.57,1,0.028,0.057,0.000102,0.229,0.334,104.68,4
2hiB8QxWic092OablwpoVC,"2sil8z5kiy4r76CRTXxBCA","Better Days","Let Love In","The Goo Goo Dolls",2006,213266,54,spotify:user:gmpgnsukze0oumlf9q9tw02cj,2022-03-28T06:57:35Z,"neo mellow,permanent wave,pop rock",0.486,0.595,7,-5.009,1,0.0302,0.00212,0.000264,0.0953,0.331,113.276,4
6j6bTAiW0oEfLlAjmRNcbb,"3aBkeBhwadnWMWoVJ2CxJC","Little Wonders","Little Wonders","Rob Thomas",2007-01-01,224720,59,spotify:user:gmpgnsukze0oumlf9q9tw02cj,2022-03-28T07:19:42Z,"neo mellow,pop rock",0.163,0.616,9,-9.996,1,0.044,0.0286,0,0.0826,0.33,81.993,4
3QmesrvdbPjwf7i40nht1D,"7jy3rLJdDQY21OgRLCZ9sD","Everlong - Acoustic Version","Greatest Hits","Foo Fighters",2009-11-03,250906,68,spotify:user:gmpgnsukze0oumlf9q9tw02cj,2022-03-28T06:58:37Z,"alternative metal,alternative rock,modern rock,permanent wave,post-grunge,rock",0.643,0.344,2,-11.342,1,0.0349,0.909,0.0112,0.106,0.547,144.171,4
7hW3oqv5F6cyB78SrxGwNo,"7hKjAmQje8IE7SkL2KV7Rx","Pictures","Loser Boy","Joseph Dubay",2020-04-20,225044,20,spotify:user:gmpgnsukze0oumlf9q9tw02cj,2022-07-31T21:12:02Z,"",0.656,0.534,4,-12.167,0,0.0343,0.399,0.00144,0.212,0.764,119.975,4
39kHMfF3dBMZMbOtoit1XF,"7jy3rLJdDQY21OgRLCZ9sD","On The Mend","In Your Honor","Foo Fighters",2005-06-14,271826,43,spotify:user:gmpgnsukze0oumlf9q9tw02cj,2022-03-28T06:59:30Z,"alternative metal,alternative rock,modern rock,permanent wave,post-grunge,rock",0.521,0.522,11,-8.853,1,0.0279,0.258,0.00959,0.12,0.307,134.818,3
4P4s2KHOw0uISbLI3zkHtD,"7jy3rLJdDQY21OgRLCZ9sD","Come Alive","Echoes, Silence, Patience & Grace","Foo Fighters",2007-09-25,310600,52,spotify:user:gmpgnsukze0oumlf9q9tw02cj,2022-03-28T07:00:00Z,"alternative metal,alternative rock,modern rock,permanent wave,post-grunge,rock",0.389,0.612,4,-6.392,1,0.0355,0.00154,0.0000103,0.116,0.16,138.351,3
3yxpqMbfUVMLL7Ap3W71W4,"4NiJW4q9ichVqL1aUsgGAN","End Of Me","Common Courtesy","A Day To Remember",2013-10-08,237975,51,spotify:user:gmpgnsukze0oumlf9q9tw02cj,2022-03-28T07:00:09Z,"metalcore,pop punk,screamo",0.448,0.832,6,-4.994,0,0.0503,0.000747,0.00315,0.11,0.337,125.074,4
