Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1Tfxi7N3DW4zvAuVjt9g8X,"02kJSzxNuaWGqwubyUba0Z,2LIk90788K0zvyj2JJVwkJ","Moana","Moana","G-Eazy,Jack Harlow",2020-04-29,178216,60,spotify:user:g_eazy,2020-05-01T00:41:03Z,"indie pop rap,oakland hip hop,pop,pop rap,rap,deep underground hip hop,kentucky hip hop",0.753,0.502,1,-6.879,1,0.264,0.0439,0.00000154,0.128,0.349,205.895,4
44gRhRi2OhEf7moAUj6MD1,"5f7VJjfbwm532GiveGC0ZK","The Bigger Picture","The Bigger Picture","Lil Baby",2020-06-12,252728,67,spotify:user:g_eazy,2020-06-25T04:12:07Z,"atl hip hop,atl trap,rap,trap",0.59,0.618,1,-5.756,1,0.334,0.0127,0,0.244,0.153,96.459,3
6ZcCLhMqQEZEzsDhhS767O,"0A0FS04o6zMoto8OKPsDwY,02kJSzxNuaWGqwubyUba0Z,3JhNCzhSMTxs9WLGJJxWOY","FDT - Pt. 2","FDT (Pt. 2)","YG,G-Eazy,Macklemore",2016-08-05,222373,39,spotify:user:g_eazy,2020-05-01T00:41:34Z,"cali rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,indie pop rap,oakland hip hop,pop,seattle hip hop",0.799,0.559,10,-6.56,0,0.45,0.196,0,0.373,0.299,96.769,4
2MbdDtCv5LUVjYy9RuGTgC,"2LIk90788K0zvyj2JJVwkJ,2jku7tDXc6XoB6MO2hFuqg,4r63FhuTkUYltbVAg5TQnk,55Aa2cqylxrFIXC767Z865","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]","Jack Harlow,Tory Lanez,DaBaby,Lil Wayne",2020-06-24,227478,74,spotify:user:g_eazy,2020-06-25T04:12:53Z,"deep underground hip hop,kentucky hip hop,pop,rap,canadian hip hop,canadian trap,melodic rap,pop rap,r&b,toronto rap,trap,north carolina hip hop,hip hop,new orleans rap",0.904,0.723,11,-5.224,0,0.26,0.0631,0,0.185,0.835,145.013,4
3iVcZ5G6tvkXZkZKlMpIUs,"2YZyLoL8N0Wb9xBt1NhZWg","Alright","To Pimp A Butterfly","Kendrick Lamar",2015-03-16,219333,79,spotify:user:g_eazy,2020-05-01T00:41:58Z,"conscious hip hop,hip hop,rap,west coast rap",0.796,0.766,7,-5.974,1,0.238,0.0742,0,0.0827,0.558,110.034,4
5oZps6mYqU5s7A4WjUZggJ,"3jK9MiCrA42lLAdMGUZpwa","Lockdown","Lockdown","Anderson .Paak",2020-06-19,212613,55,spotify:user:g_eazy,2020-06-25T04:13:45Z,"escape room",0.928,0.437,1,-7.081,0,0.127,0.144,0.000357,0.147,0.496,100.056,4
68yHw6gaIzMmbqzFp12Fpt,"1mceaxtjWdEmwoDVAlkC41,6icQOAFXDZKsumw3YXyusw,3uJx5SnOM59Li7lCxA3b29","Hightop Shoes","Hightop Shoes","Zaytoven,Lil Yachty,Lil Keed",2020-02-13,174620,0,spotify:user:g_eazy,2020-05-01T00:42:15Z,"atl hip hop,atl trap,dirty south rap,gangster rap,houston rap,melodic rap,pop rap,rap,southern hip hop,trap,vapor trap,hip hop,underground hip hop,viral rap",0.923,0.602,1,-4.955,1,0.359,0.0286,0,0.3,0.571,129.996,4
2RBsmtiaD90yNFtqkFjBVW,"0A0FS04o6zMoto8OKPsDwY","FTP","FTP","YG",2020-06-04,162190,37,spotify:user:g_eazy,2020-06-25T04:13:55Z,"cali rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap",0.768,0.506,11,-8.749,0,0.236,0.0136,0.0000395,0.349,0.395,99.978,4
6fIjnWrv46njJHLDAY2JdC,"0EeQBlQJFiAfJeVN2vT9s0,2YZyLoL8N0Wb9xBt1NhZWg","Dedication (feat. Kendrick Lamar)","Victory Lap","Nipsey Hussle,Kendrick Lamar",2018-02-16,245813,59,spotify:user:g_eazy,2020-05-01T00:42:26Z,"conscious hip hop,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,west coast rap",0.512,0.734,8,-5.448,0,0.438,0.431,0,0.226,0.168,93.995,4
4GXR7UDoGAz7TRZilYNzhw,"3crnzLy8R4lVwaigKEOz7V","Give Me 6","Give Me 6","E-40",2020-06-18,143482,4,spotify:user:g_eazy,2020-06-25T04:14:05Z,"cali rap,gangster rap,hip hop,hyphy,oakland hip hop,pop rap,rap,southern hip hop,trap,west coast rap",0.86,0.695,8,-5.453,1,0.0876,0.00427,0.0000282,0.14,0.107,103.939,4
