Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5S5u0EWtlblH00iTNExZ6X,"3OykSjAE6F2Mb51WplFoRk","I Think I Like When It Rains","Locals 2","WILLIS",2017-06-12,278293,74,spotify:user:22flc4lvn6m3sflok6g7dauna,2022-02-01T02:46:17Z,"alabama indie",0.622,0.471,9,-7.105,1,0.0277,0.0448,0,0.0957,0.278,124.455,4
1aRvUHgMe9ichgcHAAs12f,"4mLJ3XfOM5FPjSAWdQ2Jk7","Nellie","B-Room (Deluxe Edition)","Dr. Dog",2013-10-01,217613,63,spotify:user:22flc4lvn6m3sflok6g7dauna,2022-02-01T02:46:28Z,"indie folk,indie rock,modern folk rock,modern rock,philly indie,rock,stomp and holler",0.506,0.526,4,-9.936,1,0.0285,0.334,0.000539,0.0907,0.591,129.641,4
4HOg84QsolNLzNp08qZ3sX,"6Bllzm0olEwqGwPujaLiuA","didya think","Wait","Arlie",2018-09-19,200466,59,spotify:user:22flc4lvn6m3sflok6g7dauna,2022-02-01T02:46:32Z,"indie pop,modern rock",0.468,0.89,4,-2.974,1,0.0701,0.00415,0.0000121,0.508,0.709,140.265,4
7412fpVfB2PSSb1nENQczC,"69tiO1fG8VWduDl3ji2qhI","Sheep","Sheep","Mt. Joy",2017-01-18,215180,60,spotify:user:22flc4lvn6m3sflok6g7dauna,2022-02-01T02:46:41Z,"indie folk,modern rock,stomp and holler",0.498,0.502,2,-8.052,1,0.0371,0.891,0.000907,0.0716,0.286,81.169,4
1z5Ywj8LNjDtAL05IzY8Nk,"3OykSjAE6F2Mb51WplFoRk","Bad Kids","Bad Kids","WILLIS",2021-11-19,181657,32,spotify:user:22flc4lvn6m3sflok6g7dauna,2022-02-01T03:09:21Z,"alabama indie",0.801,0.68,1,-7.943,1,0.0418,0.0894,0.288,0.337,0.895,124.983,4
6vyFAHVKIsp3pdyhlOKMAz,"4hz8tIajF2INpgM0qzPJz2","All That and More (Sailboat)","Seven + Mary","Rainbow Kitten Surprise",2013-11-19,171025,62,spotify:user:22flc4lvn6m3sflok6g7dauna,2022-02-01T02:46:43Z,"modern rock",0.455,0.525,7,-9.225,1,0.149,0.802,0,0.226,0.383,83.237,4
74f0dpqHhTeTJzs4pmZ1yq,"6p2HnfM955TI1bX34dkLnI","Pool House","When We Were Friends","The Backseat Lovers",2019-01-27,269411,71,spotify:user:22flc4lvn6m3sflok6g7dauna,2022-02-01T02:49:00Z,"indie pop,modern rock,slc indie",0.594,0.355,7,-11.184,1,0.0305,0.0478,0.000109,0.0559,0.327,134.097,4
4SqWKzw0CbA05TGszDgMlc,"027TpXKGwdXP7iwbjUSpV8","I Love You So","I Love You So","The Walters",2014-11-28,160239,87,spotify:user:22flc4lvn6m3sflok6g7dauna,2022-02-01T02:49:02Z,"chicago indie",0.575,0.648,10,-4.891,1,0.0358,0.583,0,0.115,0.466,75.977,4
10UrwRvVbNsHiw1UGBiMjV,"6wnSPJpmVKFcn1TpRl5Uli","If I Didn't Have You","Twenty Something Nightmare","Vista Kicks",2018-07-13,242493,50,spotify:user:22flc4lvn6m3sflok6g7dauna,2022-02-01T02:49:45Z,"la indie,modern rock",0.38,0.544,1,-9.754,0,0.0315,0.251,0.237,0.118,0.124,115.375,4
5kBYMymc2d3h164QqEHwRL,"7vtSUU3zpHeYJfX6BPNrJd","Small Talk","Indiana","Briston Maroney",2019-05-17,198808,61,spotify:user:22flc4lvn6m3sflok6g7dauna,2022-02-01T02:49:54Z,"indie pop,modern rock,nashville indie",0.613,0.64,0,-7.637,1,0.0338,0.286,0,0.15,0.441,129.853,4
5u9cuDcYdOpSRB7fAYXXdp,"77mJc3M7ZT5oOVM7gNdXim","Marcel","Songs of Her's","Her's",2017-05-12,187571,64,spotify:user:22flc4lvn6m3sflok6g7dauna,2022-02-01T04:13:32Z,"indie garage rock,indie pop,liverpool indie",0.625,0.645,9,-5.959,1,0.0278,0.54,0.0776,0.347,0.685,106.996,4
5fTFiVfcbwSLpyQ8oHiBXl,"3OykSjAE6F2Mb51WplFoRk","C.J's Van","Locals 2","WILLIS",2017-06-12,171746,47,spotify:user:22flc4lvn6m3sflok6g7dauna,2022-02-01T02:46:37Z,"alabama indie",0.527,0.682,1,-6.867,0,0.0705,0.0425,0.000926,0.152,0.936,159.527,4
1a1LrfgkTvfHFykIxcv8WU,"73BLwSX6gsNeVzS7DgI4xe","Cherry Wine","Cherry Wine","grentperez",2021-09-10,173286,63,spotify:user:22flc4lvn6m3sflok6g7dauna,2022-02-01T03:11:56Z,"chill r&b",0.761,0.565,11,-7.016,0,0.0411,0.345,0,0.0825,0.583,105.008,4
5OuJTtNve7FxUX82eEBupN,"6fC2AcsQtd9h4BWELbbire","Tommy's Party","Being So Normal","Peach Pit",2018-06-28,361760,65,spotify:user:22flc4lvn6m3sflok6g7dauna,2022-02-01T06:14:11Z,"indie pop,indie rock,modern rock,vancouver indie",0.565,0.438,7,-8.722,1,0.0311,0.122,0.0469,0.108,0.211,133.949,4
5Ss6DqCldgTmIo6BekVOJT,"5BCnLrqpwYtufR1bDWn0hG","You Say I'm in Love","You Say I'm in Love","Banes World",2017-01-26,176760,59,spotify:user:22flc4lvn6m3sflok6g7dauna,2022-02-01T04:28:00Z,"bedroom pop,indie garage rock",0.625,0.285,1,-16.686,0,0.0537,0.438,0.00279,0.192,0.357,140.02,4
3GahMRXI3rL2JVeSLZBRnF,"2kMzxA8edU05hvMFU493zJ","Warned You","Shawcross","Good Morning",2014-11-14,136032,66,spotify:user:22flc4lvn6m3sflok6g7dauna,2022-02-03T16:51:34Z,"experimental pop,indie garage rock,lo-fi indie",0.535,0.209,6,-16.402,1,0.0257,0.668,0.14,0.129,0.515,137.889,4
0awZwmlC6pxH65KTZpadmX,"7vtSUU3zpHeYJfX6BPNrJd","Freakin' Out On the Interstate","Freakin' Out On The Interstate (Acoustic Version [Live])","Briston Maroney",2020-07-10,251906,69,spotify:user:22flc4lvn6m3sflok6g7dauna,2022-02-03T01:48:20Z,"indie pop,modern rock,nashville indie",0.45,0.794,4,-5.015,1,0.0538,0.388,0,0.303,0.362,143.861,4
0MUzalPwRItswsuNThydQg,"26T3LtbuGT1Fu9m0eRq5X3","Flow","Thank You Happy Birthday","Cage The Elephant",2011-01-10,208200,49,spotify:user:22flc4lvn6m3sflok6g7dauna,2022-02-01T06:14:46Z,"modern rock,punk blues,rock",0.745,0.619,4,-10.939,0,0.0331,0.207,0.0126,0.133,0.0906,107.025,4
1TPgw76OuRx2VA390Kjari,"0xPoVNPnxIIUS1vrxAYV00","High Tops","High Tops","Del Water Gap",2017-01-27,238200,57,spotify:user:22flc4lvn6m3sflok6g7dauna,2022-02-01T18:57:36Z,"deep new americana,indie pop,modern rock",0.557,0.458,7,-5.127,1,0.0306,0.0499,0.0000567,0.176,0.262,128.126,4
556jf0hyPQuLNHuNWo12I5,"41Nu7NgAj9rJxjj7JDuXrV","Floated By","Bismillah","Peter Cat Recording Co.",2019-06-07,256000,50,spotify:user:22flc4lvn6m3sflok6g7dauna,2022-02-01T18:57:19Z,"indian electronic,indian indie,new delhi indie",0.729,0.286,2,-13.654,1,0.0355,0.283,0.0245,0.105,0.469,92.03,4
