Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5uZm7EFtP5aoTJvx5gv9Xf,"31W5EY0aAly4Qieq6OFu6I","Jungle","Artist","A Boogie Wit da Hoodie",2016-09-16,174192,74,spotify:user:amcball25,2019-06-12T21:52:09Z,"melodic rap,rap,trap",0.538,0.52,7,-11.063,0,0.737,0.308,0,0.214,0.551,180.274,4
5nzhL67GpF9szXWg5y509A,"5f7VJjfbwm532GiveGC0ZK","Close Friends (Lil Baby & Gunna)","Drip Harder","Lil Baby",2018-10-05,203881,73,spotify:user:amcball25,2019-06-12T21:52:14Z,"atl hip hop,atl trap,rap,trap",0.676,0.578,10,-4.669,0,0.375,0.0509,0,0.0796,0.698,158.896,4
0WZFN4E8HrmGUU0EMyKQ8c,"4MCBfE4596Uoi2O4DtmEMz","Used To","Goodbye & Good Riddance","Juice WRLD",2018-12-10,176443,71,spotify:user:amcball25,2019-06-12T21:52:22Z,"chicago rap,melodic rap",0.631,0.709,2,-4.666,1,0.0505,0.0963,0,0.376,0.2,84.504,4
2FTeQQ5Rg9tBpgpTF5mnhE,"31W5EY0aAly4Qieq6OFu6I","Still Think About You","Artist","A Boogie Wit da Hoodie",2016-09-16,246987,75,spotify:user:amcball25,2019-06-12T21:52:30Z,"melodic rap,rap,trap",0.946,0.646,5,-6.604,1,0.21,0.219,0,0.0643,0.961,127.978,4
75ZvA4QfFiZvzhj2xkaWAh,"246dkjvS1zLTtiykXe5h60","I Fall Apart","Stoney (Deluxe)","Post Malone",2016-12-09,223346,78,spotify:user:amcball25,2019-06-12T21:52:42Z,"dfw rap,melodic rap,rap",0.556,0.538,8,-5.408,0,0.0382,0.0689,0,0.196,0.291,143.95,4
0AICBlLzFCTpUqmAbtzB2z,"6Xgp2XMz1fhVYe7i6yNAax","Love Scars","A Love Letter To You","Trippie Redd",2017-05-14,143969,72,spotify:user:amcball25,2019-06-12T21:53:10Z,"melodic rap,rap,trap",0.659,0.614,9,-7.32,0,0.0541,0.000404,0,0.123,0.26,119.405,4
2z3htsNRuhDN923ITatc56,"3TVXtAsR1Inumwj472S9r4","Marvins Room","Take Care (Deluxe)","Drake",2011-11-15,347226,34,spotify:user:amcball25,2019-06-12T21:54:02Z,"canadian hip hop,canadian pop,hip hop,rap,toronto rap",0.492,0.26,9,-17.341,0,0.0921,0.646,0.00178,0.0705,0.312,111.519,5
6jT3etAOkvMUw0zsEw5QnR,"6Xgp2XMz1fhVYe7i6yNAax","Romeo & Juliet","A Love Letter To You","Trippie Redd",2017-05-14,208000,64,spotify:user:amcball25,2019-06-12T21:54:49Z,"melodic rap,rap,trap",0.609,0.37,0,-13.933,1,0.0712,0.664,0.086,0.328,0.352,119.806,4
7KA4W4McWYRpgf0fWsJZWB,"4V8LLVI7PbaPR0K2TGSxFF,1U1el3k54VvEUzo3ybLPlM","See You Again (feat. Kali Uchis)","Flower Boy","Tyler, The Creator,Kali Uchis",2017-07-21,180386,84,spotify:user:amcball25,2019-06-12T21:55:27Z,"hip hop,rap,colombian pop,pop",0.558,0.559,6,-9.222,1,0.0959,0.371,0.00000749,0.109,0.62,78.558,4
7022xokeCJFSeZxw2npVkn,"6Xgp2XMz1fhVYe7i6yNAax","It Takes Time","A Love Letter To You","Trippie Redd",2017-05-14,282666,65,spotify:user:amcball25,2019-06-12T21:56:00Z,"melodic rap,rap,trap",0.845,0.304,10,-16.441,1,0.195,0.371,0,0.112,0.413,90.01,4
561jH07mF1jHuk7KlaeF0s,"7dGJo4pcD2V6oG8kP0tJRR","Mockingbird","Encore (Deluxe Version)","Eminem",2004-11-12,250760,88,spotify:user:amcball25,2019-06-12T21:56:10Z,"detroit hip hop,hip hop,rap",0.637,0.678,0,-3.798,1,0.266,0.209,0,0.156,0.254,84.039,4
2ulXW6DPrhTDt7ZqqYDdhu,"7wlFDEWiM5OoIAt8RSli8b","Genie","Genie","YoungBoy Never Broke Again",2018-06-08,194791,0,spotify:user:amcball25,2019-06-12T21:57:53Z,"baton rouge rap,trap",0.598,0.605,7,-4.92,0,0.452,0.286,0,0.0875,0.513,159.517,4
61Oo3DUJubecZQosjho6Pp,"7wlFDEWiM5OoIAt8RSli8b","Valuable Pain","Realer","YoungBoy Never Broke Again",2018-12-20,169459,62,spotify:user:amcball25,2019-06-12T21:58:18Z,"baton rouge rap,trap",0.525,0.811,5,-5.702,0,0.345,0.23,0,0.213,0.513,169.685,4
0Jr4zQh5i3vrKFEcXrhhxl,"7wlFDEWiM5OoIAt8RSli8b","Solar Eclipse","Until Death Call My Name (Reloaded)","YoungBoy Never Broke Again",2018-06-29,227060,60,spotify:user:amcball25,2019-06-12T21:58:51Z,"baton rouge rap,trap",0.671,0.775,10,-3.969,0,0.0667,0.203,0,0.223,0.331,148.195,4
