Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2KnLkZ3z7PO3kgVGHGqDpD,"7n2wHs1TKAczGzO7Dd2rGr","It'll Be Okay","It'll Be Okay","Shawn Mendes",2021-12-01,222800,78,spotify:user:31yii5yxl7vivmnt2m4tbhomqwgi,2022-01-04T01:40:02Z,"canadian pop,dance pop,pop,viral pop",0.398,0.286,7,-11.881,1,0.033,0.616,0.000146,0.0912,0.0666,78.262,4
5uXMiTPXw21xFvyeyqxyIw,"3SgHzT552wy2W8pNLaLk24,6CK4CBL0n07VdVZmfh40nm","That's The Power - Live","That's The Power (Live)","Hillsong Worship,Benjamin William Hastings",2021-10-22,274533,42,spotify:user:31yii5yxl7vivmnt2m4tbhomqwgi,2022-01-04T01:44:44Z,"ccm,world worship,worship",0.454,0.635,10,-8.286,1,0.0331,0.0103,0,0.233,0.0931,148.169,4
1aQ3fg8LGKYAGohdbpnLEs,"58r1rB5t3VF5X6yXGPequV,6AXIMz03907VRnxzPsRiW6,4rc8nzClXj7sUjvsHVg6AD,4h77nHXzQBpUySMOwo5UgD,60JjUCBeLsuJ95WFvqFiFz","Joy of the Lord (feat. Dante Bowe, Naomi Raine, Katie Torwalt & Mav City Gospel Choir)","Jubilee: Juneteenth Edition","Maverick City Music,Katie Torwalt,Naomi Raine,Mav City Gospel Choir,Dante Bowe",2021-06-18,862146,50,spotify:user:31yii5yxl7vivmnt2m4tbhomqwgi,2022-01-04T01:44:47Z,"",0.381,0.484,5,-8.207,1,0.0601,0.637,0,0.0752,0.455,136.005,4
2YRx8jviX9HnvxD0uDIOma,"26T4yOaOoFJvUvxR87Y9HO,60JjUCBeLsuJ95WFvqFiFz","Champion - Live","Revival's In The Air (Live)","Bethel Music,Dante Bowe",2020-05-29,526890,59,spotify:user:31yii5yxl7vivmnt2m4tbhomqwgi,2022-01-04T01:44:50Z,"ambient worship,ccm,christian music,deep ccm,world worship,worship",0.314,0.634,10,-7.168,1,0.0344,0.0207,0.0000752,0.687,0.172,143.992,3
0cXV6AoJBnrnrXK0toJHpB,"1bdnGJxkbIIys5Jhk1T74v","Gratitude","House Of Miracles","Brandon Lake",2020-08-28,337560,65,spotify:user:31yii5yxl7vivmnt2m4tbhomqwgi,2022-01-04T01:44:53Z,"ccm",0.237,0.224,11,-10.002,1,0.0329,0.635,0,0.0999,0.164,155.628,3
7yu4816uyIqXiPvALxL44y,"3YCKuqpv9nCsIhJ2v8SMix,58r1rB5t3VF5X6yXGPequV,6y7frW1RUq3XBBXbYowVpk,4rc8nzClXj7sUjvsHVg6AD","Jireh (feat. Chandler Moore & Naomi Raine)","Jireh (feat. Chandler Moore & Naomi Raine)","Elevation Worship,Maverick City Music,Chandler Moore,Naomi Raine",2021-03-26,598994,61,spotify:user:31yii5yxl7vivmnt2m4tbhomqwgi,2022-01-04T01:45:00Z,"ccm,christian music,worship",0.335,0.639,3,-6.598,1,0.0369,0.265,0,0.107,0.381,139.912,4
06p76VeZ5hze6B575qxlXz,"3SgHzT552wy2W8pNLaLk24,7iETGaxJ4crz3qaljDPCKC,0hta3inDwefmP7JjYEY33c","Fresh Wind - Studio","Fresh Wind","Hillsong Worship,Brooke Ligertwood,David Ware",2021-01-22,273183,46,spotify:user:31yii5yxl7vivmnt2m4tbhomqwgi,2022-01-04T01:45:03Z,"ccm,world worship,worship",0.558,0.418,0,-9.144,1,0.0291,0.137,0,0.0965,0.385,125.97,4
13jiKguCr1G5ezO5xewWUW,"1bdnGJxkbIIys5Jhk1T74v","House Of Miracles - Live","House Of Miracles (Live)","Brandon Lake",2021-01-22,453980,45,spotify:user:31yii5yxl7vivmnt2m4tbhomqwgi,2022-01-04T01:45:06Z,"ccm",0.385,0.478,0,-9.148,1,0.0309,0.018,0,0.394,0.261,142.836,4
0xjO1SiOzps2uqQXflEMlZ,"107CG0UhUl9GJnPwF83N63,0p7lJtfYpKXr9KClOkpRaF","On The Altar","Love Note","UPPERROOM,Elyssa Smith",2021-10-08,536186,46,spotify:user:31yii5yxl7vivmnt2m4tbhomqwgi,2022-01-04T01:45:09Z,"anthem worship,instrumental worship,world worship",0.493,0.534,6,-7.238,1,0.0326,0.0273,0.0000342,0.0922,0.0719,125.885,4
2p3qr3HQBgsjeE5rFobSDy,"3YCKuqpv9nCsIhJ2v8SMix,58r1rB5t3VF5X6yXGPequV,60JjUCBeLsuJ95WFvqFiFz,6y7frW1RUq3XBBXbYowVpk","Wait On You (feat. Dante Bowe & Chandler Moore)","Old Church Basement","Elevation Worship,Maverick City Music,Dante Bowe,Chandler Moore",2021-04-30,564423,60,spotify:user:31yii5yxl7vivmnt2m4tbhomqwgi,2022-01-04T01:45:14Z,"ccm,christian music,worship",0.242,0.604,2,-6.788,1,0.0394,0.245,0,0.451,0.461,207.553,3
3wB2woMJ78WzKEixJmY8hO,"6N6Sk9XOoHsadAGYR44C2o","How Good Is He - Live from Chicago","How Good Is He (Live from Chicago)","Vertical Worship",2021-10-15,367711,38,spotify:user:31yii5yxl7vivmnt2m4tbhomqwgi,2022-01-04T01:45:16Z,"anthem worship,ccm,christian music,world worship,worship",0.381,0.489,10,-8.883,1,0.0339,0.398,0.00102,0.29,0.222,143.954,4
0mhKPUIHNEz4tuWNxNEqCS,"26T4yOaOoFJvUvxR87Y9HO,7Dl8usoHibuYnDVT5PRVnz,13rWahXxJX1NS64MDS24Ya","I Belong To Jesus - Live","Homecoming (Live)","Bethel Music,Paul McClure,Hannah McClure",2021-09-24,519770,49,spotify:user:31yii5yxl7vivmnt2m4tbhomqwgi,2022-01-04T01:45:19Z,"ambient worship,ccm,christian music,deep ccm,world worship,worship",0.462,0.613,9,-8.559,1,0.0328,0.254,0.0000774,0.124,0.259,133.851,4
5SU08C7u2nFFZ10QyvI8RO,"7m4gF38CPATtHrk5HS42WZ","Phenomena (DA DA) - Live","Phenomena (DA DA)","Hillsong Young & Free",2021-07-16,162894,52,spotify:user:31yii5yxl7vivmnt2m4tbhomqwgi,2022-01-04T01:45:26Z,"ccm,christian music,world worship,worship",0.673,0.864,6,-6.382,1,0.044,0.0057,0.0000043,0.971,0.734,131.914,4
1eVfW0BiP2cedS6y2XVkTO,"26T4yOaOoFJvUvxR87Y9HO,7vKyyJZVFb16NTWrUV1fGp,0cng44S55pPu1nDrtFFy7r","I Believe - Live","I Believe (Live)","Bethel Music,Jonathan David Helser,Melissa Helser",2021-09-17,456000,0,spotify:user:31yii5yxl7vivmnt2m4tbhomqwgi,2022-01-04T01:45:29Z,"ambient worship,ccm,christian music,deep ccm,world worship,worship,anthem worship",0.44,0.702,10,-6.759,1,0.0325,0.0197,0.0000379,0.109,0.295,143.99,4
