Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0BCNSmIcyYpFd62IucNCbB,"137W8MRPWKqSmrBGDBFSop","Memory Lane","Memory Lane","Wiz Khalifa",2022-07-21,166773,52,spotify:user:52tu8srbnfc11dc7b9hqp7tlm,2022-11-27T20:05:25Z,"dance pop,hip hop,pittsburgh rap,pop rap,rap,southern hip hop,trap",0.789,0.71,4,-4.574,0,0.353,0.37,0,0.155,0.826,95.178,4
7txwhthkLlokKYKdYpGSuW,"2cFrymmkijnjDg9SS92EPM","i dont love me","in loving memory","blackbear",2022-08-26,197149,54,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"pop,pop rap",0.666,0.704,1,-5.737,0,0.0366,0.0106,0.0000111,0.348,0.418,139.972,4
4bxr2sOVZSLjIN7tQx53ir,"3QTDHixorJelOLxoxcjqGx,6UJ1HBEJnAZ1aVPlJZPf61","Life Is Good (feat. Scribz Riley)","Life Is Good (feat. Scribz Riley)","SiR,Scribz Riley",2022-07-08,197260,60,spotify:user:52tu8srbnfc11dc7b9hqp7tlm,2022-11-27T20:05:25Z,"alternative r&b,hip hop,indie soul,la pop,neo soul,r&b,rap,canadian contemporary r&b,london rap",0.659,0.675,1,-6.005,0,0.19,0.198,0.00129,0.108,0.19,146.049,4
02D7cBNL1rpCkvTja8S1ns,"0vRvGUQVUjytro0xpb26bs,1pPmIToKXyGdsCF6LmqLmI","HOLY TRINITY (feat. Rich The Kid)","HOLY TRINITY (feat. Rich The Kid)","Arizona Zervas,Rich The Kid",2022-07-22,155863,54,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"pop,pop rap,rhode island rap,viral rap,atl hip hop,hip hop,melodic rap,plugg,rap,southern hip hop,trap,vapor trap",0.782,0.703,9,-4.597,1,0.107,0.0522,0,0.104,0.336,82.501,4
1MJErNPIQUoEMu4YUUmecm,"4O15NlyKLIASxsJ0PrXPfz,2RdwBSPQiwcmiDo9kixcl8","Neon Guts (feat. Pharrell Williams)","Luv Is Rage 2","Lil Uzi Vert,Pharrell Williams",2017-08-25,258789,73,spotify:user:52tu8srbnfc11dc7b9hqp7tlm,2022-11-27T20:05:25Z,"melodic rap,philly rap,rap,trap,hip hop,pop,pop rap",0.859,0.563,1,-6.635,0,0.112,0.0541,0,0.0685,0.412,119.934,4
2GbS8QZToLioxL8XMEwX3P,"181bsRPaVXVlUKXrxwZfHK","Cognac Queen","Tina Snow","Megan Thee Stallion",2018-12-21,222752,63,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"dance pop,houston rap,pop,rap,trap queen",0.79,0.709,2,-5.806,1,0.224,0.0593,0,0.0794,0.26,131.079,4
0v9Wz8o0BT8DU38R4ddjeH,"1anyVhU62p31KFi8MEzkbf,55Aa2cqylxrFIXC767Z865,17lzZA2AlOHwCwFALHttmp","No Problem (feat. Lil Wayne & 2 Chainz)","Coloring Book","Chance the Rapper,Lil Wayne,2 Chainz",2016-05-27,304606,67,spotify:user:52tu8srbnfc11dc7b9hqp7tlm,2022-11-27T20:05:25Z,"chicago rap,conscious hip hop,hip hop,pop rap,rap,new orleans rap,trap,atl hip hop,gangster rap,southern hip hop",0.652,0.795,11,-5.192,0,0.174,0.156,0,0.123,0.788,135.018,4
6ZXVnfb7cIIDxg1DfLCP1M,"0Riv2KnFcLZA3JSVryRg4y","Inferno","「プロメア」オリジナルサウンドトラック","Hiroyuki Sawano",2019-05-24,234053,41,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"anime score,japanese soundtrack",0.603,0.946,9,-3.82,1,0.0334,0.0042,0,0.36,0.793,125.038,4
4Cgedth1L3nBdVLU5Z42m1,"4NHQUGzhtTLFvgF5SZesLK","Sweettalk my Heart","Sunshine Kitty","Tove Lo",2019-09-20,179830,49,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"dance pop,electropop,metropopolis,pop,swedish electropop,swedish pop,swedish synthpop",0.79,0.684,6,-4.372,1,0.0525,0.0825,0,0.106,0.236,110.984,4
17uivGWu6kfAvH6UgR7j4x,"0NIIxcxNHmOoyBx03SfTCD,1RyvyyTE3xzB2ZywiAwp0i","Faded Love (feat. Future)","Joyride","Tinashe,Future",2018-04-13,203026,47,spotify:user:52tu8srbnfc11dc7b9hqp7tlm,2022-11-27T20:05:25Z,"alternative r&b,dance pop,electropop,metropopolis,pop,post-teen pop,r&b,rap,urban contemporary,atl hip hop,hip hop,southern hip hop,trap",0.566,0.669,5,-5.772,0,0.325,0.678,0,0.261,0.698,102.582,4
7hzlzoOwCZ4D3Ow5YZK4kj,"6Dd3NScHWwnW6obMFbl1BH","Insomnia","Insomnia","Daya",2019-03-08,179745,63,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"alt z,dance pop,edm,electropop,pop,pop dance,post-teen pop,tropical house",0.754,0.653,7,-5.095,1,0.0611,0.0944,0,0.383,0.379,123.084,4
7zEp7yw3NzBp8CS0FmujnP,"1IOd0nWLYWDqGv3iQn2gio","White Whale","Dreamed at Dawn","The Away Days",2017-02-24,243875,38,spotify:user:52tu8srbnfc11dc7b9hqp7tlm,2022-11-27T20:05:25Z,"shoegaze,turkish alternative rock",0.584,0.664,11,-7.195,1,0.0251,0.219,0.0288,0.0579,0.41,87.013,4
7m97yKVzPpXV9Z4ezEziOD,"3nFkdlSjzX9mRTtwJOzDYB,6ZhjJOJXXwnPS8PrXdmjLw","Big Pimpin'","Vol. 3... Life And Times Of S. Carter","JAY-Z,UGK",1999-12-28,283066,69,spotify:user:52tu8srbnfc11dc7b9hqp7tlm,2022-11-27T20:05:25Z,"east coast hip hop,hip hop,rap,dirty south rap,gangster rap,houston rap,southern hip hop,trap",0.88,0.814,11,-6.307,0,0.14,0.168,0.00672,0.0584,0.942,138.083,4
2fHXAuXRcCDXbZYJIUZCGW,"37hAfseJWi0G3Scife12Il","Jobs","City On Lock","City Girls",2020-06-20,121386,53,spotify:user:seuyoonjoo,2022-11-27T20:05:25Z,"dance pop,pop,r&b,rap,scam rap,trap queen",0.885,0.592,10,-6.06,0,0.303,0.00094,0.0000904,0.081,0.672,159.996,4
3Ti0GdlrotgwsAVBBugv0I,"09hVIj6vWgoCDtT03h8ZCa","Can I Kick It?","People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition)","A Tribe Called Quest",1990-04-17,251573,69,spotify:user:52tu8srbnfc11dc7b9hqp7tlm,2022-11-27T20:05:25Z,"alternative hip hop,conscious hip hop,east coast hip hop,gangster rap,golden age hip hop,hardcore hip hop,hip hop,jazz rap,queens hip hop,rap",0.848,0.666,0,-6.547,1,0.274,0.173,0.000699,0.129,0.744,96.662,4
