Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5HCyWlXZPP0y6Gqq8TgA20,"2tIP7SsRs7vjIcLrU85W8J,1uNFoZAHBGtllmzznpCI3s","STAY (with Justin Bieber)","STAY (with Justin Bieber)","The Kid LAROI,Justin Bieber",2021-07-09,141805,87,spotify:user:22khz7ju4ynxwukc5nousavlq,2022-01-18T11:15:48Z,"australian hip hop,pop,canadian pop",0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,4
5uEYRdEIh9Bo4fpjDd4Na9,"0Y5tJX1MQlPlqiwlOH1tJY,2o08sCWF5yyo2G4DCiT7T9","Goosebumps - Remix","Goosebumps (Remix)","Travis Scott,HVME",2021-01-15,162802,80,spotify:user:22khz7ju4ynxwukc5nousavlq,2022-01-18T11:18:49Z,"rap,slap house",0.841,0.593,1,-7.846,1,0.0379,0.418,0,0.124,0.808,124.917,4
3Ofmpyhv5UAQ70mENzB277,"1uU7g3DNSbsu0QjSEqZtEd","Astronaut In The Ocean","Astronaut In The Ocean","Masked Wolf",2021-01-06,132780,77,spotify:user:22khz7ju4ynxwukc5nousavlq,2022-01-18T11:21:52Z,"australian hip hop",0.778,0.695,4,-6.865,0,0.0913,0.175,0,0.15,0.472,149.996,4
5psEZhQu6lukjhavJo4AbC,"2tIP7SsRs7vjIcLrU85W8J","SO DONE","SO DONE","The Kid LAROI",2020-10-23,126521,63,spotify:user:22khz7ju4ynxwukc5nousavlq,2022-01-19T00:11:57Z,"australian hip hop,pop",0.719,0.598,9,-6.254,1,0.077,0.232,0,0.115,0.303,142.592,4
0mG6igzxbH55XRyq3ygEh8,"6EPlBSH2RSiettczlz7ihV","2055","2055","Sleepy Hallow",2021-04-14,123986,71,spotify:user:22khz7ju4ynxwukc5nousavlq,2022-01-19T00:20:34Z,"brooklyn drill,nyc rap",0.775,0.518,6,-5.857,0,0.311,0.455,0,0.121,0.646,161.011,4
5QDLhrAOJJdNAmCTJ8xMyW,"3Nrfpe0tUJi4K4DXYWgMUX","Dynamite","BE","방탄소년단",2020-11-20,199053,83,spotify:user:22khz7ju4ynxwukc5nousavlq,2022-01-19T00:21:44Z,"k-pop,k-pop boy group",0.746,0.765,6,-4.41,0,0.0993,0.0112,0,0.0936,0.737,114.044,4
4jPy3l0RUwlUI9T5XHBW2m,"6fWVd57NKTalqvmjRd2t8Z,6ASri4ePR7RlsvIQgWPJpS","Mood (feat. iann dior)","El Dorado","24kGoldn,iann dior",2021-03-26,140533,82,spotify:user:22khz7ju4ynxwukc5nousavlq,2022-01-19T00:25:29Z,"cali rap,pop,pop rap,rap,melodic rap",0.701,0.716,7,-3.671,0,0.0361,0.174,0,0.324,0.732,91.007,4
6gBFPUFcJLzWGx4lenP6h2,"0Y5tJX1MQlPlqiwlOH1tJY","goosebumps","Birds In The Trap Sing McKnight","Travis Scott",2016-09-16,243836,83,spotify:user:22khz7ju4ynxwukc5nousavlq,2022-01-19T00:30:16Z,"rap,slap house",0.841,0.728,7,-3.37,1,0.0484,0.0847,0,0.149,0.43,130.049,4
2xLMifQCjDGFmkHkpNLD9h,"0Y5tJX1MQlPlqiwlOH1tJY","SICKO MODE","ASTROWORLD","Travis Scott",2018-08-03,312820,81,spotify:user:22khz7ju4ynxwukc5nousavlq,2022-01-19T00:31:11Z,"rap,slap house",0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,4
7ytR5pFWmSjzHJIeQkgog4,"4r63FhuTkUYltbVAg5TQnk,757aE44tKEUQEqRuT6GnEB","ROCKSTAR (feat. Roddy Ricch)","BLAME IT ON BABY","DaBaby,Roddy Ricch",2020-04-17,181733,79,spotify:user:22khz7ju4ynxwukc5nousavlq,2022-01-19T00:31:54Z,"north carolina hip hop,rap,trap,melodic rap",0.746,0.69,11,-7.956,1,0.164,0.247,0,0.101,0.497,89.977,4
