Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0wdV94AXGRphrbkDWLNzVC,"20JZFwl6HVl6yg8a4H3ZqK","Roaring 20s","Pray for the Wicked","Panic! At The Disco",2018-06-22,186600,59,spotify:user:31ljb7utcjbua7zys7oic4njbxae,2021-08-13T22:52:34Z,"modern rock",0.271,0.948,1,-2.207,1,0.263,0.0467,0,0.163,0.515,83.19,4
4ZtFanR9U6ndgddUvNcjcG,"1McMsnEElThX1knmY4oliG","good 4 u","SOUR","Olivia Rodrigo",2021-05-21,178146,86,spotify:user:31ljb7utcjbua7zys7oic4njbxae,2021-08-05T14:59:07Z,"pop",0.563,0.664,9,-5.044,1,0.154,0.335,0,0.0849,0.688,166.928,4
4FjRidYO7BZcJRtGsMFvRa,"4EJP6Qhk6l18LumCcpEfLw","Empty Chairs At Empty Tables","Les Misérables: Highlights From The Motion Picture Soundtrack","Eddie Redmayne",2012-01-01,192973,25,spotify:user:31ljb7utcjbua7zys7oic4njbxae,2021-09-01T23:16:59Z,"hollywood,show tunes",0.286,0.0711,6,-18.091,1,0.0618,0.939,0.0000285,0.121,0.102,79.475,3
0TkJIyL69RAUIbNwGub6uR,"6s22t5Y3prQHyaHWUN1R1C","Burn The House Down","The Click (Deluxe Edition)","AJR",2018-09-21,212373,68,spotify:user:31ljb7utcjbua7zys7oic4njbxae,2021-07-27T19:38:13Z,"modern rock",0.454,0.66,0,-4.357,1,0.168,0.0364,0,0.181,0.568,184.353,4
2NWVdwbd2hPIzC2lyf4y63,"6P5NO5hzJbuOqSdyPB7SJM,1Hsdzj7Dlq2I7tHP7501T4","Moral of the Story (feat. Niall Horan)","Moral of the Story (feat. Niall Horan)","Ashe,Niall Horan",2020-06-17,198515,65,spotify:user:31ljb7utcjbua7zys7oic4njbxae,2021-07-27T19:38:38Z,"alt z,electropop,pop,post-teen pop,dance pop,uk pop",0.599,0.374,10,-8.896,1,0.0385,0.495,0,0.221,0.224,119.9,4
4jbtL4tjkqghUvJknUqU1s,"6s22t5Y3prQHyaHWUN1R1C","Way Less Sad","Way Less Sad","AJR",2021-02-17,206108,3,spotify:user:31ljb7utcjbua7zys7oic4njbxae,2021-07-27T19:39:18Z,"modern rock",0.701,0.547,2,-8.238,1,0.0483,0.00843,0,0.0987,0.4,140.015,4
3VygfAvvgVaJUeaBUSzlZu,"6s22t5Y3prQHyaHWUN1R1C","Karma","Neotheater","AJR",2019-04-26,245269,62,spotify:user:31ljb7utcjbua7zys7oic4njbxae,2021-08-13T22:47:26Z,"modern rock",0.528,0.727,6,-5.739,1,0.179,0.0557,0,0.176,0.212,155.927,4
1BECwm5qkaBwlbfo4kpYx8,"20JZFwl6HVl6yg8a4H3ZqK","Death of a Bachelor","Death of a Bachelor","Panic! At The Disco",2016-01-15,203506,70,spotify:user:31ljb7utcjbua7zys7oic4njbxae,2021-08-13T22:58:53Z,"modern rock",0.462,0.538,0,-5.527,1,0.059,0.0137,0,0.429,0.405,139.256,4
7qfoq1JFKBUEIvhqOHzuqX,"3cR4rhS2hBWqI7rJEBacvN,4aXXDj9aZnlshx7mzj3W1N,5VJN4jB6PqqEg4kJiAj6Eu,2OEGI2wrCVmvavKEOMlccy,6sLwRSXSUF5JTUnQaFenyj,3UUJfRbrA2nTbcg4i0MOwu","Non-Stop","Hamilton (Original Broadway Cast Recording)","Leslie Odom Jr.,Lin-Manuel Miranda,Renée Elise Goldsberry,Phillipa Soo,Christopher Jackson,Original Broadway Cast of Hamilton",2015-09-25,385438,66,spotify:user:31ljb7utcjbua7zys7oic4njbxae,2022-11-07T23:52:23Z,"broadway,hollywood,show tunes,vocal jazz",0.77,0.482,6,-9.529,1,0.351,0.211,0,0.223,0.441,91.994,4
2TK2KSrzXD6W01qjXVjNGh,"3cR4rhS2hBWqI7rJEBacvN,4aXXDj9aZnlshx7mzj3W1N,3twuAojvYNrlWZpMkxLm3P,6G3sPhnj4JBCsBVBGvZnkk,3UUJfRbrA2nTbcg4i0MOwu","The Room Where It Happens","Hamilton (Original Broadway Cast Recording)","Leslie Odom Jr.,Lin-Manuel Miranda,Daveed Diggs,Okieriete Onaodowan,Original Broadway Cast of Hamilton",2015-09-25,318214,65,spotify:user:31ljb7utcjbua7zys7oic4njbxae,2021-09-01T23:17:09Z,"broadway,hollywood,show tunes,vocal jazz,alternative hip hop",0.638,0.49,4,-9.382,0,0.426,0.271,0,0.664,0.511,173.552,4
