Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5WtfUKzXircvW8l5aaVZWT,"0ZED1XzwlLHW4ZaG4lOT6m,1Hsdzj7Dlq2I7tHP7501T4","What A Time (feat. Niall Horan)","Inner Monologue Part 1","Julia Michaels,Niall Horan",2019-01-24,173306,81,spotify:user:317l5dgxgguzvaoduizwbq2n5xce,2022-11-19T04:56:33Z,"alt z,dance pop,electropop,pop,post-teen pop",0.516,0.467,0,-6.184,1,0.0302,0.662,0,0.0853,0.386,132.861,4
7l97ElWmIdVHWUaOeeU5ZC,"45dkTj5sMRSjrmBSBeiHym","that way","all the things i never said","Tate McRae",2020-01-24,175026,78,spotify:user:317l5dgxgguzvaoduizwbq2n5xce,2022-11-19T04:56:36Z,"pop",0.453,0.383,0,-11.015,1,0.163,0.728,0,0.387,0.333,105.029,4
4bpyaPa1xruVgE2GtsYbIW,"1Zi1c8sWZTy5rDiN3lAuEj","Love You From a Distance","One Eighty","Ashley Kutcher",2021-11-19,204000,69,spotify:user:317l5dgxgguzvaoduizwbq2n5xce,2022-11-19T04:56:42Z,"alt z,gen z singer-songwriter,pop",0.333,0.538,4,-8.653,1,0.0325,0.557,0,0.0977,0.63,149.377,4
2eAvDnpXP5W0cVtiI0PUxV,"2WzaAvm2bBCf4pEhyuDgCY","Dandelions","Safe Haven","Ruth B.",2017-05-05,233720,89,spotify:user:317l5dgxgguzvaoduizwbq2n5xce,2022-11-19T04:56:43Z,"alt z,canadian contemporary r&b,canadian pop,pop",0.609,0.692,1,-2.958,1,0.0259,0.0157,0,0.0864,0.454,116.959,3
22bPsP2jCgbLUvh82U0Z3M,"06HL4z0CvFAxyc27GXpf02","The Way I Loved You (Taylor’s Version)","Fearless (Taylor's Version)","Taylor Swift",2021-04-09,243136,80,spotify:user:317l5dgxgguzvaoduizwbq2n5xce,2022-11-19T04:56:48Z,"pop",0.402,0.732,5,-4.665,1,0.0484,0.0033,0,0.108,0.472,161.032,4
3hciQHIJhgWPv6yJijAqWp,"79AyR6ATpj2LTPxfb6FX50","Flowers","Flowers","Lauren Spencer Smith",2022-04-14,157373,58,spotify:user:317l5dgxgguzvaoduizwbq2n5xce,2022-11-19T04:57:04Z,"alt z,gen z singer-songwriter,pop,post-teen pop",0.656,0.46,3,-9.73,1,0.627,0.869,0,0.0873,0.304,68.062,4
4TgyIbBZCW0UIwS8eua06z,"5ZTJEC2UH1RXQT9K1mDCJ3","Hate You","Hate You","Jordi",2022-11-18,176540,60,spotify:user:317l5dgxgguzvaoduizwbq2n5xce,2022-11-19T04:57:10Z,"",0.636,0.473,0,-8.311,1,0.0389,0.762,0.00000382,0.152,0.399,87.034,4
2KCvVtHmP00rHHS1Piuqop,"164Uj4eKjl6zTBKfJLFKKK","moon and back","this is what ____ feels like (Vol. 1-4)","JVKE",2022-09-23,148298,48,spotify:user:317l5dgxgguzvaoduizwbq2n5xce,2022-11-19T04:57:17Z,"modern indie pop,pop",0.596,0.493,2,-4.263,1,0.0722,0.569,0.0000302,0.208,0.492,180.132,4
1HkRnB3c6aVMJxAryrsMsc,"164Uj4eKjl6zTBKfJLFKKK","i can't help it","i can't help it","JVKE",2022-08-26,177886,50,spotify:user:317l5dgxgguzvaoduizwbq2n5xce,2022-11-19T04:57:18Z,"modern indie pop,pop",0.458,0.638,1,-4.151,1,0.0638,0.232,0.01,0.248,0.343,155.935,4
4Yxc55NX3tAXC2mHRAhtcW,"1McMsnEElThX1knmY4oliG,3xvaSlT4xsyk6lY1ESOspO","All I Want - From High School Musical: The Musical: The Series","All I Want (From High School Musical: The Musical: The Series)","Olivia Rodrigo,Disney",2019-11-27,177322,78,spotify:user:317l5dgxgguzvaoduizwbq2n5xce,2022-11-19T04:58:43Z,"pop",0.376,0.43,0,-6.585,0,0.0328,0.0902,0,0.0912,0.129,77.599,3
