Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0e8nrvls4Qqv5Rfa2UhqmO,"7jVv8c5Fj3E9VhNjxT4snq","THATS WHAT I WANT","MONTERO","Lil Nas X",2021-09-17,143901,85,spotify:user:2m5s06f2dc1e2nl3uhp9atba4,2022-10-23T19:29:48Z,"lgbtq+ hip hop,pop",0.737,0.846,1,-4.51,0,0.22,0.00614,0,0.0486,0.546,87.981,4
0A1hoCfMLkiAgvhWkkucJa,"181bsRPaVXVlUKXrxwZfHK","Body","Good News","Megan Thee Stallion",2020-11-20,171067,71,spotify:user:2m5s06f2dc1e2nl3uhp9atba4,2022-10-23T19:29:53Z,"dance pop,houston rap,pop,rap,trap queen",0.914,0.732,8,-6.1,0,0.241,0.0166,0,0.107,0.469,94.066,4
4Oun2ylbjFKMPTiaSbbCih,"4kYSro6naA4h99UJvo89HB,181bsRPaVXVlUKXrxwZfHK","WAP (feat. Megan Thee Stallion)","WAP (feat. Megan Thee Stallion)","Cardi B,Megan Thee Stallion",2020-08-07,187541,79,spotify:user:2m5s06f2dc1e2nl3uhp9atba4,2022-10-23T19:30:09Z,"dance pop,pop,rap,houston rap,trap queen",0.935,0.454,1,-7.509,1,0.375,0.0194,0,0.0824,0.357,133.073,4
4vjpLMyL3ZO6aphdYr8XYw,"5JZ7CnR6gTvEMKX4g70Amv,3WGpXCj9YhhfX11TToZcXP","i'm so tired...","~how i'm feeling~","Lauv,Troye Sivan",2020-03-06,162586,72,spotify:user:2m5s06f2dc1e2nl3uhp9atba4,2022-10-23T19:30:16Z,"dance pop,electropop,pop,australian pop,viral pop",0.576,0.736,11,-7.572,1,0.224,0.178,0,0.238,0.484,101.928,4
3nqQXoyQOWXiESFLlDF1hG,"2wY79sveU1sp5g7SokKOiI,3Xt3RrJMFv5SZkCfUE8C1J","Unholy (feat. Kim Petras)","Unholy (feat. Kim Petras)","Sam Smith,Kim Petras",2022-09-22,156943,100,spotify:user:2m5s06f2dc1e2nl3uhp9atba4,2022-10-23T19:30:27Z,"dance pop,pop,uk pop,post-teen pop,transpop",0.714,0.472,2,-7.375,1,0.0864,0.013,0.00000451,0.266,0.238,131.121,4
1M4OcYkxAtu3ErzSgDEfoi,"4kYSro6naA4h99UJvo89HB","Up","Up (Instrumental)","Cardi B",2021-02-04,156944,70,spotify:user:2m5s06f2dc1e2nl3uhp9atba4,2022-10-23T19:30:38Z,"dance pop,pop,rap",0.868,0.795,11,-6.044,1,0.269,0.0012,0.0193,0.0461,0.819,166,4
6zFMeegAMYQo0mt8rXtrli,"7jVv8c5Fj3E9VhNjxT4snq","HOLIDAY","HOLIDAY","Lil Nas X",2020-11-13,154997,74,spotify:user:2m5s06f2dc1e2nl3uhp9atba4,2022-10-23T19:30:55Z,"lgbtq+ hip hop,pop",0.81,0.511,5,-6.924,0,0.164,0.12,0,0.0832,0.837,151.947,4
67BtfxlNbhBmCDR2L2l8qd,"7jVv8c5Fj3E9VhNjxT4snq","MONTERO (Call Me By Your Name)","MONTERO (Call Me By Your Name)","Lil Nas X",2021-03-31,137875,77,spotify:user:2m5s06f2dc1e2nl3uhp9atba4,2022-10-23T19:30:59Z,"lgbtq+ hip hop,pop",0.61,0.508,8,-6.682,0,0.152,0.297,0,0.384,0.758,178.818,4
1000nHvUdawXuUHgBod4Wv,"7jVv8c5Fj3E9VhNjxT4snq","Panini","Panini","Lil Nas X",2019-09-13,114893,71,spotify:user:2m5s06f2dc1e2nl3uhp9atba4,2022-10-23T19:31:07Z,"lgbtq+ hip hop,pop",0.703,0.594,5,-6.146,0,0.0752,0.342,0,0.123,0.475,153.848,4
0TcJ7QWpggdSg8t0fHThHm,"1HY2Jd0NmPuamShAr6KMms","LoveGame","The Fame","Lady Gaga",2008-01-01,216333,71,spotify:user:2m5s06f2dc1e2nl3uhp9atba4,2022-10-24T04:59:56Z,"art pop,dance pop,pop",0.894,0.678,6,-5.611,0,0.0523,0.00569,0.00000243,0.317,0.844,105.024,4
