Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0wI7QkCcs8FUQE1OkXUIqd,"2wUjUUtkb5lvLKcGKsKqsR","Scars To Your Beautiful","Know-It-All","Alessia Cara",2015-11-13,230240,78,spotify:user:31cn5p3mvufjhyf7yvtpb7oxhdsq,2022-04-24T04:42:07Z,"canadian contemporary r&b,canadian pop,dance pop,pop,post-teen pop",0.573,0.739,0,-5.74,1,0.129,0.0285,0,0.111,0.451,97.085,4
1rfofaqEpACxVEHIZBJe6W,"4nDoRrQiYLoBzwC5BhVJzF,50co4Is1HCEo8bhOyUWKpn","Havana (feat. Young Thug)","Camila","Camila Cabello,Young Thug",2018-01-12,217306,79,spotify:user:31cn5p3mvufjhyf7yvtpb7oxhdsq,2022-04-24T04:42:10Z,"dance pop,pop,post-teen pop,atl hip hop,atl trap,gangster rap,hip hop,melodic rap,pop rap,rap,southern hip hop,trap",0.765,0.523,2,-4.333,1,0.03,0.184,0.0000356,0.132,0.394,104.988,4
3CJvmtWw2bJsudbAC5uCQk,"0C8ZW7ezQVs4URX5aX7Kqx","Hands To Myself","Revival (Deluxe)","Selena Gomez",2015-10-09,200680,68,spotify:user:31cn5p3mvufjhyf7yvtpb7oxhdsq,2022-04-24T04:42:11Z,"dance pop,pop,post-teen pop",0.811,0.499,5,-7.161,0,0.118,0.0147,0.00000244,0.342,0.466,111.016,4
2qT1uLXPVPzGgFOx4jtEuo,"66CXWjxzNUsdJxJ2JdwvnR","no tears left to cry","Sweetener","Ariana Grande",2018-08-17,205920,77,spotify:user:31cn5p3mvufjhyf7yvtpb7oxhdsq,2022-04-24T04:42:12Z,"dance pop,pop",0.699,0.713,9,-5.507,0,0.0594,0.04,0.00000311,0.294,0.354,121.993,4
50kpGaPAhYJ3sGmk6vplg0,"1uNFoZAHBGtllmzznpCI3s","Love Yourself","Purpose (Deluxe)","Justin Bieber",2015-11-13,233720,83,spotify:user:31cn5p3mvufjhyf7yvtpb7oxhdsq,2022-04-24T04:42:14Z,"canadian pop,pop",0.609,0.378,4,-9.828,1,0.438,0.835,0,0.28,0.515,100.418,4
3QGsuHI8jO1Rx4JWLUh9jd,"7n2wHs1TKAczGzO7Dd2rGr","Treat You Better","Illuminate","Shawn Mendes",2017-04-20,187973,84,spotify:user:31cn5p3mvufjhyf7yvtpb7oxhdsq,2022-04-24T04:42:15Z,"canadian pop,dance pop,pop,viral pop",0.444,0.819,10,-4.078,0,0.341,0.106,0,0.107,0.747,82.695,4
3e7sxremeOE3wTySiOhGiP,"5ZsFI1h6hIdQRw2ti0hz81,5WUlDfRSoLAfcVSX1WnrxN","Dusk Till Dawn (feat. Sia) - Radio Edit","Icarus Falls","ZAYN,Sia",2018-12-14,239000,78,spotify:user:31cn5p3mvufjhyf7yvtpb7oxhdsq,2022-04-24T04:42:17Z,"dance pop,pop,post-teen pop,uk pop,australian dance,australian pop",0.259,0.437,11,-6.589,0,0.0386,0.102,0.00000132,0.106,0.0951,180.042,4
2P91MQbaiQOfbiz9VqhqKQ,"5JZ7CnR6gTvEMKX4g70Amv","I Like Me Better","I met you when I was 18. (the playlist)","Lauv",2018-05-31,197436,73,spotify:user:31cn5p3mvufjhyf7yvtpb7oxhdsq,2022-04-24T04:42:26Z,"dance pop,electropop,pop",0.752,0.505,9,-7.621,1,0.253,0.535,0.00000255,0.104,0.419,91.97,4
7vRriwrloYVaoAe3a9wJHe,"3iri9nBFs9e4wN7PLIetAw,1QRj3hoop9Mv5VvHQkwPEp","i hate u, i love u (feat. olivia o'brien)","us","gnash,Olivia O'Brien",2016-03-25,251033,77,spotify:user:31cn5p3mvufjhyf7yvtpb7oxhdsq,2022-04-24T04:42:27Z,"pop,pop rap,alt z,dance pop,electropop,post-teen pop",0.492,0.275,6,-13.4,0,0.3,0.687,0,0.101,0.18,92.6,4
72gv4zhNvRVdQA0eOenCal,"6MDME20pz9RveH9rEXvrOM,1Xylc3o4UrD53lo9CvFvVg","Symphony (feat. Zara Larsson)","What Is Love? (Deluxe Edition)","Clean Bandit,Zara Larsson",2018-11-30,212733,75,spotify:user:31cn5p3mvufjhyf7yvtpb7oxhdsq,2022-04-24T04:42:31Z,"dance pop,edm,pop,pop dance,post-teen pop,tropical house,uk dance,uk funky,electropop,scandipop,swedish electropop,swedish pop",0.715,0.605,0,-5.128,0,0.0428,0.239,0.0000141,0.189,0.454,122.956,4
