Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
37vVp2sWHuuIBOSl1NswP6,"5arKwJZEvT5uKq4o0JfqR4","i'm yours","i'm yours","Isabel LaRosa",2022-10-28,145667,83,spotify:user:12128755886,2022-11-08T16:31:17Z,"hyperpop,pop",0.398,0.705,5,-7.07,0,0.0756,0.204,0.0000513,0.443,0.635,111.487,4
5CM4UuQ9Gnd6K2YyKGPMoK,"57vWImR43h4CaDao012Ofp","Bad Habit","Bad Habit","Steve Lacy",2022-06-29,232114,90,spotify:user:12128755886,2022-11-08T16:31:40Z,"afrofuturism",0.686,0.507,1,-7.097,1,0.0357,0.626,0.0000751,0.383,0.69,168.955,4
0tgVpDi06FyKpA1z0VMD4v,"6eUKZXaKkcviH0Ku9w2n3V","Perfect","÷ (Deluxe)","Ed Sheeran",2017-03-03,263400,87,spotify:user:12128755886,2022-11-08T16:31:44Z,"pop,uk pop",0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,3
2GiJYvgVaD2HtM8GqD9EgQ,"1KP6TWI40m7p3QBTU6u2xo","Electric Love","Dopamine","BØRNS",2015-10-16,218106,80,spotify:user:12128755886,2022-11-08T16:31:47Z,"modern rock,pop",0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,4
02MWAaffLxlfxAUY7c5dvx,"4yvcSjfu4PC0CYQyLy4wSq","Heat Waves","Dreamland (+ Bonus Levels)","Glass Animals",2020-08-06,238805,86,spotify:user:12128755886,2022-11-08T16:31:50Z,"gauze pop,indietronica,shiver pop",0.761,0.525,11,-6.9,1,0.0944,0.44,0.0000067,0.0921,0.531,80.87,4
3AVXwaOGCEL8cmBecfcsFJ,"6VuMaDnrHyPL1p4EHjYLi7","Light Switch","Light Switch (Instrumental)","Charlie Puth",2022-01-19,187703,71,spotify:user:12128755886,2022-11-08T16:31:56Z,"dance pop,pop,viral pop",0.69,0.626,6,-5.693,1,0.306,0.105,0.000335,0.0881,0.912,184.009,4
6I3mqTwhRpn34SLVafSH7G,"1uNFoZAHBGtllmzznpCI3s","Ghost","Justice","Justin Bieber",2021-03-19,153190,86,spotify:user:12128755886,2022-11-08T16:32:09Z,"canadian pop,pop",0.601,0.741,2,-5.569,1,0.0478,0.185,0.0000291,0.415,0.441,153.96,4
769Ld8demNhMgVLAQcjTDn,"2HPqVfdPh9JkBSlFG5hK6h","sun and moon","sun and moon","anees",2022-04-06,151507,74,spotify:user:12128755886,2022-11-08T16:32:13Z,"",0.815,0.442,6,-7.462,0,0.107,0.457,0,0.101,0.706,90.019,4
0e5UZadoZ5me957hKsxRYh,"164Uj4eKjl6zTBKfJLFKKK","golden hour","this is what ____ feels like (Vol. 1-4)","JVKE",2022-09-23,209259,56,spotify:user:12128755886,2022-11-08T16:32:18Z,"modern indie pop,pop",0.511,0.594,1,-4.799,0,0.0316,0.651,0.177,0.249,0.143,94.473,3
3rsZY9djzo1egB9OBJLuQ1,"164Uj4eKjl6zTBKfJLFKKK","this is what falling in love feels like","this is what ____ feels like (Vol. 1-4)","JVKE",2022-09-23,120308,52,spotify:user:12128755886,2022-11-08T16:32:22Z,"modern indie pop,pop",0.424,0.438,11,-5.53,1,0.0553,0.617,0,0.0837,0.325,128.983,5
