Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0kR3d1kzEIkVpj4tpJjglb,"7JSBgXyCDzX24iZCHJofIG","fck i wish","fck i wish","Levent Geiger",2022-10-28,193695,55,spotify:user:e020vkree8khod1a7bc82vfq1,2022-10-28T04:12:04Z,"",0.573,0.4,1,-7.791,1,0.0259,0.37,0,0.109,0.283,97.982,4
683Zokh8DyHi8UJCI6pz3k,"164Uj4eKjl6zTBKfJLFKKK","wonder if she loves me","this is what sadness feels like (214Hz)","JVKE",2022-10-05,160676,47,spotify:user:e020vkree8khod1a7bc82vfq1,2022-10-28T04:12:09Z,"modern indie pop,pop",0.463,0.58,0,-3.664,1,0.128,0.598,0,0.622,0.454,83.995,4
1p61zyWNtBhbbAFzg4HUiq,"1qDDkysTxJvFandHwP9CMx","Hello Beautiful","Hello Beautiful","Noah Schnacky",2018-01-27,216992,54,spotify:user:e020vkree8khod1a7bc82vfq1,2022-10-28T04:12:15Z,"contemporary country,country pop",0.504,0.472,9,-6.925,1,0.0404,0.54,0,0.306,0.313,73.521,4
6lanRgr6wXibZr8KgzXxBl,"7H55rcKCfwqkyDFH9wpKM6","A Thousand Years","A Thousand Years","Christina Perri",2011-10-18,285120,80,spotify:user:e020vkree8khod1a7bc82vfq1,2022-10-28T04:12:19Z,"dance pop,neo mellow,pop,pop rock,post-teen pop",0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028,3
3m9MKNTdPmsKJRqrhqQnhW,"6qGkLCMQkNGOJ079iEcC5k","Imagine - Acoustic","Imagine (Acoustic)","Ben Platt",2021-06-11,181914,41,spotify:user:e020vkree8khod1a7bc82vfq1,2022-10-28T04:12:23Z,"hollywood,pop,show tunes",0.617,0.227,1,-9.59,1,0.0321,0.815,0,0.102,0.367,94.101,4
3XoYqtiWHhsk59frZupImG,"18MFcGBHtyW0mU3ufcm0X1,5PYToRCsrnvikZg3yl2JMr","What Else Can I Do?","Encanto (Original Motion Picture Soundtrack)","Diane Guerrero,Stephanie Beatriz",2021-11-19,179426,71,spotify:user:e020vkree8khod1a7bc82vfq1,2022-10-28T04:12:27Z,"hollywood",0.718,0.709,4,-5.568,1,0.039,0.258,0,0.101,0.54,119.974,4
1p80LdxRV74UKvL8gnD7ky,"06HL4z0CvFAxyc27GXpf02","Blank Space","1989","Taylor Swift",2014-10-27,231826,75,spotify:user:e020vkree8khod1a7bc82vfq1,2022-10-28T04:12:32Z,"pop",0.753,0.678,5,-5.421,1,0.0644,0.085,0.00000164,0.13,0.583,96.006,4
1hGy2eLcmC8eKx7qr1tOqx,"6S0dmVVn4udvppDhZIWxCr","Beautiful Girls","Beautiful Girls","Sean Kingston",2007-07-23,225373,77,spotify:user:e020vkree8khod1a7bc82vfq1,2022-10-28T04:12:36Z,"dance pop,miami hip hop,pop,post-teen pop,rap,urban contemporary",0.762,0.661,1,-6.075,0,0.0687,0.15,0,0.256,0.769,130.009,4
1c8gk2PeTE04A1pIDH9YMk,"4dpARuHxo51G3z768sgnrY","Rolling in the Deep","21","Adele",2011-01-24,228093,79,spotify:user:e020vkree8khod1a7bc82vfq1,2022-10-28T04:12:40Z,"british soul,pop,pop soul,uk pop",0.73,0.769,8,-5.114,1,0.0298,0.138,0,0.0473,0.507,104.948,4
3u6YTdxBfx3dzIC5qJ9Afu,"34bhyY8jfKez7uKakMfy4y","Strangers","Strangers","Maddie & Tae",2022-01-07,212666,53,spotify:user:e020vkree8khod1a7bc82vfq1,2022-10-28T04:12:45Z,"contemporary country,country,country road",0.534,0.632,3,-5.833,1,0.03,0.515,0,0.0922,0.227,143.866,4
