Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3mRLHiSHYtC8Hk7bzZdUs1,"0yb46jwm7gqbZXVXZQ8Z1e","River","Church Of Scars","Bishop Briggs",2018-04-20,216133,73,spotify:user:1297777658,2020-08-27T22:10:58Z,"electropop,modern alternative rock,modern rock,pop",0.733,0.477,2,-6.737,0,0.0687,0.302,0.00000297,0.0579,0.545,62.507,4
4BggEwLhGfrbrl7JBhC8EC,"4iSKnRZAxkmqNok6tv10Se","Butterfly","The Gift Of Game","Crazy Town",1999-11-04,216733,72,spotify:user:1297777658,2022-03-21T22:08:06Z,"alternative metal,funk metal,nu metal,rap rock",0.736,0.811,9,-4.17,0,0.081,0.00132,0.000142,0.107,0.609,103.502,4
5ka2ajep9OAvU5Sgduhiex,"1HY2Jd0NmPuamShAr6KMms","Applause","ARTPOP","Lady Gaga",2013-11-11,212333,72,spotify:user:1297777658,2020-08-27T22:09:15Z,"art pop,dance pop,pop",0.669,0.78,7,-4.287,0,0.053,0.0265,0.00000163,0.143,0.738,139.945,4
6WkJ2OK163XXS2oARUC9JM,"77qukKzmdI5BeMBR7WGUrN,17TFSnqADESRM8BPSaM5aB,6dqohi36avY0M9urnyhITr","Dancin (feat. Luvli) - Krono Remix","Dancin (feat. Luvli) [Krono Remix]","Aaron Smith,Krono,Luvli",2014-11-07,198053,77,spotify:user:1297777658,2020-08-27T22:11:37Z,"chicago house",0.72,0.741,10,-6.529,0,0.0287,0.101,0.0000141,0.289,0.357,119.896,4
2WfaOiMkCvy7F5fcp2zZ8L,"2jzc5TC5TVFLXQlBNiIUzE","Take on Me","Hunting High and Low","a-ha",1985-06-01,225280,84,spotify:user:1297777658,2021-06-24T13:33:50Z,"new romantic,new wave,new wave pop,permanent wave,soft rock,synthpop",0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,4
6iLxKpMf3pPoOv3Mnys9Tr,"4M84umUNRbZy1mJleyyRM9","Stamina","Rave Age","Vitalic",2012,222426,0,spotify:user:1297777658,2020-08-27T22:09:33Z,"alternative dance,electro house,electroclash,electronica,filter house,french techno,new rave",0.533,0.992,7,-2.06,1,0.471,0.0736,0.000033,0.104,0.306,132.981,4
5gqLY5H1ZyT3BScVr0nDMs,"6cK3NBO6uP7hh0oyuVELFl,0tu3jGW89NZZ8qrpd8c7xC","Sway With Me (with GALXARA)","Sway With Me (with GALXARA)","Saweetie,GALXARA",2020-01-31,168018,59,spotify:user:1297777658,2021-02-25T13:36:59Z,"cali rap,dance pop,pop,rap,trap queen,la pop",0.621,0.849,3,-4.243,0,0.0489,0.00468,0.000005,0.328,0.875,130.979,4
1mz9ZrRYu3EPVg9ZHFtjjf,"3r17AfJCCUqC9Lf0OAc73G,3ZotbHeyVQKxQCPDJuQ4SU,53sIBaVjXQhfH89Vu6nEGh","A Little Party Never Killed Nobody (All We Got)","Music From Baz Luhrmann's Film The Great Gatsby (Deluxe Edition)","Fergie,Q-Tip,GoonRock",2013-01-01,240906,1,spotify:user:1297777658,2020-08-27T22:12:33Z,"dance pop,pop,post-teen pop,rap,urban contemporary,alternative hip hop,east coast hip hop,hardcore hip hop,hip hop,neo soul,queens hip hop",0.763,0.653,5,-5.05,0,0.149,0.00876,0.00000546,0.0854,0.477,130.025,4
48BTk7yMhhGGZUQp2LHWjr,"1bj5GrcLom5gZFF5t949Xl,4GLJPBj5Cdr9AgLKvLWM4n","Hello - Radio Edit","Hello","Martin Solveig,Dragonette",2010-11-01,191477,37,spotify:user:1297777658,2020-11-12T12:53:42Z,"dance pop,disco house,edm,electro house,filter house,house,pop dance,tropical house,vocal house,alternative dance,canadian electropop,canadian pop,dance rock,electropop,metropopolis,neo-synthpop",0.664,0.965,3,-3.469,1,0.0351,0.0111,0.00144,0.0778,0.435,127.994,4
3bidbhpOYeV4knp8AIu8Xn,"5BcAKTbp20cv7tC5VqPFoC,3JhNCzhSMTxs9WLGJJxWOY,4myTppRgh0rojLxx8RycOp,4e0nWw2r4BoQSKPQ2zpU13","Can't Hold Us (feat. Ray Dalton)","The Heist","Macklemore & Ryan Lewis,Macklemore,Ryan Lewis,Ray Dalton",2012-10-09,258342,81,spotify:user:1297777658,2020-08-27T22:09:59Z,"dance pop,pop,pop rap,seattle hip hop",0.641,0.922,2,-4.457,1,0.0786,0.0291,0,0.0862,0.847,146.078,4
