Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6v3KW9xbzN5yKLt9YKDYA2,"7n2wHs1TKAczGzO7Dd2rGr,4nDoRrQiYLoBzwC5BhVJzF","Señorita","Shawn Mendes (Deluxe)","Shawn Mendes,Camila Cabello",2019-06-19,190799,80,spotify:user:fm8zp8w658g7ibbljmp6x7zax,2021-12-02T19:35:01Z,"canadian pop,dance pop,pop,viral pop,post-teen pop",0.759,0.548,9,-6.049,0,0.029,0.0392,0,0.0828,0.749,116.967,4
3JvKfv6T31zO0ini8iNItO,"2txHhyCwHjUEpJjWrEyqyX","Another Love","Long Way Down (Deluxe)","Tom Odell",2013-06-24,244360,93,spotify:user:fm8zp8w658g7ibbljmp6x7zax,2021-12-02T19:35:29Z,"chill pop,pop",0.445,0.537,4,-8.532,0,0.04,0.695,0.0000165,0.0944,0.131,122.769,4
2ZvsMMI4aOkMUo92MKQzFI,"0r0KdmVS1Er3kaFnl1KPog","Walk","Walk","Kwabs",2014-09-26,214149,59,spotify:user:fm8zp8w658g7ibbljmp6x7zax,2021-12-02T19:35:52Z,"gauze pop,tropical house",0.615,0.814,9,-3.903,0,0.0677,0.17,0,0.218,0.577,144.005,4
7a53HqqArd4b9NF4XAmlbI,"4npEfmQ6YuiwW1GpUmaq3F","Kings & Queens","Heaven & Hell","Ava Max",2020-09-18,162398,80,spotify:user:fm8zp8w658g7ibbljmp6x7zax,2021-12-02T19:36:12Z,"dance pop,pop",0.637,0.69,1,-4.057,0,0.0405,0.00786,0,0.124,0.457,129.857,4
28VbwtsYnj85UEODGpQRem,"7vk5e3vY1uw9plTHJAMwjN,4npEfmQ6YuiwW1GpUmaq3F","Alone, Pt. II","World Of Walker","Alan Walker,Ava Max",2021-11-26,179052,71,spotify:user:fm8zp8w658g7ibbljmp6x7zax,2021-12-02T19:36:15Z,"electro house,dance pop,pop",0.673,0.659,3,-4.493,0,0.0439,0.539,0,0.129,0.628,88.011,4
5iyZwawawLjHYpX4MxUKVF,"4npEfmQ6YuiwW1GpUmaq3F","Salt","Heaven & Hell","Ava Max",2020-09-18,180283,70,spotify:user:fm8zp8w658g7ibbljmp6x7zax,2021-12-02T19:36:18Z,"dance pop,pop",0.693,0.835,6,-3.242,1,0.0624,0.131,0,0.073,0.744,128.052,4
2XU0oxnq2qxCpomAAuJY8K,"2NjfBq1NflQcKSeiDooVjY","Dance Monkey","Dance Monkey (Stripped Back) / Dance Monkey","Tones And I",2019-10-17,209438,77,spotify:user:fm8zp8w658g7ibbljmp6x7zax,2021-12-02T19:37:11Z,"australian pop,pop",0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,4
55MIRLbZzpYSmMlRt9ZDWM,"2garjIdgTW5i89s4Z3UT72,2WHbNs4WT5ZN7rbjDqbyEE,6G9bygHlCyPgNGxK2l3YdE,6mXcTwoata1hkaDMbkzw32,6RKS67sIPOW16NcGWkgdzF,5jMxsWwmiQl6lRo01xHMmG","30/90","tick, tick... BOOM! (Soundtrack from the Netflix Film)","Andrew Garfield,Joshua Henry,Vanessa Hudgens,Robin de Jesus,Alexandra Shipp,MJ Rodriguez",2021-11-12,262505,66,spotify:user:fm8zp8w658g7ibbljmp6x7zax,2021-12-02T19:37:55Z,"hollywood,show tunes,dance pop,pop,post-teen pop",0.466,0.789,0,-5.956,1,0.0663,0.0146,0,0.0637,0.36,175.772,4
2VTV4bEfzyucxLy3a3vXds,"2garjIdgTW5i89s4Z3UT72,6mXcTwoata1hkaDMbkzw32","No More","tick, tick... BOOM! (Soundtrack from the Netflix Film)","Andrew Garfield,Robin de Jesus",2021-11-12,191351,51,spotify:user:fm8zp8w658g7ibbljmp6x7zax,2021-12-02T19:38:04Z,"hollywood,show tunes",0.248,0.873,2,-5.057,1,0.0971,0.0717,0,0.272,0.589,192.687,4
0KOfXUaqb9KDBuDR8miBsv,"7i3os1iEWOn5UpaylRiMw5","Play Game","tick, tick... BOOM! (Soundtrack from the Netflix Film)","Tariq Trotter",2021-11-12,72558,43,spotify:user:fm8zp8w658g7ibbljmp6x7zax,2021-12-02T19:38:23Z,"",0.893,0.704,11,-7.568,0,0.196,0.0215,0.00046,0.505,0.743,103.064,4
