Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
78QR3Wp35dqAhFEc2qAGjE,"5f7VJjfbwm532GiveGC0ZK,2hlmm7s2ICUX0LVIhVFlZQ","Drip Too Hard (Lil Baby & Gunna)","Drip Harder","Lil Baby,Gunna",2018-10-05,145542,84,spotify:user:313wazggb7mkoes76a7igu3cq3jy,2022-01-01T02:11:17Z,"atl hip hop,atl trap,rap,trap,hip hop,melodic rap",0.897,0.662,1,-6.903,0,0.292,0.0852,0,0.534,0.389,112.511,4
5BbdKBZO0TH0GhfxUfyhL9,"5f7VJjfbwm532GiveGC0ZK","Freestyle","Too Hard","Lil Baby",2017-12-01,162053,83,spotify:user:313wazggb7mkoes76a7igu3cq3jy,2022-06-23T13:29:17Z,"atl hip hop,atl trap,rap,trap",0.877,0.517,2,-5.426,0,0.0706,0.217,0,0.143,0.255,119.996,4
02RCbjb9czvQKNGBmEmWob,"5f7VJjfbwm532GiveGC0ZK","Woah","My Turn","Lil Baby",2020-02-28,183011,65,spotify:user:313wazggb7mkoes76a7igu3cq3jy,2022-06-23T13:29:31Z,"atl hip hop,atl trap,rap,trap",0.883,0.599,11,-5.551,1,0.248,0.0177,0,0.179,0.413,142.976,4
4lUmnwRybYH7mMzf16xB0y,"5f7VJjfbwm532GiveGC0ZK,3hcs9uc56yIGFCSy9leWe7,0Y5tJX1MQlPlqiwlOH1tJY","Hats Off (feat. Travis Scott)","The Voice of the Heroes","Lil Baby,Lil Durk,Travis Scott",2021-06-04,257428,68,spotify:user:313wazggb7mkoes76a7igu3cq3jy,2022-09-02T02:17:24Z,"atl hip hop,atl trap,rap,trap,chicago drill,chicago rap,drill,hip hop,slap house",0.596,0.65,9,-5.167,1,0.337,0.138,0,0.14,0.188,133.997,4
577YBGuskWkVDCxZrLRB4v,"5f7VJjfbwm532GiveGC0ZK","Pure Cocaine","Street Gossip","Lil Baby",2018-11-30,154023,80,spotify:user:313wazggb7mkoes76a7igu3cq3jy,2022-09-07T20:24:28Z,"atl hip hop,atl trap,rap,trap",0.964,0.487,10,-6.071,0,0.421,0.00127,0.00000657,0.115,0.107,127.05,4
3ihIZrJreMJPjQdNLrEXnP,"5f7VJjfbwm532GiveGC0ZK","In A Minute","In A Minute","Lil Baby",2022-04-07,200470,74,spotify:user:313wazggb7mkoes76a7igu3cq3jy,2022-09-11T23:09:50Z,"atl hip hop,atl trap,rap,trap",0.643,0.605,4,-5.968,0,0.297,0.0336,0,0.112,0.145,84.216,4
1EJIcDYXwSqipW5dFe4uJz,"0QHgL1lAIqAw0HtD7YldmP,5f7VJjfbwm532GiveGC0ZK,3hcs9uc56yIGFCSy9leWe7","EVERY CHANCE I GET (feat. Lil Baby & Lil Durk)","KHALED KHALED","DJ Khaled,Lil Baby,Lil Durk",2021-04-30,236524,77,spotify:user:313wazggb7mkoes76a7igu3cq3jy,2022-09-11T23:10:12Z,"hip hop,miami hip hop,pop rap,rap,southern hip hop,trap,atl hip hop,atl trap,chicago drill,chicago rap,drill",0.477,0.727,2,-4.053,1,0.286,0.000866,0,0.108,0.227,150.062,4
2bSk87AVkCIIC3Bcligq1z,"5f7VJjfbwm532GiveGC0ZK,2hlmm7s2ICUX0LVIhVFlZQ,4O15NlyKLIASxsJ0PrXPfz","Life Goes On","Harder Than Ever","Lil Baby,Gunna,Lil Uzi Vert",2018-05-18,247054,75,spotify:user:313wazggb7mkoes76a7igu3cq3jy,2022-09-25T14:59:33Z,"atl hip hop,atl trap,rap,trap,hip hop,melodic rap,philly rap",0.716,0.541,1,-7.909,1,0.149,0.0021,0,0.115,0.387,139.978,4
4TIqzdAssasqx3DAe6cG9J,"6C1ohJrd5VydigQtaGy5Wa,5f7VJjfbwm532GiveGC0ZK","Ramen & OJ","Ramen & OJ","Joyner Lucas,Lil Baby",2021-04-30,218447,74,spotify:user:313wazggb7mkoes76a7igu3cq3jy,2022-10-01T14:45:54Z,"boston hip hop,hip hop,pop rap,rap,atl hip hop,atl trap,trap",0.597,0.571,1,-6.205,0,0.293,0.492,0,0.093,0.165,106.196,3
6ws54n2IzyrIxxyzlG2bVJ,"5f7VJjfbwm532GiveGC0ZK","Right On","Right On","Lil Baby",2022-04-08,213975,73,spotify:user:313wazggb7mkoes76a7igu3cq3jy,2022-10-02T14:20:22Z,"atl hip hop,atl trap,rap,trap",0.535,0.618,2,-5.668,1,0.382,0.0245,0,0.103,0.211,165.991,4
