Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2vWRTp3sXuypomgPCLCITl,"1wy3aUzWqo8Ki6U7Zgp6Zz","Confident","Chakra","Magix",2020-12-31,276665,0,spotify:user:fqb1o8pm7msmwf9x2agub085f,2021-03-08T21:36:46Z,"",0.693,0.399,10,-11.912,0,0.0832,0.133,0,0.231,0.853,118.681,4
60ynsPSSKe6O3sfwRnIBRf,"5cj0lLjcoR7YOSnhnX0Po5","Streets","Hot Pink","Doja Cat",2019-11-07,226986,82,spotify:user:fqb1o8pm7msmwf9x2agub085f,2021-09-09T21:18:09Z,"dance pop,pop",0.749,0.463,11,-8.433,1,0.0842,0.21,0.0382,0.338,0.189,90.035,4
0PDUDa38GO8lMxLCRc4lL1,"5ZsFI1h6hIdQRw2ti0hz81","PILLOWTALK","Mind Of Mine (Deluxe Edition)","ZAYN",2016-03-25,202746,77,spotify:user:fqb1o8pm7msmwf9x2agub085f,2021-10-29T20:50:06Z,"dance pop,pop,post-teen pop,uk pop",0.584,0.7,11,-4.275,1,0.0456,0.117,0,0.0939,0.438,124.944,4
3WnTQDd9A3bpBfzCziElU9,"6Xgp2XMz1fhVYe7i6yNAax,2HPaUgqeutzr3jx5a9WyDV","Excitement","Excitement","Trippie Redd,PARTYNEXTDOOR",2020-05-15,283270,65,spotify:user:fqb1o8pm7msmwf9x2agub085f,2021-11-03T11:21:55Z,"melodic rap,rap,trap,pop,r&b,toronto rap,urban contemporary",0.474,0.681,4,-3.473,0,0.038,0.0263,0.0000427,0.0972,0.0384,121.96,4
08zJpaUQVi9FrKv2e32Bah,"3KV3p5EY4AvKxOlhGHORLg,6l3HvQ5sa6mXTsMTB19rO5","Planez","Late Nights: The Album","Jeremih,J. Cole",2015-12-04,240320,70,spotify:user:fqb1o8pm7msmwf9x2agub085f,2021-12-03T23:47:29Z,"chicago rap,dance pop,pop,pop rap,r&b,urban contemporary,conscious hip hop,hip hop,north carolina hip hop,rap",0.688,0.556,6,-7.738,1,0.264,0.7,0.00000187,0.108,0.416,129.336,4
3A7Etq2wGE9cYqLIma97Tt,"2joIhhX3Feq47H4QXVDOr3","Aphrodite","After the Sun","RINI",2018-10-31,271000,61,spotify:user:fqb1o8pm7msmwf9x2agub085f,2022-01-05T21:17:26Z,"australian r&b,bedroom soul,chill r&b,pop",0.717,0.298,6,-9.237,0,0.0394,0.555,0.00293,0.0997,0.262,116.039,4
7fBv7CLKzipRk6EC6TWHOB,"1Xyo4u8uXC1ZmMpatF05PJ","The Hills","Beauty Behind The Madness","The Weeknd",2015-08-28,242253,86,spotify:user:fqb1o8pm7msmwf9x2agub085f,2022-03-01T11:14:50Z,"canadian contemporary r&b,canadian pop,pop",0.585,0.564,0,-7.063,0,0.0515,0.0671,0,0.135,0.137,113.003,4
5TVirkSwFEXF1nLJEebe2I,"4GvEc3ANtPPjt1ZJllr5Zl","Beautiful","COSMIC","Bazzi",2018-04-12,178242,67,spotify:user:fqb1o8pm7msmwf9x2agub085f,2022-03-03T19:13:12Z,"dance pop,electropop,pop",0.666,0.677,2,-5.743,1,0.0326,0.214,0,0.0979,0.178,100.014,4
4Li8dc3ucCesQJMKErU5zM,"5ZS223C6JyBfXasXxrRqOk","living room flow - Bonus","Sailing Soul(s)","Jhené Aiko",2021-03-19,262480,60,spotify:user:fqb1o8pm7msmwf9x2agub085f,2022-03-16T18:20:53Z,"pop,r&b,urban contemporary",0.698,0.423,7,-9.598,1,0.0731,0.607,0.000296,0.0968,0.311,125.011,4
1ip2IGDWMrUmlaepEbWlL8,"0X2BH1fck6amBIoJhDVmmJ","Love Me Like You Do - From Fifty Shades Of Grey","Fifty Shades Of Grey (Original Motion Picture Soundtrack)","Ellie Goulding",2015-02-10,250266,61,spotify:user:fqb1o8pm7msmwf9x2agub085f,2022-04-07T12:02:47Z,"dance pop,edm,electropop,indietronica,metropopolis,pop,post-teen pop,uk pop",0.258,0.659,5,-5.903,0,0.0596,0.253,0,0.111,0.272,189.558,4
