Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
23OYT3SFtoJqhiAUqktbc1,"6AgTAQt8XS6jRWi4sX7w49,2tIP7SsRs7vjIcLrU85W8J,3hcs9uc56yIGFCSy9leWe7","No Return (with The Kid LAROI & Lil Durk)","Hall of Fame","Polo G,The Kid LAROI,Lil Durk",2021-06-11,168728,63,spotify:user:22yodynepnaymqmy3iymnnldy,2022-07-27T04:29:57Z,"chicago rap,rap,australian hip hop,pop,chicago drill,drill,hip hop,trap",0.479,0.645,5,-7.336,0,0.302,0.135,0,0.0825,0.381,155.057,4
4eNOLmx8r2IJAVKvBBL1jv,"6jGMq4yGs7aQzuGsMgVgZR,6AgTAQt8XS6jRWi4sX7w49,14CHVeJGrR5xgUGQFV5BVM","Headshot (feat. Polo G & Fivio Foreign)","Destined 2 Win","Lil Tjay,Polo G,Fivio Foreign",2021-04-02,144349,74,spotify:user:22yodynepnaymqmy3iymnnldy,2022-07-27T04:33:13Z,"brooklyn drill,melodic rap,nyc rap,chicago rap,rap,new york drill,trap",0.808,0.639,1,-7.266,0,0.279,0.0802,0,0.15,0.395,118,4
7uLFOXgLrS90tEYPO1DGXy,"31W5EY0aAly4Qieq6OFu6I","Man in the Mirror","B4 AVA","A Boogie Wit da Hoodie",2021-12-10,215303,70,spotify:user:22yodynepnaymqmy3iymnnldy,2022-07-29T18:15:46Z,"melodic rap,rap,trap",0.849,0.631,3,-4.241,0,0.0637,0.171,0,0.149,0.55,135.997,4
2297mxrYLBAC4XkhXs39If,"6QtgPSJPSzcnn7dPZ4VINp","Armed & Dangerous","Welcome to O'Block","King Von",2020-10-30,122680,69,spotify:user:22yodynepnaymqmy3iymnnldy,2022-07-27T04:33:41Z,"chicago rap",0.696,0.592,1,-6.281,1,0.319,0.152,0,0.127,0.232,188.051,4
3oD8cDM3m7cl3Zc38uxyK4,"6QtgPSJPSzcnn7dPZ4VINp","Demon","Welcome to O'Block","King Von",2020-10-30,133933,62,spotify:user:22yodynepnaymqmy3iymnnldy,2022-07-27T04:33:57Z,"chicago rap",0.792,0.687,8,-7.506,1,0.25,0.16,0,0.168,0.356,140.008,4
5NOUjBikzECEJyZMTxtErD,"6QtgPSJPSzcnn7dPZ4VINp,6AgTAQt8XS6jRWi4sX7w49","The Code (feat. Polo G)","Welcome to O'Block","King Von,Polo G",2020-10-30,202413,65,spotify:user:22yodynepnaymqmy3iymnnldy,2022-07-27T04:34:03Z,"chicago rap,rap",0.831,0.62,6,-8.397,0,0.338,0.0582,0,0.119,0.568,133.17,4
6FKbgWZ7KgpSk7tvFP7eEc,"6QtgPSJPSzcnn7dPZ4VINp,14CHVeJGrR5xgUGQFV5BVM","I Am What I Am (feat. Fivio Foreign)","Welcome to O'Block","King Von,Fivio Foreign",2020-10-30,218000,57,spotify:user:22yodynepnaymqmy3iymnnldy,2022-07-27T04:34:18Z,"chicago rap,brooklyn drill,new york drill,rap,trap",0.798,0.673,1,-5.628,1,0.289,0.0746,0,0.126,0.405,141.12,4
3mZNztgWFsvm9wfcqSOdKg,"0eDvMgVFoNV3TpwtrVCoTj,6jGMq4yGs7aQzuGsMgVgZR","Mood Swings (feat. Lil Tjay)","Shoot For The Stars Aim For The Moon (Deluxe)","Pop Smoke,Lil Tjay",2020-07-20,213333,51,spotify:user:22yodynepnaymqmy3iymnnldy,2022-07-27T04:34:34Z,"brooklyn drill,melodic rap,nyc rap",0.48,0.602,10,-6.335,0,0.368,0.487,0,0.0848,0.269,179.798,4
2UYGC1AQpguCOBJRQUOeeU,"0eDvMgVFoNV3TpwtrVCoTj","Got It On Me","Shoot For The Stars Aim For The Moon (Deluxe)","Pop Smoke",2020-07-20,164579,54,spotify:user:22yodynepnaymqmy3iymnnldy,2022-07-27T04:34:44Z,"brooklyn drill",0.688,0.647,2,-7.258,1,0.19,0.00815,0.0000165,0.095,0.195,88.834,4
5UuU1fZixqwZRwjHYzWP0l,"0eDvMgVFoNV3TpwtrVCoTj","Dior - Bonus","Shoot For The Stars Aim For The Moon (Deluxe)","Pop Smoke",2020-07-20,216243,48,spotify:user:22yodynepnaymqmy3iymnnldy,2022-07-27T04:34:50Z,"brooklyn drill",0.676,0.746,7,-7.837,1,0.344,0.0893,0.00157,0.412,0.675,142.035,4
