Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1xxJiB2B3rMw8g85PPtcN7,"3RukKIu27TAGLJ4VT5mNRz","น้ำแดงน้ำส้ม","น้ำแดงน้ำส้ม","JV.JARVIS",2021-04-09,156373,59,spotify:user:31p54vhghancu7db6b6suz2qls7q,2022-09-13T09:56:50Z,"thai viral pop",0.845,0.631,9,-9.567,1,0.217,0.456,0.00000213,0.137,0.526,132.084,4
41UQTit03jSLz0DoUZ3Eux,"1IEqJhjUAA0qZ6L020TQdt","Aarmabh Hai Prachand X Polozehnie","Aarmabh Hai Prachand X Polozehnie","Shrylox",2022-06-27,201562,54,spotify:user:31p54vhghancu7db6b6suz2qls7q,2022-09-13T09:58:37Z,"",0.645,0.53,1,-9.573,0,0.0803,0.536,0.0006,0.0946,0.315,106.216,4
3dsyqPDiWYYilRZNBxgxHE,"540vIaP2JwjQb9dm3aArA4","Magenta Riddim","Carte Blanche","DJ Snake",2019-07-25,194490,63,spotify:user:31p54vhghancu7db6b6suz2qls7q,2022-09-13T09:58:47Z,"dance pop,edm,electronic trap,pop,pop dance,pop rap",0.602,0.892,10,-3.66,0,0.0672,0.000393,0.813,0.304,0.57,102.047,4
2HCMpBDHEAFNcQYDQoDgXo,"4RSyJzf7ef6Iu2rnLdabNq,7vWBZm3sQ8yQvfV4nXxHXK","Paris","Une seule vie (Collector)","Willy William,Cris Cab",2016-09-16,195386,52,spotify:user:31p54vhghancu7db6b6suz2qls7q,2022-09-13T09:58:56Z,"francoton,indie pop rap",0.756,0.79,8,-4.978,1,0.0374,0.0307,0.000157,0.146,0.234,102.018,4
7GJ572zvnU94VZVrj5XRtb,"6ujr1NkqbZpYOhquczUUfl","Spirits","Hope","The Strumbellas",2016-04-22,203653,55,spotify:user:31p54vhghancu7db6b6suz2qls7q,2022-09-13T09:59:04Z,"canadian indie,folk-pop,pop rock,stomp and holler",0.556,0.658,0,-6.075,1,0.0265,0.164,0,0.113,0.787,80.529,4
7CltfHhdGM2Ud0UulrLKXT,"4fwF6E3rQ2hAO1CuYD4PKF","Lai Lai Lai","Lai Lai Lai","Realkdmusic",2020-09-02,125543,48,spotify:user:31p54vhghancu7db6b6suz2qls7q,2022-09-13T09:59:14Z,"",0.278,0.548,3,-8.335,1,0.204,0.0387,0.251,0.0801,0.488,187.593,4
0nbXyq5TXYPCO7pr3N8S4I,"757aE44tKEUQEqRuT6GnEB","The Box","Please Excuse Me for Being Antisocial","Roddy Ricch",2019-12-06,196652,80,spotify:user:31p54vhghancu7db6b6suz2qls7q,2022-09-13T09:59:23Z,"melodic rap,rap,trap",0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971,4
5rAUZy2eDdegBxUVYxePK2,"73jlPRxT7z5xk29sMqFDjU,647D92XNDYTUt5A0idePJ4,6Hpe3EZqFMWYtJ61D0GjSa","In The End - Mellen Gi Remix","In The End","Tommee Profitt,Fleurie,Mellen Gi",2019-03-22,218188,72,spotify:user:31p54vhghancu7db6b6suz2qls7q,2022-09-13T09:59:31Z,"anthem worship,indie poptimism,nashville singer-songwriter",0.618,0.611,7,-6.654,0,0.11,0.477,0.0333,0.162,0.224,88.07,4
1a4k2osHzhVwhvgINJERyN,"73jBynjsVtofjRpdpRAJGk","He's a Pirate - Hans Zimmer vs Dimitri Vegas & Like Mike / Bonus Track","Pirates of the Caribbean: Dead Men Tell No Tales (Original Motion Picture Soundtrack)","Dimitri Vegas & Like Mike",2017-05-26,210973,50,spotify:user:31p54vhghancu7db6b6suz2qls7q,2022-09-13T09:59:38Z,"belgian dance,belgian edm,big room,dance pop,edm,electro house,pop dance,progressive electro house,tropical house",0.631,0.918,2,-4.92,0,0.0374,0.00116,0.387,0.101,0.338,112.489,3
65uoaqX5qcjXZRheAj1qQT,"0FEJqmeLRzsXj8hgcZaAyB","Dernière danse","Mini World","Indila",2014-01-01,213493,75,spotify:user:31p54vhghancu7db6b6suz2qls7q,2022-09-13T09:59:59Z,"french pop",0.669,0.449,0,-7.658,0,0.0489,0.184,0,0.0729,0.327,114.926,4
