Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
59IqCFx50pTdpyWa8mL7fh,"78rUTD7y6Cy67W1RVzYs7t","Pain","Pain","PinkPantheress",2021-02-05,98544,0,spotify:user:vgglgrgd5yr0bc5oyi3zaoybt,2021-07-13T00:30:24Z,"",0.828,0.616,1,-8.498,1,0.14,0.227,0.00304,0.0618,0.812,125.594,4
3P9P3Lq1IGsyhmNrnank0v,"1iJdyDcY98X3GMnUesl7tf","SOLVED THE PROBLEM","BAWSKEE 3.5","Comethazine",2019-07-26,117073,0,spotify:user:vgglgrgd5yr0bc5oyi3zaoybt,2021-07-13T00:30:44Z,"rap,trap,underground hip hop,vapor trap,viral rap",0.935,0.699,10,-10.394,0,0.25,0.00278,0.0000152,0.101,0.683,98.44,4
1hz7SRTGUNAtIQ46qiNv2p,"4V8LLVI7PbaPR0K2TGSxFF","GONE, GONE / THANK YOU","IGOR","Tyler, The Creator",2019-05-17,375386,77,spotify:user:vgglgrgd5yr0bc5oyi3zaoybt,2021-07-13T00:30:53Z,"hip hop,rap",0.518,0.492,10,-8.436,0,0.193,0.216,0.0012,0.146,0.471,78.848,4
3w3y8KPTfNeOKPiqUTakBh,"0du5cEVh5yTK9QJze8zA0C","Locked out of Heaven","Unorthodox Jukebox","Bruno Mars",2012-12-07,233478,86,spotify:user:vgglgrgd5yr0bc5oyi3zaoybt,2021-07-13T00:31:03Z,"dance pop,pop",0.726,0.698,5,-4.165,1,0.0431,0.049,0,0.309,0.867,143.994,4
3GCdLUSnKSMJhs4Tj6CV3s,"2YZyLoL8N0Wb9xBt1NhZWg,7tYKF4w9nC0nq9CsPZTHyP","All The Stars (with SZA)","Black Panther The Album Music From And Inspired By","Kendrick Lamar,SZA",2018-02-09,232186,83,spotify:user:vgglgrgd5yr0bc5oyi3zaoybt,2021-07-13T00:31:23Z,"conscious hip hop,hip hop,rap,west coast rap,pop,r&b",0.698,0.633,8,-4.946,1,0.0597,0.0605,0.000194,0.0926,0.552,96.924,4
60ynsPSSKe6O3sfwRnIBRf,"5cj0lLjcoR7YOSnhnX0Po5","Streets","Hot Pink","Doja Cat",2019-11-07,226986,82,spotify:user:vgglgrgd5yr0bc5oyi3zaoybt,2021-07-13T00:31:28Z,"dance pop,pop",0.749,0.463,11,-8.433,1,0.0842,0.21,0.0382,0.338,0.189,90.035,4
7KA4W4McWYRpgf0fWsJZWB,"4V8LLVI7PbaPR0K2TGSxFF,1U1el3k54VvEUzo3ybLPlM","See You Again (feat. Kali Uchis)","Flower Boy","Tyler, The Creator,Kali Uchis",2017-07-21,180386,84,spotify:user:vgglgrgd5yr0bc5oyi3zaoybt,2021-07-13T00:31:44Z,"hip hop,rap,colombian pop,pop",0.558,0.559,6,-9.222,1,0.0959,0.371,0.00000749,0.109,0.62,78.558,4
56uXDJRCuoS7abX3SkzHKQ,"4O15NlyKLIASxsJ0PrXPfz","Myron","Eternal Atake (Deluxe) - LUV vs. The World 2","Lil Uzi Vert",2020-03-13,224954,72,spotify:user:vgglgrgd5yr0bc5oyi3zaoybt,2021-07-13T00:31:54Z,"melodic rap,philly rap,rap,trap",0.771,0.654,8,-6.976,0,0.298,0.055,0,0.214,0.573,155.047,4
0uxSUdBrJy9Un0EYoBowng,"4O15NlyKLIASxsJ0PrXPfz","20 Min","Luv Is Rage 2 (Deluxe)","Lil Uzi Vert",2017-11-17,220586,82,spotify:user:vgglgrgd5yr0bc5oyi3zaoybt,2021-07-13T00:31:59Z,"melodic rap,philly rap,rap,trap",0.773,0.75,8,-4.009,0,0.117,0.109,0,0.174,0.783,123.426,4
3kxkjirben9RVm9NqYa6rm,"1l9d7B8W0IHy3LqWsxP2SH,1WvvwcQx0tj6NdDhZZ2zZz","Black Out Days - Future Islands Remix","Black Out Days (Future Islands Remix)","Phantogram,Future Islands",2017-09-01,248346,74,spotify:user:vgglgrgd5yr0bc5oyi3zaoybt,2021-07-13T00:32:04Z,"indietronica,metropopolis,modern rock,alternative dance,baltimore indie,chillwave,indie rock,new rave",0.477,0.483,4,-9.413,0,0.0364,0.0027,0.783,0.156,0.123,170.026,4
6KjkgYu4mjsMVYy4aCzyw6,"2kCcBybjl3SAtIcwdWpUe3,5g63iWaMJ2UrkZMkCC8dMi","white tee","crybaby","Lil Peep,Lil Tracy",2016,132226,67,spotify:user:vgglgrgd5yr0bc5oyi3zaoybt,2021-07-13T00:32:10Z,"emo rap,lgbtq+ hip hop,dark trap,melodic rap,underground hip hop,vapor trap",0.798,0.528,11,-8.908,1,0.042,0.293,0.000001,0.0727,0.728,149.995,4
0Hf4aIJpsN4Os2f0y0VqWl,"0TnOYISbd1XYRBk9myaseg,1l7ZsJRRS8wlW3WfJfPfNS","Feel This Moment (feat. Christina Aguilera)","Global Warming: Meltdown (Deluxe Version)","핏불,Christina Aguilera",2012,229506,77,spotify:user:vgglgrgd5yr0bc5oyi3zaoybt,2021-07-13T00:32:17Z,"dance pop,miami hip hop,pop,pop rap,post-teen pop",0.673,0.758,7,-3.632,1,0.158,0.039,0,0.341,0.542,135.956,4
