Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5EzL7hGT9g2Tvqsy158Lu9,"37hAfseJWi0G3Scife12Il,5cj0lLjcoR7YOSnhnX0Po5","Pussy Talk","City On Lock","City Girls,Doja Cat",2020-06-20,218332,64,spotify:user:fqb1o8pm7msmwf9x2agub085f,2020-12-10T19:26:39Z,"dance pop,pop,r&b,rap,scam rap,trap queen",0.943,0.641,1,-5.598,1,0.191,0.0016,0,0.211,0.242,99.099,4
11TOnapSFVWBUSByMzf1u1,"37hAfseJWi0G3Scife12Il","What We Doin'","Girl Code","City Girls",2018-11-16,143426,56,spotify:user:fqb1o8pm7msmwf9x2agub085f,2020-12-10T19:26:45Z,"dance pop,pop,r&b,rap,scam rap,trap queen",0.952,0.606,10,-5.032,1,0.0814,0.186,0.00000131,0.327,0.305,100.434,4
7yiSvALPjMrBLDDrbcDRNy,"181bsRPaVXVlUKXrxwZfHK","Girls in the Hood","Good News","Megan Thee Stallion",2020-11-20,154389,63,spotify:user:fqb1o8pm7msmwf9x2agub085f,2020-12-10T19:26:46Z,"dance pop,houston rap,pop,rap,trap queen",0.821,0.816,6,-3.835,1,0.352,0.00711,0,0.0645,0.797,179.974,4
72SrBwk95IXQlnXjf0hoyw,"37hAfseJWi0G3Scife12Il","Double CC's","City On Lock","City Girls",2020-06-20,131631,47,spotify:user:fqb1o8pm7msmwf9x2agub085f,2020-12-10T19:26:47Z,"dance pop,pop,r&b,rap,scam rap,trap queen",0.971,0.755,0,-4.781,1,0.0622,0.00196,0.00236,0.0989,0.369,112.082,4
4Oun2ylbjFKMPTiaSbbCih,"4kYSro6naA4h99UJvo89HB,181bsRPaVXVlUKXrxwZfHK","WAP (feat. Megan Thee Stallion)","WAP (feat. Megan Thee Stallion)","Cardi B,Megan Thee Stallion",2020-08-07,187541,79,spotify:user:fqb1o8pm7msmwf9x2agub085f,2020-12-10T19:26:49Z,"dance pop,pop,rap,houston rap,trap queen",0.935,0.454,1,-7.509,1,0.375,0.0194,0,0.0824,0.357,133.073,4
4Hpib09wXgD84w4uwTPnYD,"6cK3NBO6uP7hh0oyuVELFl","Tap In","Tap In","Saweetie",2020-06-17,139413,66,spotify:user:fqb1o8pm7msmwf9x2agub085f,2020-12-10T19:26:50Z,"cali rap,dance pop,pop,rap,trap queen",0.954,0.696,10,-7.117,0,0.204,0.00576,0.000498,0.0754,0.432,100.036,4
1E3VQQWFQAPJkXfYHjqWoI,"181bsRPaVXVlUKXrxwZfHK","Captain Hook","Suga","Megan Thee Stallion",2020-03-06,176749,66,spotify:user:fqb1o8pm7msmwf9x2agub085f,2020-12-10T19:26:52Z,"dance pop,houston rap,pop,rap,trap queen",0.863,0.633,10,-5.002,0,0.287,0.0118,0,0.285,0.545,163.991,4
2Z71PZlOeF9YVze4hy1A1a,"181bsRPaVXVlUKXrxwZfHK,6vWDO969PvNqNYHIOW5v0m","Savage Remix (feat. Beyoncé)","Good News","Megan Thee Stallion,Beyoncé",2020-11-20,242000,59,spotify:user:fqb1o8pm7msmwf9x2agub085f,2020-12-10T19:26:52Z,"dance pop,houston rap,pop,rap,trap queen,r&b",0.753,0.745,10,-4.776,0,0.334,0.0159,0,0.127,0.635,169.02,4
0AUvWawuP0ibk4SQ3sIZjk,"3PyJHH2wyfQK3WZrk9rpmP","Daisy","Daisy","Ashnikko",2020-07-09,146523,69,spotify:user:fqb1o8pm7msmwf9x2agub085f,2020-12-10T19:26:53Z,"dance pop,electropop,escape room,pop",0.834,0.663,8,-6.143,1,0.133,0.235,0,0.372,0.774,121.876,4
39GH3B0XsTd4SsqT7DJijs,"3MdXrJWsbVzdn6fe5JYkSQ,6cK3NBO6uP7hh0oyuVELFl,4PrinKSrmILmo0kERG0Ogn","B*tch From Da Souf (Remix) (feat. Trina)","Queen of Da Souf","Latto,Saweetie,Trina",2020-08-21,224119,47,spotify:user:fqb1o8pm7msmwf9x2agub085f,2020-12-10T19:26:53Z,"pop,rap,trap queen,cali rap,dance pop,hip pop,miami hip hop,pop r&b,r&b,rap latina,southern hip hop",0.835,0.53,1,-5.699,1,0.36,0.0649,0,0.133,0.414,150.081,4
1GcXzijYzyfMq6wryZjYW5,"08PvCOlef4xdOr20jFSTPd","May I","Ho, why is you here ?","Flo Milli",2020-07-24,163018,59,spotify:user:fqb1o8pm7msmwf9x2agub085f,2020-12-10T19:26:54Z,"dance pop,pop,rap,viral rap",0.896,0.78,1,-3.547,1,0.202,0.0828,0,0.0857,0.85,106.032,4
1IlJZCRthVEPlksVzj3JWY,"2JSwnwAT1BupAQkhqcRCUw,0hCNtLu0JehylgoiP8L4Gh","Whole Lotta Choppas (Remix) [feat. Nicki Minaj]","Whole Lotta Choppas (Remix) [feat. Nicki Minaj]","Sada Baby,Nicki Minaj",2020-10-16,173500,51,spotify:user:fqb1o8pm7msmwf9x2agub085f,2020-12-10T19:26:54Z,"detroit trap,scam rap,trap,dance pop,hip pop,pop,queens hip hop,rap",0.956,0.72,10,-2.73,0,0.173,0.00192,0,0.117,0.282,127.943,4
0qJ0eDL9Szdylx4kRRCBQD,"0KpCz7V5XRkqKuM1JDf56O,37hAfseJWi0G3Scife12Il","Perfect (feat. City Girls)","Trying To Find My Next Thrill","Cousin Stizz,City Girls",2019-08-14,199266,50,spotify:user:fqb1o8pm7msmwf9x2agub085f,2020-12-10T19:26:55Z,"boston hip hop,rap,trap,underground hip hop,vapor trap,dance pop,pop,r&b,scam rap,trap queen",0.965,0.692,1,-4.08,1,0.22,0.102,0.00000306,0.0875,0.422,123.999,4
2le8xbpMJ1aA0SpJZRMbRw,"08PvCOlef4xdOr20jFSTPd","Not Friendly","Ho, why is you here ?","Flo Milli",2020-07-24,234991,50,spotify:user:fqb1o8pm7msmwf9x2agub085f,2020-12-10T19:26:56Z,"dance pop,pop,rap,viral rap",0.878,0.793,1,-4.744,1,0.188,0.0539,0,0.0934,0.656,139.99,4
