Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1IAzD1muglOxOcPbUHs70R,"4OBJLual30L7gRl5UkeRcT","Whatever You Like","Paper Trail","T.I.",2008-09-07,249533,73,spotify:user:jodi12124,2018-11-08T03:31:35Z,"atl hip hop,dance pop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap",0.68,0.687,9,-6.162,0,0.0709,0.0161,0,0.261,0.467,150.053,4
5vlEg2fT4cFWAqU5QptIpQ,"5tKXB9uuebKE34yowVaU3C","Replay","Replay","Iyaz",2009-08-11,182306,71,spotify:user:jodi12124,2018-11-08T03:31:48Z,"dance pop,pop rap,post-teen pop",0.706,0.751,9,-6.323,1,0.0708,0.173,0,0.168,0.195,91.031,4
7LP4Es66zdY7CyjepqmvAg,"4pADjHPWyrlAF0FA7joK2H,55Aa2cqylxrFIXC767Z865","Down","All Or Nothing","Jay Sean,Lil Wayne",2009-01-01,212106,1,spotify:user:jodi12124,2018-11-08T03:32:00Z,"dance pop,pop rap,post-teen pop,urban contemporary,hip hop,new orleans rap,rap,trap",0.657,0.695,2,-4.493,1,0.0321,0.0108,0,0.0822,0.683,65.997,4
67T6l4q3zVjC5nZZPXByU8,"07YZf4WDAMNwqr4jfgOZ8y","Whatcha Say","Jason Derulo","Jason Derulo",2010-02-24,221253,66,spotify:user:jodi12124,2018-11-08T03:32:59Z,"dance pop,edm,pop,pop rap,post-teen pop",0.615,0.711,11,-5.507,1,0.0779,0.0444,0,0.145,0.711,144.036,4
180jaPAbXwB4nvtieXteYf,"0hCNtLu0JehylgoiP8L4Gh","Right Thru Me","Pink Friday (Deluxe)","Nicki Minaj",2010-01-01,235773,0,spotify:user:jodi12124,2018-11-08T03:34:03Z,"dance pop,hip pop,pop,queens hip hop,rap",0.381,0.68,1,-4.724,1,0.162,0.0876,0.00147,0.168,0.167,162.246,3
0m1KYWlT6LhFRBDVq9UNx4,"3TVXtAsR1Inumwj472S9r4,55Aa2cqylxrFIXC767Z865","HYFR (Hell Ya Fucking Right)","Take Care (Deluxe)","Drake,Lil Wayne",2011-11-15,206626,69,spotify:user:jodi12124,2018-11-08T03:35:24Z,"canadian hip hop,canadian pop,hip hop,rap,toronto rap,new orleans rap,pop rap,trap",0.444,0.627,7,-8.744,0,0.252,0.123,0,0.0795,0.359,98.21,3
4BycRneKmOs6MhYG9THsuX,"3TVXtAsR1Inumwj472S9r4","Find Your Love","Thank Me Later","Drake",2010-01-01,208946,65,spotify:user:jodi12124,2018-11-08T03:35:53Z,"canadian hip hop,canadian pop,hip hop,rap,toronto rap",0.627,0.614,6,-6.006,0,0.17,0.0211,0,0.0286,0.758,96.038,4
66cIVXwMJQKw4GnxIiCeP2,"55Aa2cqylxrFIXC767Z865,3TVXtAsR1Inumwj472S9r4","She Will","Tha Carter IV (Deluxe)","Lil Wayne,Drake",2011-01-01,305840,0,spotify:user:jodi12124,2018-11-08T03:36:54Z,"hip hop,new orleans rap,pop rap,rap,trap,canadian hip hop,canadian pop,toronto rap",0.364,0.841,8,-4.831,1,0.119,0.000402,0,0.242,0.0841,100.14,5
5B1ZT5dWBk8ue53ujRx5l6,"55Aa2cqylxrFIXC767Z865,3aQeKQSyrW4qWr35idm0cy","How To Hate","Tha Carter IV (Deluxe)","Lil Wayne,T-Pain",2011-01-01,278520,0,spotify:user:jodi12124,2018-11-08T03:37:03Z,"hip hop,new orleans rap,pop rap,rap,trap,dance pop,r&b,southern hip hop,urban contemporary",0.4,0.754,7,-5.955,1,0.0884,0.223,0,0.527,0.248,146.475,4
1ZOROX1KhC9xipkXFCxeDf,"55Aa2cqylxrFIXC767Z865","How To Love","Tha Carter IV (Deluxe)","Lil Wayne",2011-01-01,240306,0,spotify:user:jodi12124,2018-11-08T03:37:15Z,"hip hop,new orleans rap,pop rap,rap,trap",0.644,0.661,11,-6.093,1,0.0418,0.000177,0.00000523,0.108,0.272,153.992,4
