Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1zi7xx7UVEFkmKfv06H8x0,"3TVXtAsR1Inumwj472S9r4,3tVQdUvClmAT7URs9V3rsp,77DAFfvm3O9zT5dIoG0eIO","One Dance","Views","Drake,Wizkid,Kyla",2016-05-06,173986,85,spotify:user:31cg7oyggpqg6vxank2ufzdh5gaa,2022-11-05T16:52:42Z,"canadian hip hop,canadian pop,hip hop,rap,toronto rap,afro dancehall,afropop,azonto,nigerian hip hop,nigerian pop,uk funky",0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,4
21OnoR9PQBzmyzcaS8ZsW7,"00FukrmEMiU3lHv5GPGA28","So Perfect","So Perfect","Chloe J",2022-01-02,138561,9,spotify:user:31cg7oyggpqg6vxank2ufzdh5gaa,2022-11-13T21:50:45Z,"",0.732,0.434,2,-12.613,1,0.0404,0.254,0.00000537,0.0885,0.394,138.956,4
1K2s2yoCNE7DY75FjC78EH,"3G4dpQ6BVQWl4L06Sij0W1","Sinking","Sinking","Max Sarre",2022-10-21,194000,43,spotify:user:31cg7oyggpqg6vxank2ufzdh5gaa,2022-11-13T21:46:19Z,"",0.66,0.572,11,-7.193,1,0.0422,0.334,0.00000223,0.11,0.352,120.036,4
23O0ftOeUvAgHtl3kevdyN,"634PucijheVuaywCD6WmZn,3gIgoptmgmqefnhZ9zNcD9","All I Need","All I Need","TensionMusicc,Flash Horton",2022-10-28,161358,0,spotify:user:31cg7oyggpqg6vxank2ufzdh5gaa,2022-11-13T16:47:18Z,"",0.644,0.612,2,-9.717,1,0.0399,0.00259,0.0000127,0.119,0.463,125.825,4
3DmymBSFIfWn4LqwnPaMwo,"4gYGBTqyrqL81DCGW2oc0K","Emanate","Emanate","Cam Patterson",2022-11-11,229125,9,spotify:user:31cg7oyggpqg6vxank2ufzdh5gaa,2022-11-11T22:09:10Z,"",0.631,0.182,9,-31.992,0,0.0496,0.83,0.971,0.0969,0.731,120.013,4
6aSkRmTnBwddhDaPCIIgmj,"6pSlLoeLesMJ3dipYpJHMv","Take It That Way","Take It That Way","The Flat Nasty",2022-07-08,216946,39,spotify:user:31cg7oyggpqg6vxank2ufzdh5gaa,2022-11-09T15:49:11Z,"",0.666,0.522,11,-8.816,1,0.0358,0.0351,0,0.154,0.726,101.399,4
66kdQTCCUohvhaGO3j3MBz,"3bTzyxdSdTkOkRSLWn7GoF,4uxeBN2lZOIPGTnuKA3k5O","I Don't Wanna Die","I Don't Wanna Die","Nao,Tigghi",2022-10-13,179116,42,spotify:user:31cg7oyggpqg6vxank2ufzdh5gaa,2022-11-09T00:26:37Z,"",0.582,0.755,0,-5.922,0,0.047,0.0231,0.000206,0.134,0.159,127.934,4
75YcWlq30IgcltRHo2UfrT,"4LkomwM5RLoCKIrvHgTQBS","Insomnia","The Devil and I","Manic TL",2019-01-07,196779,44,spotify:user:31cg7oyggpqg6vxank2ufzdh5gaa,2022-11-07T17:31:51Z,"",0.742,0.595,5,-10.189,0,0.13,0.629,0.0439,0.125,0.252,137.966,4
1mbuU5xd3BDUeOaBM4ooku,"3hecoeqMbn9YPXXx1GNnpu","SCORPIO SZN","SCORPIO SZN","CLAIRE KNIGHT",2022-10-21,221698,28,spotify:user:31cg7oyggpqg6vxank2ufzdh5gaa,2022-11-03T23:33:25Z,"",0.881,0.654,6,-7.545,0,0.072,0.0629,0.689,0.0883,0.623,128.028,4
4fVEojWCwgdMxazyQb4Th9,"4AC8j2Ah9ZNer543nsZWe6,610hbXdK8AYb0oSjiDS3ae","Vibe City","Vibe City","Basil Panagop,Christophe Darbouze",2022-08-19,222000,41,spotify:user:31cg7oyggpqg6vxank2ufzdh5gaa,2022-11-03T15:40:11Z,"",0.787,0.586,1,-11.683,1,0.144,0.0349,0.046,0.212,0.79,107.018,4
