Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
086myS9r57YsLbJpU0TgK9,"7Ln80lUS6He07XvHI8qqHH","Why'd You Only Call Me When You're High?","AM","Arctic Monkeys",2013-09-09,161123,87,spotify:user:uwk3lwotqa3k2h7oc2d9pr727,2020-11-30T21:59:47Z,"garage rock,modern rock,permanent wave,rock,sheffield indie",0.691,0.631,2,-6.478,1,0.0368,0.0483,0.0000113,0.104,0.8,92.004,4
6kVku2CoE7fbD29miiutzw,"5FN9kuAUamAd4IadVnH4jH","Butterflies","Butterflies","Samsa",2017-05-16,199183,0,spotify:user:uwk3lwotqa3k2h7oc2d9pr727,2020-11-30T21:59:54Z,"lo-fi rap,meme rap",0.54,0.744,1,-10.942,1,0.405,0.307,0.0000895,0.103,0.925,92.207,4
5E30LdtzQTGqRvNd7l6kG5,"77SW9BnxLY8rJ0RciFqkHh","Daddy Issues","Wiped Out!","The Neighbourhood",2015-10-30,260173,86,spotify:user:uwk3lwotqa3k2h7oc2d9pr727,2020-11-30T21:59:59Z,"modern alternative rock,modern rock,pop,shimmer pop",0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,4
4XOlo2K3XX1ICy1KfEiWyO,"5FN9kuAUamAd4IadVnH4jH","Solo","Solo","Samsa",2017-08-18,208143,0,spotify:user:uwk3lwotqa3k2h7oc2d9pr727,2020-11-30T22:00:02Z,"lo-fi rap,meme rap",0.526,0.525,0,-12.345,1,0.26,0.712,0.000148,0.139,0.66,73.731,4
5XeFesFbtLpXzIVDNQP22n,"7Ln80lUS6He07XvHI8qqHH","I Wanna Be Yours","AM","Arctic Monkeys",2013-09-09,183956,91,spotify:user:uwk3lwotqa3k2h7oc2d9pr727,2020-11-30T22:00:15Z,"garage rock,modern rock,permanent wave,rock,sheffield indie",0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,4
7LYGpt7ckc34CFWcsxwnJl,"2Q9c6ETFOkDDTy53U7DIgr","Ripples","Ripples","Maximillian",2019-10-25,195404,58,spotify:user:uwk3lwotqa3k2h7oc2d9pr727,2020-11-30T22:00:18Z,"gen z singer-songwriter,pop",0.683,0.346,0,-9.475,1,0.0785,0.682,0,0.278,0.457,129.682,4
5Ma3BlNVDtn3JiwMEafSaq,"77SW9BnxLY8rJ0RciFqkHh","Single","Wiped Out!","The Neighbourhood",2015-10-30,262320,62,spotify:user:uwk3lwotqa3k2h7oc2d9pr727,2020-11-30T22:00:29Z,"modern alternative rock,modern rock,pop,shimmer pop",0.249,0.492,2,-7.108,0,0.0352,0.755,0,0.243,0.34,54.134,4
6IbnUaczZBT34DhaD6S18F,"6CwfuxIqcltXDGjfZsMd9A","Bubblegum Bitch","Electra Heart (Deluxe)","MARINA",2012-04-30,154666,76,spotify:user:uwk3lwotqa3k2h7oc2d9pr727,2020-11-30T22:00:32Z,"dance pop,electropop,metropopolis,pop,uk alternative pop",0.495,0.856,0,-5.123,0,0.0311,0.000219,0,0.103,0.609,158.024,4
0EfsDEYaSjGYd66Pr881nq,"77SW9BnxLY8rJ0RciFqkHh","Cry Baby","Wiped Out!","The Neighbourhood",2015-10-30,235160,73,spotify:user:uwk3lwotqa3k2h7oc2d9pr727,2020-11-30T22:00:35Z,"modern alternative rock,modern rock,pop,shimmer pop",0.581,0.656,4,-4.891,0,0.0294,0.00269,0.00000278,0.101,0.338,108.033,4
7brQHA2CgQpcMBiOlfiXYb,"77SW9BnxLY8rJ0RciFqkHh","Afraid","I Love You.","The Neighbourhood",2013-04-19,251186,76,spotify:user:uwk3lwotqa3k2h7oc2d9pr727,2020-11-30T22:00:39Z,"modern alternative rock,modern rock,pop,shimmer pop",0.464,0.701,6,-5.693,0,0.0411,0.00892,0.309,0.335,0.356,83.996,4
3eng6TJxpqjvDkxRpnfnhB,"2jnIB6XdLvnJUeNTy5A0J2","Big Plans","Big Plans","Why Don't We",2019-01-17,179929,63,spotify:user:uwk3lwotqa3k2h7oc2d9pr727,2020-11-30T22:01:12Z,"australian pop,boy band,dance pop,pop,post-teen pop,uk pop",0.693,0.604,11,-5.279,1,0.0427,0.0668,0,0.114,0.651,75.014,4
3hRV0jL3vUpRrcy398teAU,"6ltzsmQQbmdoHHbLZ4ZN25","The Night We Met","Strange Trails","Lord Huron",2015-04-06,208211,82,spotify:user:uwk3lwotqa3k2h7oc2d9pr727,2020-11-30T22:01:18Z,"indie folk,stomp and holler",0.544,0.369,2,-9.514,1,0.038,0.969,0.279,0.639,0.102,87.01,3
30bqVoKjX479ab90a8Pafp,"2kCcBybjl3SAtIcwdWpUe3","Star Shopping","Star Shopping","Lil Peep",2015,142000,72,spotify:user:uwk3lwotqa3k2h7oc2d9pr727,2020-11-30T22:01:26Z,"emo rap,lgbtq+ hip hop",0.585,0.471,4,-9.934,0,0.0616,0.0967,0.0184,0.115,0.323,93.099,4
4jvjzW7Hm0yK4LvvE0Paz9,"2kCcBybjl3SAtIcwdWpUe3,15UsOTVnJzReFVN1VCnxy4","Falling Down - Bonus Track","Come Over When You're Sober, Pt. 2","Lil Peep,XXXTENTACION",2018-11-09,196400,80,spotify:user:uwk3lwotqa3k2h7oc2d9pr727,2020-11-30T22:01:29Z,"emo rap,lgbtq+ hip hop,miami hip hop",0.669,0.574,4,-6.442,0,0.0286,0.0175,0.00294,0.146,0.273,120.013,4
07stbgVp3PNKRk12IQ0ZCh,"2kCcBybjl3SAtIcwdWpUe3,5g63iWaMJ2UrkZMkCC8dMi","white tee","EVERYBODY'S EVERYTHING","Lil Peep,Lil Tracy",2019-11-15,132226,0,spotify:user:uwk3lwotqa3k2h7oc2d9pr727,2020-11-30T22:01:31Z,"emo rap,lgbtq+ hip hop,dark trap,melodic rap,underground hip hop,vapor trap",0.812,0.541,11,-8.912,1,0.042,0.268,0,0.071,0.77,149.987,4
3pm3nUvCGJQHCAj8E56CfQ,"2kCcBybjl3SAtIcwdWpUe3,0eVhqF74EcgHDV2cwqEpv9","red drop shawty","HELLBOY","Lil Peep,KirbLaGoop",2016,165120,49,spotify:user:uwk3lwotqa3k2h7oc2d9pr727,2020-11-30T22:01:41Z,"emo rap,lgbtq+ hip hop,plugg,underground hip hop",0.687,0.56,0,-7.17,0,0.103,0.0824,0,0.103,0.362,139.922,4
6w1k5KDajzJSqPJzMYsQhA,"2kCcBybjl3SAtIcwdWpUe3","crybaby","crybaby","Lil Peep",2016,247453,62,spotify:user:uwk3lwotqa3k2h7oc2d9pr727,2020-11-30T22:01:43Z,"emo rap,lgbtq+ hip hop",0.522,0.546,3,-9.528,1,0.0514,0.297,0,0.7,0.234,96.957,4
78cIbVjU1xn7mbQ9i35avl,"6zqcGQ6MH6yetBUoquMnL7","i think you're really cool","i think you're really cool","guardin",2018-05-08,160660,60,spotify:user:uwk3lwotqa3k2h7oc2d9pr727,2020-11-30T22:01:51Z,"dark trap,emo rap,sad rap",0.503,0.446,5,-6.279,1,0.0547,0.904,0,0.303,0.476,174.062,4
1Z8gpnzgTFQKAwmV43iLBB,"2kCcBybjl3SAtIcwdWpUe3,5g63iWaMJ2UrkZMkCC8dMi","witchblades","EVERYBODY'S EVERYTHING","Lil Peep,Lil Tracy",2019-11-15,150160,0,spotify:user:uwk3lwotqa3k2h7oc2d9pr727,2020-11-30T22:01:55Z,"emo rap,lgbtq+ hip hop,dark trap,melodic rap,underground hip hop,vapor trap",0.642,0.538,8,-7.206,1,0.0696,0.0242,0,0.273,0.57,143.921,4
6lVLuu0k5LKLB5Zmqg12iH,"2kCcBybjl3SAtIcwdWpUe3","move on, be strong","HELLBOY","Lil Peep",2016,121920,47,spotify:user:uwk3lwotqa3k2h7oc2d9pr727,2020-11-30T22:02:18Z,"emo rap,lgbtq+ hip hop",0.569,0.749,1,-7.294,1,0.224,0.000161,0,0.0503,0.126,142.97,4
0mr8FAnN9X70p5KRUwMIJx,"1vkWdqcabQ1swciXipkLBj","I Met Sarah in the Bathroom","I Met Sarah in the Bathroom","awfultune",2019-07-31,121374,72,spotify:user:uwk3lwotqa3k2h7oc2d9pr727,2020-11-30T22:02:45Z,"indie pop",0.675,0.408,0,-10.861,1,0.142,0.901,0.000714,0.16,0.229,90.111,4
4qAEFnCVCqZsIcaOKQwMUj,"41it3ogaq2BsdLlZkWTXdO,76yeOnINtQSXyoEHbkYmtY","Falling In Love","Falling In Love","Dennis Kruissen,Drew Love",2016-10-05,175037,52,spotify:user:uwk3lwotqa3k2h7oc2d9pr727,2020-12-01T13:12:40Z,"deep tropical house",0.355,0.475,11,-8.821,1,0.0438,0.0123,0,0.162,0.146,134.495,4
0S0vWvyZ6Rc79TXkWxT9QA,"2kCcBybjl3SAtIcwdWpUe3","Save That Shit","Come Over When You're Sober, Pt. 1","Lil Peep",2017-08-15,231546,73,spotify:user:uwk3lwotqa3k2h7oc2d9pr727,2020-12-03T19:47:16Z,"emo rap,lgbtq+ hip hop",0.534,0.583,2,-8.672,1,0.0288,0.0262,0,0.421,0.145,106,4
7nzsY8vlnKdvGOEE0rjAXZ,"7Ln80lUS6He07XvHI8qqHH","Arabella","AM","Arctic Monkeys",2013-09-09,207356,77,spotify:user:uwk3lwotqa3k2h7oc2d9pr727,2020-12-20T09:58:55Z,"garage rock,modern rock,permanent wave,rock,sheffield indie",0.579,0.558,2,-6.986,1,0.0895,0.0202,0.00000126,0.212,0.506,179.949,4
