Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3nqQXoyQOWXiESFLlDF1hG,"2wY79sveU1sp5g7SokKOiI,3Xt3RrJMFv5SZkCfUE8C1J","Unholy (feat. Kim Petras)","Unholy (feat. Kim Petras)","Sam Smith,Kim Petras",2022-09-22,156943,100,spotify:user:digster.fm,2022-11-23T23:24:43Z,"dance pop,pop,uk pop,post-teen pop,transpop",0.714,0.472,2,-7.375,1,0.0864,0.013,0.00000451,0.266,0.238,131.121,4
0WtM2NBVQNNJLh6scP13H8,"46pWGuE3dSwY3bMMXGBvVS,0C8ZW7ezQVs4URX5aX7Kqx","Calm Down (with Selena Gomez)","Calm Down (with Selena Gomez)","Rema,Selena Gomez",2022-08-25,239317,92,spotify:user:digster.fm,2022-11-23T23:24:43Z,"nigerian pop,dance pop,pop,post-teen pop",0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,4
4h9wh7iOZ0GGn8QVp4RAOB,"5Pwc4xIPtQLFEnJriah9YJ","I Ain't Worried","I Ain’t Worried (Music From The Motion Picture Top Gun: Maverick)","OneRepublic",2022-05-13,148485,95,spotify:user:digster.fm,2022-11-23T23:24:43Z,"piano rock,pop",0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4
0HqZX76SFLDz2aW8aiqi7G,"53XhwfbYqKCa1cC15pYq2q","Bones","Bones","Imagine Dragons",2022-03-11,165264,88,spotify:user:digster.fm,2022-11-23T23:24:43Z,"modern rock,rock",0.773,0.742,5,-3.678,0,0.046,0.0206,0,0.0754,0.571,114.071,4
2Ch7LmS7r2Gy2kc64wv3Bz,"1Xyo4u8uXC1ZmMpatF05PJ","Die For You","Starboy","The Weeknd",2016-11-25,260253,88,spotify:user:digster.fm,2022-11-23T23:24:43Z,"canadian contemporary r&b,canadian pop,pop",0.582,0.525,1,-7.163,0,0.0627,0.111,0,0.134,0.51,133.249,4
02Zkkf2zMkwRGQjZ7T4p8f,"06HL4z0CvFAxyc27GXpf02","Anti-Hero","Midnights (3am Edition)","Taylor Swift",2022-10-22,200690,88,spotify:user:digster.fm,2022-11-23T23:24:43Z,"pop",0.638,0.634,4,-6.582,1,0.0457,0.133,0.00000123,0.152,0.519,96.953,4
0O6u0VJ46W86TxN9wgyqDj,"246dkjvS1zLTtiykXe5h60,5cj0lLjcoR7YOSnhnX0Po5","I Like You (A Happier Song) (with Doja Cat)","Twelve Carat Toothache","Post Malone,Doja Cat",2022-06-03,192840,89,spotify:user:digster.fm,2022-11-23T23:24:43Z,"dfw rap,melodic rap,rap,dance pop,pop",0.733,0.67,5,-6.009,1,0.0751,0.121,0,0.121,0.472,100.964,4
4C6Uex2ILwJi9sZXRdmqXp,"0hCNtLu0JehylgoiP8L4Gh","Super Freaky Girl","Super Freaky Girl","Nicki Minaj",2022-08-12,170977,88,spotify:user:digster.fm,2022-11-23T23:24:43Z,"dance pop,hip pop,pop,queens hip hop,rap",0.95,0.891,2,-2.653,1,0.241,0.0645,0.0000177,0.309,0.912,133.01,4
72yP0DUlWPyH8P7IoxskwN,"3PhoLpVuITZKcymswpck5b,26dSoYclwsYLMAKD3tpOr4","Hold Me Closer","Hold Me Closer","Elton John,Britney Spears",2022-08-26,202245,86,spotify:user:digster.fm,2022-11-23T23:24:43Z,"glam rock,mellow gold,piano rock,dance pop,pop",0.667,0.75,0,-4.602,1,0.0906,0.0746,0.000198,0.197,0.486,126.041,4
35ovElsgyAtQwYPYnZJECg,"5pKCCKE2ajJHZ9KAiaK11H","Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By","Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By)","Rihanna",2022-10-28,196519,90,spotify:user:digster.fm,2022-11-23T23:24:43Z,"barbadian pop,dance pop,pop,urban contemporary",0.247,0.299,9,-6.083,1,0.0315,0.899,0,0.131,0.172,177.115,4
