Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2HbuhhxdEVbqdaJlLxOCfW,"3BxsweDMcgp9gNWmG40u6f","All the Things I Hate About You","All the Things I Hate About You","Huddy",2022-07-29,195823,67,spotify:user:rlu1guwrwlajdt8uondr4s8oq,2022-08-12T07:55:01Z,"social media pop",0.572,0.9,6,-2.66,0,0.137,0.00358,0,0.163,0.367,108.013,4
23CMRsLRGVCDwCzDtYMq6p,"5bfglVyGJppmmNoC2rhBUG","Mentally Cheating","Mentally Cheating","Natalie Jane",2022-07-15,180120,70,spotify:user:rlu1guwrwlajdt8uondr4s8oq,2022-08-12T07:55:10Z,"alt z",0.641,0.412,2,-8.436,0,0.0858,0.244,0,0.202,0.288,78.465,4
7k0CjQfqiS0vHpvxMECarP,"5bfglVyGJppmmNoC2rhBUG","Bloodline","Bloodline","Natalie Jane",2022-03-25,154120,59,spotify:user:rlu1guwrwlajdt8uondr4s8oq,2022-08-12T07:55:18Z,"alt z",0.361,0.567,7,-5.744,0,0.0692,0.288,0,0.155,0.0786,181.656,3
3EZekHDwiGXJo7tH1Jolhv,"4JnJjqxsTp8E5rZsyITf63","Aimed to Kill","Aimed to Kill","Jade LeMac",2022-04-15,202721,60,spotify:user:rlu1guwrwlajdt8uondr4s8oq,2022-08-12T07:55:39Z,"alt z",0.637,0.752,0,-2.79,1,0.0404,0.209,0.00000101,0.192,0.562,123.953,4
6GUiIbJ834FcHewby3PwV0,"2W8yFh0Ga6Yf3jiayVxwkE","Breakfast","Breakfast","Dove Cameron",2022-06-24,148470,78,spotify:user:rlu1guwrwlajdt8uondr4s8oq,2022-08-12T07:56:21Z,"pop,post-teen pop",0.64,0.553,2,-6.42,0,0.0411,0.0579,0,0.0914,0.486,81.992,4
59CfNbkERJ3NoTXDvoURjj,"2W8yFh0Ga6Yf3jiayVxwkE","Boyfriend","Boyfriend","Dove Cameron",2022-02-11,153000,84,spotify:user:rlu1guwrwlajdt8uondr4s8oq,2022-08-12T07:56:25Z,"pop,post-teen pop",0.345,0.612,7,-6.543,0,0.0608,0.232,0,0.194,0.232,179.773,3
4GRFzKI7jTZ3kbMfouc7bn,"6LqNN22kT3074XbTVUrhzX","Backstabber","Animal (Expanded Edition)","Kesha",2010-01-01,186840,74,spotify:user:rlu1guwrwlajdt8uondr4s8oq,2022-08-12T07:56:30Z,"dance pop,pop,post-teen pop",0.6,0.939,7,-1.794,1,0.19,0.0666,0.00000618,0.34,0.833,159.941,4
5H3TCfiw0CQTX1XU7A9TXM,"63yrD80RY3RNEM2YDpUpO8","Cake","Cry Baby (Deluxe Edition)","Melanie Martinez",2015-08-14,199681,75,spotify:user:rlu1guwrwlajdt8uondr4s8oq,2022-08-12T07:56:34Z,"alt z,electropop,pop",0.518,0.655,8,-6.255,1,0.0826,0.381,0,0.271,0.29,156.992,4
360Wr96ywrCQq4kTAJ8Pq6,"63yrD80RY3RNEM2YDpUpO8","Pacify Her","Cry Baby (Deluxe Edition)","Melanie Martinez",2015-08-14,220013,79,spotify:user:rlu1guwrwlajdt8uondr4s8oq,2022-08-12T07:56:38Z,"alt z,electropop,pop",0.576,0.593,9,-6.024,0,0.0306,0.0467,0.000767,0.237,0.373,157.993,4
2jQiSYrwJehQAcuaaQrXnS,"7cYEt1pqMgXJdq00hAwVpT","Friends","Nostalgia","Chase Atlantic",2015-02-21,230010,81,spotify:user:rlu1guwrwlajdt8uondr4s8oq,2022-08-12T07:56:46Z,"pop",0.422,0.609,11,-6.361,0,0.0335,0.0114,0.00000476,0.108,0.0911,107.34,3
