Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1D4PL9B8gOg78jiHg3FvBb,"06HL4z0CvFAxyc27GXpf02","Love Story","Fearless (Big Machine Radio Release Special)","Taylor Swift",2008-11-11,236266,76,spotify:user:31costno4wopila3qrijlfnnci2i,2022-02-24T14:09:24Z,"pop",0.617,0.741,2,-3.97,1,0.0311,0.131,0,0.0772,0.306,118.984,4
0BJMgVrnWIvgYsjq8KaPeh,"7n2Ycct7Beij7Dj7meI4X0","SCIENTIST","Formula of Love: O+T=<3","TWICE",2021-11-12,194600,69,spotify:user:31costno4wopila3qrijlfnnci2i,2022-02-24T14:10:57Z,"k-pop,k-pop girl group",0.786,0.858,11,-3.74,1,0.0675,0.0487,0,0.126,0.649,112.999,4
308Ir17KlNdlrbVLHWhlLe,"7n2Ycct7Beij7Dj7meI4X0","The Feels","Formula of Love: O+T=<3","TWICE",2021-11-12,198053,76,spotify:user:31costno4wopila3qrijlfnnci2i,2022-02-24T14:11:05Z,"k-pop,k-pop girl group",0.808,0.903,9,-2.179,1,0.0729,0.0899,0,0.0816,0.922,120.044,4
5b8FtevTVz8xVF6E208xeV,"2KC9Qb60EaY0kW4eH68vr3","LOCO","CRAZY IN LOVE","ITZY",2021-09-24,191462,3,spotify:user:31costno4wopila3qrijlfnnci2i,2022-02-24T14:11:19Z,"k-pop girl group",0.764,0.886,1,-3.067,1,0.177,0.0109,0.0000221,0.325,0.497,102.012,4
4z9gBZQjGS4QLb4LOvmeuA,"3Nrfpe0tUJi4K4DXYWgMUX","Burning Up (Fire)","The Most Beautiful Moment in Life: Young Forever","방탄소년단",2016-05-02,203351,1,spotify:user:31costno4wopila3qrijlfnnci2i,2022-02-24T14:11:26Z,"k-pop,k-pop boy group",0.627,0.706,10,-3.201,0,0.0597,0.00227,0,0.122,0.536,99.93,4
5mpWGq83n0sIgGRopGk5QZ,"5RR0MLwcjc87wjSw2JYdwx,0fEj1fYIQwWj1bzzAto9rp","Wrap Me In Plastic","Wrap Me In Plastic","모모랜드,CHROMANCE",2021-02-05,192808,63,spotify:user:31costno4wopila3qrijlfnnci2i,2022-02-24T14:11:45Z,"k-pop,k-pop girl group,modern indie pop",0.821,0.602,5,-2.916,0,0.0907,0.286,0,0.0862,0.776,179.932,4
52CBUrIdyf8tbZaUY9iawE,"73B9bjqS2Z5KLXNGqXf64m","After School","We play","Weeekly",2021-03-17,205373,70,spotify:user:31costno4wopila3qrijlfnnci2i,2022-02-24T14:11:49Z,"k-pop",0.634,0.928,1,-1.609,1,0.0514,0.00719,0.00000255,0.0626,0.738,164.007,4
0b11D9D0hMOYCIMN3OKreM,"5ghnxpW47ojtLHHyTLdxdY,4npEfmQ6YuiwW1GpUmaq3F","Into Your Arms (feat. Ava Max)","Into Your Arms (feat. Ava Max)","Witt Lowry,Ava Max",2018-06-08,186022,76,spotify:user:31costno4wopila3qrijlfnnci2i,2022-02-24T14:11:55Z,"pop rap,dance pop,pop",0.504,0.788,3,-4.113,0,0.215,0.0134,0,0.363,0.228,170.039,4
7esW1rZT024k0Bn0pLWOCT,"6QrQ7OrISRYIfS5mtacaw2","Infinity","Infinity (Piano Version)","Jaymes Young",2021-10-29,237720,0,spotify:user:31costno4wopila3qrijlfnnci2i,2022-02-24T14:12:01Z,"modern rock,pop",0.671,0.673,11,-6.941,0,0.0444,0.15,0.0000516,0.304,0.493,121.96,4
3LSjYk6sFQaLi0MjtWcm8P,"3Nrfpe0tUJi4K4DXYWgMUX","Make It Right","MAP OF THE SOUL : PERSONA","방탄소년단",2019-04-12,226321,68,spotify:user:31costno4wopila3qrijlfnnci2i,2022-02-24T14:12:42Z,"k-pop,k-pop boy group",0.639,0.706,7,-7.874,1,0.448,0.0104,0,0.132,0.259,105.782,4
