Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1l4iQsOZ5sOXZPMQLvouaB,"5p7f24Rk5HkUZsaS3BLG5F,3jK9MiCrA42lLAdMGUZpwa","Coast (feat. Anderson .Paak)","Coast","Hailee Steinfeld,Anderson .Paak",2022-07-29,166720,77,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-13T20:11:40Z,"dance pop,pop,post-teen pop,uk pop,escape room",0.701,0.875,11,-4.1,1,0.0757,0.0262,0.00000732,0.137,0.84,111.976,4
3v0QLMlaEcFN0G0gb6fGJ3,"5qa31A9HySw3T7MKWI9bGg","Birthday Girl","Girl Of My Dreams","FLETCHER",2022-09-16,197000,57,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-27T22:56:49Z,"alt z,dance pop,electropop,pop,post-teen pop",0.506,0.302,7,-9.155,1,0.0466,0.782,0.00000114,0.107,0.388,157.344,5
32ShlHZGBYLoybP9pdb87z,"4JnJjqxsTp8E5rZsyITf63","Constellations","Constellations","Jade LeMac",2021-08-11,200321,58,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-14T23:00:09Z,"alt z",0.564,0.657,1,-6.674,1,0.0391,0.238,0,0.0578,0.178,149.799,4
59CfNbkERJ3NoTXDvoURjj,"2W8yFh0Ga6Yf3jiayVxwkE","Boyfriend","Boyfriend","Dove Cameron",2022-02-11,153000,84,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-13T20:11:46Z,"pop,post-teen pop",0.345,0.612,7,-6.543,0,0.0608,0.232,0,0.194,0.232,179.773,3
3EZekHDwiGXJo7tH1Jolhv,"4JnJjqxsTp8E5rZsyITf63","Aimed to Kill","Aimed to Kill","Jade LeMac",2022-04-15,202721,60,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-13T22:44:30Z,"alt z",0.637,0.752,0,-2.79,1,0.0404,0.209,0.00000101,0.192,0.562,123.953,4
32FhTAAjKZaBein150o3Px,"74KM79TiuVKeVCqs8QtB0B","because i liked a boy","emails i can't send","Sabrina Carpenter",2022-07-15,196458,74,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-13T20:11:55Z,"alt z,dance pop,pop,post-teen pop,uk pop",0.386,0.592,11,-7.299,1,0.374,0.363,0,0.117,0.161,146.879,4
0YrwiodQd07LE9vpI0w3Iw,"5bfglVyGJppmmNoC2rhBUG","Seven","Seven","Natalie Jane",2022-09-09,124373,75,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-13T20:12:02Z,"alt z",0.822,0.255,8,-9.83,1,0.349,0.119,0,0.128,0.377,136.024,4
23CMRsLRGVCDwCzDtYMq6p,"5bfglVyGJppmmNoC2rhBUG","Mentally Cheating","Mentally Cheating","Natalie Jane",2022-07-15,180120,70,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-13T20:12:06Z,"alt z",0.641,0.412,2,-8.436,0,0.0858,0.244,0,0.202,0.288,78.465,4
14iN3o8ptQ8cFVZTEmyQRV,"6jJ0s89eD6GaHleKKya26X","I Kissed A Girl","One Of The Boys","Katy Perry",2008-06-17,179640,74,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-13T20:30:22Z,"dance pop,pop",0.699,0.76,5,-3.173,1,0.0677,0.00223,0,0.132,0.696,129.996,4
7Jqyl2feOikHqdCOaY9uzF,"3uwAm6vQy7kWPS2bciKWx9","You Stupid Bitch","You Stupid Bitch","girl in red",2021-04-14,195951,42,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-13T20:52:40Z,"bedroom pop,indie pop,norwegian indie,pop",0.521,0.833,11,-5.661,0,0.053,0.00721,0.00119,0.272,0.764,149.006,4
4wlfXlEJWHkhdipDAg7Zy5,"3vEL65ycUboLH76pgdtqlF","Change Your Mind","Change Your Mind","South Arcade",2022-07-01,190701,19,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-13T21:14:47Z,"",0.499,0.806,8,-5.326,0,0.079,0.0261,0.000134,0.113,0.552,119.949,4
6GUiIbJ834FcHewby3PwV0,"2W8yFh0Ga6Yf3jiayVxwkE","Breakfast","Breakfast","Dove Cameron",2022-06-24,148470,79,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-13T21:26:03Z,"pop,post-teen pop",0.64,0.553,2,-6.42,0,0.0411,0.0579,0,0.0914,0.486,81.992,4
5jzKL4BDMClWqRguW5qZvh,"6jJ0s89eD6GaHleKKya26X","Teenage Dream","Teenage Dream","Katy Perry",2010-01-01,227741,72,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-13T21:27:03Z,"dance pop,pop",0.719,0.798,10,-4.582,1,0.0361,0.0162,0.00000234,0.134,0.591,120.011,4
6Alp15t6urC4opjJiyOqZu,"74KM79TiuVKeVCqs8QtB0B","Vicious","emails i can't send","Sabrina Carpenter",2022-07-15,149890,68,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-13T22:46:39Z,"alt z,dance pop,pop,post-teen pop,uk pop",0.721,0.457,0,-6.916,1,0.159,0.308,0,0.258,0.63,129.98,4
4blPH3Uy89WnOnYlIv7Ev4,"3u6lPufHw4Oww6D88rv6sB","Rät","Public Void","Penelope Scott",2020-09-25,194165,74,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-14T13:05:27Z,"alt z,indie pop,modern indie pop,viral rap",0.609,0.449,5,-13.291,0,0.249,0.326,0.000115,0.147,0.309,143.854,4
1F6IbA7di42uPc3cff8PXV,"3l0CmX0FuQjFxr8SK7Vqag","Flaming Hot Cheetos","Flaming Hot Cheetos","Clairo",2017-06-14,123884,75,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-14T13:06:04Z,"bedroom pop,indie pop,pop",0.817,0.551,7,-9.33,0,0.133,0.865,0.000151,0.101,0.142,109.966,4
0KQRhak4Irr2CKxgQ9U6ay,"79GARbspzW3V7Kb07hTLoY","MEAN!","MEAN!","Madeline The Person",2022-04-29,143960,70,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-14T18:56:23Z,"gen z singer-songwriter",0.502,0.416,7,-9.504,1,0.433,0.912,0,0.0934,0.433,175.191,3
2qLyo5FeWquE7HBUbcVnEy,"74KM79TiuVKeVCqs8QtB0B","emails i can’t send","emails i can't send","Sabrina Carpenter",2022-07-15,104408,70,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-14T18:56:43Z,"alt z,dance pop,pop,post-teen pop,uk pop",0.515,0.387,7,-10.614,1,0.192,0.757,0,0.622,0.408,86.313,3
1M4Ud66z18wuIq3oOxqVHa,"3uwAm6vQy7kWPS2bciKWx9","bad idea!","bad idea!","girl in red",2019-09-03,219638,65,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-14T18:57:40Z,"bedroom pop,indie pop,norwegian indie,pop",0.511,0.806,1,-6.093,1,0.0481,0.03,0.0465,0.252,0.41,162.04,4
0KyAGiNGUytG5JLxJu4F6l,"3l0CmX0FuQjFxr8SK7Vqag","Pretty Girl","Pretty Girl","Clairo",2017-08-04,178352,74,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-14T18:58:31Z,"bedroom pop,indie pop,pop",0.93,0.611,0,-4.406,1,0.0415,0.593,0.00124,0.0592,0.695,112.127,4
0SIAFU49FFHwR3QnT5Jx0k,"6vVztIuqdDHvYWxOEXCzjN","Chinese New Year","Chinese New Year","SALES",2014-06-06,160000,65,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-14T18:59:02Z,"orlando indie",0.744,0.845,4,-7.422,0,0.253,0.759,0.232,0.1,0.749,75.221,4
3SKzTIl9mW0DadTys9SFo3,"26VFTg2z8YR0cCuwLzESi2","Control","BADLANDS (Deluxe)","Halsey",2015-08-28,214761,70,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-14T19:01:58Z,"dance pop,electropop,etherpop,indie poptimism,pop",0.549,0.675,4,-5.637,0,0.0332,0.399,0,0.181,0.206,119.898,4
4mCf3vQf7z0Yseo0RxAi3V,"5pKCCKE2ajJHZ9KAiaK11H","Desperado","ANTI (Deluxe)","Rihanna",2016-01-28,186466,72,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-14T19:02:15Z,"barbadian pop,dance pop,pop,urban contemporary",0.685,0.61,0,-5.221,0,0.0439,0.323,0,0.102,0.323,94.384,3
46GtTde4qnzhvDiKFMggGZ,"3vEL65ycUboLH76pgdtqlF","New Fever","New Fever","South Arcade",2022-04-22,159171,20,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-14T22:32:19Z,"",0.472,0.813,6,-5.241,1,0.0678,0.00959,0.0000445,0.0864,0.452,96.913,4
6ehrvwZ8JHaLahNRpDGlkD,"5qa31A9HySw3T7MKWI9bGg","Becky’s So Hot","Becky’s So Hot","FLETCHER",2022-07-20,162760,62,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-14T22:54:13Z,"alt z,dance pop,electropop,pop,post-teen pop",0.518,0.729,9,-4.133,0,0.039,0.137,0,0.08,0.271,78.012,4
6I9VzXrHxO9rA9A5euc8Ak,"26dSoYclwsYLMAKD3tpOr4","Toxic","In The Zone","Britney Spears",2003-11-13,198800,81,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-14T22:26:02Z,"dance pop,pop",0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,4
7mlFKsO1PVfH0nz1dH7RhZ,"5xb6Nx1wcbMsvyQjN1jKmg","hold the applause","hold the applause","Mira Housey",2022-05-26,149230,63,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-15T11:29:12Z,"",0.599,0.479,2,-8.004,0,0.0389,0.321,0,0.375,0.468,156.107,3
6BhxKciOWrcCordNZcek4V,"1uABueyzoR3KBmDJBtbwbc","Why'd You Only Call Me When You're High","Dead End","Double Take",2015-09-25,217344,36,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-15T12:52:29Z,"",0.509,0.427,11,-12.357,0,0.0394,0.0709,0.00000115,0.0805,0.501,78.766,4
2vJXkBYTfhmszE7ggfDc9E,"3Op7D6tFVJCOHW6EAV0ck1,6md7K2UM0UBU0fzI5erQCb","I'm Just Your Problem (feat. Olivia Olson)","Adventure Time, Vol.1 (Original Soundtrack)","Adventure Time,Olivia Olson",2019-05-01,116811,60,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-15T12:53:38Z,"hollywood",0.481,0.236,7,-16.22,1,0.045,0.814,0.0000295,0.116,0.378,89.531,3
13Soih2NRLeDx8Unbr22mx,"5U2zidY0OdTB6P5axinwOZ,5pESuWfJEKxJdEEhZKFDC5,6Mbytr4DD854L4vp4J1LEj","Candy Store","Heathers: The Musical (World Premiere Cast Recording)","Jessica Keenan Wynn,Alice Lee,Elle McLemore",2014-06-10,172826,66,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-15T12:54:04Z,"hollywood,show tunes",0.728,0.525,1,-5.91,0,0.171,0.585,0,0.0962,0.779,141.855,4
5d3Cl60y4e8LTLpq6EN7Mk,"0uGk2czvcpWQA383Im6ajf","self sabotage","self sabotage","Maggie Lindemann",2022-08-12,182274,49,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-15T16:44:38Z,"alt z,dark pop,pop,post-teen pop",0.621,0.769,8,-6.677,0,0.081,0.0314,0.00000528,0.132,0.388,140.133,4
6Mc1snn8uClt3FzkUREymB,"0uGk2czvcpWQA383Im6ajf","you're not special","you're not special","Maggie Lindemann",2022-07-15,166758,54,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-15T16:44:41Z,"alt z,dark pop,pop,post-teen pop",0.703,0.533,6,-6.992,1,0.0534,0.0459,0.00000107,0.599,0.367,76.063,4
2e4jB31WcGsxKL1ByqdZCq,"63yrD80RY3RNEM2YDpUpO8","Sippy Cup","Cry Baby (Deluxe Edition)","Melanie Martinez",2015-08-14,195066,69,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-16T23:23:20Z,"alt z,electropop,pop",0.715,0.651,5,-9.241,1,0.12,0.486,0,0.228,0.733,134.914,4
3yMC1KsTwh0ceXdIe4QQAQ,"79AyR6ATpj2LTPxfb6FX50","Fingers Crossed","Fingers Crossed","Lauren Spencer Smith",2022-01-05,175344,80,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-16T23:25:03Z,"alt z,gen z singer-songwriter,pop,uk pop",0.56,0.473,5,-7.23,1,0.0533,0.618,0,0.31,0.441,109.414,4
4bJygwUKrRgq1stlNXcgMg,"2Q3eZMfDQgT8MhPowKFXYO","All The Things She Said","200 KM/H In The Wrong Lane (10th Anniversary Edition)","t.A.T.u.",2002,214440,77,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-16T23:38:36Z,"dance pop,girl group",0.603,0.834,5,-5.766,0,0.0417,0.0411,0.00609,0.105,0.376,89.957,4
4nBsvvjN134KFVcvFMLWwK,"5Lz5CnywFeg4Rs4l76OtG2","she calls me daddy","she calls me daddy","KiNG MALA",2021-04-08,183569,60,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-18T10:54:59Z,"alt z,viral rap",0.796,0.426,9,-7.994,1,0.0324,0.031,0.00446,0.171,0.572,100.006,4
5TIyFlLF0EfYOUZH1TYxBq,"4XX9YjNQrHTZfZz3DCX6DP","More Than a Friend","More Than a Friend","girli",2021-05-28,175693,66,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-18T11:53:47Z,"alt z,dark pop,escape room,indie pop,proto-hyperpop,viral rap",0.689,0.594,0,-7.645,1,0.0584,0.0301,0,0.102,0.653,137.112,4
27q9snUZ3LptuVJyXgrHPk,"5bfglVyGJppmmNoC2rhBUG","Kind of Love","Kind of Love","Natalie Jane",2022-01-14,218080,60,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-19T16:39:02Z,"alt z",0.531,0.616,11,-6.254,1,0.0576,0.788,0,0.227,0.337,129.818,4
2cN5z1WFFSw67qnqwPlGRi,"4JnJjqxsTp8E5rZsyITf63","Same Place","Same Place","Jade LeMac",2022-03-04,221989,45,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-19T16:39:22Z,"alt z",0.605,0.47,1,-5.978,1,0.0311,0.604,0,0.085,0.197,111.803,4
3p8TauH8sqrLtYTdTXliJX,"4JnJjqxsTp8E5rZsyITf63","Let Me","Let Me","Jade LeMac",2021-11-17,203666,45,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-19T16:39:24Z,"alt z",0.484,0.524,1,-6.52,0,0.0328,0.61,0,0.0796,0.127,153.817,4
5ln5yQdUywVbf8HhFsOcd6,"26VFTg2z8YR0cCuwLzESi2","Walls Could Talk","hopeless fountain kingdom (Deluxe)","Halsey",2017-06-02,101789,77,spotify:user:gnth29yyasfga5zgnnqnktvrz,2022-09-19T23:58:54Z,"dance pop,electropop,etherpop,indie poptimism,pop",0.626,0.423,1,-6.035,1,0.0513,0.128,0,0.18,0.571,95.162,4
