Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1es8IjpwEr6xO1UY74wGFq,"5RZjpmuD14JKXvB8Ry1G1u,1L4nOFaQKejFy75REi9BKh,5Yi0y4bNdc04Oxk9l6nwXa","I've Been Waiting For You","Mamma Mia! Here We Go Again (Original Motion Picture Soundtrack / Singalong Version)","Amanda Seyfried,Christine Baranski,Julie Walters",2018-07-13,197200,47,spotify:user:12125629622,2020-02-14T11:56:19Z,"hollywood,pop",0.491,0.373,9,-11.665,1,0.0289,0.719,0,0.0992,0.267,77.702,4
4SSUj4OC7giqpMNCqSQSCf,"60rpJ9SgigSd16DOAG7GSa,5YGY8feqx7naU7z4HrwZM6","Ready, Set, Don't Go","Home At Last","Billy Ray Cyrus,Miley Cyrus",2007-10-09,228453,46,spotify:user:12125629622,2020-02-14T11:57:37Z,"country,country rock,dance pop,pop,post-teen pop",0.466,0.721,2,-5.45,1,0.0358,0.285,0,0.148,0.425,76.988,4
39tS2EMGXgiJwBY5xr7Itn,"2NdeV5rLm47xAvogXrYhJX","I Got You","Jackie (Deluxe)","Ciara",2015-05-04,296346,39,spotify:user:12125629622,2020-02-14T12:06:38Z,"dance pop,hip pop,pop,post-teen pop,r&b,urban contemporary",0.416,0.212,0,-10.893,1,0.0401,0.412,0,0.534,0.121,149.665,4
7l0tDNF2csr9nNfwhiwPnp,"3QLIkT4rD2FMusaqmkepbq","You Belong","You Belong","Rachel Platten",2018-10-19,182442,43,spotify:user:12125629622,2020-02-14T12:17:01Z,"dance pop,neo mellow,pop,pop rock,post-teen pop,viral pop",0.37,0.337,0,-12.272,1,0.171,0.743,0,0.129,0.453,81.616,3
74WBGgUnpKrJXt6TETfR6Z,"06HL4z0CvFAxyc27GXpf02","Never Grow Up","Speak Now (Deluxe Edition)","Taylor Swift",2010-10-25,290466,57,spotify:user:12125629622,2020-02-14T12:19:57Z,"pop",0.714,0.305,2,-8.837,1,0.0305,0.819,0,0.174,0.554,124.91,4
0ocSSXx38j2MwPEvCo8wFN,"6DoH7ywD5BcQvjloe9OcIj","You Are the Best Thing","You Are the Best Thing","Ray LaMontagne",2008-08-26,231240,0,spotify:user:12125629622,2020-02-14T12:26:28Z,"acoustic pop,indie folk,neo mellow,stomp and holler",0.574,0.723,10,-4.914,1,0.033,0.032,0.0000254,0.261,0.857,170.524,4
3XzwvIUt2Qaa3zmQLxKx1G,"5y2Xq6xcjJb2jVM54GHK3t","Right By You (for Luna)","DARKNESS AND LIGHT","John Legend",2016-12-02,256426,31,spotify:user:12125629622,2020-02-14T12:34:11Z,"neo soul,pop,pop soul,r&b,urban contemporary",0.417,0.565,7,-7.692,0,0.0493,0.895,0.0000958,0.119,0.526,141.73,4
7maV3I3KQNYpsOWYTOhGqn,"5vngPClqofybhPERIqQMYd","I Saw God Today","Troubadour","George Strait",2008-01-01,203200,53,spotify:user:12125629622,2020-02-14T12:39:31Z,"contemporary country,country,country road,country rock",0.588,0.587,3,-6.89,1,0.0302,0.599,0,0.162,0.381,147.897,4
5TAgTVXiKaXiCUqILl7aVE,"6eUKZXaKkcviH0Ku9w2n3V","Small Bump","+","Ed Sheeran",2011-09-09,259413,38,spotify:user:12125629622,2020-02-14T12:40:56Z,"pop,uk pop",0.81,0.436,10,-12.683,1,0.0717,0.689,0.000151,0.11,0.446,119.973,4
0fZq48okuWkpAgjsWogAJ4,"6B10yUcmUVw4RPKe6j58E9","I Loved Her First","I Loved Her First","Heartland",2006-10-10,212013,0,spotify:user:12125629622,2020-02-14T12:41:17Z,"country road",0.423,0.391,4,-6.517,1,0.0262,0.295,0,0.175,0.166,137.031,3
4pPIWWOny4xWSiSRPsIY1c,"4xFUf1FHVy696Q1JQZMTRj","Mama's Song","Greatest Hits: Decade #1","Carrie Underwood",2014-12-09,240506,37,spotify:user:12125629622,2020-02-14T12:41:25Z,"contemporary country,country,country dawn,oklahoma country,pop",0.354,0.664,7,-5.413,1,0.0352,0.443,0,0.0835,0.235,79.742,3
4o57Rzdt08cLhWixrbi83f,"4k4DTNqE48dzmwOQU8PaKQ","Dance With My Daughter","Country Side","Jason Blaine",2015-10-23,215392,0,spotify:user:12125629622,2020-02-14T12:41:32Z,"canadian contemporary country,canadian country,country pop,country road,modern country rock",0.275,0.509,7,-8.305,1,0.0332,0.148,0,0.324,0.14,156.982,3
2IpBZKmiORC74tFhUhso6c,"4tw2Lmn9tTPUv7Gy7mVPI4","Handprints on the Wall","Back to the Well","Kenny Rogers",2003-11-23,242466,24,spotify:user:12125629622,2020-02-14T12:41:41Z,"adult standards,classic country pop,country,mellow gold,nashville sound,soft rock",0.564,0.47,0,-7.403,1,0.0238,0.393,0.0000146,0.112,0.302,90.91,4
5cwt3fRFqMCuxP5mhA1N7k,"4xFUf1FHVy696Q1JQZMTRj","Whenever You Remember","Some Hearts","Carrie Underwood",2005-11-14,227346,36,spotify:user:12125629622,2020-02-14T12:41:57Z,"contemporary country,country,country dawn,oklahoma country,pop",0.61,0.691,5,-4.312,1,0.0285,0.161,0,0.164,0.317,119.982,4
6RANU8AS5ICU5PEHh8BYtH,"7guDJrEfX3qb6FEbdPA5qi","Isn't She Lovely","Songs In The Key Of Life","Stevie Wonder",1976-09-28,394266,64,spotify:user:12125629622,2020-02-14T12:42:17Z,"funk,motown,quiet storm,soul",0.481,0.826,1,-6.974,0,0.0851,0.182,0.00352,0.324,0.819,118.679,4
2ZTCl6wQMDSMfY4s8GHZdj,"5YGY8feqx7naU7z4HrwZM6,60rpJ9SgigSd16DOAG7GSa","Butterfly Fly Away","Hannah Montana The Movie","Miley Cyrus,Billy Ray Cyrus",2009-01-01,189240,62,spotify:user:12125629622,2020-02-14T12:42:36Z,"dance pop,pop,post-teen pop,country,country rock",0.607,0.281,11,-12.632,1,0.0258,0.733,0.000123,0.29,0.468,134.977,4
3YT6mjbJ2VL7wBI95LDzNR,"7Hf9AwMO37bSdxHb0FBGmO","Yo Te Esperaba - Primera Fila [En Vivo]","La Guzmán en Primera Fila","Alejandra Guzman",2013-11-26,224866,59,spotify:user:12125629622,2020-02-14T12:44:17Z,"latin arena pop,latin pop,mexican pop,ranchera",0.453,0.482,2,-6.337,1,0.0484,0.72,0,0.734,0.37,140.324,4
0w9LJae3sVlZlH2CnxTInF,"1UTPBmNbXNTittyMJrNkvw","God Gave Me You","Red River Blue (Deluxe Edition)","Blake Shelton",2011-07-11,229533,61,spotify:user:12125629622,2020-02-14T12:44:47Z,"contemporary country,country,country road,oklahoma country",0.483,0.844,2,-5.043,1,0.0314,0.00481,0.0000729,0.405,0.543,151.977,4
2iVkOIwx8qzVGlju9Hy4yY,"6sQVeggRv1AhrMzuCjhCZe","Somebody's Hero","Brave","Jamie O'Neal",2005-01-01,221425,48,spotify:user:12125629622,2020-02-14T12:46:12Z,"contemporary country,country,country dawn,country road",0.493,0.735,1,-6.012,1,0.0432,0.0771,0,0.107,0.626,164.059,4
