Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0NlGoUyOJSuSHmngoibVAs,"4BxCuXFJrSWGi1KHcVqaU4","All I Want","In A Perfect World (Expanded Edition)","Kodaline",2013-06-17,305746,80,spotify:user:6ic5qdudzq0gz2qu3cpgnwd6k,2021-11-02T20:53:09Z,"irish pop,pop,pop rock,uk pop",0.188,0.411,0,-9.733,1,0.0484,0.174,0.153,0.0843,0.159,187.376,3
4nk9FMNHFGy7epedOpIBNn,"37M5pPGs6V1fchFJSgCguX","Partners in Crime","Blood Harmony (Deluxe)","FINNEAS",2020-08-07,223283,47,spotify:user:6ic5qdudzq0gz2qu3cpgnwd6k,2021-11-02T20:53:23Z,"alt z,electropop,la indie,pop",0.572,0.421,7,-12.714,1,0.34,0.802,0.000513,0.0966,0.438,172.674,3
2ygvZOXrIeVL4xZmAWJT2C,"6qqNVTkY8uBg9cP3Jd7DAH","my future","my future","Billie Eilish",2020-07-30,208155,70,spotify:user:6ic5qdudzq0gz2qu3cpgnwd6k,2021-11-02T20:53:29Z,"art pop,electropop,pop",0.444,0.309,8,-10.956,1,0.062,0.795,0.132,0.352,0.0875,104.745,4
6Kkt27YmFyIFrcX3QXFi2o,"163tK9Wjr9P9DmM0AVK7lm","Liability","Melodrama","Lorde",2017-06-16,171727,74,spotify:user:6ic5qdudzq0gz2qu3cpgnwd6k,2021-11-02T20:53:44Z,"art pop,metropopolis,nz pop,pop,yakut pop",0.587,0.229,10,-11.254,0,0.128,0.92,0,0.1,0.379,75.67,4
6NjP6CP3ILp0SrczlWcMvv,"7LImGq5KnzQobZciDJpeJb","Everybody Loves You","Everybody Loves You","Charlotte Lawrence",2018-05-30,204648,52,spotify:user:6ic5qdudzq0gz2qu3cpgnwd6k,2021-11-02T20:54:00Z,"alt z,dance pop,electropop,indie poptimism,pop,post-teen pop",0.479,0.231,2,-10.278,1,0.0481,0.753,0,0.37,0.33,112.255,1
49MMefftWPcltNP4OOJGSs,"37M5pPGs6V1fchFJSgCguX","I Lost a Friend","I Lost a Friend","FINNEAS",2019-05-03,237020,47,spotify:user:6ic5qdudzq0gz2qu3cpgnwd6k,2021-11-02T20:54:06Z,"alt z,electropop,la indie,pop",0.453,0.209,11,-11.917,1,0.223,0.587,0,0.119,0.216,169.316,4
0j1Ia2lQWrcXrQZI4AdJlk,"6sFHvCyqklnJpXC9Nh1aag","IDK You Yet","IDK You Yet (Live on Piano)","Alexander 23",2020-06-23,184638,77,spotify:user:6ic5qdudzq0gz2qu3cpgnwd6k,2021-11-02T20:54:11Z,"alt z,pop,uk pop",0.648,0.308,1,-11.729,1,0.04,0.886,0.0774,0.124,0.198,76.997,1
48yUhAZGJb5WGSclZK1RAF,"66W9LaWS0DPdL7Sz8iYGYe","Same Room","Same Room","JP Saxe",2019-06-28,233465,49,spotify:user:6ic5qdudzq0gz2qu3cpgnwd6k,2021-11-02T20:54:25Z,"alt z,canadian contemporary r&b,neo mellow,pop,uk pop",0.455,0.386,7,-10.883,1,0.0675,0.623,0,0.102,0.418,134.093,4
00cBcYOlnHoXX9ver3cmdE,"66W9LaWS0DPdL7Sz8iYGYe","A Little Bit Yours","A Little Bit Yours","JP Saxe",2020-09-02,225680,65,spotify:user:6ic5qdudzq0gz2qu3cpgnwd6k,2021-11-02T20:54:29Z,"alt z,canadian contemporary r&b,neo mellow,pop,uk pop",0.598,0.295,1,-8.553,1,0.0276,0.735,0,0.107,0.314,87.025,4
5GVPVxgdgTKJFxSxLVIw1A,"4Uc8Dsxct0oMqx0P6i60ea","The Story","Kid Krow","Conan Gray",2020-03-20,245266,67,spotify:user:6ic5qdudzq0gz2qu3cpgnwd6k,2021-11-02T20:54:38Z,"bedroom pop,pop",0.542,0.299,0,-10.379,1,0.0305,0.817,0,0.109,0.274,141.917,4
