Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4OSBTYWVwsQhGLF9NHvIbR,"4dpARuHxo51G3z768sgnrY","Rolling in the Deep","21","Adele",2011-01-24,228093,80,spotify:user:d3ie5gynlzbv872xbafhxdehh,2021-08-27T23:27:08Z,"british soul,pop,pop soul,uk pop",0.73,0.769,8,-5.114,1,0.0298,0.138,0,0.0473,0.507,104.948,4
1R0a2iXumgCiFb7HEZ7gUE,"06HL4z0CvFAxyc27GXpf02","Don’t Blame Me","reputation","Taylor Swift",2017-11-10,236413,87,spotify:user:d3ie5gynlzbv872xbafhxdehh,2021-08-27T23:29:43Z,"pop",0.615,0.534,9,-6.719,0,0.0386,0.106,0.0000176,0.0607,0.193,135.917,4
1mw0RgNXIpYRyyCdBQbLgA,"6KImCVD70vtIoJWnq6nGn3","Love Of My Life","Harry's House","Harry Styles",2022-05-20,191638,80,spotify:user:d3ie5gynlzbv872xbafhxdehh,2022-10-24T23:02:05Z,"pop",0.555,0.536,7,-8.233,1,0.0452,0.669,0,0.0623,0.203,118.057,4
5E30LdtzQTGqRvNd7l6kG5,"77SW9BnxLY8rJ0RciFqkHh","Daddy Issues","Wiped Out!","The Neighbourhood",2015-10-30,260173,86,spotify:user:d3ie5gynlzbv872xbafhxdehh,2021-08-27T23:34:56Z,"modern alternative rock,modern rock,pop,shimmer pop",0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,4
7bFmXanwZQm6BMV9Nka6Hk,"451XuvAUIJfZrPOQt2AReP,6wbpT3ouvjUUWqKWJ5iQ9z,0SzZQUkmQ2VPihJ7P64IGq,5RZjpmuD14JKXvB8Ry1G1u,2HB65P72dFRiOKvbLLcil2","Our Last Summer - From 'Mamma Mia!' Original Motion Picture Soundtrack","Mamma Mia! The Movie Soundtrack","Colin Firth,Pierce Brosnan,Stellan Skarsgård,Amanda Seyfried,Meryl Streep",2008-01-01,177626,65,spotify:user:d3ie5gynlzbv872xbafhxdehh,2021-08-27T23:43:05Z,"hollywood,movie tunes,pop",0.635,0.459,7,-7.343,1,0.0244,0.246,0,0.259,0.433,96.056,4
5O2P9iiztwhomNh8xkR9lJ,"4AK6F7OLvEQ5QYCBNiQWHq","Night Changes","FOUR (Deluxe)","One Direction",2014-11-17,226600,87,spotify:user:d3ie5gynlzbv872xbafhxdehh,2022-10-24T23:02:03Z,"boy band,pop,post-teen pop,talent show",0.672,0.52,8,-7.747,1,0.0353,0.859,0,0.115,0.37,120.001,4
5CZ40GBx1sQ9agT82CLQCT,"1McMsnEElThX1knmY4oliG","traitor","SOUR","Olivia Rodrigo",2021-05-21,229226,86,spotify:user:d3ie5gynlzbv872xbafhxdehh,2022-11-06T17:51:17Z,"pop",0.38,0.339,3,-7.885,1,0.0338,0.691,0,0.12,0.0849,100.607,4
5WtfUKzXircvW8l5aaVZWT,"0ZED1XzwlLHW4ZaG4lOT6m,1Hsdzj7Dlq2I7tHP7501T4","What A Time (feat. Niall Horan)","Inner Monologue Part 1","Julia Michaels,Niall Horan",2019-01-24,173306,81,spotify:user:d3ie5gynlzbv872xbafhxdehh,2021-08-27T23:46:17Z,"alt z,dance pop,electropop,pop,post-teen pop,uk pop",0.516,0.467,0,-6.184,1,0.0302,0.662,0,0.0853,0.386,132.861,4
0qvzXomUDJVaUboy2wMfiS,"1Hsdzj7Dlq2I7tHP7501T4","This Town","Flicker (Deluxe)","Niall Horan",2017-10-20,232852,79,spotify:user:d3ie5gynlzbv872xbafhxdehh,2021-08-27T23:53:03Z,"dance pop,pop,post-teen pop,uk pop",0.677,0.401,9,-8.467,1,0.0308,0.712,0,0.116,0.195,111.825,4
4x5YzxjrF9wvIIXJV7TveC,"6P5NO5hzJbuOqSdyPB7SJM,37M5pPGs6V1fchFJSgCguX","Till Forever Falls Apart","Ashlyn","Ashe,FINNEAS",2021-05-07,222926,73,spotify:user:d3ie5gynlzbv872xbafhxdehh,2021-08-27T23:54:00Z,"alt z,electropop,pop,post-teen pop,la indie",0.346,0.501,2,-6.939,1,0.0364,0.421,0,0.0657,0.299,99.855,4
