Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3jjsRKEsF42ccXf8kWR3nu,"2uYWxilOVlUdk4oV9DvwqK","Washing Machine Heart","Be the Cowboy","Mitski",2018-08-17,128198,82,spotify:user:31wjwwzlxygo3t6cwkti2xpq34sy,2022-11-02T04:31:01Z,"brooklyn indie,pop",0.613,0.822,9,-4.087,1,0.026,0.0092,0.506,0.429,0.567,105.997,4
0ZqRlZTgNbQgynrHdxzLHp,"3viq43YBD53pCyvDOT3rxB","bee.","bee.","GroovyDominoes52",2020-08-05,66286,59,spotify:user:31wjwwzlxygo3t6cwkti2xpq34sy,2022-11-02T04:31:01Z,"",0.709,0.274,7,-15.686,0,0.1,0.966,0.955,0.103,0.847,120.049,4
2WzAAerBvZvvFXgUpSwHZ9,"13itspgSHkUbOq03AhIyjS,3g0UoyvaTaHUrfpHiRqsD1","MIDNIGHT","MIDNIGHT","PLAYAMANE,Nateki",2022-02-13,121972,82,spotify:user:31wjwwzlxygo3t6cwkti2xpq34sy,2022-11-02T04:31:01Z,"drift phonk",0.633,0.433,1,-8.833,1,0.229,0.0053,0.28,0.145,0.373,122.088,4
37y7iDayfwm3WXn5BiAoRk,"57vWImR43h4CaDao012Ofp","Dark Red","Dark Red","Steve Lacy",2017-02-20,173104,77,spotify:user:31wjwwzlxygo3t6cwkti2xpq34sy,2022-11-02T04:31:01Z,"afrofuturism",0.603,0.783,6,-4.023,1,0.062,0.449,0.00000796,0.119,0.775,172.041,4
2LKOHdMsL0K9KwcPRlJK2v,"0pWwt5vGNzezEhfAcc420Y","After Dark","Time","Mr.Kitty",2014-10-06,259146,85,spotify:user:31wjwwzlxygo3t6cwkti2xpq34sy,2022-11-02T04:31:01Z,"weirdcore",0.585,0.595,8,-10.444,1,0.0328,0.0696,0.266,0.0837,0.039,140.037,4
7H7NyZ3G075GqPx2evsfeb,"3Sz7ZnJQBIHsXLUSo0OQtM","Chamber Of Reflection","Salad Days","Mac DeMarco",2014-04-01,231723,81,spotify:user:31wjwwzlxygo3t6cwkti2xpq34sy,2022-11-02T04:31:01Z,"edmonton indie,lo-fi indie",0.538,0.557,11,-8.678,1,0.0914,0.262,0.914,0.102,0.506,131.03,4
6jgkEbmQ2F2onEqsEhiliL,"3Sz7ZnJQBIHsXLUSo0OQtM","My Kind of Woman","2","Mac DeMarco",2012-10-16,190845,79,spotify:user:31wjwwzlxygo3t6cwkti2xpq34sy,2022-11-02T04:31:01Z,"edmonton indie,lo-fi indie",0.501,0.765,6,-7.063,0,0.0281,0.00294,0.49,0.184,0.46,91.771,4
3RA0LaRQuDwVvDNpDtEc9b,"3Sz7ZnJQBIHsXLUSo0OQtM","My Kind of Woman - Instrumental","2 Demos","Mac DeMarco",2013-11-15,212906,62,spotify:user:31wjwwzlxygo3t6cwkti2xpq34sy,2022-11-02T04:31:01Z,"edmonton indie,lo-fi indie",0.256,0.605,8,-10.94,1,0.0586,0.694,0.86,0.322,0.46,172.735,4
2H2379xRxgQVvcOSoL8Ajr,"3xs0LEzcPXtgNfMNcHzLIP","Somebody's Watching Me","Body By Jake: Randy Couture Workout Mix (BPM 104-144)","Rockwell",2012-02-01,293933,64,spotify:user:31wjwwzlxygo3t6cwkti2xpq34sy,2022-11-02T04:31:01Z,"",0.792,0.62,1,-6.204,0,0.0344,0.123,0.0000412,0.0548,0.843,123.933,4
1mea3bSkSGXuIRvnydlB5b,"4gzpq5DPGxSnKTe4SA8HAU","Viva La Vida","Viva La Vida or Death and All His Friends","Coldplay",2008-05-26,242373,84,spotify:user:31wjwwzlxygo3t6cwkti2xpq34sy,2022-11-02T04:31:01Z,"permanent wave,pop",0.486,0.617,5,-7.115,0,0.0287,0.0954,0.00000323,0.109,0.417,138.015,4
