Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5SAGopoaraFmLS08bNjLxB,"0uq5PttqEjj3IH1bzwcrXF","Last Time Lover","Spice","Spice Girls",1996-01-01,251533,43,spotify:user:124694869,2019-02-24T03:45:14Z,"dance pop,europop,girl group",0.721,0.669,8,-7.791,0,0.0488,0.00738,0.733,0.0762,0.95,88.115,4
5EpTYKc0gH88YXao5KCF34,"5zfEatKLDdRkgbw6sdLBAQ,1CDmkNCsL8VMJ5nhkGqvVN","Bet (feat. Michael Phantom)","Bet (feat. Michael Phantom)","Octavian,Michael Phantom",2019-02-10,117000,0,spotify:user:124694869,2019-02-24T03:49:57Z,"afroswing,grime,london rap,uk alternative hip hop,uk hip hop",0.855,0.572,11,-8.171,0,0.402,0.00341,0.000309,0.152,0.842,78.063,4
7mMLKwFMq8STlXOBexSwqf,"6O4EGCCb6DoIiR6B1QCQgp","Who I Am","Outer Peace","Toro y Moi",2019-01-18,208973,0,spotify:user:124694869,2019-02-24T03:10:51Z,"alternative dance,chillwave,indie soul,indietronica,new rave",0.897,0.844,8,-5.059,1,0.0841,0.00415,0.013,0.618,0.801,119.989,4
3R73Y7X53MIQZWnKloWq5i,"6O4EGCCb6DoIiR6B1QCQgp,2i9uaNzfUtuApAjEf1omV8","Monte Carlo (feat. WET)","Outer Peace","Toro y Moi,Wet",2019-01-18,125133,0,spotify:user:124694869,2019-02-24T03:10:30Z,"alternative dance,chillwave,indie soul,indietronica,new rave,art pop,brooklyn indie,electropop,indie pop,indie poptimism,nyc pop,pop,vapor soul",0.653,0.381,1,-8.967,1,0.0512,0.0821,0.0000729,0.175,0.133,140.08,4
1lZI25Fu80HU0Bm0m5s77i,"55EarwWraRQY9diMo9Oeul","In The Night","In The Night","Deb Never",2019-01-25,197090,0,spotify:user:124694869,2019-02-24T03:43:42Z,"indie pop,modern indie pop",0.706,0.413,11,-9.271,1,0.0269,0.451,0.0326,0.0997,0.188,95.005,4
7xKjdvYaJ1tvwNXRTAZs78,"3IunaFjvNKj98JW89JYv9u","Maybe You're the Reason","Maybe You're the Reason","The Japanese House",2019-01-13,218935,31,spotify:user:124694869,2019-02-24T04:34:16Z,"electropop,indie pop,indie poptimism,indietronica,modern dream pop,pop,vapor soul",0.621,0.762,5,-6.376,1,0.0328,0.106,0.00000271,0.302,0.395,95.014,4
0gAGVfApZhoQ2PHZKJ1IMb,"6sy8aMZr1TkfZqrr7uGC2Q","Good Side","For a Reason","Lifetones",1983,237200,29,spotify:user:124694869,2019-02-24T03:32:29Z,"uk post-punk",0.692,0.566,7,-10.499,1,0.0755,0.0236,0.0558,0.107,0.591,112.241,4
1lAGdqI4Wwa8G0XTP6VqHl,"0DtXHIvJ8NWBg5pGvsgWnR","Girl Blunt","Acrylic","Leikeli47",2018-11-15,205480,48,spotify:user:124694869,2019-02-24T03:44:56Z,"alternative r&b,escape room,trap queen",0.856,0.665,1,-4.618,1,0.189,0.0128,0.00508,0.0695,0.367,93.953,4
2cqKXWijhSr3SqT7l91JNh,"0cv6efutq2pxWE1wGp6Wm5","EQUAL LOCAL '12 Ways To Go'","The Missing Link Story","Equal Local",2005-01-21,235933,6,spotify:user:124694869,2019-02-24T03:33:57Z,"australian post-punk",0.725,0.625,10,-8.228,0,0.14,0.309,0.456,0.11,0.877,159.244,4
49xMOQSvNoCZ3v6DFzTOGB,"5jevkWdPouBhKNpJu1DOyO","Slipped Disc","Mambo Nassau","Lizzy Mercier Descloux",1981,222000,33,spotify:user:124694869,2019-02-24T03:38:39Z,"experimental,experimental rock,french post-punk,no wave,post-punk",0.571,0.842,11,-4.806,0,0.135,0.0494,0,0.101,0.92,161.945,4
