Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2HMTLM3uA0NsOU1IkNufSj,"2RhgnQNC74QoBlaUvT4MEe","Try Hard Fool","Try Hard Fool","The Growlers",2019-09-06,190581,41,spotify:user:luizacordery,2020-11-15T02:24:23Z,"garage rock revival,indie garage rock,indie surf",0.503,0.825,10,-5.786,1,0.0323,0.00163,0.000411,0.144,0.421,125.825,4
1ZgMsA55GIY7ICkQh5MILA,"56ZTgzPBDge0OvCGgMO3OY","Space Song","Depression Cherry","Beach House",2015-08-28,320466,75,spotify:user:luizacordery,2021-02-07T17:51:49Z,"baltimore indie,dream pop,dreamo,modern dream pop",0.507,0.79,0,-7.307,0,0.0294,0.233,0.139,0.145,0.6,147.065,4
07MDkzWARZaLEdKxo6yArG,"64H8UqGLbJFHwKtGxiV8OP,3rWZHrfrsPBxVy692yAIxF,1xoxekeb8jUVHKJB7m6bfg","Meet Me At Our Spot","THE ANXIETY","THE ANXIETY,WILLOW,Tyler Cole",2020-03-13,162680,79,spotify:user:luizacordery,2021-03-26T20:47:42Z,"modern alternative pop,afrofuturism,pop,post-teen pop,bedroom soul",0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,94.995,4
5th1bFGGaXLM7wDBJpcF06,"6V70yeZQCoSR2M3fyW8qiA","Booster Seat","Sunlight","Spacey Jane",2020-06-12,268880,55,spotify:user:luizacordery,2021-07-09T21:12:31Z,"australian indie rock,fremantle indie,perth indie",0.629,0.551,11,-5.402,1,0.0263,0.0418,0.00000118,0.108,0.699,111.961,4
4O7N7BLSnvItd2NecWsrV9,"25pd339V2rRJo84USlcSRP","Best Thing","Best Thing","JAWNY",2021-04-15,156709,0,spotify:user:luizacordery,2021-07-09T21:12:36Z,"bedroom pop,indie pop",0.781,0.746,5,-6.327,0,0.38,0.503,0,0.106,0.858,95.73,4
5dFG12OQz10CbUFZIYH0gv,"2sSGPbdZJkaSE2AbcGOACx","Un Millón","CINEMA","The Marías",2021-06-25,167386,54,spotify:user:luizacordery,2021-07-09T21:13:07Z,"bedroom pop,indie pop,la indie",0.748,0.464,0,-8.527,1,0.135,0.24,0.0747,0.0726,0.226,176.026,4
40jxatV29fk82SAziDsPqN,"0fA0VVWsXO9YnASrzqfmYu,3rWZHrfrsPBxVy692yAIxF","Rose Golden","Passion, Pain & Demon Slayin'","Kid Cudi,WILLOW",2016-12-16,277813,61,spotify:user:luizacordery,2021-07-29T00:34:05Z,"hip hop,ohio hip hop,rap,afrofuturism,pop,post-teen pop",0.594,0.762,9,-7.951,0,0.0899,0.426,0,0.085,0.588,139.932,4
6BXHCHzw706smnLQdCIDUy,"5FxD8fkQZ6KcsSYupDVoSO","Go Away","Go Away","Omar Apollo",2021-07-08,207346,52,spotify:user:luizacordery,2021-08-18T15:31:55Z,"bedroom pop,bedroom soul,pop,r&b",0.634,0.568,5,-7.757,0,0.0354,0.0426,0.00000185,0.456,0.369,123.885,4
0yc6Gst2xkRu0eMLeRMGCX,"1QAJqy2dA3ihHBFIHRphZj","Apocalypse","Cigarettes After Sex","Cigarettes After Sex",2017-06-09,290616,83,spotify:user:luizacordery,2021-08-18T15:32:04Z,"ambient pop,dream pop,el paso indie,pop,shoegaze",0.37,0.467,5,-9.013,1,0.0273,0.0205,0.572,0.109,0.182,94.485,4
2yRlcQn3yUqseUYHw2XzNZ,"2Yhge9MsE7qKcV0eWsuuHM","Part of Me","Tungsten","Healy",2021-01-13,201081,45,spotify:user:luizacordery,2021-08-18T15:32:27Z,"memphis hip hop",0.874,0.333,11,-7.971,1,0.17,0.441,0.0301,0.093,0.593,147.989,4
7dJN4NWQuqCjWwIT3UwOps,"5FxD8fkQZ6KcsSYupDVoSO","Useless","Apolonio","Omar Apollo",2020-10-16,183693,67,spotify:user:luizacordery,2021-08-18T15:32:31Z,"bedroom pop,bedroom soul,pop,r&b",0.612,0.565,5,-7.609,1,0.0414,0.585,0.00174,0.0827,0.545,89.895,4
20j7l6tFtc5lynXpbOQg1O,"6USv9qhCn6zfxlBQIYJ9qs","Superstar Sh*t","What Could Possibly Go Wrong","Dominic Fike",2020-07-31,127054,71,spotify:user:luizacordery,2021-08-18T15:32:35Z,"alternative pop rock,pop",0.756,0.394,4,-7.321,0,0.0956,0.945,0.0371,0.12,0.197,70.027,4
1yfkJLkJuhVxZf7d4OqARc,"3CfbFUXY5EE7NmKE4n1Q3v","Maple Syrup Tears","Apocalypse Wow","Huron John",2020-04-22,193401,3,spotify:user:luizacordery,2021-08-18T15:32:40Z,"bedroom pop,chill r&b,indie r&b,modern alternative pop",0.7,0.654,4,-5.026,1,0.0284,0.379,0.000194,0.293,0.594,113.02,4
7Bcenw3L04NpnXVcPDig4j,"3CfbFUXY5EE7NmKE4n1Q3v","Andy","Andy","Huron John",2020-03-02,218575,31,spotify:user:luizacordery,2021-09-30T09:32:44Z,"bedroom pop,chill r&b,indie r&b,modern alternative pop",0.654,0.691,4,-5.813,1,0.0509,0.517,0.0466,0.145,0.56,172.1,4
554KgAoTw8cGS40oSbmTeG,"6CwfuxIqcltXDGjfZsMd9A","Handmade Heaven","Love + Fear","MARINA",2019-04-26,209890,46,spotify:user:luizacordery,2021-09-30T09:32:48Z,"dance pop,electropop,metropopolis,pop,uk alternative pop",0.379,0.503,6,-5.814,0,0.0374,0.367,0,0.111,0.284,106.999,4
3BU83xQPDHM3A4tYayv2Vj,"6deCiWT7ATcDWP2Cvlalvn,25pd339V2rRJo84USlcSRP","French Girl","bops etc.","Oscar Lang,JAWNY",2019-06-14,205428,42,spotify:user:luizacordery,2021-09-30T09:33:07Z,"bedroom pop,indie pop",0.704,0.778,0,-8.301,1,0.157,0.66,0.00588,0.137,0.478,110.019,4
