Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3U4isOIWM3VvDubwSI3y7a,"5y2Xq6xcjJb2jVM54GHK3t","All of Me","Love In The Future (Expanded Edition)","John Legend",2013-08-30,269560,84,spotify:user:pantsswag21,2020-09-18T07:46:13Z,"neo soul,pop,pop soul,r&b,urban contemporary",0.422,0.264,8,-7.064,1,0.0322,0.922,0,0.132,0.331,119.93,4
2u6fRGcaBhpI4uNBHpGv0b,"2PfBzriIMRsCXPDtSy9vg8","Hallelujah","Vibrate: The Best Of (Deluxe Edition)","Rufus Wainwright",2013-01-01,251586,61,spotify:user:pantsswag21,2020-09-18T07:46:49Z,"canadian pop,chamber pop,melancholia,piano rock,singer-songwriter",0.367,0.156,9,-10.052,0,0.0314,0.88,0,0.0972,0.44,73.138,4
6MDTpYxPFL0wtFd0pjfKws,"1g1yxsNVPhMUl9GrMjEb2o","Rhythm Of Love","Wonders Of The Younger","Plain White T's",2010-01-01,200200,62,spotify:user:pantsswag21,2020-09-18T07:47:35Z,"neo mellow,pop punk,pop rock",0.531,0.542,8,-7.721,1,0.0432,0.356,0,0.119,0.726,171.878,4
34gCuhDGsG4bRPIf9bb02f,"6eUKZXaKkcviH0Ku9w2n3V","Thinking out Loud","x (Deluxe Edition)","Ed Sheeran",2014-06-21,281560,83,spotify:user:pantsswag21,2020-09-18T07:48:04Z,"pop,uk pop",0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.184,0.591,78.998,4
5uCax9HTNlzGybIStD3vDh,"4IWBUUAFIplrNtaOHcJPRM","Say You Won't Let Go","Back from the Edge","James Arthur",2016-10-28,211466,84,spotify:user:pantsswag21,2022-09-05T20:25:50Z,"pop,talent show,uk pop",0.358,0.557,10,-7.398,1,0.059,0.695,0,0.0902,0.494,85.043,4
6YnauKvhKMFOX63RwmiCwH,"7gOdHgIoIKoe4i9Tta6qdD","When You Look Me in the Eyes","Jonas Brothers","Jonas Brothers",2007-08-07,249693,0,spotify:user:pantsswag21,2020-09-18T07:48:16Z,"boy band,dance pop,pop,post-teen pop",0.393,0.767,2,-3.685,1,0.0337,0.0269,0,0.27,0.506,136.047,4
0JlPOiJFrlFnC5QHcLPyPV,"7gOdHgIoIKoe4i9Tta6qdD","Lovebug","A Little Bit Longer","Jonas Brothers",2008-08-12,220693,0,spotify:user:pantsswag21,2020-09-18T07:48:20Z,"boy band,dance pop,pop,post-teen pop",0.597,0.499,4,-6.216,1,0.0581,0.126,0,0.214,0.521,79.071,4
6DibQfKyUW9juWk0OipUcL,"2oX42qP5ineK3hrhBECLmj","I Choose You","Crazy Beautiful EP","Andy Grammer",2016-11-18,194813,42,spotify:user:pantsswag21,2020-09-18T07:48:35Z,"dance pop,neo mellow,pop,pop rap,pop rock,post-teen pop",0.416,0.745,4,-3.852,0,0.0639,0.253,0,0.347,0.449,80.7,4
4ODWgs1CVAZKDbryEodjiz,"1Mxqyy3pSjf8kZZL4QVxS0","Theme From New York, New York","Ultimate Sinatra","Frank Sinatra",2015-04-21,204146,55,spotify:user:pantsswag21,2020-09-18T07:50:27Z,"adult standards,easy listening,lounge",0.407,0.589,2,-5.32,1,0.03,0.547,0,0.281,0.559,109.009,4
44AyOl4qVkzS48vBsbNXaC,"43ZHCT0cAZBISjO8DG9PnE","Can't Help Falling in Love","Blue Hawaii","Elvis Presley",1961-10-20,182360,79,spotify:user:pantsswag21,2020-09-18T07:51:06Z,"rock-and-roll,rockabilly",0.396,0.293,2,-14.062,1,0.0275,0.941,0.000196,0.105,0.343,100.307,3
0tgVpDi06FyKpA1z0VMD4v,"6eUKZXaKkcviH0Ku9w2n3V","Perfect","÷ (Deluxe)","Ed Sheeran",2017-03-03,263400,86,spotify:user:pantsswag21,2020-09-18T07:52:13Z,"pop,uk pop",0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,3
2JqnpexlO9dmvjUMCaLCLJ,"25u4wHJWxCA9vO0CzxAbK7","Love Someone","Love Someone","Lukas Graham",2018-09-07,205463,65,spotify:user:pantsswag21,2020-09-18T07:52:38Z,"danish pop,pop,scandipop",0.55,0.415,9,-6.557,0,0.052,0.161,0,0.108,0.274,172.065,4
6lvsJDZ7336YmpBzcNGhbe,"5ZsFI1h6hIdQRw2ti0hz81","fOoL fOr YoU","Mind Of Mine (Deluxe Edition)","ZAYN",2016-03-25,202213,67,spotify:user:pantsswag21,2020-09-18T07:52:45Z,"dance pop,pop,post-teen pop,uk pop",0.52,0.513,7,-7.208,1,0.0256,0.281,0,0.0976,0.17,77.903,4
5FPnjikbwlDMULCCCa6ZCJ,"0hEurMDQu99nJRq8pTxO14","Daughters","Heavier Things","John Mayer",2003-09-09,237906,65,spotify:user:pantsswag21,2022-05-26T01:59:25Z,"neo mellow,singer-songwriter",0.674,0.413,2,-7.816,1,0.0274,0.836,0.0000195,0.098,0.503,124.893,3
