Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1QL7nSDZCwZMnbisV4KOXt,"3rWZHrfrsPBxVy692yAIxF,4exLIFE8sISLr28sqG1qNX","t r a n s p a r e n t s o u l feat. Travis Barker","t r a n s p a r e n t s o u l feat. Travis Barker","WILLOW,Travis Barker",2021-04-27,168030,67,spotify:user:dheh1qglxvnrpeae2b30h03xj,2021-06-29T12:42:31Z,"afrofuturism,pop,post-teen pop,rap rock",0.39,0.83,11,-5.201,0,0.0563,0.0021,0,0.156,0.191,90.021,4
6PERP62TejQjgHu81OHxgM,"1McMsnEElThX1knmY4oliG","good 4 u","good 4 u","Olivia Rodrigo",2021-05-14,178147,25,spotify:user:dheh1qglxvnrpeae2b30h03xj,2021-06-29T12:43:13Z,"pop",0.556,0.661,6,-5.052,0,0.204,0.3,0,0.101,0.668,168.56,4
33SNO8AaciGbNaQFkxvPrW,"6KImCVD70vtIoJWnq6nGn3","Kiwi","Harry Styles","Harry Styles",2017-05-12,176386,76,spotify:user:dheh1qglxvnrpeae2b30h03xj,2021-06-29T12:43:50Z,"pop",0.375,0.93,2,-2.631,1,0.0561,0.00064,0,0.318,0.491,147.124,4
1VSuFS7PahCN3SWbOcQ98m,"6TIYQ3jFPwQSRmorSezPxX,26VFTg2z8YR0cCuwLzESi2","forget me too (feat. Halsey)","Tickets To My Downfall","Machine Gun Kelly,Halsey",2020-09-25,171620,72,spotify:user:dheh1qglxvnrpeae2b30h03xj,2021-06-29T12:44:09Z,"ohio hip hop,pop,pop rap,dance pop,electropop,etherpop,indie poptimism",0.654,0.875,1,-4.845,1,0.0744,0.000417,0.0086,0.194,0.522,99.975,4
6SRsiMl7w1USE4mFqrOhHC,"1McMsnEElThX1knmY4oliG","brutal","SOUR","Olivia Rodrigo",2021-05-21,143746,79,spotify:user:dheh1qglxvnrpeae2b30h03xj,2021-06-29T12:44:45Z,"pop",0.672,0.526,4,-6.446,1,0.0599,0.0311,0.00000137,0.28,0.28,123.999,4
41FCZduFUjoymvDXb6ZviB,"0wOej91SVqB1zcYkW6xUtA","Change","Who Am I?","Pale Waves",2021-02-12,172280,44,spotify:user:dheh1qglxvnrpeae2b30h03xj,2021-06-29T12:50:22Z,"electropop,indie pop,manchester indie,metropopolis,modern alternative rock,modern rock",0.598,0.906,7,-3.435,1,0.0447,0.00931,0.0000395,0.16,0.525,97.007,4
4svZDCRz4cJoneBpjpx8DJ,"06HL4z0CvFAxyc27GXpf02","I Did Something Bad","reputation","Taylor Swift",2017-11-10,238253,75,spotify:user:dheh1qglxvnrpeae2b30h03xj,2021-09-24T22:14:36Z,"pop",0.696,0.602,0,-6.156,0,0.159,0.0679,0.0000211,0.0696,0.305,82.989,4
4GUj9MfPPkjpZskxb45uiX,"6Y64EaNqpqcZYTgs4c76gF","ANGELS & DEMONS","ANGELS & DEMONS","jxdn",2020-05-19,160119,0,spotify:user:dheh1qglxvnrpeae2b30h03xj,2021-06-29T12:52:20Z,"pop punk",0.554,0.8,8,-3.936,1,0.0395,0.119,0,0.629,0.463,115.056,4
0T2kNwYw4Z7rhziNRNsjfO,"06HL4z0CvFAxyc27GXpf02","Should've Said No","Taylor Swift (Big Machine Radio Release Special)","Taylor Swift",2006-10-24,244080,51,spotify:user:dheh1qglxvnrpeae2b30h03xj,2021-06-29T12:54:49Z,"pop",0.477,0.758,4,-3.889,0,0.0285,0.00983,0,0.203,0.53,167.935,4
5jbk17nRpXXvzGXPXjm3uW,"1QRj3hoop9Mv5VvHQkwPEp,1UXEXWWOTTZNlyFapwHDbW,1Ffb6ejR6Fe5IamqA5oRUF","No More Friends (with Oli Sykes of Bring Me The Horizon)","No More Friends","Olivia O'Brien,Oli Sykes,Bring Me The Horizon",2021-06-10,193376,53,spotify:user:dheh1qglxvnrpeae2b30h03xj,2021-06-29T13:37:07Z,"alt z,dance pop,electropop,pop,post-teen pop,uk pop,melodic metalcore,metalcore,rock,uk metalcore",0.626,0.635,7,-7.845,0,0.163,0.0346,0,0.0953,0.581,149.824,4
