Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
70LcF31zb1H0PyJoS1Sx1r,"4Z8W4fKeB5YxbusRsdQVPb","Creep","Pablo Honey","Radiohead",1993-02-22,238640,85,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-02-16T04:15:36Z,"alternative rock,art rock,melancholia,oxford indie,permanent wave,rock",0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,4
7wCmS9TTVUcIhRalDYFgPy,"6zvul52xwTWzilBZl6BUbT","Where Is My Mind? - Remastered","Surfer Rosa","Pixies",1988-03-21,234973,78,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-02-16T04:15:43Z,"alternative rock,boston rock,modern rock,permanent wave,rock",0.519,0.441,4,-14.178,1,0.0353,0.0204,0.000453,0.076,0.25,81.334,4
003vvx7Niy0yvhvHt4a68B,"0C0XlULifJtAgn6ZNCW2eu","Mr. Brightside","Hot Fuss","The Killers",2004,222973,84,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-02-16T04:15:53Z,"alternative rock,dance rock,permanent wave,rock",0.352,0.911,1,-5.23,1,0.0747,0.00121,0,0.0995,0.236,148.033,4
1zNeVf6Qk402L4Urb7CcG8,"3WaJSfKnzc65VDgmj2zU8B","Rest My Chemistry","Our Love To Admire","Interpol",2007-07-10,301093,51,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-02-16T04:25:04Z,"alternative rock,indie rock,modern rock,rock",0.471,0.877,11,-5.576,0,0.0378,0.0193,0.0847,0.276,0.419,150.092,4
0HUTL8i4y4MiGCPId7M7wb,"1gl0S9pS0Zw0qfa14rDD3D","Freaks","Buds","Surf Curse",2015-05-10,147036,0,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-05-03T06:26:00Z,"dreamo,indie pop,indie surf,surf punk,vegas indie",0.346,0.944,9,-9.874,1,0.0485,0.0000416,0.565,0.0546,0.403,179.63,4
10nyNJ6zNy2YVYLrcwLccB,"4Z8W4fKeB5YxbusRsdQVPb","No Surprises","OK Computer","Radiohead",1997-05-28,229120,81,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-02-16T04:15:57Z,"alternative rock,art rock,melancholia,oxford indie,permanent wave,rock",0.255,0.393,5,-10.654,1,0.0278,0.0577,0.00361,0.113,0.118,76.426,4
4absiGHMelB8eH976ytjBj,"3WaJSfKnzc65VDgmj2zU8B","Evil","Antics","Interpol",2004-09-27,215826,66,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-03-19T00:31:23Z,"alternative rock,indie rock,modern rock,rock",0.489,0.769,5,-3.524,1,0.038,0.00135,0.56,0.0727,0.637,128.985,4
1XsN9Flu0VvZpXmrkBtZGt,"5sTzirFL1wjNa3GuSiUHsy","Let’s Go","Pursuit","Stuck in the Sound",2012-01-30,211453,59,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-02-16T04:15:59Z,"french rock,rock independant francais",0.486,0.623,11,-5.07,0,0.0309,0.0097,0.000034,0.178,0.275,89.454,4
07B4CFVNwG7oJ6pjQBt3am,"6zvul52xwTWzilBZl6BUbT","All I Think About Now","Head Carrier","Pixies",2016-09-30,187320,0,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-02-16T04:26:03Z,"alternative rock,boston rock,modern rock,permanent wave,rock",0.251,0.571,8,-7.822,1,0.0311,0.00395,0.00176,0.159,0.226,185.736,4
0z1o5L7HJx562xZSATcIpY,"4Z8W4fKeB5YxbusRsdQVPb","Exit Music (For A Film)","OK Computer","Radiohead",1997-05-28,267186,72,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-02-16T04:17:25Z,"alternative rock,art rock,melancholia,oxford indie,permanent wave,rock",0.293,0.276,4,-11.357,0,0.0349,0.224,0.122,0.167,0.195,121.603,4
5UWwZ5lm5PKu6eKsHAGxOk,"7jy3rLJdDQY21OgRLCZ9sD","Everlong","The Colour And The Shape","Foo Fighters",1997-05-20,250546,82,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-03-29T05:06:08Z,"alternative metal,alternative rock,modern rock,permanent wave,post-grunge,rock",0.413,0.881,11,-5.541,0,0.0367,0.0000599,0.000308,0.0805,0.364,158.066,4
11LmqTE2naFULdEP94AUBa,"6olE6TJLqED3rqDCT0FyPh","Heart-Shaped Box","In Utero - 20th Anniversary - Deluxe Edition","Nirvana",1993-09-21,281160,78,spotify:user:lv7e9b5maigla65qldmx54sf8,2022-09-20T18:43:13Z,"grunge,permanent wave,rock",0.256,0.641,1,-10.283,1,0.0552,0.199,0.0329,0.0853,0.382,203.006,4
0p5eZCY0R7uNCZS1YDtIYI,"6zvul52xwTWzilBZl6BUbT","Hey","Doolittle","Pixies",1989-04-17,210906,68,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-02-16T04:24:40Z,"alternative rock,boston rock,modern rock,permanent wave,rock",0.59,0.372,7,-12.37,1,0.0318,0.00105,0.00929,0.316,0.306,99.887,4
4jKq1e80xAYixkIwt6YyV1,"44gRHbEm4Uqa0ykW0rDTNk","Brick","Whatever And Ever Amen (Remastered Edition)","Ben Folds Five",1997-03-18,271720,54,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-03-24T19:43:10Z,"alternative rock,permanent wave,piano rock,pop rock",0.542,0.454,2,-10.247,1,0.025,0.645,0.00279,0.15,0.267,96.881,4
5fbQCQt91LsVgXusFS0CCD,"432R46LaYsJZV2Gmc4jUV5","Disorder - 2007 Remaster","Unknown Pleasures (Collector's Edition)","Joy Division",1979-06-01,209039,68,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-02-17T21:24:36Z,"alternative rock,art rock,madchester,new wave,post-punk,rock,uk post-punk",0.32,0.798,10,-7.078,0,0.124,0.00033,0.692,0.176,0.74,84.696,4
70wYA8oYHoMzhRRkARoMhU,"0C0XlULifJtAgn6ZNCW2eu","When You Were Young","Sam's Town","The Killers",2006-09-27,220426,76,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-03-31T03:27:20Z,"alternative rock,dance rock,permanent wave,rock",0.467,0.988,11,-3.313,1,0.112,0.000152,0.0484,0.28,0.321,130.433,4
0d28khcov6AiegSCpG5TuT,"3AA28KZvwAUcZuOKwyblJQ","Feel Good Inc.","Demon Days","Gorillaz",2005-05-23,222640,83,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-05-31T19:01:28Z,"alternative hip hop",0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,4
6mc2JQbl1IJQhgUO0eSvVQ,"6hQS54VPpxunuwR0W7usuo","Space Cadet","Sweat","The Technicolors",2016-06-24,288835,0,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-05-03T15:48:41Z,"modern alternative rock,modern rock,phoenix indie",0.571,0.655,11,-7.576,1,0.0307,0.126,0.0000139,0.165,0.633,85.987,4
2aibwv5hGXSgw7Yru8IYTO,"0L8ExT028jH3ddEcZwqJJ5","Snow (Hey Oh)","Stadium Arcadium","Red Hot Chili Peppers",2006-05-09,334666,79,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-02-19T20:25:19Z,"alternative rock,funk metal,funk rock,permanent wave",0.427,0.9,11,-3.674,1,0.0499,0.116,0.0000175,0.119,0.599,104.655,4
2EEinN4Zk8MUv4OQuLsTBj,"0yNLKJebCb8Aueb54LYya3","Age of Consent - 2015 Remaster","Power Corruption and Lies","New Order",1983-05-02,315333,65,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-04-10T20:14:55Z,"alternative rock,art rock,dance rock,madchester,new romantic,new wave,new wave pop,permanent wave,pop rock,post-punk,rock,synthpop,uk post-punk",0.372,0.91,2,-5.559,1,0.0392,0.00101,0.0944,0.13,0.756,161.964,4
2ccUQnjjNWT0rsNnsBpsCA,"1LB8qB5BPb3MHQrfkvifXU","Surrender","Heaven Tonight","Cheap Trick",1978-04,253733,67,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-05-05T00:01:48Z,"album rock,art rock,beatlesque,classic rock,glam metal,glam rock,hard rock,heartland rock,mellow gold,new wave pop,pop rock,power pop,rock,soft rock",0.524,0.955,0,-7.081,1,0.0411,0.00717,0.00000877,0.659,0.869,133.849,4
63OQupATfueTdZMWTxW03A,"4Z8W4fKeB5YxbusRsdQVPb","Karma Police","OK Computer","Radiohead",1997-05-28,264066,75,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-02-16T04:17:21Z,"alternative rock,art rock,melancholia,oxford indie,permanent wave,rock",0.36,0.501,7,-9.129,1,0.0258,0.0638,0.0000932,0.172,0.324,74.807,4
49ytTZMWwPvz1IUssgvyyX,"1gl0S9pS0Zw0qfa14rDD3D","Heathers","Buds","Surf Curse",2015-05-10,163257,0,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-08-07T21:52:12Z,"dreamo,indie pop,indie surf,surf punk,vegas indie",0.366,0.865,10,-9.32,1,0.0469,0.000228,0,0.107,0.728,176.121,4
2tznHmp70DxMyr2XhWLOW0,"26T3LtbuGT1Fu9m0eRq5X3","Cigarette Daydreams","Melophobia","Cage The Elephant",2013-10-08,208760,77,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-05-18T20:48:43Z,"modern rock,punk blues,rock",0.636,0.676,2,-3.442,1,0.0263,0.0807,0,0.0831,0.273,113.98,4
0jBE7Fn78EAvmIs3dCd6GO,"0epOFNiUfyON9EYx7Tpr6V","Is This It","Is This It","The Strokes",2001-07-30,151333,58,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-05-03T06:29:42Z,"alternative rock,garage rock,modern rock,permanent wave,rock",0.667,0.692,5,-8.361,1,0.0285,0.147,0.0000375,0.349,0.846,96.022,4
4keAoywVf4jxRvXU7ON0hV,"3Sz7ZnJQBIHsXLUSo0OQtM","Salad Days","Salad Days","Mac DeMarco",2014-04-01,145893,0,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-05-03T15:48:45Z,"edmonton indie,lo-fi indie",0.43,0.771,5,-7.176,1,0.0375,0.0876,0.0239,0.121,0.772,201.001,4
5ruzrDWcT0vuJIOMW7gMnW,"0epOFNiUfyON9EYx7Tpr6V","The Adults Are Talking","The New Abnormal","The Strokes",2020-04-10,309053,77,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-04-26T00:41:36Z,"alternative rock,garage rock,modern rock,permanent wave,rock",0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959,4
7oYbARmDk13V4WqtRtrLwm,"51r4EOi1LJJnEt5wqPElRH","Obsession","Dream Of Reason","The Cairos",2014-01-01,226826,47,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-08-02T00:51:44Z,"australian indie",0.243,0.842,2,-4.639,1,0.0628,0.0000196,0.000803,0.364,0.202,149.052,4
0FMAfHeqwXjJPy0mcCm6ur,"7bu3H8JO7d0UbMoVzbo70s","The End Of The World","The Cure","The Cure",2004-06-29,223760,53,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-05-03T09:33:20Z,"new wave,permanent wave,rock,uk post-punk",0.675,0.927,0,-3.455,1,0.0446,0.162,0.00000177,0.337,0.629,119.992,4
3urJUvRhgMrwydaTQFVEg9,"2zRt0sfxNnqI8gLR7d8gWt","Tear You Apart","She Wants Revenge","She Wants Revenge",2005-01-01,284613,67,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-05-14T05:44:44Z,"dark wave",0.583,0.729,1,-6.645,0,0.0341,0.000522,0.0000147,0.487,0.539,152.996,4
3d9DChrdc6BOeFsbrZ3Is0,"0L8ExT028jH3ddEcZwqJJ5","Under the Bridge","Blood Sugar Sex Magik (Deluxe Edition)","Red Hot Chili Peppers",1991-09-24,264306,81,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-05-18T20:48:57Z,"alternative rock,funk metal,funk rock,permanent wave",0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,4
3td69vL9Py7Ai9wfXYnvji,"0SwO7SWeDHJijQ3XNS7xEE","When You Die","Little Dark Age","MGMT",2018-02-09,263880,66,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-07-08T07:41:36Z,"alternative dance,indietronica,modern rock,rock",0.645,0.938,11,-4.557,0,0.0391,0.0946,0.0226,0.159,0.495,140.886,4
0vAb3U3NJhiuib2B7sJdeJ,"0p5axeJsbtTCXBrRVoKjwu","Money","Portamento","The Drums",2011-09-06,233655,61,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-08-08T04:26:56Z,"brooklyn indie,indie rock,indie surf",0.603,0.918,4,-6.652,0,0.0641,0.216,0.146,0.287,0.452,102.473,4
6UjeFOCGYgMpBUtqKg1Je3,"1W4itxt3vwhmrgLEBuVHJ6","Alien Blues","Gawk","Vundabar",2015-07-24,156056,1,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-08-21T02:50:20Z,"boston indie,indie garage rock,indie pop",0.464,0.682,10,-8.541,1,0.033,0.0768,0.832,0.0856,0.455,80.062,4
3rXKoYWd8wWR6wq5D17K6X,"6gCwR8CCL5jkaCNcmw26rI","Wake","Azur","Triptides",2015-06-22,188335,50,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-08-22T01:16:50Z,"indie garage rock,neo-psychedelic",0.19,0.925,7,-5.159,1,0.0775,0.000424,0.748,0.346,0.269,169.062,4
2ot0F0YlVRifY68OF6rMQf,"20YT1aOty5tsMebdFO9OM1","The End","You'll Find It in the End","Sisyfuss",2017-10-12,150073,7,spotify:user:lv7e9b5maigla65qldmx54sf8,2022-02-28T21:48:23Z,"indie garage rock",0.461,0.881,9,-1.576,1,0.0384,0.000181,0.0000542,0.628,0.539,94.974,4
10TXCz5iDVGiV7iLfn53p5,"3wIDY01itbfdsQpMsyRZVG","Long Flight","Memorabilia","Human Tetris",2018-04-11,251368,48,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-08-08T04:27:38Z,"russian post-punk",0.587,0.706,7,-6.004,1,0.0348,0.0000698,0.756,0.128,0.529,95.008,4
4fmU11hc9cNOvnD1rvddUl,"5gSzpQeKekCGJTR9hcWwKF","Just Kiss Her","Summer House","Concorde",2012-05-21,302532,56,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-03-19T00:30:27Z,"rock independant francais",0.392,0.644,4,-5.229,1,0.0332,0.000791,0.392,0.106,0.151,120.569,4
0lDoG5fQ9cmpvpenwR7Jln,"5UqTO8smerMvxHYA5xsXb6","Incinerate","Rather Ripped","Sonic Youth",2006-01-01,295813,55,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-05-08T07:36:23Z,"alternative rock,art rock,indie rock,noise pop,noise rock,post-punk,rock",0.446,0.866,8,-8.016,1,0.0342,0.0794,0.543,0.137,0.455,152.172,4
4wajJ1o7jWIg62YqpkHC7S,"4Z8W4fKeB5YxbusRsdQVPb","Weird Fishes/ Arpeggi","In Rainbows","Radiohead",2007-12-28,318186,70,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-03-19T00:30:39Z,"alternative rock,art rock,melancholia,oxford indie,permanent wave,rock",0.531,0.61,11,-8.025,0,0.0387,0.772,0.756,0.0908,0.199,152.958,4
4yVixayMpxm2MUGOePA192,"0epOFNiUfyON9EYx7Tpr6V,3z6Gk257P9jNcZbBXJNX5i","Modern Girls & Old Fashion Men","Modern Girls & Old Fashion Men","The Strokes,Regina Spektor",2004-02-23,221626,53,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-05-13T01:00:22Z,"alternative rock,garage rock,modern rock,permanent wave,rock,indie pop,lilith,piano rock",0.506,0.604,9,-4.179,1,0.0283,0.0138,0.427,0.0435,0.347,110.921,4
2VkyY15WPQlzcC6SV9BGAt,"0m5FakHKCQdA7UN0PIzMcL","Fear","A Different Age","Current Joys",2018-03-02,216539,0,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-09-11T05:43:54Z,"indie pop,lo-fi indie",0.716,0.447,2,-8.314,1,0.0388,0.701,0.429,0.0855,0.506,93.955,4
2ohTXUKOIHm0CzVxQGC7aX,"1W4itxt3vwhmrgLEBuVHJ6","Oulala","Gawk","Vundabar",2015-07-24,264508,0,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-08-26T12:38:23Z,"boston indie,indie garage rock,indie pop",0.397,0.656,9,-8.65,1,0.0429,0.118,0.01,0.144,0.543,80.979,4
6hTZDcnOC3jWbmNZoX4AAM,"2HSEdXKVq1WWtBbsIeNjRX","Kids","DeathFrights - EP","The Frights",2014-07-22,223134,30,spotify:user:lv7e9b5maigla65qldmx54sf8,2021-07-05T08:51:29Z,"indie garage rock,indie surf,san diego indie,surf punk",0.288,0.954,9,-3.183,1,0.115,0.0231,0.0334,0.213,0.399,172.121,4
