Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1TuopWDIuDi1553081zvuU,"2exebQUDoIoT0dXA8BcN1P","Resonance","Odyssey","Home",2014-07-01,212881,1,spotify:user:cpajda01,2020-11-20T07:15:48Z,"vaporwave",0.567,0.743,8,-8.614,1,0.0626,0.0356,0.847,0.221,0.423,170.083,5
1aayZc3JciIs2GhZcSlCrw,"2exebQUDoIoT0dXA8BcN1P","We're Finally Landing","Before the Night","Home",2014-12-28,272039,60,spotify:user:cpajda01,2020-11-20T07:16:03Z,"vaporwave",0.481,0.546,2,-13.266,1,0.0723,0.052,0.0263,0.454,0.072,180.047,4
2MMUGOqJXwSWEY9yGYl8D2,"5daHbk6DuuCUxXRoKWlf5f","Slow Drip","Unconditional","De Lorra",2019-09-27,268544,44,spotify:user:cpajda01,2021-09-16T20:49:57Z,"chillsynth",0.678,0.595,6,-10.503,0,0.0432,0.109,0.871,0.209,0.151,91.967,4
1d35hQpCvOAXVaR3qa6Lqb,"3gi5McAv9c0qTjJ5jSmbL0","Passenger","Space Station","A.L.I.S.O.N",2018-09-10,259462,44,spotify:user:cpajda01,2020-11-20T07:25:28Z,"chillsynth",0.535,0.811,8,-8.315,0,0.0514,0.0266,0.0515,0.183,0.361,85.013,4
0ts6IZ6c83Kn55sKgsbDDi,"3gi5McAv9c0qTjJ5jSmbL0","Take Off!","Stargazing/Take Off!","A.L.I.S.O.N",2018-05-12,220800,40,spotify:user:cpajda01,2020-11-20T07:25:46Z,"chillsynth",0.67,0.615,6,-7.938,0,0.0426,0.0345,0.763,0.107,0.138,107.963,4
0H9S0MRqWrogIjCtOw6xSV,"0B1GY7CD3pUIk7Sr2xObVj","Velvet 2600","Velvet 2600","Fourge",2017-06-22,278465,40,spotify:user:cpajda01,2021-09-16T20:50:02Z,"",0.678,0.373,6,-12.217,0,0.0919,0.242,0.891,0.0981,0.0856,99.979,4
2bZPwdDtazyhk88NoiFeXY,"2zhOohLhIGzDcBhAqmBmuE","Ascend","One","oDDling",2019-03-29,189692,36,spotify:user:cpajda01,2020-11-20T07:26:50Z,"chillsynth",0.466,0.628,11,-10.657,0,0.049,0.0275,0.891,0.207,0.0824,94.992,4
2lJY1evsKAxRecNp5zfPQv,"0jeqCyxNueRWyFdlpEstNC","Sun","Sun","憂鬱",2017-08-09,323381,0,spotify:user:cpajda01,2020-11-20T07:31:52Z,"chillsynth",0.584,0.571,1,-10.467,1,0.042,0.605,0.915,0.085,0.0393,189.985,4
1Bg9oI5OCRjGrSUZwsQmT6,"65XcfOOaVxbZnNlz40DK7i","Caligula","One Hundred Mornings","Windows 96",2018-07-13,316479,45,spotify:user:cpajda01,2021-09-16T20:50:07Z,"chillsynth,synthwave brasileiro,vaporwave",0.645,0.563,6,-10.325,0,0.0558,0.763,0.909,0.11,0.223,90.007,4
66n1nyPn6M4FCi7pt1uXaX,"6aAXBSjwLUEukyVDhOuKNO","Paradise","Paradise","Voyage",2018-02-14,335089,0,spotify:user:cpajda01,2020-11-20T07:36:46Z,"chillsynth,spacewave",0.775,0.498,11,-11.719,0,0.0729,0.409,0.882,0.0974,0.122,101.706,4
1xDZYFJaDsDw4C4xatOyTM,"6aAXBSjwLUEukyVDhOuKNO","Dynamic","Dynamic","Voyage",2018-05-20,220144,0,spotify:user:cpajda01,2020-11-20T07:40:33Z,"chillsynth,spacewave",0.779,0.464,1,-12.18,0,0.0606,0.678,0.768,0.0793,0.102,115.001,4
551ru5Q15z1jXzS5ZrycLd,"5bQ1u5yLlL2WZv49doSgRz","Phase","Fall","Hotel Pools",2018-12-14,237192,36,spotify:user:cpajda01,2021-09-16T20:50:11Z,"chillsynth,synthwave",0.624,0.565,7,-10.723,1,0.129,0.79,0.946,0.0944,0.265,171.047,3
1qDxcFbghTOBMzBXWUejw5,"3gi5McAv9c0qTjJ5jSmbL0","Golden Dust","Space Station","A.L.I.S.O.N",2018-09-10,272500,0,spotify:user:cpajda01,2020-11-20T07:42:14Z,"chillsynth",0.648,0.767,5,-9.26,0,0.0325,0.128,0.884,0.264,0.509,96.003,4
3QXaCzBTRAPOzVOyE5uNsj,"6aFbjgfZo6rHxtVnBxNP3j","Volt's Theme","Volt's Theme","Volt Age",2017-06-08,344615,38,spotify:user:cpajda01,2020-11-20T07:42:25Z,"spacewave",0.563,0.65,0,-10.132,1,0.0315,0.2,0.882,0.154,0.0706,155.991,4
