Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4k7x3QKrc3h3U0Viqk0uop,"4LEiUm1SRbFMgfqnQTwUbQ,7bcbShaqKdcyjnmv4Ix8j6","Rosyln","The Twilight Saga: New Moon (Original Motion Picture Soundtrack)","Bon Iver,St. Vincent",2009-10-09,289560,76,spotify:user:fxr786xmcnd2pck440yt3q5hx,2021-08-08T06:15:02Z,"eau claire indie,indie folk,melancholia,art pop,electropop,etherpop,indie pop,indie rock,metropopolis",0.329,0.277,10,-13.111,0,0.0302,0.971,0.024,0.0971,0.121,159.719,3
3AVrVz5rK8Hrqo9YGiVGN5,"1QAJqy2dA3ihHBFIHRphZj","Apocalypse","Cigarettes After Sex","Cigarettes After Sex",2017-06-09,290146,82,spotify:user:fxr786xmcnd2pck440yt3q5hx,2021-08-08T06:16:03Z,"ambient pop,dream pop,el paso indie,pop,shoegaze",0.369,0.467,5,-9.018,1,0.0274,0.0194,0.46,0.109,0.174,94.473,4
3VSYkAf6f46i5ZkXOHORq1,"1QAJqy2dA3ihHBFIHRphZj","Sweet","Cigarettes After Sex","Cigarettes After Sex",2017-06-09,291640,74,spotify:user:fxr786xmcnd2pck440yt3q5hx,2021-08-08T06:16:08Z,"ambient pop,dream pop,el paso indie,pop,shoegaze",0.448,0.511,6,-9.084,1,0.0274,0.362,0.823,0.129,0.112,96.321,4
1GxNPd5r7D1zChEMuMhue0,"2KjAo6wVc9d2WcxdxSArpV","Only","Dawn","RY X",2016-05-06,268455,62,spotify:user:fxr786xmcnd2pck440yt3q5hx,2021-08-08T06:16:16Z,"indie folk",0.429,0.167,7,-15.725,0,0.0298,0.902,0.522,0.109,0.0913,109.071,4
5IPIpXq8znsSOybCsbd88v,"57kIMCLPgkzQlXjblX7XXP","Wolves","Pride","Phosphorescent",2007-10-23,374640,0,spotify:user:fxr786xmcnd2pck440yt3q5hx,2021-08-08T06:16:27Z,"alternative americana,chamber pop,indie folk,indie rock,new americana,stomp and holler,swedish americana",0.331,0.288,1,-11.067,1,0.0311,0.943,0.00453,0.0756,0.097,130.752,3
3tchJ8gDgMdaSxpaLxlr1F,"4MXUO7sVCaFgFjoTI5ox5c","To Be Alone With You","Seven Swans","Sufjan Stevens",2004-03-16,168040,0,spotify:user:fxr786xmcnd2pck440yt3q5hx,2021-08-08T06:16:34Z,"baroque pop,chamber pop,pop,singer-songwriter",0.519,0.163,0,-18.131,0,0.0489,0.926,0.751,0.115,0.356,142.116,4
3g9mw4A8vdljOKgwrit88g,"4LEiUm1SRbFMgfqnQTwUbQ","Wash.","Bon Iver","Bon Iver",2011-06-21,298586,0,spotify:user:fxr786xmcnd2pck440yt3q5hx,2021-08-08T06:16:42Z,"eau claire indie,indie folk,melancholia",0.31,0.146,0,-19.278,1,0.0303,0.99,0.261,0.076,0.333,162.831,3
0KnvToS92AMDTaB0f0FIwf,"5W10uJRsbt9bROJDKoI1Wn","Me in 20 Years","græ","Moses Sumney",2020-05-15,220826,0,spotify:user:fxr786xmcnd2pck440yt3q5hx,2021-08-08T06:16:50Z,"alternative r&b,art pop,escape room,indie soul,la pop",0.35,0.376,9,-6.876,1,0.0318,0.761,0.0123,0.121,0.0543,128.315,3
4Y7EEE99JSIMBOzmQXDjqs,"0rZp7G3gIH6WkyeXbrZnGi,5VGsR5wapeJIuRPX26IeGn","Terraform","Terraform","Novo Amor,Ed Tullett",2017-10-27,251919,0,spotify:user:fxr786xmcnd2pck440yt3q5hx,2021-08-08T06:17:02Z,"ambient folk,indie folk,pop,stomp and flutter",0.462,0.225,11,-11.458,1,0.0325,0.981,0.286,0.35,0.195,72.076,4
0NlGoUyOJSuSHmngoibVAs,"4BxCuXFJrSWGi1KHcVqaU4","All I Want","In A Perfect World (Expanded Edition)","Kodaline",2013-06-17,305746,80,spotify:user:fxr786xmcnd2pck440yt3q5hx,2021-08-08T06:17:06Z,"irish pop,pop,pop rock,uk pop",0.188,0.411,0,-9.733,1,0.0484,0.174,0.153,0.0843,0.159,187.376,3
