Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3ekNuTF3UpOvIZCfiejpnC,"16oZKvXb6WkQlVAjwo2Wbg","Stubborn Love","The Lumineers","The Lumineers",2012-04-03,279000,69,spotify:user:simz99,2021-10-11T14:16:44Z,"folk-pop,pop,stomp and holler",0.598,0.56,0,-11.679,1,0.0375,0.607,0.0432,0.196,0.221,115.01,4
4o8w2detJfT45mdxIJ6hVb,"4sIuoDOzSlBqeiNJl631zX","Just A Little While","Just A Little While","The 502s",2021-07-30,162608,62,spotify:user:simz99,2021-10-11T14:16:56Z,"stomp and holler",0.636,0.788,5,-9.177,0,0.0432,0.0897,0,0.286,0.701,125,4
5GxUKIEkMXXZo1Tif0IzfC,"1Cd373x8qzC7SNUg5IToqp","Two Moons","Fever Dreams","BoyWithUke",2021-06-04,224747,73,spotify:user:simz99,2021-10-11T14:17:04Z,"sad rap",0.841,0.502,6,-9.068,0,0.211,0.52,0.000187,0.103,0.863,109.965,4
2tgQaL85WoRfgEa4hFQgrE,"13ZEDW6vyBF12HYcZRr4EV","Feathered Indians","Purgatory","Tyler Childers",2017-08-04,224946,77,spotify:user:simz99,2021-10-11T14:17:09Z,"kentucky indie,kentucky roots,outlaw country",0.536,0.574,7,-6.705,1,0.0254,0.75,0.00277,0.105,0.877,87.194,4
0fCwTrRNfoNk962ati8n2K,"13ZEDW6vyBF12HYcZRr4EV","All Your'n","Country Squire","Tyler Childers",2019-08-02,218280,78,spotify:user:simz99,2021-10-11T14:17:13Z,"kentucky indie,kentucky roots,outlaw country",0.585,0.55,11,-7.342,1,0.0255,0.408,0.0000397,0.115,0.839,78.176,4
3t5OV1asJHmOlf23T08CLv,"13ZEDW6vyBF12HYcZRr4EV","Lady May","Purgatory","Tyler Childers",2017-08-04,183533,76,spotify:user:simz99,2021-10-11T14:17:32Z,"kentucky indie,kentucky roots,outlaw country",0.539,0.16,3,-13.285,1,0.0329,0.881,0.000268,0.105,0.322,81.446,4
1v3Ozpbcx2B926aVW0UuXk,"2kCO8LXN1usaOPL3iEE28I","A-O-K","A-O-K","Tai Verdes",2021-05-06,173640,64,spotify:user:simz99,2021-10-11T14:17:42Z,"modern indie pop,pop",0.731,0.626,11,-6.919,1,0.0805,0.125,0,0.183,0.862,82.488,4
1KnilWyiAb1Jwa9QJXZGMN,"2UBTfUoLI07iRqGeUrwhZh","The Galway Girl","Transcendental Blues","Steve Earle",2000-06-06,185000,55,spotify:user:simz99,2021-10-11T14:17:52Z,"alternative country,country rock,folk,heartland rock,new americana,outlaw country,roots rock,singer-songwriter,texas country",0.421,0.946,2,-5.101,1,0.0767,0.24,0.00255,0.504,0.848,169.712,4
3EIQofQf9NloNNmvg45MFE,"4fw9oPmbbmHW5aAJpkJdlI","Broadripple Is Burning","Not Animal","Margot & The Nuclear So And So's",2008-10-07,273173,50,spotify:user:simz99,2021-10-11T14:20:25Z,"indie rock,indy indie,stomp and holler",0.607,0.43,9,-6.778,1,0.0251,0.105,0,0.106,0.289,128.398,4
3d8y0t70g7hw2FOWl9Z4Fm,"16oZKvXb6WkQlVAjwo2Wbg","Ophelia","Cleopatra","The Lumineers",2016-04-08,160097,75,spotify:user:simz99,2021-10-11T14:20:31Z,"folk-pop,pop,stomp and holler",0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,4
