Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5G9qKplB5e4lIpSncwKWVE,"63yrD80RY3RNEM2YDpUpO8","Milk and Cookies","Cry Baby (Deluxe Edition)","Melanie Martinez",2015-08-14,206280,60,spotify:user:je01ug9h2b5x47dcdr8g542of,2021-03-19T03:09:21Z,"alt z,electropop,pop",0.568,0.613,0,-5.069,1,0.0254,0.104,0.00000623,0.101,0.426,89.951,4
3SKzTIl9mW0DadTys9SFo3,"26VFTg2z8YR0cCuwLzESi2","Control","BADLANDS (Deluxe)","Halsey",2015-08-28,214761,70,spotify:user:je01ug9h2b5x47dcdr8g542of,2021-03-19T03:09:36Z,"dance pop,electropop,etherpop,indie poptimism,pop",0.549,0.675,4,-5.637,0,0.0332,0.399,0,0.181,0.206,119.898,4
2IO7yf562c1zLzpanal1DT,"26VFTg2z8YR0cCuwLzESi2","Gasoline","BADLANDS (Deluxe)","Halsey",2015-08-28,199593,71,spotify:user:je01ug9h2b5x47dcdr8g542of,2021-03-19T03:09:42Z,"dance pop,electropop,etherpop,indie poptimism,pop",0.731,0.58,10,-7.328,0,0.0399,0.223,0,0.129,0.319,119.997,4
51NFxnQvaosfDDutk0tams,"6qqNVTkY8uBg9cP3Jd7DAH","bellyache","Bellyache","Billie Eilish",2017-02-24,179172,78,spotify:user:je01ug9h2b5x47dcdr8g542of,2021-03-19T03:10:06Z,"art pop,electropop,pop",0.695,0.573,4,-8.597,0,0.106,0.46,0.0734,0.482,0.408,99.939,4
3u1FiuSpfsgVnekEMXgMwJ,"63yrD80RY3RNEM2YDpUpO8","Tag, You're It","Cry Baby (Deluxe Edition)","Melanie Martinez",2015-08-14,189026,70,spotify:user:je01ug9h2b5x47dcdr8g542of,2021-03-19T03:10:19Z,"alt z,electropop,pop",0.559,0.835,5,-5.555,0,0.0424,0.24,0.019,0.185,0.382,114.908,4
2kS6td1yvmpNgZTt1q5pQq,"0e86yPdC41PGRkLp2Q1Bph","Hayloft","O My Heart","Mother Mother",2008-09-23,181680,76,spotify:user:je01ug9h2b5x47dcdr8g542of,2021-03-19T03:10:30Z,"vancouver indie",0.527,0.922,9,-2.666,0,0.0728,0.00475,0.000162,0.422,0.49,95.975,4
6IRdLKIyS4p7XNiP8r6rsx,"6qqNVTkY8uBg9cP3Jd7DAH","all the good girls go to hell","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish",2019-03-29,168839,75,spotify:user:je01ug9h2b5x47dcdr8g542of,2021-03-19T03:11:03Z,"art pop,electropop,pop",0.726,0.444,8,-8.922,0,0.372,0.283,0.143,0.177,0.569,185.044,4
2Fxmhks0bxGSBdJ92vM42m,"6qqNVTkY8uBg9cP3Jd7DAH","bad guy","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish",2019-03-29,194087,83,spotify:user:je01ug9h2b5x47dcdr8g542of,2021-03-19T03:11:08Z,"art pop,electropop,pop",0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,4
6T689Jvh5KrSXyaPtUWZtQ,"26dSoYclwsYLMAKD3tpOr4","Criminal","Femme Fatale (Deluxe Version)","Britney Spears",2011-03-28,225080,71,spotify:user:je01ug9h2b5x47dcdr8g542of,2021-03-19T03:11:33Z,"dance pop,pop",0.696,0.734,7,-5.294,1,0.0298,0.0485,0,0.183,0.711,107.987,4
416mU8FdXWkTyUQecqyBAX,"4TkCMPznXOjlsYLfzIU1rw","Criminal Minds - Main Theme","Criminal Minds - Main Theme","Geek Music",2017-04-20,115797,25,spotify:user:je01ug9h2b5x47dcdr8g542of,2021-03-19T03:13:03Z,"",0.56,0.288,7,-17.727,1,0.0275,0.471,0.889,0.196,0.304,138.068,4
0yK8sWD6cfrc7pGfaPIcZH,"4hGjngc0tPOBwTgTPci3IK","Sleep Walk","Canadian American Greatest Hits 50th Anniversary Collection","Santo & Johnny",2012-10-25,145333,62,spotify:user:je01ug9h2b5x47dcdr8g542of,2021-03-19T03:13:13Z,"space age pop,surf music",0.779,0.212,10,-9.759,0,0.0362,0.759,0.959,0.235,0.444,94.675,3
5MAK1nd8R6PWnle1Q1WJvh,"5RCWMaArEntbkeWYVxCiFW","I See Red","I See Red","Everybody Loves an Outlaw",2018-10-31,230613,75,spotify:user:je01ug9h2b5x47dcdr8g542of,2021-03-19T03:13:29Z,"modern blues rock",0.509,0.448,4,-7.552,0,0.0357,0.00713,0.0137,0.244,0.221,156.909,3
7FYH5AW3bVfZHJIQpq3UOA,"0c173mlxpT3dSFRgMO8XPh,3crnzLy8R4lVwaigKEOz7V","I Don't Fuck With You","Dark Sky Paradise","Big Sean,E-40",2015-02-24,284386,74,spotify:user:je01ug9h2b5x47dcdr8g542of,2021-03-19T03:15:10Z,"detroit hip hop,hip hop,pop,pop rap,r&b,rap,southern hip hop,trap,cali rap,gangster rap,hyphy,oakland hip hop,west coast rap",0.824,0.733,1,-5.474,1,0.0613,0.0362,0,0.325,0.395,97.972,4
7floNISpH8VF4z4459Qo18,"15UsOTVnJzReFVN1VCnxy4","Look At Me!","Look At Me!","XXXTENTACION",2017-02-20,126345,81,spotify:user:je01ug9h2b5x47dcdr8g542of,2021-03-19T03:15:14Z,"emo rap,miami hip hop",0.763,0.726,1,-6.405,1,0.282,0.259,0,0.0976,0.349,139.059,4
7eBqSVxrzQZtK2mmgRG6lC,"1cNDP5yjU5vjeR8qMf4grg","Murder On My Mind","I AM YOU","YNW Melly",2018-08-03,268434,78,spotify:user:je01ug9h2b5x47dcdr8g542of,2021-03-19T03:17:35Z,"melodic rap,trap",0.759,0.73,0,-7.985,0,0.0516,0.145,0.00000306,0.11,0.74,115.007,4
2IRZnDFmlqMuOrYOLnZZyc,"20sxb77xiYeusSH8cVdatc,3TVXtAsR1Inumwj472S9r4","Going Bad (feat. Drake)","Championships","Meek Mill,Drake",2018-11-30,180522,79,spotify:user:je01ug9h2b5x47dcdr8g542of,2021-03-19T03:17:51Z,"hip hop,philly rap,pop rap,rap,southern hip hop,trap,canadian hip hop,canadian pop,toronto rap",0.889,0.496,4,-6.365,0,0.0905,0.259,0,0.252,0.544,86.003,4
7w87IxuO7BDcJ3YUqCyMTT,"7gP3bB2nilZXLfPHJhMdvc","Pumped Up Kicks","Torches","Foster The People",2011-05-23,239600,82,spotify:user:je01ug9h2b5x47dcdr8g542of,2021-03-19T03:24:53Z,"indietronica,modern rock,rock",0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,4
0WHi11uzahqpEtPGYCW6oQ,"5IH6FPUwQTxPSXurCrcIov","If I Killed Someone For You","Narrated For You","Alec Benjamin",2018-11-16,185122,71,spotify:user:je01ug9h2b5x47dcdr8g542of,2021-03-19T03:25:54Z,"alt z,electropop,pop",0.514,0.605,7,-5.363,1,0.0337,0.774,0.00000291,0.121,0.409,120.894,4
2pTnasibfxSW1dXhljWByn,"7axEazQlDDxu7KBQyFTfoC,1QyROiT6mJDfdLKRZ9HBIz","Serial Killer","Serial Killer","Moncrieff,JUDGE",2018-04-13,211008,56,spotify:user:je01ug9h2b5x47dcdr8g542of,2021-03-19T03:25:55Z,"",0.581,0.687,1,-5.965,0,0.137,0.265,0.00000457,0.104,0.299,78.004,4
4oaU0fMSg3n9kqOwmLPVhH,"06bDwgCHeMAwhgI8il4Y5k,0PlJKkYgy1TSV15E2cHefn","Partners in Crime (feat. Ash Costello)","Cinematics (Expanded Edition)","Set It Off,Ash Costello",2013-06-25,211026,67,spotify:user:je01ug9h2b5x47dcdr8g542of,2021-03-19T03:26:09Z,"electropowerpop,modern rock,otacore,pixie,pop punk,rock",0.376,0.939,1,-3.437,1,0.0572,0.00704,0,0.116,0.815,190.109,4
0xx5CXMss5CFv2GPkg97aC,"6kyUfziWP8ydAsKzyXsC83,6g878dtAhjegRHVe5X0ALf","Sociopath","Sociopath","StayLoose,Bryce Fox",2017-10-06,204826,64,spotify:user:je01ug9h2b5x47dcdr8g542of,2021-03-19T03:26:14Z,"electropop,modern alternative rock,modern rock,rebel blues",0.611,0.562,1,-7.849,0,0.0874,0.0767,0.00000323,0.118,0.318,74.994,4
3bHZeMMosfnAS633rWpf09,"2FovgCfOwN9iqbkCBlKFdT","911","Can You Keep a Secret?","Ellise",2018-10-12,190000,54,spotify:user:je01ug9h2b5x47dcdr8g542of,2021-03-19T03:26:28Z,"alt z,electropop,indie poptimism,pop,social media pop,viral rap",0.698,0.611,10,-6.754,0,0.0686,0.571,0.0000053,0.0587,0.507,130.098,4
6A25J9As7towpxovYryAWr,"24D8gx0257CDd1HAuqNuHu","Such a Whore (Stellular Remix)","Such a Whore (Stellular Remix)","JVLA",2020-06-03,147638,71,spotify:user:je01ug9h2b5x47dcdr8g542of,2021-03-19T03:27:05Z,"viral rap",0.624,0.614,2,-4.165,1,0.0448,0.00391,0.0278,0.187,0.139,168.87,4
4qKcDkK6siZ7Jp1Jb4m0aL,"4TEJudQY2pXxVHPE3gD2EU,3TVXtAsR1Inumwj472S9r4","Look Alive (feat. Drake)","Look Alive (feat. Drake)","BlocBoy JB,Drake",2018-02-09,181263,74,spotify:user:je01ug9h2b5x47dcdr8g542of,2021-03-19T03:27:23Z,"memphis hip hop,rap,southern hip hop,tennessee hip hop,trap,vapor trap,viral rap,canadian hip hop,canadian pop,hip hop,toronto rap",0.922,0.581,10,-7.495,1,0.27,0.00104,0.0000586,0.105,0.595,140.022,4
1y4jsQt7MjnZhiD1L6qFBC,"7gXb99Sf9nNmpNYeAgIQFG","Cradles","Cradles","Sub Urban",2019-01-04,209829,11,spotify:user:je01ug9h2b5x47dcdr8g542of,2021-03-19T03:28:00Z,"modern indie pop,viral rap",0.534,0.589,1,-1.865,1,0.325,0.256,0.0000602,0.176,0.632,78.616,4
5gWtkdgdyt5bZt9i6n3Kqd,"63yrD80RY3RNEM2YDpUpO8","Mad Hatter","Cry Baby (Deluxe Edition)","Melanie Martinez",2015-08-14,201520,70,spotify:user:je01ug9h2b5x47dcdr8g542of,2021-03-19T03:35:36Z,"alt z,electropop,pop",0.568,0.692,8,-4.513,1,0.0589,0.0161,0,0.148,0.577,92.023,4
7l94dyN2hX9c6wWcZQuOGJ,"66CXWjxzNUsdJxJ2JdwvnR","Dangerous Woman","Dangerous Woman","Ariana Grande",2016-05-20,235946,1,spotify:user:je01ug9h2b5x47dcdr8g542of,2021-03-19T03:58:56Z,"dance pop,pop",0.664,0.602,4,-5.369,0,0.0412,0.0529,0,0.356,0.289,134.049,3
