Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2Ch7LmS7r2Gy2kc64wv3Bz,"1Xyo4u8uXC1ZmMpatF05PJ","Die For You","Starboy","The Weeknd",2016-11-25,260253,87,spotify:user:d4ntoine,2020-03-16T09:20:07Z,"canadian contemporary r&b,canadian pop,pop",0.582,0.525,1,-7.163,0,0.0627,0.111,0,0.134,0.51,133.249,4
3uA8SjMyDtwtt0jLPMQbVD,"3eCd0TZrBPm2n9cDG6yWfF,0tkHE1pQ5ZCgQb8WZ0ba79","D (Half Moon)","130 Mood : TRBL","DEAN,개코",2016-03-25,229359,64,spotify:user:d4ntoine,2020-03-16T09:20:07Z,"k-pop,korean r&b,k-rap",0.512,0.765,7,-5.252,1,0.136,0.246,0,0.0573,0.519,169.709,4
1eDS8ii1utvj0PjfQLrDb4,"4LLpKhyESsyAXpc4laK94U","Skin","The Divine Feminine","Mac Miller",2016-09-16,287906,59,spotify:user:d4ntoine,2020-03-16T09:20:07Z,"hip hop,pittsburgh rap,rap",0.614,0.591,5,-6.919,0,0.0651,0.527,0,0.111,0.481,120.04,4
2kYDe95UATeXhuaEHhFJwb,"2joIhhX3Feq47H4QXVDOr3","Camped","Camped","RINI",2018-01-01,220601,35,spotify:user:d4ntoine,2020-03-18T09:54:41Z,"australian r&b,bedroom soul,chill r&b,pop",0.632,0.375,8,-13.582,1,0.0422,0.69,0.0000198,0.128,0.342,133.009,4
5DT1mQmf61yVXXr6nOkJN3,"6m9a3tDNWDe6bVR2csIjEv","Clap Your Hands","The First Sip","Whilk & Misky",2014-10-13,305532,32,spotify:user:d4ntoine,2020-03-16T09:20:07Z,"uk alternative pop",0.823,0.638,4,-11.364,0,0.055,0.232,0.211,0.0961,0.382,117.984,4
3ATo60fpicfxwZ0daRatlU,"0OQMxt6l70FM2YlLwYDiEn,3QVolfxko2UyCOtexhVTli","S'en aller","S'en aller","Swing,Angèle",2020-01-31,264080,42,spotify:user:d4ntoine,2020-07-17T01:11:03Z,"belgian hip hop,french hip hop,rap calme,belgian pop,variete francaise",0.814,0.422,1,-8.697,0,0.0489,0.606,0.00405,0.139,0.378,124.998,4
5YbxN1yCgcf0ZMqXY5JfW5,"4KPgZSnwlJl4LnUDb09mCw,12Zk1DFhCbHY6v3xep2ZjI","TRUMPETS","000 CHANNEL BLACK","_BY.ALEXANDER,070 Shake",2020-08-27,235441,48,spotify:user:d4ntoine,2022-11-07T11:29:06Z,"experimental r&b,new jersey rap",0.612,0.273,1,-13.651,0,0.0292,0.746,0.00364,0.106,0.495,102.889,4
5WsCmd32VvISX0RrTUZgc8,"1Xyo4u8uXC1ZmMpatF05PJ","Wanderlust - Pharrell Remix","Wanderlust","The Weeknd",2014-06-17,305693,44,spotify:user:d4ntoine,2020-03-16T09:20:07Z,"canadian contemporary r&b,canadian pop,pop",0.744,0.598,1,-7.475,0,0.0402,0.101,0.00174,0.104,0.479,116.007,4
5bJ1DrEM4hNCafcDd1oxHx,"4LLpKhyESsyAXpc4laK94U","Self Care","Swimming","Mac Miller",2018-08-03,345133,79,spotify:user:d4ntoine,2020-03-16T09:20:07Z,"hip hop,pittsburgh rap,rap",0.52,0.538,1,-8.109,1,0.206,0.367,0.00187,0.119,0.177,141.894,4
33VQJLL7QWS0LUuF7r39Rq,"0fTav4sBLmYOAzKuJw0grL,3k7CekVyE74IPWO2T9pZRa","Calvin's Joint","Drive Slow","Mac Ayres,Declan Miers",2017-08-11,226298,51,spotify:user:d4ntoine,2020-03-16T09:20:07Z,"chill r&b,pop",0.676,0.656,8,-7.653,1,0.211,0.825,0.0119,0.118,0.283,94.383,4
4PhsKqMdgMEUSstTDAmMpg,"1Xyo4u8uXC1ZmMpatF05PJ","Often","Beauty Behind The Madness","The Weeknd",2015-08-28,249040,80,spotify:user:d4ntoine,2021-09-03T01:48:43Z,"canadian contemporary r&b,canadian pop,pop",0.572,0.631,7,-9.836,0,0.0476,0.222,0,0.135,0.0713,134.078,4
3GOO81yxm6EZLkiXLs2sx2,"7COP1HCvVq1cIpZcLQYoNe","Nothing Lasts","Grow","Bedroom",2014-05-20,291785,1,spotify:user:d4ntoine,2021-03-17T07:48:13Z,"small room",0.507,0.666,10,-8.362,1,0.029,0.0116,0.343,0.129,0.185,77.979,4
0ifooM33X1iBxVYyOkSbXW,"1Xyo4u8uXC1ZmMpatF05PJ","A Lonely Night","Starboy","The Weeknd",2016-11-25,220173,69,spotify:user:d4ntoine,2020-03-16T09:20:07Z,"canadian contemporary r&b,canadian pop,pop",0.853,0.663,7,-6.955,0,0.0755,0.0431,0.00000871,0.0891,0.864,113.998,4
3DK6m7It6Pw857FcQftMds,"5K4W6rqBFWDnAN6FQUkS6x,0ONHkAv9pCAFxb0zJwDNTy","Runaway","My Beautiful Dark Twisted Fantasy","Kanye West,Pusha T",2010-11-22,547733,78,spotify:user:d4ntoine,2021-09-01T11:02:43Z,"chicago rap,rap,alternative hip hop,hip hop,pop rap,southern hip hop,trap,underground hip hop,virginia hip hop",0.374,0.568,1,-3.825,0,0.109,0.219,0.00219,0.513,0.111,84.733,4
6z1pJ3KUmQagUpMVqL62sa,"5dCvSnVduaFleCnyy98JMo","Undo","Undo","헤이즈",2022-06-30,168739,52,spotify:user:d4ntoine,2022-07-27T09:28:10Z,"k-pop,korean pop,korean r&b",0.784,0.676,1,-4.836,0,0.0497,0.201,0.00000106,0.0903,0.734,116.103,4
7sO5G9EABYOXQKNPNiE9NR,"4DdkRBBYG6Yk9Ka8tdJ9BW,0iEtIxbK0KxaSlF7G42ZOp","Ric Flair Drip (with Metro Boomin)","Without Warning","Offset,Metro Boomin",2017-10-30,172800,81,spotify:user:d4ntoine,2020-03-16T09:20:07Z,"atl hip hop,hip hop,pop rap,rap,southern hip hop,trap",0.88,0.428,9,-8.28,1,0.206,0.149,0.0000505,0.114,0.333,100.007,4
7CNRVEMSXo0fRJwZyM0L2n,"28j8lBWDdDSHSSt5oPlsX2","Hometown Girl","GENERATIONWHY","ZHU",2016-07-29,252235,52,spotify:user:d4ntoine,2020-03-16T09:20:07Z,"edm,electro house",0.514,0.582,6,-8.835,1,0.101,0.0209,0.0835,0.0937,0.621,99.996,4
4lokwaruKSA4UVymx6JqXc,"0Rx7qgEFYklSZgXkFgwLZL","Red Armor","EUROMANTIC001","Niki Istrefi",2017-11-03,280079,50,spotify:user:d4ntoine,2020-03-29T10:58:01Z,"danish techno,industrial techno",0.829,0.722,11,-11.766,0,0.256,0.0243,0.741,0.126,0.429,140.02,4
6f44p3Kc4ayD9VtbC9Clkr,"4V8LLVI7PbaPR0K2TGSxFF,2rAnv6brcXaglLZBB4XXEn","Come On, Let's Go (with Nigo)","I Know NIGO!","Tyler, The Creator,Nigo",2022-03-25,199500,68,spotify:user:d4ntoine,2022-05-07T18:58:28Z,"hip hop,rap",0.732,0.734,11,-7.968,1,0.0974,0.136,0.000901,0.165,0.488,145.722,4
7xqANDRz8JFxkwfY65WISy,"1Xyo4u8uXC1ZmMpatF05PJ","Loft Music","Trilogy","The Weeknd",2012-11-13,363640,59,spotify:user:d4ntoine,2020-03-16T09:20:07Z,"canadian contemporary r&b,canadian pop,pop",0.287,0.498,6,-7.523,0,0.177,0.581,0.0000756,0.322,0.0634,171.725,4
14qNHvX8h6HoynFuV0RxWS,"1ooV8YZC1KbpEcrmI8WH0F,13ubrt8QOOCPljQ2FL1Kca","Far Away (feat. A$AP Rocky)","Dawn","Yebba,A$AP Rocky",2021-09-10,199426,62,spotify:user:d4ntoine,2022-10-04T17:28:49Z,"pop soul,east coast hip hop,hip hop,rap",0.687,0.584,6,-7.336,0,0.0422,0.222,0.00114,0.12,0.228,88.025,4
59xAyBrzAJaEoXfeP9SCHr,"5069JTmv5ZDyPeZaCCXiCg","nouvelle vague","nouvelle vague","wave to earth",2021-11-24,229750,50,spotify:user:d4ntoine,2022-01-18T08:42:46Z,"chill r&b,korean city pop",0.463,0.691,6,-7.576,0,0.0389,0.277,0.000415,0.238,0.475,89.999,4
3AVyKOmMgvRjsC576xWw78,"1JV4iC1UhplRE8RFr8Q9n9","Toi Et Moi","Recto Verso","Paradis",2016-09-23,220853,59,spotify:user:d4ntoine,2020-05-12T03:34:08Z,"electro-pop francais,french indie pop,french indietronica,indie soul,nu disco",0.703,0.76,11,-7.308,0,0.0635,0.00412,0.761,0.111,0.608,113.01,4
5Z3trOR982mBrJcPfrLUsq,"28j8lBWDdDSHSSt5oPlsX2","Cocaine Model","THE NIGHTDAY","ZHU",2014-09-11,255093,61,spotify:user:d4ntoine,2020-03-16T09:20:07Z,"edm,electro house",0.786,0.706,9,-6.212,0,0.0537,0.251,0.213,0.142,0.313,120.011,4
