Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0tQmgwFKw9069z1BXniOiA,"02kJSzxNuaWGqwubyUba0Z,7bXgB6jMjp9ATFy66eO08Z,6V3F8MZrOKdT9fU686ybE9","Provide (feat. Chris Brown & Mark Morrison)","Provide (feat. Chris Brown & Mark Morrison)","G-Eazy,Chris Brown,Mark Morrison",2021-02-05,186349,57,spotify:user:g_eazy,2021-02-05T17:44:20Z,"indie pop rap,oakland hip hop,pop,pop rap,rap,dance pop,r&b,british soul",0.652,0.803,9,-4.116,0,0.238,0.0165,0,0.307,0.661,95.025,4
2O8gSQ9z52tZSLJnuzjkcG,"02kJSzxNuaWGqwubyUba0Z,3Fl1V19tmjt57oBdxXKAjJ","West Coast","West Coast","G-Eazy,Blueface",2019-03-07,139610,52,spotify:user:g_eazy,2019-06-13T20:24:50Z,"indie pop rap,oakland hip hop,pop,pop rap,rap,cali rap,trap",0.843,0.806,6,-5.156,1,0.367,0.0729,0,0.758,0.821,97.858,4
2Xqd0wUttjueBfdcltADOv,"02kJSzxNuaWGqwubyUba0Z,13ubrt8QOOCPljQ2FL1Kca,4kYSro6naA4h99UJvo89HB","No Limit","No Limit","G-Eazy,A$AP Rocky,Cardi B",2017-09-07,245386,1,spotify:user:g_eazy,2019-06-13T20:24:50Z,"indie pop rap,oakland hip hop,pop,pop rap,rap,east coast hip hop,hip hop,dance pop",0.838,0.771,1,-3.791,1,0.244,0.0117,0,0.0853,0.405,175.957,4
794QVQtFNy7hvtjQP1keQd,"02kJSzxNuaWGqwubyUba0Z,6Ha4aES39QiVjR0L2lwuwq,3gGUMEwIX6XodWsYEvKSal","1942 (feat. Yo Gotti & YBN Nahmir)","1942 (feat. Yo Gotti & YBN Nahmir)","G-Eazy,Yo Gotti,YBN Nahmir",2018-04-13,213080,60,spotify:user:g_eazy,2019-06-13T20:24:50Z,"indie pop rap,oakland hip hop,pop,pop rap,rap,dirty south rap,gangster rap,hip hop,memphis hip hop,southern hip hop,tennessee hip hop,trap,alabama rap,underground hip hop,vapor trap,viral rap",0.817,0.646,4,-5.12,0,0.249,0.0152,0,0.125,0.835,162.898,4
5jCa1A0ZfkaWcKGsJZQ0kz,"5Nf5yishRW9Ye174sJISkg,02kJSzxNuaWGqwubyUba0Z,37hAfseJWi0G3Scife12Il,0rG0AZBscc8S8q1ahIsasI","Throw Fits (feat. City Girls & Juvenile)","Throw Fits (feat. City Girls & Juvenile)","London On Da Track,G-Eazy,City Girls,JUVENILE",2019-05-17,203930,44,spotify:user:g_eazy,2019-06-13T16:20:13Z,"atl hip hop,indie pop rap,oakland hip hop,pop,pop rap,rap,dance pop,r&b,scam rap,trap queen,bounce,crunk,dirty south rap,gangster rap,hip hop,new orleans rap,southern hip hop,trap",0.851,0.887,4,-3.648,0,0.161,0.0933,0,0.154,0.557,105.975,4
6MDjeiUWPPgEwLtiBrr9he,"0JOxt5QOwq0czoJxvSc5hS,02kJSzxNuaWGqwubyUba0Z","My Year","My Year","GASHI,G-Eazy",2019-01-24,190344,45,spotify:user:g_eazy,2019-06-13T20:24:50Z,"pop rap,trap soul,indie pop rap,oakland hip hop,pop,rap",0.842,0.808,11,-3.243,0,0.0491,0.206,0,0.258,0.705,145.03,4
3SZqA7rQvROJsCbUu2v0xa,"0A0FS04o6zMoto8OKPsDwY,5LHRHt1k9lMyONurDHEdrp,5bWUlnPx9OYKsLiUJrhCA1","Go Loko","Go Loko","YG,Tyga,Jon Z",2019-05-03,299226,0,spotify:user:g_eazy,2019-06-13T20:24:50Z,"cali rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,dance pop,reggaeton,reggaeton flow,trap latino",0.88,0.67,2,-5.188,1,0.0429,0.299,0.00000508,0.0677,0.142,100.995,4
5qkWTBmDmZjogwIvbKtJQv,"17lzZA2AlOHwCwFALHttmp,5K4W6rqBFWDnAN6FQUkS6x","Birthday Song","Based On A T.R.U. Story (Deluxe)","2 Chainz,Kanye West",2012-01-01,306600,53,spotify:user:g_eazy,2019-06-13T20:24:50Z,"atl hip hop,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,chicago rap",0.753,0.59,1,-2.623,1,0.0485,0.0591,0,0.15,0.161,140.002,4
5j0mpRxkyNuUb3LjahWDqJ,"6oMuImdp5ZcFhWP0ESe6mG","Spray The Champagne","Yung Rich Nation","Migos",2015-07-31,159960,0,spotify:user:g_eazy,2019-06-13T20:24:50Z,"atl hip hop,hip hop,pop rap,rap,trap",0.834,0.734,10,-4.623,0,0.278,0.0634,0,0.129,0.231,120.061,4
2NRUU0gP1d8Yif8CpsCW8l,"5LHRHt1k9lMyONurDHEdrp,55Aa2cqylxrFIXC767Z865","Faded","Careless World: Rise Of The Last King","Tyga,Lil Wayne",2012-01-01,206666,56,spotify:user:g_eazy,2019-06-13T20:24:50Z,"dance pop,hip hop,pop rap,rap,southern hip hop,trap,new orleans rap",0.831,0.667,1,-8.438,1,0.188,0.0103,0,0.35,0.339,95.073,4
