Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
606WoZeEY2gs7wCne8VPUN,"7K78lVZ8XzkjfRSI7570FF,105Paee9vmV5rfLSG652e1,1ovhUSI1EXp1WnBP9NHw35","El Tango De Roxanne - From Moulin Rouge Soundtrack","Moulin Rouge","José Feliciano,Ewan McGregor,Jacek Koman",2001-01-01,283933,58,spotify:user:bellalorraine,2022-09-16T00:39:31Z,"bolero,latin pop,puerto rican pop,hollywood",0.322,0.473,7,-7.644,0,0.0466,0.524,0.0457,0.222,0.193,128.987,4
4ae6R0o6POKV7GC8NgGDe9,"789FjOfgnmP40E4Zdyj7F4,60AQf9DIGAbGpewI33bayw,2QQcdCmfjnTkoKVrEpERZT,2caaCPRmsp0wFF9utMxeMP","Quartet at the Ballet","Anastasia (Original Broadway Cast Recording)","Christy Altomare,Derek Klena,Mary Beth Peil,Ramin Karimloo",2017-06-09,225626,44,spotify:user:bellalorraine,2022-09-16T00:40:20Z,"broadway,hollywood,show tunes",0.22,0.309,7,-11.078,1,0.0363,0.758,0.000518,0.219,0.222,179.63,3
144J2GiZlX3k8tqBeqr0z6,"2caaCPRmsp0wFF9utMxeMP,789FjOfgnmP40E4Zdyj7F4","Still / The Neva Flows (Reprise)","Anastasia (Original Broadway Cast Recording)","Ramin Karimloo,Christy Altomare",2017-06-09,142253,42,spotify:user:bellalorraine,2022-09-16T00:40:23Z,"broadway,hollywood,show tunes",0.436,0.445,10,-9.709,1,0.187,0.589,0,0.101,0.315,80.029,4
3zwMVvkBe2qIKDObWgXw4N,"06HL4z0CvFAxyc27GXpf02","right where you left me - bonus track","evermore (deluxe version)","Taylor Swift",2021-01-07,245026,76,spotify:user:bellalorraine,2022-09-16T00:40:38Z,"pop",0.581,0.619,10,-6.524,1,0.0282,0.769,0.000106,0.117,0.645,137.915,4
10hMM5nsZQf66ldBlgWBfG,"2feDdbD5araYcm6JhFHHw7,6sCbFbEjbYepqswM1vWjjs","All For Us - from the HBO Original Series Euphoria","All For Us (from the HBO Original Series Euphoria)","Labrinth,Zendaya",2019-08-04,192986,74,spotify:user:bellalorraine,2022-09-16T00:40:41Z,"indie poptimism,pop,dance pop,post-teen pop",0.348,0.652,3,-7.145,1,0.0931,0.0165,0.000264,0.33,0.172,70.956,4
1G1R0XgChe18Zr1o6tlmN6,"00FQb4jTyendYWaN8pK0wa","Watercolor Eyes - From “Euphoria” An HBO Original Series","Watercolor Eyes (From “Euphoria” An HBO Original Series)","Lana Del Rey",2022-01-21,211613,72,spotify:user:bellalorraine,2022-09-16T00:40:49Z,"art pop,pop",0.444,0.26,7,-10.045,1,0.0316,0.964,0.0815,0.125,0.121,120.443,4
5gDWsRxpJ2lZAffh5p7K0w,"1Xyo4u8uXC1ZmMpatF05PJ,00FQb4jTyendYWaN8pK0wa","Stargirl Interlude","Starboy","The Weeknd,Lana Del Rey",2016-11-24,111626,83,spotify:user:bellalorraine,2022-09-16T00:40:56Z,"canadian contemporary r&b,canadian pop,pop,art pop",0.715,0.47,5,-12.638,0,0.0772,0.353,0.0923,0.104,0.426,89.965,4
7iqQz931tn59mK6IZ3knRx,"00FQb4jTyendYWaN8pK0wa","Dealer","Blue Banisters","Lana Del Rey",2021-10-22,274293,74,spotify:user:bellalorraine,2022-09-16T00:41:04Z,"art pop,pop",0.602,0.59,0,-6.346,0,0.0279,0.318,0.000166,0.104,0.381,130.08,4
6LtHYDgYHRCHoKK3snfr2w,"2feDdbD5araYcm6JhFHHw7,6sCbFbEjbYepqswM1vWjjs","I’m Tired (with Zendaya) - Bonus Track","I’m Tired (with Zendaya) - Bonus Track","Labrinth,Zendaya",2022-02-28,187943,69,spotify:user:bellalorraine,2022-09-16T00:41:47Z,"indie poptimism,pop,dance pop,post-teen pop",0.375,0.133,0,-10.624,0,0.0352,0.651,0,0.0695,0.192,131.721,4
31tf1qEai5o5f4r66Kd0pU,"73sIBHcqh3Z3NyqHKZ7FOL","Me and Your Mama","Awaken, My Love!","Childish Gambino",2016-12-02,379226,73,spotify:user:bellalorraine,2022-09-16T00:41:57Z,"atl hip hop,hip hop,pop,rap",0.554,0.433,5,-12.628,1,0.0341,0.0116,0.0449,0.0667,0.237,117.996,3
