Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0CAfXk7DXMnon4gLudAp7J,"0jnsk9HBra6NMjO2oANoPY,3aQeKQSyrW4qWr35idm0cy","Low (feat. T-Pain)","Mail on Sunday","Flo Rida,T-Pain",2008-03-17,231400,80,spotify:user:317l5dgxgguzvaoduizwbq2n5xce,2022-11-25T20:55:43Z,"dance pop,edm,miami hip hop,pop,pop rap,hip hop,r&b,rap,southern hip hop,urban contemporary",0.918,0.609,10,-5.64,0,0.0791,0.0928,0,0.139,0.304,128.008,4
3Kh9eZaRwd1teXFVOZ9xPv,"52oVYHQ99ORZzeig2YGo4R","Build a Boat","Build a Boat","Colton Dixon",2022-04-29,170549,62,spotify:user:317l5dgxgguzvaoduizwbq2n5xce,2022-11-25T20:55:52Z,"ccm,christian alternative rock,christian music,worship",0.612,0.77,1,-4.645,1,0.0387,0.221,0,0.171,0.351,143.871,4
4TgyIbBZCW0UIwS8eua06z,"5ZTJEC2UH1RXQT9K1mDCJ3","Hate You","Hate You","Jordi",2022-11-18,176540,60,spotify:user:317l5dgxgguzvaoduizwbq2n5xce,2022-11-25T20:55:52Z,"",0.636,0.473,0,-8.311,1,0.0389,0.762,0.00000382,0.152,0.399,87.034,4
5jzKL4BDMClWqRguW5qZvh,"6jJ0s89eD6GaHleKKya26X","Teenage Dream","Teenage Dream","Katy Perry",2010-01-01,227741,72,spotify:user:317l5dgxgguzvaoduizwbq2n5xce,2022-11-25T20:55:53Z,"dance pop,pop",0.719,0.798,10,-4.582,1,0.0361,0.0162,0.00000234,0.134,0.591,120.011,4
2KCvVtHmP00rHHS1Piuqop,"164Uj4eKjl6zTBKfJLFKKK","moon and back","this is what ____ feels like (Vol. 1-4)","JVKE",2022-09-23,148298,48,spotify:user:317l5dgxgguzvaoduizwbq2n5xce,2022-11-25T20:55:55Z,"modern indie pop,pop",0.596,0.493,2,-4.263,1,0.0722,0.569,0.0000302,0.208,0.492,180.132,4
1HkRnB3c6aVMJxAryrsMsc,"164Uj4eKjl6zTBKfJLFKKK","i can't help it","i can't help it","JVKE",2022-08-26,177886,50,spotify:user:317l5dgxgguzvaoduizwbq2n5xce,2022-11-25T20:55:56Z,"modern indie pop,pop",0.458,0.638,1,-4.151,1,0.0638,0.232,0.01,0.248,0.343,155.935,4
3hciQHIJhgWPv6yJijAqWp,"79AyR6ATpj2LTPxfb6FX50","Flowers","Flowers","Lauren Spencer Smith",2022-04-14,157373,58,spotify:user:317l5dgxgguzvaoduizwbq2n5xce,2022-11-25T20:56:00Z,"alt z,gen z singer-songwriter,pop,post-teen pop",0.656,0.46,3,-9.73,1,0.627,0.869,0,0.0873,0.304,68.062,4
0QHEIqNKsMoOY5urbzN48u,"6JL8zeS1NmiOftqZTRgdTz","Made You Look","Takin' It Back","Meghan Trainor",2022-10-21,134256,92,spotify:user:317l5dgxgguzvaoduizwbq2n5xce,2022-11-25T20:56:02Z,"dance pop,hip pop,pop,post-teen pop",0.838,0.525,10,-3.562,1,0.0665,0.345,0.00000192,0.0771,0.884,144.981,4
2KqJC0koTBUyDlsMt5ok1V,"6x2LnllRG5uGarZMsD4iO8","Look What God Gave Her","Center Point Road","Thomas Rhett",2019-05-31,168960,70,spotify:user:317l5dgxgguzvaoduizwbq2n5xce,2022-11-25T20:56:03Z,"contemporary country,country,country road",0.739,0.85,2,-3.966,1,0.0308,0.0272,0,0.181,0.883,113,4
6Jkm5kUldvIqxzI1Pa7nXH,"6oWOHAOyBUn6aJlKIPJK9r","10 Things I Hate About You","10 Things I Hate About You","Leah Kate",2022-03-23,157138,78,spotify:user:317l5dgxgguzvaoduizwbq2n5xce,2022-11-25T20:56:04Z,"alt z,pop",0.544,0.786,8,-2.97,1,0.0501,0.00991,0,0.169,0.446,153.967,4
0lizgQ7Qw35od7CYaoMBZb,"66CXWjxzNUsdJxJ2JdwvnR","Santa Tell Me","Santa Tell Me","Ariana Grande",2014-11-24,204093,85,spotify:user:317l5dgxgguzvaoduizwbq2n5xce,2022-11-25T20:56:07Z,"dance pop,pop",0.525,0.621,7,-7.364,1,0.116,0.0489,0,0.294,0.591,191.9,4
7xapw9Oy21WpfEcib2ErSA,"1uNFoZAHBGtllmzznpCI3s","Mistletoe","Under The Mistletoe (Deluxe Edition)","Justin Bieber",2011-01-01,182946,81,spotify:user:317l5dgxgguzvaoduizwbq2n5xce,2022-11-25T20:56:07Z,"canadian pop,pop",0.657,0.56,6,-9.049,0,0.0467,0.498,0,0.0794,0.854,161.993,4
2tJulUYLDKOg9XrtVkMgcJ,"0du5cEVh5yTK9QJze8zA0C","Grenade","Doo-Wops & Hooligans","Bruno Mars",2010-10-05,222091,77,spotify:user:317l5dgxgguzvaoduizwbq2n5xce,2022-11-25T20:56:08Z,"dance pop,pop",0.704,0.558,2,-7.273,0,0.0542,0.148,0,0.107,0.245,110.444,4
