Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1ZIKpMTRPqhwAoVXWY3tXI,"7lDVEkjIURPMyUYwoQRrpw,6WY7D3jk8zTrHtmkqqo5GI","Chasing After You (with Maren Morris)","Chasing After You (with Maren Morris)","Ryan Hurd,Maren Morris",2021-02-12,207973,67,spotify:user:31yii5yxl7vivmnt2m4tbhomqwgi,2021-12-30T22:27:10Z,"contemporary country,country,country pop,country road,pop,texas country",0.596,0.679,4,-6.395,1,0.0394,0.723,0,0.116,0.479,131.912,4
59xdsxc0QGW6TDA3ZuQ9tS,"3RqBeV12Tt7A8xH3zBDDUF,3grHWM9bx2E9vwJCdlRv9O","half of my hometown (feat. Kenny Chesney)","half of my hometown","Kelsea Ballerini,Kenny Chesney",2021-03-26,231832,51,spotify:user:31yii5yxl7vivmnt2m4tbhomqwgi,2021-12-30T22:28:57Z,"contemporary country,country,pop,country road",0.571,0.618,10,-4.966,1,0.0445,0.147,0,0.159,0.288,138.03,4
6IBcOGPsniK3Pso1wHIhew,"718COspgdWOnwOFpJHRZHS","Forever After All","What You See Ain't Always What You Get (Deluxe Edition)","Luke Combs",2020-10-23,232533,78,spotify:user:31yii5yxl7vivmnt2m4tbhomqwgi,2021-12-30T22:29:02Z,"contemporary country,country",0.487,0.65,0,-5.195,1,0.0253,0.191,0,0.0933,0.456,151.964,4
5XmOltvJlYIXsQEiqGFYjh,"6pBNfggcZZDCmb0p92OnGn,3b8QkneNDz4JHKKKlLgYZg","Drinkin’ Beer. Talkin’ God. Amen. (feat. Florida Georgia Line)","Drinkin’ Beer. Talkin’ God. Amen. (feat. Florida Georgia Line)","Chase Rice,Florida Georgia Line",2020-11-30,160839,3,spotify:user:31yii5yxl7vivmnt2m4tbhomqwgi,2021-12-30T22:29:15Z,"contemporary country,country,country road,modern country rock,country pop",0.627,0.678,2,-4.691,1,0.0294,0.185,0,0.374,0.724,100.032,4
4QpWhd7l2NrmGmfw4qGlpa,"4sIl4BTo9l9KqEi0Y3RE72","Next Girl","Next Girl","Carly Pearce",2020-09-04,164677,58,spotify:user:31yii5yxl7vivmnt2m4tbhomqwgi,2021-12-30T22:29:19Z,"contemporary country,country,country road",0.583,0.867,11,-4.17,1,0.0637,0.143,0,0.0863,0.962,160.096,4
4lQIieeygEHJ72UlJvEw5q,"1dID9zgn0OV0Y8ud7Mh2tS,6nXco5Q3cJJ0ZutnBOsSpq","Thinking 'Bout You (feat. MacKenzie Porter)","Thinking 'Bout You (feat. MacKenzie Porter)","Dustin Lynch,MacKenzie Porter",2021-03-19,170560,0,spotify:user:31yii5yxl7vivmnt2m4tbhomqwgi,2021-12-30T22:29:30Z,"contemporary country,country,country road,modern country rock,alberta country,canadian contemporary country,canadian country,country pop",0.403,0.711,8,-4.189,1,0.0569,0.137,0,0.109,0.801,203.803,4
69AIpwGNLxr4qS1X5ynx60,"77kULmXAQ6vWer7IIHdGzI,0BvkDsjIUla7X0k6CSWh1I","Buy Dirt","Buy Dirt","Jordan Davis,Luke Bryan",2021-05-21,167480,79,spotify:user:31yii5yxl7vivmnt2m4tbhomqwgi,2021-12-30T22:29:34Z,"contemporary country,country,country road",0.586,0.559,4,-6.725,1,0.05,0.639,0,0.0872,0.437,177.945,4
00KyYtT6NaXwbPecina5Pj,"4BYxqVkZyFjtik7crYLg5Q,3oSJ7TBVCWMDMiYjXNiCKE","Famous Friends","Famous Friends","Chris Young,Kane Brown",2021-08-06,166506,66,spotify:user:31yii5yxl7vivmnt2m4tbhomqwgi,2021-12-30T22:30:25Z,"contemporary country,country,country road,modern country rock,black americana",0.535,0.859,6,-2.922,1,0.0344,0.0528,0,0.32,0.698,102.008,4
3oV2RVOmwdWdf9BmGS4Oad,"7z5WFjZAIYejWy0NI5lv4T","Glad You Exist","Good Things","Dan + Shay",2021-08-13,144760,65,spotify:user:31yii5yxl7vivmnt2m4tbhomqwgi,2021-12-30T22:30:30Z,"contemporary country,country,country road,pop",0.741,0.499,11,-8.035,1,0.0356,0.23,0,0.125,0.692,103.96,4
2UikqkwBv7aIvlixeVXHWt,"4YLtscXsxbVgi031ovDDdh","You Should Probably Leave","Starting Over","Chris Stapleton",2020-11-13,213493,77,spotify:user:31yii5yxl7vivmnt2m4tbhomqwgi,2021-12-30T22:30:40Z,"contemporary country,outlaw country",0.602,0.477,9,-8.425,1,0.032,0.268,0.000031,0.173,0.552,183.89,4
