Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3AJwUDP919kvQ9QcozQPxg,"4gzpq5DPGxSnKTe4SA8HAU","Yellow","Parachutes","Coldplay",2000-07-10,266773,89,spotify:user:rlu1guwrwlajdt8uondr4s8oq,2021-10-17T00:17:47Z,"permanent wave,pop",0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,4
2qPSa6HXjzwa9sLhNGpA1T,"15K8w0bfYieOr55vhSMgJN","Home","Home","Edith Whiskers",2020-10-16,195358,74,spotify:user:rlu1guwrwlajdt8uondr4s8oq,2021-10-17T00:17:48Z,"",0.725,0.199,2,-12.478,1,0.0357,0.982,0.00395,0.1,0.264,120.031,4
0QZ5yyl6B6utIWkxeBDxQN,"6ltzsmQQbmdoHHbLZ4ZN25","The Night We Met","Strange Trails","Lord Huron",2015-04-07,208211,78,spotify:user:rlu1guwrwlajdt8uondr4s8oq,2021-10-17T00:18:09Z,"indie folk,stomp and holler",0.545,0.366,2,-9.51,1,0.0378,0.969,0.267,0.641,0.1,86.997,3
49hZWqLWPcMbJA7Q2M3x6g,"40HzN0eLAMZk4nTHMk9sUA,1wxPItEzr7U7rGSMPqZ25r","Grips on Your Waist","Love Wounds","prxz,Shiloh Dynasty",2017-10-21,127802,0,spotify:user:rlu1guwrwlajdt8uondr4s8oq,2021-10-17T00:18:14Z,"lo-fi chill,sad lo-fi",0.898,0.227,9,-12.528,1,0.263,0.804,0.0058,0.648,0.536,115.991,4
506O2O13slCAUEo6w8aqr8,"4YJkA3YshwZ8FwljpMW0II","I'll Keep You Safe","I'll Keep You Safe","sagun",2017-10-06,185875,1,spotify:user:rlu1guwrwlajdt8uondr4s8oq,2021-10-17T00:19:36Z,"lo-fi chill,sad lo-fi",0.755,0.0625,7,-24.694,1,0.0555,0.945,0.816,0.178,0.462,114.984,4
4JE6agBLHGA5TaF6FlqfBD,"12j6dJrPXanCBwY599pZxf","As the World Caves In","As the World Caves In","Matt Maltese",2017-03-06,218754,72,spotify:user:rlu1guwrwlajdt8uondr4s8oq,2021-10-17T00:20:11Z,"indie anthem-folk,indie pop,pop",0.331,0.45,10,-5.362,1,0.034,0.365,0.00464,0.22,0.18,123.829,4
4RVwu0g32PAqgUiJoXsdF8,"6qqNVTkY8uBg9cP3Jd7DAH","Happier Than Ever","Happier Than Ever","Billie Eilish",2021-07-30,298899,86,spotify:user:rlu1guwrwlajdt8uondr4s8oq,2021-10-17T00:20:44Z,"art pop,electropop,pop",0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,3
0VVayn6rXlPniCphi4S17B,"22g86cix6LCeLMbu3m91Wo,3K40SMapVhc8PxyYFofHff","Welcome to the Hell Zone","Couch Potato","Bobby Raps,Corbin",2015-05-31,207560,54,spotify:user:rlu1guwrwlajdt8uondr4s8oq,2021-10-17T00:21:03Z,"emo rap,minnesota hip hop,underground hip hop",0.443,0.248,2,-15.364,0,0.114,0.0901,0.0905,0.138,0.169,81.528,4
6jmf4OxSGzdgthZruXtcqu,"4HAfqyKr4Sqtab6ttHWXgE","Hate Me!","How To Kill A Rockstar","MASN",2020-08-21,154756,67,spotify:user:rlu1guwrwlajdt8uondr4s8oq,2021-10-17T00:21:29Z,"emo rap,lo-fi chill,pop rap,sad lo-fi,sad rap",0.683,0.628,6,-6.512,1,0.123,0.659,0,0.106,0.356,142.06,4
68RI4I6SKm57SxjG06OYvN,"15S89CUJtshT2P7WIa2M5l","The Wisp Sings","The Wisp Sings","Winter Aid",2013-11-11,313252,71,spotify:user:rlu1guwrwlajdt8uondr4s8oq,2021-10-17T00:21:36Z,"irish indie",0.521,0.0889,4,-19.457,1,0.0507,0.988,0.182,0.0965,0.0479,115.43,4
